nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
8381,NGC5584,NGC5584_3-47,215.591099,-0.3868419,0.169912,8.340789,,8.498737,8.587462,8.42701,0.180376,,8.839267,,0.370140153468769,0.194272108792798,MUSE
8382,NGC5584,NGC5584_3-48,215.5910989,-0.3851756,0.238422,8.374124,,8.570303,8.667875,8.47556,0.106698,,8.930669,,0.364722416266405,0.191428550153388,MUSE
8383,NGC5584,NGC5584_3-5,215.5960987,-0.3968395,0.045995,8.241161,,8.461949,8.672868,8.41083,0.180379,,8.936441,,0.443022659401324,0.232525289348676,MUSE
8384,NGC5584,NGC5584_3-50,215.5894328,-0.4018381,0.195008,8.251317,,8.419448,8.416495,8.45937,2.11461,,8.641756,,0.836025519872168,0.438797140024057,MUSE
8385,NGC5584,NGC5584_3-51,215.5894328,-0.4001719,0.111912,8.317257,,8.514668,8.421264,8.45937,6.05547,,8.647552,,0.777719920014177,0.408194808089279,MUSE
8386,NGC5584,NGC5584_3-52,215.5894327,-0.3985056,0.045524,,,8.493471,8.705461,8.44319,0.119367,,8.97456,,0.721431017075624,0.378650961594849,MUSE
8387,NGC5584,NGC5584_3-53,215.5894327,-0.3968394,0.185045,,,8.525442,8.642746,8.54029,1.28726,,8.901842,,0.667669088686255,0.350433425337057,MUSE
8388,NGC5584,NGC5584_3-54,215.5894327,-0.3951731,0.094782,8.273408,,8.520485,8.65006,8.47556,0.488498,,8.910197,,0.617094967835178,0.323889044739587,MUSE
8389,NGC5584,NGC5584_3-55,215.5894326,-0.3935069,0.0,8.274379,,8.523199,8.637375,8.50792,0.868364,,8.89572,,0.570557009553917,0.29946308822154,MUSE
8390,NGC5584,NGC5584_3-56,215.5894326,-0.3918406,0.041239,8.239004,,8.497539,8.637927,8.49174,0.68176,,8.896349,,0.529121294241167,0.277715099742831,MUSE
8391,NGC5584,NGC5584_3-57,215.5894326,-0.3901744,0.203121,8.30274,,8.445811,8.478338,8.44319,0.903897,,8.715194,,0.494073227759207,0.259319738632314,MUSE
8392,NGC5584,NGC5584_3-58,215.5894325,-0.3885081,0.149585,8.311859,,8.510399,8.601109,8.45937,0.445672,,8.854649,,0.466853680212212,0.245033261326936,MUSE
8393,NGC5584,NGC5584_3-59,215.5894325,-0.3868418,0.196513,8.312982,,8.493061,8.601145,8.42701,0.255895,,8.85469,,0.448889007394496,0.235604306269336,MUSE
8394,NGC5584,NGC5584_3-6,215.5960986,-0.3951732,0.092299,8.3738,,8.595246,8.543349,8.49174,2.27792,,8.789532,,0.377295411260145,0.19802762412141,MUSE
8395,NGC5584,NGC5584_3-60,215.5894324,-0.3851756,0.222545,8.248362,,8.500259,8.646232,8.49174,0.584613,,8.905821,,0.441311017254003,0.231626915242699,MUSE
8396,NGC5584,NGC5584_3-62,215.5877663,-0.4018381,0.227985,8.217934,,8.379534,8.457534,8.39464,0.667792,,8.690871,,0.894868390026134,0.469681464151286,MUSE
8397,NGC5584,NGC5584_3-63,215.5877663,-0.4001718,0.077399,,,8.458302,8.653033,8.45937,0.414165,,8.913601,,0.839007994215851,0.440362524310895,MUSE
8398,NGC5584,NGC5584_3-64,215.5877663,-0.3985056,0.245447,,,8.377303,8.613199,8.36228,0.689246,,8.868301,,0.785356151805129,0.412202767883309,MUSE
8399,NGC5584,NGC5584_3-65,215.5877662,-0.3968393,0.211772,8.21902,,8.431792,8.582559,8.42701,0.566181,,8.833743,,0.73439699751742,0.38545629827445,MUSE
8400,NGC5584,NGC5584_3-66,215.5877662,-0.3951731,0.145979,8.258353,,8.392385,8.478976,8.37846,0.476705,,8.715934,,0.686730295371858,0.360437908191035,MUSE
8401,NGC5584,NGC5584_3-67,215.5877661,-0.3935068,0.086959,8.243768,,8.419915,8.594058,8.36228,0.19143,,8.846699,,0.643088651940131,0.337532114206757,MUSE
8402,NGC5584,NGC5584_3-68,215.5877661,-0.3918406,0.091118,8.251553,,8.434945,8.519644,8.44319,0.906056,,8.762648,,0.604344610967208,0.31719688045158,MUSE
8403,NGC5584,NGC5584_3-69,215.5877661,-0.3901743,0.18243,8.273819,,8.403046,8.433041,8.44319,1.11231,,8.661761,,0.571495202880013,0.299955509252352,MUSE
8404,NGC5584,NGC5584_3-7,215.5960986,-0.393507,0.346067,8.360213,,8.611129,8.659212,8.5241,1.13192,,8.920692,,0.313272233423403,0.16442435883555,MUSE
8405,NGC5584,NGC5584_3-70,215.587766,-0.3885081,0.237578,8.30121,,8.420958,8.454665,8.42701,0.792084,,8.68749,,0.545606237741407,0.28636740268027,MUSE
8406,NGC5584,NGC5584_3-71,215.587766,-0.3868418,0.170022,8.268058,,8.446429,8.559214,8.42701,0.383959,,8.807442,,0.527703069496386,0.276970728970494,MUSE
8407,NGC5584,NGC5584_3-72,215.587766,-0.3851755,0.188364,8.27143,,8.464939,8.531122,8.44319,1.01274,,8.775688,,0.518613473758165,0.272199955209286,MUSE
8408,NGC5584,NGC5584_3-75,215.5860998,-0.4001718,0.027493,8.210502,,8.420765,8.508638,8.41083,0.608232,,8.750092,,0.903045967838755,0.473973555326985,MUSE
8409,NGC5584,NGC5584_3-76,215.5860998,-0.3985056,0.144324,8.245375,,8.401481,8.487766,8.39464,0.685009,,8.726112,,0.851808236385915,0.447080871445439,MUSE
8410,NGC5584,NGC5584_3-77,215.5860997,-0.3968393,0.185358,8.261136,,8.372459,8.463063,8.36228,0.326208,,8.697368,,0.803347604117663,0.421645778451726,MUSE
8411,NGC5584,NGC5584_3-78,215.5860997,-0.3951731,0.12566,8.237592,,8.459848,8.550902,8.45937,1.24147,,8.798065,,0.758196775914366,0.397947872329968,MUSE
8412,NGC5584,NGC5584_3-79,215.5860996,-0.3935068,0.168107,8.237462,,8.51611,8.593228,8.50792,1.88445,,8.845763,,0.716981288599497,0.376315472925189,MUSE
8413,NGC5584,NGC5584_3-8,215.5960986,-0.3918407,0.455201,8.384121,,8.565223,8.643034,8.45937,0.14457,,8.90217,,0.252254079046899,0.132398312987033,MUSE
8414,NGC5584,NGC5584_3-80,215.5860996,-0.3918406,0.126819,8.233878,,8.438982,8.491499,8.45937,2.0149,,8.730419,,0.680416769967209,0.357124185313948,MUSE
8415,NGC5584,NGC5584_3-81,215.5860996,-0.3901743,0.195799,8.279281,,8.417872,8.465501,8.44319,0.930682,,8.700225,,0.649289419144238,0.340786654708742,MUSE
8416,NGC5584,NGC5584_3-82,215.5860995,-0.388508,0.130692,8.244095,,8.512799,8.582919,8.5241,1.85203,,8.834149,,0.624412925500912,0.327729954877154,MUSE
