Name,mtot,re,n,q,PA,Her,map,logLum,logMass,i,T,e_T,SimbadName
NGC0253,6.3,224.03,1.27,0.28,52.1,,6.32,9.61,10.82,81.4,5.1,0.4,NGC0253
ESO411-016,15.07,10.33,1.06,0.58,41.7,,15.16,7.7,8.91,55.5,1.8,3.0,ESO411-016
NGC0274,11.76,11.3,4.66,0.94,30.8,,11.89,8.82,10.03,21.7,-2.8,0.5,NGC0274
NGC0275,12.37,18.88,0.8,0.64,-57.2,,12.41,8.72,9.93,50.7,6.0,0.3,NGC0275
NGC0289,10.45,28.56,1.58,0.7,-41.8,*,10.46,9.45,10.67,47.5,4.0,0.5,NGC0289
ESO411-026,15.72,17.09,1.24,0.5,16.0,,15.78,7.34,8.56,65.5,9.0,0.4,ESO411-026
ESO411-027,15.99,16.95,0.86,0.3,-59.7,,16.05,7.36,8.58,73.9,5.7,2.4,ESO411-027
NGC0300,8.37,253.21,1.13,0.67,-73.9,,8.43,8.24,9.45,45.2,6.9,0.4,NGC0300
NGC0337,11.42,27.83,0.71,0.64,-47.0,*,11.43,8.95,10.16,44.9,6.7,0.8,NGC0337
ESO351-030,10.5,585.1,0.54,0.56,-82.2,,18.4,1.49,2.7,58.2,-4.8,0.5,ESO351-030
IC1613,10.57,246.25,0.78,0.94,84.7,,10.62,6.51,7.72,20.5,9.9,0.3,IC1613
NGC0428,11.71,45.1,1.32,0.64,-47.5,,11.75,8.64,9.85,30.1,8.6,1.0,NGC0428
UGC00772,17.35,16.68,0.49,0.67,9.1,,18.13,6.15,7.36,49.6,9.8,0.5,UGC00772
NGC0448,11.91,10.31,2.53,0.36,-62.6,,11.96,9.17,10.39,72.0,-2.4,0.8,NGC0448
NGC0450,12.33,38.82,2.04,0.84,63.9,*,12.5,8.48,9.7,43.0,5.8,0.5,NGC0450
NGC0493,12.32,43.71,1.19,0.24,58.4,,12.46,8.74,9.95,74.0,5.9,0.4,NGC0493
UGC00931,15.72,16.5,1.42,0.18,4.2,,15.77,7.7,8.91,82.3,5.4,1.5,UGC00931
PGC093080,10.93,17.77,3.52,0.49,-59.1,,11.01,9.55,10.77,61.4,5.6,2.2,PGC093080
NGC0520,10.75,25.31,3.73,0.42,-50.9,,10.82,9.63,10.85,66.7,1.3,3.4,NGC0520
NGC0584,9.81,26.91,4.4,0.63,63.0,,9.9,9.64,10.85,41.3,-4.7,0.9,NGC0584
NGC0586,12.53,17.15,1.78,0.39,-5.0,*,12.57,8.77,9.98,68.9,0.7,1.0,NGC0586
NGC0613,9.34,82.1,2.92,0.41,-58.1,*,9.43,10.07,11.29,39.2,4.0,0.2,NGC0613
NGC0625,11.22,67.09,1.52,0.4,-86.2,*,11.33,7.67,8.88,70.6,9.0,1.4,NGC0625
NGC0628,9.18,111.42,2.57,0.93,-47.7,,9.31,9.29,10.5,31.2,5.2,0.5,NGC0628
NGC0678,11.12,14.64,3.66,0.39,78.8,,11.22,9.4,10.61,90.0,3.0,0.4,NGC0678
NGC0720,9.6,40.26,4.76,0.53,-37.4,,9.72,9.99,11.2,60.5,-4.9,0.5,NGC0720
PGC007045,12.74,18.19,0.59,0.23,76.8,,12.75,8.45,9.66,80.8,0.0,1.0,PGC007045
NGC0855,12.22,23.47,3.46,0.44,70.3,,12.36,8.02,9.24,66.4,-4.8,0.7,NGC0855
PGC008962,15.87,17.7,0.68,0.27,49.3,,16.11,7.52,8.74,76.9,6.9,0.7,PGC008962
NGC0895,11.69,39.97,2.19,0.62,-65.2,*,11.81,9.37,10.58,44.7,6.0,0.3,NGC0895
NGC0891,8.3,127.93,0.94,0.09,22.9,*,8.46,9.6,10.82,90.0,3.1,0.4,NGC0891
NGC0925,10.31,124.04,1.84,0.41,-70.7,*,10.46,8.75,9.96,66.6,7.0,0.3,NGC0925
PGC009485,12.45,14.27,3.45,0.75,-64.0,,12.57,8.99,10.2,42.1,0.3,1.3,PGC009485
NGC1052,9.79,25.74,4.77,0.68,-63.8,,9.85,9.55,10.76,38.6,-4.7,0.7,NGC1052
NGC1068,8.26,22.48,2.14,0.84,32.0,,8.2,9.73,10.94,16.4,3.0,0.3,NGC1068
NGC1056,11.43,9.61,3.92,0.51,-23.8,,11.47,9.4,10.61,60.6,1.0,0.4,NGC1056
NGC1097,8.77,53.32,5.14,0.59,-35.4,*,8.86,9.79,11.0,48.7,3.3,0.5,NGC1097
NGC1140,12.67,10.79,3.15,0.43,-0.4,,12.73,8.43,9.64,65.5,9.2,2.2,NGC1140
PGC166069,13.17,26.39,0.61,0.43,-84.4,,13.39,6.87,8.08,68.1,10.0,1.4,PGC166069
UGC02392,14.23,25.01,2.32,0.35,13.6,,14.38,8.09,9.31,70.6,5.9,0.5,UGC02392
NGC1189,13.34,29.29,1.97,0.86,66.6,,13.48,8.66,9.87,31.0,7.9,1.1,NGC1189
NGC1199,10.63,23.53,4.81,1.0,-79.6,,10.74,9.74,10.95,0.0,-4.8,0.6,NGC1199
NGC1222,11.99,6.48,4.17,0.72,-65.1,,12.03,9.17,10.38,54.6,-2.6,1.8,NGC1222
PGC166071,12.93,25.97,0.58,0.45,-53.2,,12.96,9.08,10.29,66.6,10.0,2.0,PGC166071
ESO116-012,,,,,,,,,,,6.8,0.8,ESO116-012
NGC1266,11.98,13.27,2.98,0.78,-61.7,*,12.08,9.08,10.29,39.6,-2.3,1.0,NGC1266
PGC012608,15.15,18.59,1.35,0.84,-86.4,,15.24,7.79,9.0,49.1,9.0,0.5,PGC012608
NGC1316,7.65,123.15,5.86,0.69,51.8,,7.82,10.49,11.7,47.5,-1.8,0.7,NGC1316
NGC1317,9.86,45.9,7.42,0.94,-25.5,*,10.28,9.35,10.56,20.2,0.8,0.5,NGC1317
NGC1320,11.61,8.35,5.22,0.28,-40.7,*,11.7,9.47,10.68,76.5,0.9,0.9,NGC1320
NGC1336,11.83,40.11,5.85,0.77,20.9,,12.17,8.65,9.86,40.6,-3.0,0.7,NGC1336
ESO358-006,13.24,13.61,0.8,0.43,29.4,,13.27,8.31,9.52,67.5,-3.8,1.0,ESO358-006
NGC1351A,12.82,35.27,0.82,0.13,-47.5,*,12.88,8.42,9.64,90.0,4.2,1.7,NGC1351A
NGC1351,10.73,46.12,7.28,0.57,-38.5,,11.01,9.15,10.37,57.0,-3.1,0.7,NGC1351
PGC013058,14.24,8.77,2.36,0.65,-23.5,,14.3,7.84,9.06,51.2,-4.5,1.4,PGC013058
PGC013084,13.86,12.65,2.0,0.73,-24.5,,13.91,8.02,9.23,44.1,-2.0,0.4,PGC013084
PGC013097,14.97,18.84,1.53,0.77,-81.4,,15.02,7.61,8.82,40.6,-2.2,0.9,PGC013097
PGC013146,14.28,10.78,2.64,0.43,-57.6,,14.36,7.84,9.06,67.1,-2.8,0.6,PGC013146
ESO358-015,14.91,19.03,1.16,0.61,-10.9,,15.0,7.42,8.63,41.2,8.7,1.1,ESO358-015
ESO358-016,16.39,35.01,1.1,0.16,-32.2,,16.42,7.13,8.34,83.5,7.1,3.3,ESO358-016
NGC1365,8.01,440.15,19.64,0.74,67.8,,8.74,9.98,11.19,54.8,3.2,0.6,NGC1365
PGC013230,13.99,16.98,2.18,0.73,-6.2,,14.06,7.92,9.13,44.2,-2.4,1.0,PGC013230
ESO358-019,15.16,13.76,1.69,0.42,-26.6,,15.22,7.32,8.54,67.9,-3.0,0.7,ESO358-019
NGC1373,13.01,7.25,4.27,0.78,-44.1,,13.1,8.32,9.53,39.8,-3.6,1.7,NGC1373
NGC1374,10.52,22.34,4.5,0.88,-51.1,,10.75,9.28,10.49,29.1,-4.5,1.0,NGC1374
NGC1375,12.12,18.85,2.08,0.41,-89.1,,12.21,8.71,9.93,68.3,-2.2,0.8,NGC1375
IC0335,11.75,23.76,1.48,0.17,82.9,,11.8,8.91,10.12,90.0,-2.1,1.4,IC0335
NGC1379,10.57,25.16,2.93,0.98,11.2,,10.66,9.29,10.51,11.8,-4.8,0.5,NGC1379
NGC1381,10.94,18.15,3.45,0.25,-41.0,,11.04,9.26,10.47,80.5,-2.1,0.7,NGC1381
NGC1377,12.1,12.5,3.54,0.53,-87.7,,12.17,8.87,10.08,59.8,-2.1,0.7,NGC1377
NGC1369,12.36,30.22,1.7,0.75,17.1,,12.48,8.53,9.74,42.1,0.1,1.2,NGC1369
NGC1386,10.39,24.42,5.31,0.43,24.1,*,10.59,9.19,10.41,68.3,-0.7,1.0,NGC1386
NGC1380A,12.13,26.84,1.33,0.24,-3.9,,12.18,8.72,9.93,81.3,-1.9,0.7,NGC1380A
PGC013343,13.75,8.63,2.88,0.88,-18.7,,13.82,8.05,9.26,29.0,-2.8,0.6,PGC013343
NGC1387,9.66,33.61,8.69,0.85,-72.4,,9.93,9.59,10.81,32.5,-2.8,0.5,NGC1387
NGC1389,11.03,15.04,3.56,0.62,25.0,,11.05,9.22,10.44,58.5,-2.8,0.7,NGC1389
ESO358-042,14.87,15.84,1.76,0.48,-38.8,,14.96,7.64,8.85,63.4,-2.2,0.9,ESO358-042
ESO358-043,14.03,17.11,1.62,0.39,21.6,,14.07,8.01,9.22,70.1,-3.0,0.6,ESO358-043
NGC1399,8.14,144.95,8.2,0.92,-74.7,,8.45,10.25,11.46,23.7,-4.6,0.5,NGC1399
NGC1404,9.24,24.9,4.27,0.85,-19.8,,9.45,9.83,11.04,32.7,-4.8,0.5,NGC1404
NGC1427A,13.22,47.2,1.35,0.62,-81.8,*,13.39,8.08,9.29,43.8,9.9,0.3,NGC1427A
NGC1412,12.09,12.57,3.48,0.32,-52.0,,12.18,8.87,10.09,74.9,-2.2,0.8,NGC1412
NGC1419,12.32,6.78,4.52,0.92,-13.3,,12.38,8.76,9.97,23.7,-4.9,0.6,NGC1419
ESO358-050,12.83,18.62,1.86,0.39,-7.6,,12.87,8.44,9.65,69.7,-2.1,1.0,ESO358-050
ESO358-051,13.54,14.82,1.64,0.51,3.3,*,13.59,7.88,9.09,61.1,0.3,1.9,ESO358-051
NGC1427,10.34,41.0,5.35,0.7,78.6,,10.51,9.36,10.57,47.0,-4.0,0.9,NGC1427
NGC1428,12.62,10.6,2.12,0.54,-66.2,,12.66,8.56,9.77,59.2,-3.0,0.8,NGC1428
PGC013635,13.94,13.24,1.26,0.75,-31.4,,13.98,7.8,9.01,42.8,-5.0,1.4,PGC013635
ESO358-054,14.02,37.41,1.31,0.68,87.2,*,14.17,7.79,9.0,51.3,7.9,0.5,ESO358-054
PGC166861,15.5,12.25,0.43,0.58,20.3,,15.73,7.36,8.57,55.4,-5.0,2.0,PGC166861
ESO358-056,14.83,15.23,0.96,0.25,4.5,,14.88,7.71,8.92,80.6,-2.2,0.8,ESO358-056
NGC1436,11.24,45.07,0.81,0.64,-28.4,*,11.29,8.87,10.08,45.7,2.0,1.6,NGC1436
UGC02826,11.57,13.34,1.79,0.61,-60.0,*,11.62,9.0,10.21,53.0,5.0,2.0,UGC02826
ESO358-059,13.01,10.82,3.98,0.58,-24.6,,13.09,8.35,9.56,56.3,-3.3,0.7,ESO358-059
ESO358-060,16.64,26.07,0.83,0.28,-76.7,,16.85,6.65,7.87,78.1,9.8,0.7,ESO358-060
PGC166077,14.02,113.08,0.47,0.34,-30.7,,,,,75.2,10.0,1.2,PGC166077
NGC1437B,13.01,25.04,1.31,0.32,2.5,*,13.1,7.78,9.0,67.8,8.3,1.8,NGC1437B
NGC1460,12.33,24.57,2.05,0.59,68.5,,12.4,8.63,9.84,55.3,-1.9,1.0,NGC1460
ESO358-063,11.25,42.79,1.47,0.18,-47.9,*,11.37,8.9,10.12,74.4,6.9,2.0,ESO358-063
IC0342,6.63,396.34,2.58,0.88,3.7,*,6.89,9.32,10.53,28.6,6.0,0.3,IC0342
ESO358-066,14.94,21.92,1.13,0.43,40.8,,14.96,7.61,8.82,67.5,-3.8,0.7,ESO358-066
ESO359-002,13.65,14.19,1.57,0.61,45.0,,13.77,8.06,9.27,54.1,-3.4,2.1,ESO359-002
NGC1481,13.43,11.54,5.21,0.65,-43.1,,13.57,8.33,9.54,50.9,-3.0,0.4,NGC1481
NGC1482,10.68,6.04,4.34,0.47,-70.9,*,10.71,9.3,10.52,56.5,-0.8,0.9,NGC1482
ESO549-035,15.11,20.8,1.72,0.69,25.6,,15.29,8.07,9.28,50.8,6.0,3.0,ESO549-035
NGC1510,13.15,12.5,4.09,0.95,-71.1,,13.25,7.78,8.99,24.8,-1.8,1.8,NGC1510
NGC1512,9.7,94.82,5.76,0.65,53.4,*,10.02,9.15,10.37,43.4,1.1,0.5,NGC1512
NGC1566,9.23,63.51,3.3,0.77,4.4,*,9.36,8.83,10.04,32.5,4.0,0.2,NGC1566
UGC03016,12.59,17.43,0.93,0.17,86.5,,12.65,8.9,10.11,82.9,5.9,0.4,UGC03016
NGC1569,10.21,34.43,1.79,0.38,-62.8,,10.23,7.92,9.13,71.1,9.6,1.0,NGC1569
IC2085,12.71,17.08,2.39,0.22,-66.7,*,12.79,8.24,9.45,90.0,-1.2,2.0,IC2085
NGC1617,9.53,55.88,2.61,0.49,-72.1,,9.68,9.38,10.6,62.0,1.1,0.3,NGC1617
ESO157-047,14.86,27.11,2.59,0.32,75.2,,15.02,7.66,8.87,74.0,0.0,0.5,ESO157-047
ESO157-049,12.63,18.51,0.51,0.17,29.6,,12.64,8.69,9.9,90.0,5.3,2.4,ESO157-049
NGC1705,12.57,20.02,4.82,0.8,51.0,,12.7,7.44,8.65,48.7,-2.7,0.8,NGC1705
NGC1800,12.72,20.9,1.28,0.47,-66.5,,12.74,7.68,8.89,52.7,8.0,4.1,NGC1800
NGC1808,8.56,101.42,13.34,0.42,-37.6,*,8.96,9.6,10.81,43.6,1.2,0.5,NGC1808
NGC1924,11.77,16.43,0.86,0.85,-65.7,,11.79,9.25,10.46,32.1,4.0,0.4,NGC1924
NGC2110,9.81,22.14,18.66,0.71,-15.4,,10.18,10.03,11.25,46.0,-3.0,0.5,NGC2110
NGC2207,10.28,70.65,6.46,0.69,73.0,,10.63,9.59,10.81,46.9,4.6,0.7,NGC2207
IC2163,11.25,25.91,0.84,0.58,-67.2,,11.24,9.02,10.24,55.2,5.2,0.8,IC2163
NGC2146,9.19,18.81,3.43,0.41,-46.4,*,9.2,10.17,11.39,67.2,2.3,0.7,NGC2146
NGC2273,10.62,23.16,6.84,0.74,86.8,,10.85,9.63,10.84,42.9,0.9,0.4,NGC2273
PGC2807061,14.99,0.04,14.7,0.2,34.3,,15.31,5.33,6.54,90.0,10.0,2.0,PGC2807061
ESO491-020,11.08,48.04,14.98,0.66,74.6,,11.62,9.73,10.95,49.4,3.0,0.5,ESO491-020
ESO491-021,12.59,15.55,1.12,0.29,22.6,,12.64,9.19,10.4,75.4,2.1,0.6,ESO491-021
UGC03701,14.06,21.71,1.48,0.88,-1.2,,14.17,8.6,9.82,28.6,6.0,0.4,UGC03701
ESO428-014,10.89,21.07,8.1,0.63,-38.0,,11.13,9.28,10.49,52.2,-1.8,0.9,ESO428-014
NGC2403,8.43,157.09,1.43,0.59,-56.8,,8.48,8.62,9.83,54.4,6.0,0.3,NGC2403
ESO560-004,11.58,15.1,1.53,0.22,56.6,,11.61,9.5,10.72,79.7,4.2,1.6,ESO560-004
UGC03960,12.63,38.93,7.32,0.76,35.4,,13.09,8.81,10.03,41.8,-4.8,0.7,UGC03960
ESO493-016,11.3,11.55,1.66,0.63,-47.6,,11.31,9.24,10.45,51.6,4.0,1.8,ESO493-016
NGC2480,13.48,30.9,3.92,0.38,-15.0,,13.7,8.61,9.82,70.6,9.3,1.9,NGC2480
NGC2481,11.71,9.65,2.96,0.28,18.1,,11.78,9.31,10.53,77.0,-0.3,1.9,NGC2481
ESO209-009,10.43,59.92,1.38,0.14,-26.2,*,10.73,8.91,10.12,85.5,6.1,0.7,ESO209-009
IC2233,12.95,60.34,1.24,0.11,-8.2,,13.24,8.0,9.21,90.0,6.5,0.8,IC2233
NGC2549,10.48,21.73,4.22,0.35,-0.1,,10.62,8.95,10.16,72.6,-2.0,0.4,NGC2549
UGC04305,12.06,96.31,0.76,0.72,29.4,,12.09,7.25,8.46,41.8,9.9,0.5,UGC04305
NGC2577,11.52,12.86,3.94,0.51,-74.7,,11.59,9.5,10.71,61.4,-2.9,0.5,NGC2577
NGC2592,11.65,7.8,4.3,0.86,54.3,,11.76,9.11,10.32,31.6,-4.8,0.7,NGC2592
ESO495-021,11.15,7.38,4.97,0.78,-47.5,*,11.21,8.35,9.56,39.7,-2.6,1.5,ESO495-021
UGC04483,15.81,23.58,0.45,0.41,-7.5,,,,,59.4,9.8,0.5,UGC04483
UGC04551,11.86,6.12,4.16,0.61,-63.6,,11.91,9.13,10.34,70.4,-1.9,0.6,UGC04551
UGC04549,12.92,18.38,0.75,0.81,7.9,,12.95,8.52,9.73,34.1,7.6,1.3,UGC04549
NGC2679,11.97,19.03,3.63,0.85,-22.5,,12.11,9.13,10.34,32.4,-1.9,0.5,NGC2679
NGC2685,10.85,23.11,3.6,0.38,37.1,*,10.93,8.87,10.09,51.9,-1.0,1.0,NGC2685
NGC2655,9.01,87.41,7.26,0.75,82.2,,9.33,9.22,10.43,19.9,0.1,0.5,NGC2655
UGC04684,,,,,,*,,,,,7.3,1.0,UGC04684
NGC2764,12.08,11.77,1.34,0.37,16.9,,12.11,9.3,10.52,73.8,-1.7,1.1,NGC2764
NGC2768,9.32,73.56,3.89,0.47,-86.6,,9.49,9.89,11.11,49.5,-4.4,1.1,NGC2768
NGC2778,11.94,11.76,3.7,0.76,44.5,,12.05,8.89,10.1,41.8,-4.7,0.7,NGC2778
NGC2798,11.34,5.95,4.6,0.6,-12.4,*,11.5,9.24,10.46,62.0,1.1,0.4,NGC2798
NGC2799,13.34,21.04,2.43,0.25,-53.5,,13.67,8.41,9.62,77.2,8.5,1.4,NGC2799
NGC2787,9.77,24.3,3.59,0.68,-57.4,,9.87,8.79,10.0,57.6,-1.0,0.9,NGC2787
IC2461,12.32,12.86,1.97,0.13,-37.1,,12.38,9.48,10.7,90.0,3.3,0.7,IC2461
NGC2841,8.47,89.25,3.08,0.48,-29.1,*,8.63,9.98,11.19,64.0,2.9,0.5,NGC2841
NGC2853,13.73,11.59,1.98,0.46,25.6,,13.77,8.39,9.6,64.4,-0.7,1.8,NGC2853
NGC2859,10.14,34.54,6.9,0.82,-22.9,,10.33,9.54,10.76,37.9,-1.2,0.6,NGC2859
NGC2915,12.11,26.98,1.48,0.58,-51.6,,12.17,7.4,8.61,55.5,1.6,3.7,NGC2915
NGC2907,10.49,24.92,5.75,0.54,-64.8,,10.64,9.65,10.86,58.5,1.0,0.7,NGC2907
PGC027066,15.27,19.17,0.98,0.17,-89.5,,15.38,8.5,9.71,82.6,6.9,0.5,PGC027066
ESO373-008,11.17,83.96,1.43,0.15,88.7,*,11.57,8.35,9.56,84.6,6.1,0.8,ESO373-008
UGC05139,13.65,96.48,0.58,1.0,-29.1,,,,,0.0,9.9,0.3,UGC05139
NGC2974,10.07,27.94,4.57,0.59,41.0,*,10.15,9.6,10.81,47.3,-4.3,1.2,NGC2974
NGC2950,10.36,14.71,5.71,0.66,-37.5,,10.46,9.16,10.37,49.9,-1.9,0.4,NGC2950
PGC090942,16.43,32.3,3.52,0.07,37.2,,16.64,7.46,8.67,90.0,5.9,1.2,PGC090942
NGC2992,10.92,12.71,5.02,0.4,19.1,,11.04,9.58,10.8,68.2,0.9,0.5,NGC2992
NGC2993,12.2,6.65,2.98,0.89,45.0,*,12.23,9.08,10.29,27.5,1.2,0.7,NGC2993
NGC2976,9.97,74.0,0.55,0.41,-39.4,*,9.96,8.12,9.34,53.8,5.2,1.1,NGC2976
ESO434-040,10.78,0.03,20.0,0.87,43.8,,11.08,9.67,10.88,30.1,-1.3,1.5,ESO434-040
NGC3049,12.16,50.09,4.42,0.31,30.9,*,12.48,8.51,9.73,54.2,2.6,0.9,NGC3049
NGC3031,6.25,176.08,3.15,0.61,-29.0,,6.36,9.57,10.78,58.1,2.4,0.6,NGC3031
NGC3034,7.06,47.47,2.06,0.29,67.2,,7.06,9.29,10.5,90.0,7.2,4.1,NGC3034
UGC05340,15.53,26.11,0.88,0.54,9.2,,15.78,6.9,8.11,56.7,9.7,1.0,UGC05340
PGC028759,,,,,,,,,,,10.0,2.0,PGC028759
UGC05336,13.27,377.37,2.4,0.45,60.7,,,,,66.5,9.9,0.5,UGC05336
UGC05364,14.47,55.16,2.24,0.85,-54.0,,,,,32.7,9.9,0.3,UGC05364
NGC3081,10.88,42.47,8.67,0.67,71.9,,11.25,9.35,10.56,48.9,0.0,0.7,NGC3081
IC2531,10.87,63.09,1.78,0.1,75.2,*,11.21,9.62,10.83,90.0,5.0,0.4,IC2531
UGC05373,12.09,109.46,1.01,0.68,87.2,,12.2,6.44,7.65,53.0,9.9,0.3,UGC05373
NGC3073,13.01,16.88,4.73,0.82,-26.3,,13.18,8.78,9.99,33.3,-2.7,0.6,NGC3073
NGC3079,9.54,48.56,3.16,0.19,-12.0,,9.66,9.57,10.78,90.0,6.4,1.1,NGC3079
NGC3077,9.31,83.83,2.98,0.78,54.0,*,9.45,8.39,9.61,39.1,6.1,5.5,NGC3077
UGC05423,14.74,24.14,0.81,0.64,-36.8,,14.76,6.99,8.21,54.7,9.9,0.5,UGC05423
UGC05454,15.67,13.67,1.21,0.8,36.6,,15.88,7.92,9.14,37.3,8.1,0.6,UGC05454
PGC029653,12.71,114.03,0.43,0.77,54.5,,12.76,6.13,7.35,40.9,9.9,0.5,PGC029653
NGC3147,9.71,35.5,3.0,0.88,-33.0,*,9.81,10.47,11.68,34.7,3.9,0.5,NGC3147
NGC3185,11.51,31.5,2.45,0.54,-56.3,,11.64,9.11,10.33,50.3,1.2,0.9,NGC3185
NGC3155,13.36,11.71,1.26,0.57,35.9,*,13.39,9.02,10.23,58.7,3.5,1.5,NGC3155
NGC3187,13.29,27.58,0.58,0.3,-61.8,*,13.14,8.84,10.05,68.9,5.0,0.7,NGC3187
NGC3190,9.96,26.3,3.29,0.32,-62.3,*,10.02,9.77,10.98,73.7,0.9,0.6,NGC3190
NGC3184,9.55,102.08,1.27,0.93,19.0,*,9.66,9.27,10.48,16.4,5.9,0.4,NGC3184
NGC3193,10.22,29.07,5.91,0.83,1.3,,10.25,9.96,11.17,34.9,-4.8,0.4,NGC3193
NGC3182,11.77,19.02,4.06,0.83,-36.8,,11.89,9.32,10.53,34.4,0.3,1.4,NGC3182
NGC3198,10.33,76.97,1.49,0.37,37.9,*,10.43,9.12,10.33,71.8,5.2,0.6,NGC3198
UGC05570,15.04,11.47,1.1,0.19,-19.7,,15.13,8.24,9.45,82.1,4.1,0.3,UGC05570
HS98117,15.09,151.37,19.98,0.58,30.4,,,,,55.4,10.0,1.4,[LSK86] 117
NGC3226,10.83,28.57,4.92,0.78,21.1,,11.0,9.34,10.55,40.0,-4.8,0.5,NGC3226
NGC3227,9.24,269.47,15.38,0.52,-26.6,,10.0,9.61,10.83,59.8,1.5,0.9,NGC3227
UGC05612,12.66,49.66,1.46,0.81,-51.8,*,12.83,8.43,9.64,43.7,8.0,0.5,UGC05612
IC0610,12.18,21.37,0.92,0.1,29.0,*,12.22,9.05,10.26,90.0,3.7,0.8,IC0610
NGC3245A,13.99,25.4,1.49,0.14,-31.8,,14.06,8.22,9.44,90.0,3.3,0.8,NGC3245A
NGC3256,10.21,9.58,2.64,0.76,51.6,*,10.24,10.05,11.27,41.0,4.0,1.8,NGC3256
IC2574,11.09,221.02,0.95,0.41,45.1,,12.0,7.4,8.62,79.6,8.9,0.3,IC2574
NGC3254,11.29,43.85,4.25,0.32,45.6,*,11.61,9.48,10.69,75.1,4.0,0.2,NGC3254
UGC05692,12.59,58.96,1.29,0.58,-6.4,,12.73,7.1,8.31,55.8,8.8,0.5,UGC05692
UGC05686,15.82,14.08,1.0,0.8,-41.0,,15.97,7.88,9.1,37.9,9.7,0.6,UGC05686
UGC05689,13.85,14.22,0.89,0.17,-27.8,*,13.9,8.78,9.99,90.0,6.4,0.8,UGC05689
NGC3283,10.23,25.68,4.81,0.66,-15.4,*,10.39,10.0,11.21,49.9,-1.9,0.6,NGC3283
UGC05720,12.85,5.25,5.07,0.69,-41.8,*,12.92,8.63,9.84,44.0,9.8,1.3,UGC05720
NGC3277,11.13,22.05,5.2,0.82,24.4,,11.27,9.29,10.5,41.3,1.8,0.8,NGC3277
NGC3252,12.5,26.29,1.28,0.22,36.1,*,12.58,8.58,9.79,77.4,7.4,0.8,NGC3252
NGC3287,12.15,33.63,0.84,0.35,15.7,*,12.18,8.42,9.64,65.6,7.6,1.5,NGC3287
NGC3294,10.77,38.39,0.78,0.46,-63.9,*,10.79,9.64,10.85,57.3,5.1,0.6,NGC3294
NGC3301,10.91,20.17,4.37,0.38,54.9,,11.08,9.37,10.58,74.6,-0.4,1.0,NGC3301
NGC3338,10.65,53.64,1.73,0.55,-86.0,*,10.73,9.45,10.66,61.7,5.0,0.6,NGC3338
NGC3346,11.57,40.91,0.71,0.89,-73.9,*,11.62,9.06,10.27,32.9,5.9,0.3,NGC3346
NGC3351,8.91,92.07,5.8,0.86,-59.9,*,9.22,9.31,10.52,45.6,3.1,0.4,NGC3351
UGC05846,15.66,24.52,0.59,0.82,73.2,,15.71,7.29,8.5,38.0,9.9,0.4,UGC05846
NGC3353,12.81,10.04,2.69,0.64,47.2,*,12.85,8.42,9.63,43.2,4.1,2.5,NGC3353
NGC3370,11.77,19.17,1.53,0.55,-32.8,*,11.82,9.22,10.43,55.8,5.1,1.1,NGC3370
NGC3348,10.2,24.94,4.45,0.87,66.4,,10.28,9.91,11.12,30.4,-4.8,0.4,NGC3348
NGC3380,12.29,17.64,2.0,0.53,20.3,*,12.35,7.75,8.96,21.1,1.0,0.5,NGC3380
NGC3381,12.48,24.74,1.44,0.74,60.0,*,12.54,8.9,10.12,33.1,3.6,1.2,NGC3381
