Name,F100,re100,n100,q100,PA100,F160,re160,n160,q160,PA160,F250,re250,n250,q250,PA250,F350,re350,n350,q350,PA350,F500,re500,n500,q500,PA500,chi2nu
NGC3184,30.59144559,87.76,0.44,0.98,-65.5,51.06490482,93.12,0.43,0.98,-65.5,30.78506031,100.24,0.43,0.98,-65.5,14.94385123,106.86,0.41,0.98,-65.5,5.90853779,114.26,0.4,0.98,-65.5,3.845
NGC3198,18.46715524,79.54,0.54,0.36,40.4,27.17205761,85.29,0.51,0.36,40.4,17.31171161,93.85,0.54,0.36,40.4,9.44631743,103.27,0.5,0.36,40.4,4.14457514,117.22,0.56,0.36,40.4,4.354
UGC05612,1.9842665,34.3,1.13,0.93,-11.8,3.16025791,37.22,1.04,0.93,-11.8,1.91399152,40.8,1.08,0.93,-11.8,1.17290418,43.63,0.87,0.93,-11.8,0.5344167,45.65,0.87,0.93,-11.8,1.067
IC0610,4.91134,14.03,1.46,0.29,28.1,5.57342969,16.14,1.06,0.29,28.1,2.74372139,18.77,0.83,0.29,28.1,1.12424907,20.92,0.6,0.29,28.1,0.39145335,22.66,1.11,0.29,28.1,1.716
NGC3256,126.82357756,6.41,2.26,0.86,60.0,95.87878608,7.12,3.37,0.86,60.0,29.86345207,8.38,4.61,0.86,60.0,12.44120756,10.08,5.46,0.86,60.0,3.9326022,13.18,5.59,0.86,60.0,3.555
NGC3254,3.09029543,64.37,0.41,0.27,45.5,5.44656294,66.91,0.37,0.27,45.5,3.80136882,70.78,0.3,0.27,45.5,2.11282018,75.19,0.24,0.27,45.5,0.92189194,82.0,0.18,0.27,45.5,1.332
UGC05689,1.76197605,15.66,0.94,0.41,-21.9,2.20456306,16.8,0.94,0.41,-21.9,1.23009884,18.65,1.13,0.41,-21.9,0.60766264,20.9,0.73,0.41,-21.9,0.25815469,24.65,0.35,0.41,-21.9,0.926
NGC3283,4.6816614,5.85,1.65,0.35,-10.4,5.77194955,7.36,1.34,0.35,-10.4,3.29351775,0.07,20.0,0.35,-10.4,1.17929521,6.37,2.9,0.35,-10.4,0.35487877,0.03,3.97,0.35,-10.4,2.517
UGC05720,5.33580562,4.25,4.72,0.72,-33.0,4.07495228,7.02,4.02,0.72,-33.0,1.47890409,10.88,3.41,0.72,-33.0,0.64574721,14.75,1.9,0.72,-33.0,0.22839154,19.71,0.36,0.72,-33.0,1.245
NGC3252,3.06196343,20.19,0.85,0.29,35.0,3.79247326,22.27,0.82,0.29,35.0,2.24874395,25.16,0.72,0.29,35.0,1.20243756,28.05,0.71,0.29,35.0,0.47193264,31.76,0.62,0.29,35.0,1.464
NGC3287,5.25291048,25.87,0.16,0.4,15.0,6.4346144,27.41,0.16,0.4,15.0,3.47968562,29.47,0.21,0.4,15.0,1.64309448,31.45,0.23,0.4,15.0,0.67279076,33.77,0.37,0.4,15.0,1.75
NGC3294,19.2663746,34.0,0.32,0.47,-64.5,24.26177254,36.04,0.37,0.47,-64.5,12.25575325,38.85,0.31,0.47,-64.5,5.39588314,41.66,0.47,0.47,-64.5,1.87361354,45.23,0.47,0.47,-64.5,4.175
NGC3338,13.71513226,52.68,0.91,0.51,-86.4,21.56366254,58.34,0.88,0.51,-86.4,12.92825795,66.77,1.02,0.51,-86.4,6.45152724,76.06,0.85,0.51,-86.4,2.68089631,89.84,0.92,0.51,-86.4,2.027
NGC3346,6.51628394,41.74,0.48,0.89,89.8,10.79748295,42.94,0.4,0.89,89.8,5.52509829,44.81,0.37,0.89,89.8,2.68944418,47.02,0.28,0.89,89.8,1.04876942,50.54,0.34,0.89,89.8,1.633
NGC3351,88.13735232,338.46,20.0,0.83,-13.1,243.73759793,3321.52,20.0,0.83,-13.1,25.36880491,90.55,0.54,0.83,-13.1,12.56557988,101.43,0.62,0.83,-13.1,6.18585901,121.7,2.09,0.83,-13.1,4.623
NGC3353,6.25172693,6.07,2.37,0.66,48.3,4.8364035,10.22,1.92,0.66,48.3,2.10833689,15.26,1.79,0.66,48.3,0.95249463,19.2,1.04,0.66,48.3,0.35113977,21.81,0.95,0.66,48.3,1.748
NGC3370,10.46164551,20.27,0.87,0.59,-32.5,12.52340792,23.61,0.93,0.59,-32.5,6.44376967,28.43,1.12,0.59,-32.5,3.03153464,33.5,1.06,0.59,-32.5,1.24474393,40.54,1.11,0.59,-32.5,1.477
NGC3380,1.70294256,14.81,0.22,0.53,17.2,2.01614855,16.82,0.24,0.53,17.2,1.06939958,19.96,0.24,0.53,17.2,0.5058975,23.66,0.41,0.53,17.2,0.20791222,29.61,0.64,0.53,17.2,1.058
NGC3381,4.05882195,18.33,1.19,0.85,50.7,4.57217165,21.5,0.96,0.85,50.7,2.70607612,25.57,0.89,0.85,50.7,1.32209461,29.14,0.63,0.85,50.7,0.5344167,32.64,0.82,0.85,50.7,1.545
NGC3364,3.33887377,20.01,0.78,0.83,54.2,3.78200873,20.95,0.62,0.83,54.2,2.13176834,22.53,0.59,0.83,54.2,0.9728873,24.55,0.46,0.83,54.2,0.37521485,28.09,0.74,0.83,54.2,0.835
UGC05958,1.00092146,31.3,3.4,0.23,-3.0,1.50911566,33.73,3.29,0.23,-3.0,0.66917546,20.82,1.22,0.23,-3.0,0.47553505,31.8,2.22,0.23,-3.0,0.25409728,39.56,2.84,0.23,-3.0,1.32
NGC3424,16.82674061,13.03,2.77,0.33,-67.8,19.04243697,16.5,2.31,0.33,-67.8,8.55736406,21.21,1.67,0.33,-67.8,3.66152948,25.76,1.52,0.33,-67.8,1.33131252,31.22,1.6,0.33,-67.8,2.611
NGC3430,12.07813835,35.12,1.04,0.51,34.0,15.92657998,37.61,0.95,0.51,34.0,8.19483113,41.41,1.0,0.51,34.0,3.81999272,45.69,0.79,0.51,34.0,1.4732621,52.26,0.77,0.51,34.0,2.004
NGC3437,19.498446,18.09,0.83,0.42,-60.5,19.99505149,19.83,0.85,0.42,-60.5,8.30883259,22.69,1.06,0.42,-60.5,3.54864484,26.19,0.91,0.42,-60.5,1.30100815,32.11,0.97,0.42,-60.5,2.255
UGC05990,0.69630578,8.93,0.27,0.5,16.5,0.80412308,9.84,0.46,0.5,16.5,0.53056672,12.76,0.82,0.5,16.5,0.32364026,18.17,1.16,0.5,16.5,0.19314346,30.59,1.82,0.5,16.5,1.05
NGC3440,1.45117571,24.0,2.73,0.24,51.8,1.61095173,25.9,2.73,0.24,51.8,0.83095979,21.62,1.74,0.24,51.8,0.47715836,25.23,1.52,0.24,51.8,0.22306941,29.16,1.01,0.24,51.8,3.979
NGC3403,4.55407313,25.61,1.27,0.41,72.9,6.79395282,32.74,1.46,0.41,72.9,4.34050248,42.02,2.06,0.41,72.9,2.31879596,50.35,1.67,0.41,72.9,1.02773233,58.94,1.42,0.41,72.9,1.103
UGC06023,3.82296217,18.27,0.46,0.52,51.1,4.7788404,20.32,0.46,0.52,51.1,2.45211034,22.98,0.41,0.52,51.1,1.13569715,25.34,0.4,0.52,51.1,0.41407596,27.69,0.3,0.52,51.1,1.458
NGC3454,2.43938304,28.4,0.11,0.17,-63.1,3.14805656,29.38,0.11,0.17,-63.1,1.98472348,30.31,0.2,0.17,-63.1,1.02240399,32.14,0.19,0.17,-63.1,0.43247401,32.84,0.19,0.17,-63.1,1.227
NGC3455,3.28397619,19.3,0.55,0.63,63.9,3.6620353,20.84,0.58,0.63,63.9,2.12197376,24.02,0.56,0.63,63.9,1.17614952,28.74,0.87,0.63,63.9,0.58382141,38.22,1.28,0.63,63.9,1.247
NGC3445,4.42180921,22.58,0.52,0.85,-79.7,4.50114006,23.25,0.47,0.85,-79.7,2.24874395,24.36,0.49,0.85,-79.7,1.07463885,25.73,0.4,0.85,-79.7,0.43840956,28.07,0.47,0.85,-79.7,4.061
NGC3448,13.11595748,18.75,2.5,0.26,65.0,11.00835755,20.96,1.32,0.26,65.0,5.1387798,25.04,0.99,0.26,65.0,2.41692145,26.89,0.88,0.26,65.0,0.95034221,29.93,0.75,0.26,65.0,2.044
NGC3485,4.64301407,28.81,0.28,0.79,-85.7,5.84147506,30.67,0.3,0.79,-85.7,3.42878306,33.96,0.26,0.79,-85.7,1.70790038,38.32,0.43,0.79,-85.7,0.74110547,46.28,0.6,0.79,-85.7,2.075
NGC3488,1.90546072,20.93,0.54,0.63,-8.3,2.74487472,22.64,0.54,0.63,-8.3,1.64263098,25.12,0.39,0.63,-8.3,0.81444645,27.76,0.53,0.63,-8.3,0.32619704,31.48,0.51,0.63,-8.3,1.215
NGC3501,5.24324317,31.71,0.67,0.17,27.5,7.87993303,35.93,0.67,0.17,27.5,4.82103194,41.46,0.61,0.17,27.5,2.37937303,46.51,0.71,0.17,27.5,0.99513045,51.89,0.78,0.17,27.5,1.488
NGC3504,28.49705627,11.29,3.66,0.54,-27.5,28.50509723,15.12,3.2,0.54,-27.5,11.74735272,20.25,3.04,0.54,-27.5,5.21029767,25.1,2.14,0.54,-27.5,1.76148933,30.68,1.7,0.54,-27.5,4.803
NGC3512,4.49241636,16.12,0.56,0.78,-39.3,5.68175531,19.8,0.83,0.78,-39.3,2.81228939,19.81,0.73,0.78,-39.3,1.29676875,21.82,0.82,0.78,-39.3,0.49000444,23.61,1.05,0.78,-39.3,1.382
NGC3521,140.34598729,67.91,0.53,0.4,-16.3,195.21919913,77.73,0.63,0.4,-16.3,97.62027094,90.79,0.75,0.4,-16.3,43.13825124,102.96,0.87,0.4,-16.3,16.18378191,116.59,0.96,0.4,-16.3,7.661
NGC3526,1.52475477,18.86,0.59,0.3,56.6,2.01243808,22.39,0.57,0.3,56.6,1.33887493,26.86,0.74,0.3,56.6,0.74690013,30.68,0.67,0.3,56.6,0.3384387,34.14,0.92,0.3,56.6,1.08
