Name,F100,re100,n100,q100,PA100,F160,re160,n160,q160,PA160,F250,re250,n250,q250,PA250,F350,re350,n350,q350,PA350,F500,re500,n500,q500,PA500,chi2nu
IC0797,2.41657345,13.49,0.54,0.78,-73.9,2.63828997,15.44,0.64,0.78,-73.9,1.60228589,17.96,0.57,0.78,-73.9,0.79298055,20.17,0.74,0.78,-73.9,0.29531127,22.35,0.58,0.78,-73.9,1.159
NGC4501,71.90515056,62.33,0.45,0.45,-39.1,98.66486518,65.8,0.47,0.45,-39.1,53.50323091,70.41,0.51,0.45,-39.1,23.03469867,73.19,0.52,0.45,-39.1,8.08872401,75.78,0.54,0.45,-39.1,5.948
IC3476,3.22403687,20.51,0.58,0.62,35.9,3.73355477,22.39,0.84,0.62,35.9,2.13569882,25.4,1.01,0.62,35.9,1.10169794,28.99,1.36,0.62,35.9,0.46933184,34.87,1.47,0.62,35.9,1.593
NGC4437,25.02649326,112.58,0.48,0.12,82.4,41.81407817,118.9,0.43,0.12,82.4,30.11202821,128.63,0.29,0.12,82.4,16.11619581,139.8,0.4,0.12,82.4,6.80267961,157.27,0.47,0.12,82.4,9.301
NGC4519,9.89919775,40.01,2.03,0.85,-42.6,10.26413905,41.93,1.6,0.85,-42.6,5.2861564,44.52,0.92,0.85,-42.6,2.60412925,46.97,0.71,0.85,-42.6,1.10123503,49.81,0.49,0.85,-42.6,2.452
NGC4522,5.00725836,17.63,1.02,0.41,34.4,6.03284999,19.46,0.89,0.41,34.4,3.25641697,22.5,0.58,0.41,34.4,1.50960225,26.28,0.71,0.41,34.4,0.63252838,32.73,0.83,0.41,34.4,1.567
NGC4525,1.23140241,28.24,0.33,0.53,51.0,2.13659657,31.66,0.33,0.53,51.0,1.78788676,36.44,0.42,0.53,51.0,1.03767782,41.26,0.44,0.53,51.0,0.5052194,47.5,0.66,0.53,51.0,1.192
NGC4526,20.89681029,6.84,0.05,0.39,-11.5,17.70934615,6.91,0.35,0.39,-11.5,7.13477051,2.45,4.54,0.39,-11.5,3.10758156,4.01,2.93,0.39,-11.5,1.03600062,5.77,2.51,0.39,-11.5,1.15
NGC4527,47.16284553,59.15,0.81,0.28,67.7,68.5050404,64.31,0.7,0.28,67.7,37.42312142,70.88,0.77,0.28,67.7,16.95362355,76.54,0.67,0.28,67.7,6.97396908,81.8,1.0,0.28,67.7,7.806
NGC4531,1.60191696,15.41,0.16,0.64,-29.9,2.68214669,16.53,0.18,0.64,-29.9,1.52440375,16.63,0.23,0.64,-29.9,0.67692809,17.31,0.32,0.64,-29.9,0.24360153,17.32,0.81,0.64,-29.9,0.8
NGC4532,17.12379421,23.83,1.01,0.42,-21.4,14.75443307,27.04,0.86,0.42,-21.4,6.93010809,31.24,0.77,0.42,-21.4,3.2126435,35.05,0.62,0.42,-21.4,1.28908044,39.06,0.71,0.42,-21.4,2.916
NGC4535,26.82131088,80.53,0.45,0.77,7.7,46.18304104,90.31,0.41,0.77,7.7,28.67213341,98.01,0.39,0.77,7.7,15.08073593,103.26,0.52,0.77,7.7,6.38322301,116.47,0.71,0.77,7.7,4.03
NGC4536,63.656096,4.81,19.96,0.49,-65.0,69.97816126,48.05,14.49,0.49,-65.0,20.56932351,80.19,1.43,0.49,-65.0,11.48530507,101.33,1.67,0.49,-65.0,6.94896329,176.07,4.91,0.49,-65.0,6.729
NGC4559,28.86689018,77.64,1.02,0.42,-37.5,39.56603463,86.65,0.96,0.42,-37.5,24.43093052,98.53,0.66,0.42,-37.5,13.25752746,109.43,0.81,0.42,-37.5,5.91943175,121.27,0.77,0.42,-37.5,6.781
NGC4561,2.30780973,20.8,0.51,0.79,-2.1,2.16831576,22.63,0.47,0.79,-2.1,1.51474668,24.8,0.55,0.79,-2.1,0.79444262,26.39,0.39,0.79,-2.1,0.32860943,27.16,0.33,0.79,-2.1,1.52
NGC4569,30.39484969,50.75,1.09,0.33,17.8,42.74866206,53.35,0.67,0.33,17.8,18.94698052,56.47,0.19,0.33,17.8,6.81808695,58.83,0.01,0.33,17.8,3.03026087,60.19,0.2,0.33,17.8,18.997
NGC4579,23.68099794,63.47,0.23,0.76,81.0,33.33669386,66.63,0.21,0.76,81.0,18.80788708,70.55,0.2,0.76,81.0,8.5755609,73.75,0.19,0.76,81.0,3.1468788,76.29,0.25,0.76,81.0,7.982
NGC4580,5.39510623,17.85,0.11,0.68,-28.2,7.08798071,18.03,0.12,0.68,-28.2,3.78390312,18.95,0.16,0.68,-28.2,1.71894719,20.86,0.31,0.68,-28.2,0.66051094,25.5,0.63,0.68,-28.2,1.269
NGC4586,2.03798039,18.2,4.7,0.21,-64.4,3.12552176,31.07,3.52,0.21,-64.4,2.13766678,45.01,2.29,0.21,-64.4,1.03576811,52.96,1.17,0.21,-64.4,0.31906562,49.99,0.79,0.21,-64.4,1.586
NGC4591,1.96969961,12.4,1.17,0.56,40.0,2.58298882,14.83,1.23,0.56,40.0,1.42147756,19.28,1.33,0.56,40.0,0.75729055,25.34,1.45,0.56,40.0,0.35964996,36.65,1.62,0.56,40.0,1.106
NGC4592,5.53095341,43.07,0.79,0.33,-85.3,6.13935189,45.68,0.82,0.33,-85.3,3.85425113,50.97,0.77,0.33,-85.3,2.33379409,58.79,0.96,0.33,-85.3,1.23902485,74.35,1.14,0.33,-85.3,1.367
NGC4595,3.09029543,19.95,0.55,0.57,-59.5,4.04503726,23.08,0.58,0.57,-59.5,2.31600775,26.87,0.73,0.57,-59.5,1.08858548,29.81,0.55,0.57,-59.5,0.39073293,31.72,0.4,0.57,-59.5,1.076
NGC4607,8.29468695,17.27,1.01,0.26,2.2,9.87466854,19.91,0.78,0.26,2.2,4.86116104,23.24,0.67,0.26,2.2,2.07425686,26.08,0.48,0.26,2.2,0.74589899,28.62,0.72,0.26,2.2,2.615
NGC4625,4.47919531,19.75,0.64,0.88,-34.3,4.91725269,20.5,0.51,0.88,-34.3,2.38968143,23.07,0.48,0.88,-34.3,1.27310005,27.97,0.67,0.88,-34.3,0.61699269,39.37,1.42,0.88,-34.3,1.321
NGC4630,10.14845663,31.85,3.5,0.75,1.5,8.97268718,27.99,2.44,0.75,1.5,3.86491555,25.45,1.05,0.75,1.5,1.64612396,27.2,0.95,0.75,1.5,0.74110547,38.82,1.82,0.75,1.5,1.764
NGC4633,1.7980427,31.77,1.21,0.4,32.6,2.44637217,32.7,0.95,0.4,32.6,1.54290792,34.15,0.62,0.4,32.6,0.84578998,35.83,0.44,0.4,32.6,0.3659991,38.5,0.39,0.4,32.6,1.097
NGC4639,6.05898671,32.41,0.41,0.67,-29.6,6.47623392,34.37,0.38,0.67,-29.6,3.74921209,37.44,0.29,0.67,-29.6,1.89872704,41.06,0.39,0.67,-29.6,0.81335477,46.88,0.49,0.67,-29.6,1.908
NGC4651,16.90440932,32.46,0.63,0.59,81.8,23.04212492,40.54,0.84,0.59,81.8,12.10988471,50.51,0.79,0.59,81.8,5.87844603,58.58,1.19,0.59,81.8,2.32637658,64.74,1.07,0.59,81.8,2.191
NGC4654,40.10513661,46.58,1.09,0.53,-60.5,50.45712797,50.69,1.06,0.53,-60.5,27.11065489,56.42,1.15,0.53,-60.5,11.79403835,62.16,0.98,0.53,-60.5,4.45738367,69.53,0.91,0.53,-60.5,5.042
NGC4666,98.71883011,39.8,0.99,0.24,40.5,106.00406672,44.6,0.9,0.24,40.5,49.60666246,50.69,0.87,0.24,40.5,19.99228966,55.86,0.76,0.24,40.5,6.77766372,60.48,0.78,0.24,40.5,7.688
NGC4668,1.49968484,21.38,0.18,0.49,11.0,1.66771766,23.5,0.24,0.49,11.0,1.21545815,27.2,0.3,0.49,11.0,0.70155631,32.02,0.54,0.49,11.0,0.34600312,40.66,0.89,0.49,11.0,1.215
NGC4684,3.87971657,19.79,45.21,0.58,25.1,2.23935283,18.44,33.55,0.58,25.1,0.73306082,18.65,14.77,0.58,25.1,0.30680507,22.01,10.48,0.58,25.1,0.12702231,33.23,7.15,0.58,25.1,1.26
NGC4689,13.19471457,33.99,0.94,0.84,-31.0,19.43222484,37.42,0.85,0.84,-31.0,10.99360196,41.75,0.59,0.84,-31.0,4.96206599,45.41,0.69,0.84,-31.0,1.7453399,48.64,0.72,0.84,-31.0,1.854
NGC4688,2.20191221,47.17,0.96,0.79,-18.5,3.09972044,54.5,0.94,0.79,-18.5,2.35039042,62.67,0.67,0.79,-18.5,1.52637954,67.79,0.8,0.79,-18.5,0.68277878,67.66,0.62,0.79,-18.5,1.108
NGC4698,3.27491476,64.3,0.33,0.34,-12.5,5.47674508,76.19,0.36,0.34,-12.5,4.58711902,93.16,0.45,0.34,-12.5,2.50993535,110.78,0.51,0.34,-12.5,1.08512562,134.79,0.7,0.34,-12.5,1.051
NGC4701,7.21107479,14.75,1.33,0.77,42.5,7.3947335,17.29,1.52,0.77,42.5,3.583769,22.58,2.29,0.77,42.5,1.86922911,30.53,1.96,0.77,42.5,0.93989647,46.54,2.13,0.77,42.5,1.395
NGC4710,12.22362449,9.13,2.35,0.35,26.5,13.87147127,10.46,2.09,0.35,26.5,6.55752581,13.25,1.56,0.35,26.5,2.87383967,17.44,2.07,0.35,26.5,1.11758359,25.88,2.94,0.35,26.5,2.875
UGC07982,1.45599539,37.92,0.57,0.09,1.0,2.65193287,39.87,0.46,0.09,1.0,2.0546602,45.83,0.32,0.09,1.0,1.11342902,50.23,0.27,0.09,1.0,0.48860737,52.26,0.32,0.09,1.0,1.028
NGC4713,10.52931213,29.64,0.58,0.75,-87.0,12.23834035,32.38,0.57,0.75,-87.0,6.59386435,35.73,0.47,0.75,-87.0,3.14240774,38.4,0.55,0.75,-87.0,1.21529026,40.34,0.56,0.75,-87.0,2.62
NGC4725,24.47935666,138.73,0.11,0.53,38.9,40.00576014,140.28,0.1,0.53,38.9,26.08194704,146.28,0.1,0.53,38.9,14.01078715,158.12,0.14,0.53,38.9,6.58688403,186.06,0.24,0.53,38.9,7.087
NGC4720,2.2202404,11.04,0.59,0.54,-62.7,2.03293048,12.94,0.62,0.54,-62.7,1.02976946,15.44,0.61,0.54,-62.7,0.47649959,17.76,0.62,0.54,-62.7,0.1730932,20.29,0.5,0.54,-62.7,1.701
NGC4736,133.90598855,37.02,0.85,0.89,-68.0,123.17498747,45.31,1.03,0.89,-68.0,50.57547947,54.81,0.88,0.89,-68.0,21.089318,61.24,1.2,0.89,-68.0,7.22237472,62.72,0.93,0.89,-68.0,11.063
NGC4731,8.74983775,71.53,2.16,0.4,-74.9,13.11361795,89.14,2.03,0.4,-74.9,7.9275686,108.92,1.47,0.4,-74.9,4.56733151,121.54,1.57,0.4,-74.9,1.92965655,122.03,1.11,0.4,-74.9,3.132
NGC4747,3.00330888,26.32,1.23,0.38,30.5,3.64520978,28.35,0.97,0.38,30.5,2.33313575,30.95,0.77,0.38,30.5,1.24412076,33.19,0.58,0.38,30.5,0.54335043,35.31,0.73,0.38,30.5,1.135
NGC4746,13.30454418,21.29,0.57,0.28,-60.8,13.98693404,23.22,0.54,0.28,-60.8,6.16509834,25.98,0.49,0.28,-60.8,2.66970045,28.85,0.52,0.28,-60.8,0.96533937,32.75,0.58,0.28,-60.8,2.166
NGC4753,8.81454704,13.21,2.02,0.35,90.0,11.73066214,21.09,2.85,0.35,90.0,6.05257262,33.86,3.26,0.35,90.0,2.86063558,49.35,4.34,0.35,90.0,1.18762688,75.18,4.25,0.35,90.0,2.043
NGC4758,2.78740452,27.9,0.65,0.23,-19.3,3.87010303,31.33,0.59,0.23,-19.3,2.60339465,35.77,0.66,0.23,-19.3,1.42581289,39.71,0.51,0.23,-19.3,0.6198406,43.68,0.55,0.23,-19.3,1.28
NGC4765,4.24228655,11.5,1.1,0.64,76.2,4.0937614,14.64,1.1,0.64,76.2,1.86354553,18.17,1.25,0.64,76.2,0.83803573,20.43,1.01,0.64,76.2,0.28832348,20.53,0.82,0.64,76.2,1.617
NGC4771,4.4833227,37.78,0.5,0.26,-46.0,7.15356499,41.61,0.53,0.26,-46.0,4.57446184,47.15,0.66,0.26,-46.0,2.30389422,52.99,0.59,0.26,-46.0,0.9278548,61.13,0.59,0.26,-46.0,1.098
NGC4772,1.46244654,54.0,0.1,0.35,-34.9,3.32232816,57.39,0.09,0.35,-34.9,2.32498421,69.98,0.04,0.35,-34.9,1.21826715,63.49,0.05,0.35,-34.9,0.57079481,68.38,0.32,0.35,-34.9,1.098
NGC4775,9.39290652,30.31,0.59,0.93,57.2,9.34377833,32.74,0.48,0.93,57.2,5.07621501,35.65,0.29,0.93,57.2,2.43031482,37.81,0.32,0.93,57.2,0.97337462,38.97,0.4,0.93,57.2,2.499
NGC4779,4.25794454,17.15,2.35,0.75,11.5,4.8901539,22.73,1.75,0.75,11.5,2.8996128,29.72,1.0,0.75,11.5,1.46306134,35.55,0.69,0.75,11.5,0.5774043,40.46,0.8,0.75,11.5,1.769
NGC4793,26.74237657,18.34,0.56,0.51,50.8,27.60085444,19.99,0.91,0.51,50.8,11.74735272,22.64,1.66,0.51,50.8,4.94837422,25.86,1.64,0.51,50.8,1.83096489,31.2,1.83,0.51,50.8,1.385
NGC4799,3.57437406,11.25,0.34,0.4,89.2,3.98219504,12.11,0.79,0.4,89.2,1.96761447,15.49,1.73,0.4,89.2,0.99280175,22.21,2.2,0.4,89.2,0.46976431,38.13,3.29,0.4,89.2,1.29
NGC4808,16.85776518,27.27,0.63,0.41,-51.4,18.93749481,30.8,0.68,0.41,-51.4,8.62859348,35.42,0.56,0.41,-51.4,3.94150912,39.62,0.71,0.41,-51.4,1.51175014,44.04,0.62,0.41,-51.4,2.223
NGC4826,92.8111171,20.31,0.83,0.55,-67.5,90.14103219,21.18,0.78,0.55,-67.5,35.11882757,22.48,0.97,0.55,-67.5,13.40486781,23.92,0.86,0.55,-67.5,4.43690385,26.05,1.16,0.55,-67.5,4.165
NGC4845,22.12075776,3.66,11.41,0.29,74.2,25.9730246,10.2,10.09,0.29,74.2,11.81245069,18.06,7.22,0.29,74.2,5.62940553,24.04,6.88,0.29,74.2,1.84450577,27.57,5.45,0.29,74.2,4.565
NGC4904,7.11213514,19.31,1.51,0.76,-5.9,8.30467281,22.71,1.24,0.76,-5.9,4.39278562,27.01,0.68,0.76,-5.9,2.06282571,30.66,0.73,0.76,-5.9,0.78610402,33.92,0.7,0.76,-5.9,2.831
NGC4941,4.3800594,46.8,0.31,0.41,16.7,8.15084298,52.73,0.31,0.41,16.7,5.6929846,60.6,0.41,0.41,16.7,2.79474724,66.11,0.49,0.41,16.7,1.0771595,71.03,0.55,0.41,16.7,2.131
NGC4945,595.38789413,197.93,0.53,0.21,42.0,799.69158636,216.52,0.67,0.21,42.0,343.82702436,235.19,0.63,0.21,42.0,154.05029541,242.97,0.75,0.21,42.0,61.86998594,229.07,0.45,0.21,42.0,32.272
NGC4961,3.41350073,16.16,1.48,0.8,-67.6,4.05622957,17.64,1.4,0.8,-67.6,2.01901715,19.62,1.15,0.8,-67.6,1.08758331,21.48,1.06,0.8,-67.6,0.40877094,23.58,0.69,0.8,-67.6,0.856
NGC4981,12.95388389,33.95,0.69,0.75,-28.4,16.73873087,36.62,0.68,0.75,-28.4,8.25543588,40.48,0.58,0.75,-28.4,3.80594524,44.58,0.67,0.75,-28.4,1.48826414,50.33,0.71,0.75,-28.4,2.422
NGC5014,4.50816705,5.5,3.81,0.76,69.6,3.93479877,7.84,4.19,0.76,69.6,1.66241714,10.98,3.03,0.76,69.6,0.6951244,13.93,3.85,0.76,69.6,0.22923452,17.32,1.98,0.76,69.6,1.089
NGC5016,4.15336405,18.09,0.68,0.74,56.0,4.92178374,19.69,0.85,0.74,56.0,2.70856966,22.16,1.02,0.74,56.0,1.20576462,24.98,0.97,0.74,56.0,0.46204047,29.4,0.62,0.74,56.0,1.034
NGC5023,1.80135786,64.69,0.61,0.15,28.0,2.37313545,62.82,0.45,0.15,28.0,1.76986446,63.77,0.4,0.15,28.0,1.15468237,70.11,0.42,0.15,28.0,0.67217138,90.04,0.95,0.15,28.0,0.801
NGC5010,22.03941182,6.13,16.84,0.45,-60.3,19.55791376,7.72,10.78,0.45,-60.3,6.85393543,9.7,3.33,0.45,-60.3,2.45280225,11.34,1.89,0.45,-60.3,0.77674777,12.67,5.68,0.45,-60.3,2.921
NGC5055,179.80426952,83.83,1.72,0.47,-81.9,243.73759793,103.26,1.43,0.47,-81.9,136.12566321,126.18,0.98,0.47,-81.9,62.23898986,142.88,0.92,0.47,-81.9,22.81812828,150.62,1.0,0.47,-81.9,8.229
NGC5116,2.97303485,26.28,0.6,0.37,41.0,3.39564693,25.51,0.45,0.37,41.0,2.2219793,25.72,0.32,0.37,41.0,1.02061638,27.86,0.29,0.37,41.0,0.43800596,34.85,0.49,0.37,41.0,0.875
NGC5117,1.02423591,36.12,1.42,0.42,-26.5,1.61630206,33.87,1.12,0.42,-26.5,1.00725634,32.02,0.84,0.42,-26.5,0.53562709,32.09,0.54,0.42,-26.5,0.26808963,36.42,0.51,0.42,-26.5,0.734
NGC5145,13.24097605,5.63,0.88,0.66,44.3,12.58237217,5.97,2.14,0.66,44.3,6.19412562,8.65,7.33,0.66,44.3,2.89642665,14.06,9.33,0.66,44.3,1.04154975,22.13,8.27,0.66,44.3,1.327
NGC5147,6.24022142,26.47,0.2,0.82,-56.2,7.28655969,28.11,0.2,0.82,-56.2,4.14896727,30.14,0.25,0.82,-56.2,2.01401423,31.79,0.23,0.82,-56.2,0.79924516,33.07,0.24,0.82,-56.2,2.682
NGC5240,0.85901352,21.48,0.39,0.63,53.1,1.95579138,24.45,0.37,0.63,53.1,1.24262478,28.8,0.32,0.63,53.1,0.69384512,33.49,0.44,0.63,53.1,0.32083373,40.27,0.63,0.63,53.1,1.321
IC0902,3.10742031,13.22,1.55,0.31,-18.9,3.72668364,16.7,1.35,0.31,-18.9,2.20363676,21.25,0.8,0.31,-18.9,1.1108682,25.37,0.9,0.31,-18.9,0.43399029,29.71,0.74,0.31,-18.9,1.41
NGC5248,57.80960474,43.36,2.63,0.61,-51.0,72.53080987,48.43,2.05,0.61,-51.0,35.31343862,54.94,1.72,0.61,-51.0,15.17967717,60.63,1.11,0.61,-51.0,5.78468903,66.12,1.32,0.61,-51.0,5.6
UGC08630,1.03848446,14.95,1.02,0.32,-89.0,1.40127227,18.3,1.32,0.32,-89.0,0.88214506,22.27,1.58,0.32,-89.0,0.5003369,25.18,1.63,0.32,-89.0,0.19800676,26.6,1.19,0.32,-89.0,1.103
UGC08693,0.9585174,22.42,0.36,0.34,-8.9,1.36559691,23.09,0.42,0.34,-8.9,0.84867226,24.78,0.39,0.34,-8.9,0.4529628,27.59,0.54,0.34,-8.9,0.1974604,33.69,0.53,0.34,-8.9,0.71
NGC5301,9.26403101,42.51,0.84,0.22,-29.1,12.94561022,45.77,0.74,0.22,-29.1,7.48755471,50.41,0.62,0.22,-29.1,3.60796682,55.23,0.55,0.22,-29.1,1.42784156,61.78,0.53,0.22,-29.1,1.856
NGC5300,5.33580562,45.89,0.5,0.7,-30.7,7.40154743,49.52,0.45,0.7,-30.7,5.06687288,54.25,0.5,0.7,-30.7,2.69937074,58.51,0.35,0.7,-30.7,1.1541972,62.89,0.33,0.7,-30.7,1.78
NGC5334,4.7599238,45.62,0.51,0.76,23.0,7.57395162,50.66,0.52,0.76,23.0,5.33506861,57.26,0.57,0.76,23.0,3.0567684,63.19,0.53,0.76,23.0,1.41997277,69.37,0.51,0.76,23.0,1.281
NGC5347,2.42772785,10.4,2.07,0.68,-61.6,3.67555162,23.7,1.55,0.68,-61.6,2.62023358,38.02,0.94,0.68,-61.6,1.38312852,46.03,0.66,0.68,-61.6,0.4856015,42.44,0.73,0.68,-61.6,3.399
NGC5348,1.4723125,40.78,1.73,0.2,-3.1,2.13659657,43.33,1.46,0.2,-3.1,1.60671929,47.14,0.97,0.2,-3.1,0.95249463,51.34,0.95,0.2,-3.1,0.4343902,57.61,0.97,0.2,-3.1,1.274
NGC5356,3.53085595,35.54,0.66,0.14,14.8,5.54373583,36.16,0.34,0.14,14.8,3.76339678,39.74,0.27,0.14,14.8,1.81661349,40.59,0.27,0.14,14.8,0.68922341,41.37,0.23,0.14,14.8,1.614
NGC5364,17.66851298,71.87,0.68,0.71,37.4,27.02231341,78.5,0.72,0.71,37.4,17.02707342,86.93,0.74,0.71,37.4,8.91379281,94.16,0.78,0.71,37.4,3.53085609,100.77,0.76,0.71,37.4,4.031
NGC5398,6.35799233,147.77,19.99,0.65,18.0,4.07082588,42.28,5.0,0.65,18.0,3.16767056,92.15,3.92,0.65,18.0,1.1186714,49.99,0.8,0.65,18.0,0.50299077,52.09,1.1,0.65,18.0,1.958
NGC5457,190.37065317,204.64,0.72,0.88,45.3,265.29100611,215.93,0.78,0.88,45.3,153.58189032,238.33,1.07,0.88,45.3,82.04696779,270.89,0.91,0.88,45.3,39.47117159,334.89,0.95,0.88,45.3,7.417
NGC5480,10.55844592,17.56,0.78,0.75,13.0,11.79566763,18.82,0.68,0.75,13.0,5.28128992,20.53,0.71,0.75,13.0,2.16004369,22.18,0.5,0.75,13.0,0.74384084,24.14,0.5,0.75,13.0,4.501
NGC5486,1.41123715,25.64,0.46,0.64,78.6,1.26160246,26.41,0.47,0.64,78.6,0.97171747,27.49,0.57,0.64,78.6,0.52730578,28.61,0.37,0.64,78.6,0.22713289,30.11,0.19,0.64,78.6,1.347
NGC5496,3.09884604,45.57,1.63,0.22,-7.7,3.74733506,47.0,1.36,0.22,-7.7,1.74558101,49.22,1.18,0.22,-7.7,2.20222929,51.8,0.82,0.22,-7.7,0.46374583,55.89,0.74,0.22,-7.7,0.842
NGC5529,8.24897524,48.55,0.43,0.14,-65.5,12.30615913,53.08,0.36,0.14,-65.5,7.79722396,60.04,0.22,0.14,-65.5,4.08190164,68.04,0.33,0.14,-65.5,1.66065729,80.53,0.53,0.14,-65.5,7.188
NGC5560,5.00725836,17.08,0.47,0.3,-71.2,5.95007619,20.27,0.88,0.3,-71.2,2.87038405,25.58,1.0,0.3,-71.2,1.36792578,32.22,1.87,0.3,-71.2,0.54135234,43.66,2.36,0.3,-71.2,1.708
NGC5566,8.34065197,32.26,1.13,0.55,20.4,11.21301819,39.35,0.97,0.55,20.4,7.25003342,49.1,0.78,0.55,20.4,3.70563411,58.69,0.8,0.55,20.4,1.51314315,70.63,1.05,0.55,20.4,4.046
NGC5577,2.560236,34.01,0.95,0.28,54.8,4.01756144,36.82,0.53,0.28,54.8,3.10070185,43.75,0.46,0.28,54.8,1.65037462,46.24,0.4,0.28,54.8,0.68808172,47.94,0.33,0.28,54.8,1.279
NGC5584,6.79203633,44.75,0.3,0.63,-29.7,8.94792895,49.98,0.33,0.63,-29.7,6.00260836,56.15,0.3,0.63,-29.7,3.19493874,60.62,0.37,0.63,-29.7,1.33992354,62.63,0.34,0.63,-29.7,1.141
NGC5636,1.12927574,30.45,1.3,0.61,52.0,1.2779755,25.66,0.83,0.61,52.0,0.61992622,22.54,0.4,0.61,52.0,0.28817914,24.78,0.26,0.61,52.0,0.16729387,39.44,0.77,0.61,52.0,1.362
NGC5645,5.2917583,18.72,1.97,0.75,75.1,6.04954243,22.88,1.64,0.75,75.1,3.46369792,27.62,1.1,0.75,75.1,1.83680281,30.81,0.94,0.75,75.1,0.71958155,31.47,0.75,0.75,75.1,1.966
NGC5658,1.18795503,15.18,0.61,0.37,-61.3,1.67695932,16.87,0.53,0.37,-61.3,0.59915613,19.34,0.33,0.37,-61.3,0.7073959,22.0,0.43,0.37,-61.3,0.14490388,25.84,0.5,0.37,-61.3,0.833
NGC5669,9.28709739,63.57,2.31,0.66,47.4,7.58023251,40.93,1.38,0.66,47.4,5.11893964,51.89,1.06,0.66,47.4,2.70858541,54.96,0.84,0.66,47.4,1.1271975,56.62,0.61,0.66,47.4,1.806
NGC5668,8.00940031,38.58,0.66,0.94,37.2,10.85731722,43.41,0.69,0.94,37.2,6.46159909,49.96,0.85,0.94,37.2,3.49673351,56.28,0.75,0.94,37.2,1.60354081,63.84,0.76,0.94,37.2,1.53
NGC5690,19.5523967,29.87,0.66,0.26,-36.3,22.93625597,32.89,0.63,0.26,-36.3,11.43773443,37.19,0.65,0.26,-36.3,5.1435449,41.68,0.56,0.26,-36.3,1.91372715,47.8,0.56,0.26,-36.3,1.033
NGC5691,7.44731974,14.63,0.4,0.65,-83.5,6.75029149,15.25,0.41,0.65,-83.5,2.75384827,16.41,0.35,0.65,-83.5,1.1881261,18.03,0.41,0.65,-83.5,0.43559212,21.12,0.35,0.65,-83.5,0.944
NGC5701,3.02078628,81.0,0.1,0.89,74.7,2.70322706,90.0,0.1,0.89,74.7,2.97371955,97.0,0.08,0.89,74.7,1.7583387,100.03,0.06,0.89,74.7,0.84209292,107.19,0.05,0.89,74.7,2.11
NGC5705,1.61584612,45.44,1.19,0.62,59.7,2.72723478,47.16,1.0,0.62,59.7,2.22402676,49.39,0.57,0.62,59.7,1.34667419,51.38,0.62,0.62,59.7,0.6550584,53.39,0.59,0.62,59.7,0.826
NGC5713,35.09134384,16.25,0.7,0.88,79.3,36.51930693,17.83,0.95,0.88,79.3,14.28038804,20.0,1.27,0.88,79.3,6.0990548,22.15,1.49,0.88,79.3,2.07147653,24.84,1.68,0.88,79.3,7.343
NGC5719,16.68783511,8.52,5.1,0.33,-70.9,19.41433534,16.42,5.63,0.33,-70.9,10.46020049,26.92,5.86,0.33,-70.9,4.85805621,36.67,6.13,0.33,-70.9,1.81417851,47.52,5.26,0.33,-70.9,1.562
NGC5728,27.59306856,104.8,25.44,0.4,30.7,26.48027718,84.59,17.34,0.4,30.7,10.38341014,62.87,7.15,0.4,30.7,3.76064671,50.81,2.71,0.4,30.7,1.31546718,56.56,3.03,0.4,30.7,15.746
NGC5740,7.89950721,24.58,1.53,0.53,-18.2,8.83329077,27.59,1.33,0.53,-18.2,5.19445524,31.75,0.92,0.53,-18.2,2.39476298,35.87,0.91,0.53,-18.2,0.93903119,41.06,0.82,0.53,-18.2,0.93
NGC5746,14.04753103,86.33,0.34,0.13,-10.1,24.82690182,91.25,0.3,0.13,-10.1,16.96445877,98.98,0.31,0.13,-10.1,8.22739854,108.07,0.3,0.13,-10.1,3.32874109,122.69,0.42,0.13,-10.1,1.682
NGC5750,5.78042805,41.64,2.01,0.68,34.9,3.97230445,18.99,0.58,0.68,34.9,2.55164357,29.73,0.49,0.68,34.9,1.19042636,31.02,0.38,0.68,34.9,0.4434861,30.5,0.39,0.68,34.9,0.93
NGC5866,16.81124974,17.09,0.5,0.25,-56.0,17.54375391,18.38,0.38,0.25,-56.0,6.72883701,19.95,0.41,0.25,-56.0,2.7143293,21.2,0.45,0.25,-56.0,0.87393678,22.08,1.01,0.25,-56.0,2.937
NGC5907,58.77599637,82.4,0.81,0.11,-24.9,92.49590943,90.55,0.76,0.11,-24.9,54.09286804,103.16,0.75,0.11,-24.9,25.5189344,117.7,0.75,0.11,-24.9,10.06190048,140.55,0.94,0.11,-24.9,2.997
NGC6143,2.8106062,14.17,0.69,0.83,-0.2,3.64856869,14.76,0.65,0.83,-0.2,1.82112606,16.02,0.7,0.83,-0.2,0.82425679,17.94,0.6,0.83,-0.2,0.32142527,21.84,0.67,0.83,-0.2,0.946
NGC6946,370.85146588,147.99,0.97,0.83,80.7,441.8984994,153.06,0.86,0.83,80.7,211.61186202,160.47,0.61,0.83,80.7,93.76970192,168.44,0.68,0.83,80.7,35.60246083,179.83,0.73,0.83,80.7,106.364
NGC7090,19.30189728,59.97,0.84,0.18,-52.1,23.42731553,66.47,0.71,0.18,-52.1,13.58751413,74.46,0.57,0.18,-52.1,7.21211321,80.9,0.56,0.18,-52.1,3.15558598,85.72,0.71,0.18,-52.1,1.541
