Name,RAJ2000,DEJ2000,MType,D25,Dist,Mdust,e_Mdust,Uav,e_Uav,QPAH,e_QPAH,SFR,e_SFR,log10M*,e_log10M*,SED,ModSED,SimbadName
ESO405-014,335.6958,-34.83391,6.1,1.288,36.83779,0.1,0.16,1.34,1.48,0.097,0.035,,,,,SED,ModSED,ESO405-014
ESO406-031,344.41995,-35.39701,2.2,1.479,22.52867,0.72,0.34,1.83,1.05,0.119,0.023,0.048,0.042,9.228,0.208,SED,ModSED,ESO406-031
ESO407-002,346.1727,-34.05781,-0.5,1.097,23.96232,1.12,0.26,5.07,1.58,0.12,0.015,0.217,0.193,9.559,0.209,SED,ModSED,ESO407-002
ESO407-018,351.61605,-32.38858,9.8,1.349,2.22844,0.0,0.0,0.96,1.14,0.114,0.042,,,7.311,0.207,SED,ModSED,ESO407-018
ESO410-012,7.0752,-27.98335,4.7,1.413,21.01311,0.04,0.06,1.22,1.42,0.098,0.037,0.017,0.014,7.949,0.207,SED,ModSED,ESO410-012
ESO410-018,8.54625,-30.77392,8.9,1.549,19.0,1.22,0.61,1.04,0.67,0.104,0.024,0.061,0.073,8.81,0.208,SED,ModSED,ESO410-018
ESO411-013,11.77665,-31.58135,9.0,1.23,23.78482,0.29,0.26,1.49,1.43,0.122,0.033,,,,,SED,ModSED,ESO411-013
ESO411-016,11.91495,-27.94758,1.8,1.023,24.0852,0.46,0.45,0.67,0.61,0.112,0.03,,,8.632,0.208,SED,ModSED,ESO411-016
ESO411-026,13.18965,-31.71818,9.0,1.148,21.25887,0.05,0.09,0.9,0.96,0.106,0.036,,,8.188,0.207,SED,ModSED,ESO411-026
ESO411-027,13.215,-27.32558,5.7,1.259,24.65866,0.15,0.2,1.14,1.17,0.097,0.033,,,8.08,0.207,SED,ModSED,ESO411-027
ESO428-014,109.12995,-29.32481,-1.8,1.995,23.2,4.73,3.17,16.68,11.82,0.083,0.019,5.645,5.47,10.612,0.21,SED,ModSED,ESO428-014
ESO434-040,146.91765,-30.94863,-1.3,1.071,35.48607,0.0,0.0,76110.0,17640.0,0.071,0.002,14.012,13.888,10.797,0.21,SED,ModSED,ESO434-040
ESO493-016,117.18255,-26.24659,4.0,1.0,23.97,15.71,1.92,7.68,0.93,0.094,0.006,4.633,4.467,10.422,0.209,SED,ModSED,ESO493-016
ESO495-021,129.0633,-26.40933,-2.6,1.995,8.24138,0.41,0.01,53.89,1.79,0.061,0.004,2.627,2.492,9.367,0.208,SED,ModSED,ESO495-021
ESO549-035,58.76625,-20.38338,6.0,1.023,38.90453,1.58,0.98,0.81,0.63,0.098,0.031,9.085,8.965,8.964,0.208,SED,ModSED,ESO549-035
ESO560-004,114.75195,-22.04626,4.2,1.38,37.49729,9.72,1.64,8.27,1.6,0.097,0.009,2.509,2.39,10.7,0.21,SED,ModSED,ESO560-004
ESO603-031,344.3601,-17.88565,1.0,1.122,35.48135,1.72,0.87,1.74,1.13,0.109,0.024,0.143,0.126,9.393,0.208,SED,ModSED,ESO603-031
IC0010,5.09625,59.2931,9.9,6.607,0.79433,0.21,0.07,4.93,1.59,0.016,0.012,0.066,0.057,8.726,0.208,SED,ModSED,IC0010
IC0335,53.87895,-34.44708,-2.1,2.63,20.51161,0.16,0.14,2.88,2.71,0.142,0.031,0.019,0.02,9.953,0.209,SED,ModSED,IC0335
IC0342,56.7054,68.10139,6.0,19.953,3.43558,4.78,0.32,15.43,1.05,0.139,0.005,3.256,3.113,10.532,0.209,SED,ModSED,IC0342
IC0610,156.6183,20.22826,3.7,1.905,29.24156,4.83,0.54,5.4,0.93,0.088,0.008,0.746,0.687,10.102,0.209,SED,ModSED,IC0610
IC0691,171.6846,59.15548,-2.0,1.148,23.7,0.69,0.07,35.52,3.94,0.084,0.003,2.038,1.922,9.616,0.209,SED,ModSED,IC0691
IC0755,180.29355,14.10398,3.9,1.479,17.94734,0.84,0.3,3.1,1.45,0.08,0.018,0.143,0.126,8.914,0.208,SED,ModSED,IC0755
IC0781,185.0136,14.9615,-2.7,1.288,13.99508,0.11,0.11,1.29,1.29,0.127,0.03,0.017,0.015,8.919,0.208,SED,ModSED,IC0781
IC0782,185.40405,5.76573,0.4,1.148,39.07701,0.19,0.2,3.75,4.23,0.141,0.032,0.129,0.116,10.094,0.209,SED,ModSED,IC0782
IC0783,185.41155,15.74513,-0.2,1.23,18.3,0.41,0.28,1.1,0.85,0.141,0.028,,,9.184,0.208,SED,ModSED,IC0783
IC0797,187.97835,15.12369,6.1,1.097,23.22738,2.96,0.54,2.49,0.65,0.132,0.015,0.233,0.207,9.562,0.209,SED,ModSED,IC0797
IC0800,188.48625,15.35462,5.3,1.514,13.99587,0.46,0.14,4.02,1.51,0.124,0.016,0.099,0.087,8.986,0.208,SED,ModSED,IC0800
IC0902,204.0051,49.96076,3.1,2.188,27.66941,10.12,1.92,1.33,0.32,0.125,0.013,0.632,0.58,9.889,0.209,SED,ModSED,IC0902
IC0976,212.1804,-1.16166,-1.4,1.514,25.84653,0.06,0.07,2.33,2.63,0.137,0.035,0.04,0.036,9.645,0.209,SED,ModSED,IC0976
IC1613,16.1991,2.11773,9.9,18.197,0.75509,0.02,0.01,1.66,1.27,0.092,0.032,,,7.502,0.207,SED,ModSED,IC1613
IC2085,67.851,-54.41687,-1.2,2.455,15.07,1.16,0.33,1.38,0.54,0.124,0.019,0.055,0.047,9.175,0.208,SED,ModSED,IC2085
IC2163,94.1166,-21.3759,6.5,3.388,13.99587,0.55,0.28,3.19,1.86,0.081,0.025,0.021,0.019,9.194,0.208,SED,ModSED,IC2163
IC2461,139.99185,37.19121,3.3,2.399,52.23961,22.3,2.18,2.76,0.47,0.119,0.012,2.587,2.46,10.6,0.209,SED,ModSED,IC2461
IC2531,149.98125,-29.61755,5.0,6.607,35.64508,46.27,3.85,1.18,0.11,0.123,0.009,1.546,1.463,10.863,0.21,SED,ModSED,IC2531
IC2574,157.10235,68.41319,8.9,12.883,3.99945,0.46,0.25,1.14,0.79,0.085,0.03,,,8.656,0.208,SED,ModSED,IC2574
IC2828,171.7956,8.73117,10.0,1.0,14.37739,0.32,0.16,2.58,1.56,0.074,0.016,0.072,0.061,8.312,0.207,SED,ModSED,IC2828
IC3019,182.34285,13.99241,-5.0,1.259,16.9044,0.03,0.04,1.75,1.9,0.129,0.035,,,9.03,0.208,SED,ModSED,IC3019
IC3021,182.4771,13.04974,8.6,1.288,56.49368,0.41,0.4,2.98,2.84,0.116,0.028,,,9.502,0.209,SED,ModSED,IC3021
IC3033,182.7915,13.5875,7.8,1.023,17.94734,0.21,0.21,0.81,0.75,0.105,0.032,,,8.378,0.208,SED,ModSED,IC3033
IC3044,183.2016,13.97575,6.1,1.259,17.7011,0.29,0.23,1.41,1.28,0.105,0.029,,,8.724,0.208,SED,ModSED,IC3044
IC3059,183.72945,13.46058,9.7,1.698,23.7684,0.74,0.5,1.31,1.05,0.109,0.025,0.084,0.073,8.833,0.208,SED,ModSED,IC3059
IC3061,183.76875,14.02874,5.2,2.239,41.11496,10.53,2.34,2.18,0.66,0.117,0.016,0.819,0.756,10.065,0.209,SED,ModSED,IC3061
IC3065,183.8025,14.43287,-2.2,1.23,16.2181,0.05,0.05,2.03,2.03,0.128,0.031,1.844,1.733,8.96,0.208,SED,ModSED,IC3065
IC3077,183.98475,14.43285,6.0,1.071,9.12,0.01,0.02,1.33,1.44,0.118,0.036,,,,,SED,ModSED,IC3077
IC3096,184.2183,14.51493,0.7,1.122,13.98143,0.14,0.08,1.71,1.31,0.102,0.028,0.003,0.002,8.422,0.208,SED,ModSED,IC3096
IC3099,184.2885,12.45382,6.2,1.862,34.51434,1.91,0.84,1.88,1.11,0.099,0.025,0.2,0.178,9.469,0.208,SED,ModSED,IC3099
IC3100,184.27305,12.28978,-2.0,1.413,3.80939,0.01,0.02,0.73,0.8,0.098,0.039,,,7.191,0.206,SED,ModSED,IC3100
IC3102,184.35735,6.68993,-0.7,2.042,28.0,3.08,0.93,2.44,1.05,0.131,0.024,0.288,0.265,10.34,0.209,SED,ModSED,IC3102
IC3104,184.692,-79.72593,9.9,2.399,2.35505,0.01,0.02,0.88,0.97,0.115,0.039,,,7.969,0.207,SED,ModSED,IC3104
IC3105,184.3902,12.38736,9.8,1.549,14.12538,0.25,0.17,1.03,0.89,0.088,0.031,0.023,0.019,8.028,0.207,SED,ModSED,IC3105
IC3115,184.4994,6.65409,5.5,1.479,24.43431,4.88,1.81,0.98,0.45,0.124,0.023,0.243,0.216,9.433,0.208,SED,ModSED,IC3115
IC3131,184.7118,7.86164,-3.0,1.0,13.73566,0.05,0.05,2.14,2.38,0.118,0.033,0.027,0.023,8.82,0.208,SED,ModSED,IC3131
IC3167,185.07825,9.54537,-2.0,1.349,13.79028,0.03,0.04,1.21,1.23,0.123,0.033,,,8.579,0.208,SED,ModSED,IC3167
IC3229,185.71995,6.67984,4.2,1.23,24.32205,0.97,0.51,1.25,0.86,0.092,0.025,0.059,0.051,8.776,0.208,SED,ModSED,IC3229
IC3258,185.93535,12.47781,9.6,1.349,12.82331,0.48,0.16,3.81,1.51,0.051,0.014,0.128,0.112,8.633,0.208,SED,ModSED,IC3258
IC3259,185.95215,7.18627,8.0,1.622,17.13958,1.74,0.42,1.02,0.3,0.117,0.019,0.076,0.066,9.08,0.208,SED,ModSED,IC3259
IC3267,186.02295,7.04114,5.9,1.202,37.32502,4.46,1.04,1.82,0.53,0.126,0.017,0.214,0.192,9.865,0.209,SED,ModSED,IC3267
IC3268,186.03105,6.60769,10.0,1.0,34.35581,3.08,0.72,4.24,1.11,0.081,0.016,0.405,0.367,,,SED,ModSED,IC3268
IC3305,186.31035,11.84957,-5.0,1.071,39.28181,0.18,0.21,2.23,2.24,0.133,0.03,9.31,9.129,,,SED,ModSED,IC3305
IC3311,186.38775,12.26035,7.5,1.862,19.67885,1.94,0.73,0.81,0.4,0.095,0.023,0.074,0.064,9.021,0.208,SED,ModSED,IC3311
IC3322,186.4755,7.55466,6.3,2.344,19.86094,3.17,0.65,1.92,0.49,0.101,0.015,0.157,0.139,9.396,0.208,SED,ModSED,IC3322
IC3331,186.5223,11.81215,-3.6,1.023,13.8722,0.01,0.01,1.14,1.29,0.12,0.039,,,8.232,0.207,SED,ModSED,IC3331
IC3355,186.71385,13.17396,9.7,1.097,0.65538,0.0,0.0,0.82,1.08,0.075,0.046,0.0,0.0,5.102,0.205,SED,ModSED,IC3355
IC3358,186.7266,11.66376,-5.0,1.047,13.85855,0.05,0.04,2.05,1.94,0.108,0.034,,,8.772,0.208,SED,ModSED,IC3358
IC3371,186.8427,10.86668,6.0,1.175,31.47749,0.69,0.51,2.03,1.68,0.117,0.026,0.139,0.124,9.423,0.208,SED,ModSED,IC3371
IC3381,187.06215,11.78983,-4.1,1.202,16.51962,0.09,0.09,1.94,1.85,0.119,0.029,0.006,0.005,,,SED,ModSED,IC3381
IC3391,187.11375,18.41516,5.9,1.023,23.12064,2.26,0.48,2.49,0.75,0.123,0.017,0.206,0.183,9.5,0.209,SED,ModSED,IC3391
IC3392,187.1802,14.99936,2.4,2.63,11.16863,0.81,0.12,3.75,0.79,0.123,0.012,0.133,0.117,9.349,0.208,SED,ModSED,IC3392
IC3393,187.17375,12.91587,-1.6,1.097,18.7,0.06,0.07,1.26,1.23,0.121,0.032,,,8.764,0.208,SED,ModSED,IC3393
IC3413,187.3437,11.43378,-4.5,1.202,35.1,0.24,0.27,2.28,2.32,0.132,0.031,0.109,0.098,9.762,0.209,SED,ModSED,IC3413
IC3430,187.5696,9.0853,0.0,1.071,13.74932,0.23,0.2,0.82,0.74,0.11,0.03,,,8.356,0.207,SED,ModSED,IC3430
IC3459,187.9833,12.17399,9.8,1.097,1.84326,0.0,0.0,0.86,1.15,0.111,0.049,,,6.553,0.206,SED,ModSED,IC3459
IC3468,188.0592,10.25147,-4.8,1.288,15.20548,0.03,0.03,1.69,1.84,0.128,0.036,0.023,0.02,9.074,0.208,SED,ModSED,IC3468
IC3475,188.17005,12.77083,-4.6,1.549,42.12179,0.23,0.3,2.16,2.29,0.136,0.033,0.032,0.034,9.868,0.209,SED,ModSED,IC3475
IC3476,188.1744,14.05072,9.5,1.66,11.58778,1.07,0.17,3.55,0.67,0.098,0.009,0.221,0.196,8.958,0.208,SED,ModSED,IC3476
IC3499,188.43675,10.99488,-0.4,1.622,13.81759,0.01,0.01,1.49,1.81,0.138,0.039,0.018,0.015,8.978,0.208,SED,ModSED,IC3499
IC3509,188.54805,12.04898,-5.0,1.0,16.59588,0.05,0.06,1.59,1.71,0.117,0.034,0.019,0.016,8.702,0.208,SED,ModSED,IC3509
IC3517,188.6286,9.15479,8.5,1.148,15.77611,0.54,0.28,0.74,0.54,0.094,0.03,1.754,1.646,8.293,0.207,SED,ModSED,IC3517
IC3518,188.6313,9.62457,10.0,1.318,13.76297,0.19,0.19,0.67,0.61,0.119,0.031,,,8.528,0.208,SED,ModSED,IC3518
IC3521,188.66355,7.1584,9.8,1.38,17.21869,1.32,0.24,3.93,0.9,0.099,0.01,0.329,0.296,9.326,0.208,SED,ModSED,IC3521
IC3586,189.2283,12.52004,-2.0,1.148,16.36816,0.29,0.26,0.96,0.89,0.118,0.03,0.024,0.02,8.903,0.208,SED,ModSED,IC3586
IC3611,189.7671,13.36341,6.3,1.413,44.37466,1.05,1.15,2.43,2.21,0.122,0.027,0.174,0.156,9.822,0.209,SED,ModSED,IC3611
IC3631,189.94995,12.97393,-1.2,1.047,42.8,0.28,0.29,2.65,2.6,0.13,0.031,,,9.842,0.209,SED,ModSED,IC3631
IC3718,191.18955,12.35146,-2.5,2.239,6.79,0.04,0.04,0.8,0.75,0.111,0.035,,,8.097,0.207,SED,ModSED,IC3718
IC4213,198.0465,35.67015,5.9,2.512,20.13724,2.84,1.08,0.84,0.45,0.095,0.022,0.103,0.09,9.15,0.208,SED,ModSED,IC4213
IC5270,344.47875,-35.85804,5.7,3.311,24.66038,15.4,1.98,1.91,0.34,0.137,0.014,1.318,1.231,10.093,0.209,SED,ModSED,IC5270
IC5334,353.65155,-4.53399,3.5,1.905,45.49881,8.8,4.5,0.82,0.59,0.12,0.032,0.292,0.27,10.378,0.209,SED,ModSED,IC5334
NGC0007,2.08695,-29.91534,4.8,2.455,20.60631,2.3,1.21,0.38,0.27,0.112,0.029,0.067,0.058,9.004,0.208,SED,ModSED,NGC0007
NGC0115,6.6933,-33.67698,3.9,2.089,28.70782,4.03,1.57,1.18,0.65,0.082,0.024,0.172,0.152,9.519,0.209,SED,ModSED,NGC0115
NGC0131,7.41045,-33.25987,3.0,1.82,19.10158,2.79,0.61,1.63,0.48,0.114,0.016,0.186,0.165,9.36,0.208,SED,ModSED,NGC0131
NGC0147,8.30025,48.50874,-4.8,9.332,0.70795,0.2,0.22,0.53,0.59,0.143,0.031,0.003,0.002,7.902,0.207,SED,ModSED,NGC0147
NGC0148,8.56455,-31.78615,-2.0,1.995,26.23,0.26,0.19,5.84,4.75,0.138,0.028,0.097,0.09,10.24,0.209,SED,ModSED,NGC0148
NGC0150,8.56455,-27.8037,3.4,3.548,21.0863,8.29,0.6,8.89,0.75,0.088,0.004,4.222,4.062,10.371,0.209,SED,ModSED,NGC0150
NGC0253,11.88795,-25.28844,5.1,26.915,3.69828,15.56,1.77,11.23,2.08,0.089,0.009,8.789,8.616,10.77,0.21,SED,ModSED,NGC0253
NGC0254,11.8665,-31.42211,-1.2,2.754,17.1,0.35,0.19,3.4,2.41,0.117,0.03,0.051,0.048,10.002,0.209,SED,ModSED,NGC0254
NGC0289,13.17645,-31.20581,4.0,3.388,20.79696,28.92,3.56,1.63,0.3,0.118,0.014,2.161,2.047,10.582,0.209,SED,ModSED,NGC0289
NGC0300,13.72305,-37.68448,6.9,19.498,2.02302,4.07,0.38,0.52,0.07,0.11,0.016,0.092,0.081,9.224,0.208,SED,ModSED,NGC0300
NGC0337,14.95875,-7.57818,6.7,2.951,18.197,5.5,0.78,8.72,1.18,0.06,0.007,1.763,1.657,9.964,0.209,SED,ModSED,NGC0337
NGC0428,18.23175,0.98168,8.6,2.818,14.79109,5.96,1.87,1.09,0.51,0.091,0.021,0.336,0.304,9.649,0.209,SED,ModSED,NGC0428
NGC0448,18.81885,-1.62626,-2.4,1.585,30.06074,0.48,0.34,5.09,4.07,0.127,0.029,0.226,0.206,10.241,0.209,SED,ModSED,NGC0448
NGC0493,20.53785,0.94576,5.9,3.02,22.90866,9.92,2.03,1.71,0.48,0.1,0.013,0.767,0.707,9.823,0.209,SED,ModSED,NGC0493
NGC0520,21.14445,3.7942,1.3,4.074,30.2,12.74,1.46,27.77,3.05,0.053,0.005,,,10.777,0.21,SED,ModSED,NGC0520
NGC0584,22.8363,-6.86805,-4.7,3.802,19.95263,0.51,0.23,14.38,8.93,0.105,0.03,0.059,0.069,10.754,0.21,SED,ModSED,NGC0584
NGC0586,22.90365,-6.89375,0.7,1.622,24.93173,1.85,0.47,2.62,0.86,0.11,0.017,0.196,0.175,9.78,0.209,SED,ModSED,NGC0586
NGC0613,23.5758,-29.41844,4.0,5.495,26.42408,56.51,2.22,6.17,0.33,0.108,0.003,15.183,15.098,11.232,0.21,SED,ModSED,NGC0613
NGC0625,23.77125,-41.43676,9.0,6.607,3.99945,0.33,0.08,3.29,1.06,0.088,0.014,0.123,0.108,8.657,0.208,SED,ModSED,NGC0625
NGC0628,24.174,15.78332,5.2,10.0,10.13911,15.25,1.66,4.36,0.84,0.13,0.013,1.971,1.861,10.45,0.209,SED,ModSED,NGC0628
NGC0678,27.35355,21.99728,3.0,3.09,27.87,4.55,1.3,3.14,1.31,0.131,0.023,0.462,0.431,10.549,0.209,SED,ModSED,NGC0678
NGC0720,28.2522,-13.73858,-4.9,4.467,27.41572,0.51,0.41,14.04,11.93,0.155,0.031,0.235,0.25,11.154,0.21,SED,ModSED,NGC0720
NGC0855,33.51495,27.87685,-4.8,2.951,9.63829,0.19,0.06,8.49,3.32,0.066,0.014,0.092,0.08,8.971,0.208,SED,ModSED,NGC0855
NGC0891,35.6397,42.34712,3.1,13.183,9.86279,29.21,0.81,6.32,0.3,0.081,0.003,4.126,3.971,10.823,0.21,SED,ModSED,NGC0891
NGC0895,35.40195,-5.52139,6.0,3.311,35.31834,39.04,5.59,1.51,0.26,0.127,0.011,1.983,1.879,10.505,0.209,SED,ModSED,NGC0895
NGC0925,36.82035,33.579,7.0,10.715,9.20449,16.68,1.71,0.75,0.12,0.118,0.018,0.581,0.531,9.871,0.209,SED,ModSED,NGC0925
NGC1052,40.2699,-8.2558,-4.7,2.951,17.5388,9.07,3.62,3.41,2.53,0.062,0.027,1.299,1.223,10.658,0.21,SED,ModSED,NGC1052
NGC1056,40.70145,28.57372,1.0,1.862,31.18893,9.25,0.9,7.73,0.87,0.112,0.006,3.002,2.865,10.509,0.209,SED,ModSED,NGC1056
NGC1068,40.66965,-0.01324,3.0,6.166,10.09253,22.3,1.03,14.88,0.95,0.118,0.002,35.257,35.759,10.954,0.21,SED,ModSED,NGC1068
NGC1097,41.57955,-30.27497,3.3,10.471,14.72313,29.21,1.36,6.66,0.31,0.104,0.002,9.034,8.871,10.996,0.21,SED,ModSED,NGC1097
NGC1140,43.6398,-10.02833,9.2,2.042,18.11342,1.09,0.29,13.34,4.2,0.063,0.009,,,9.429,0.208,SED,ModSED,NGC1140
NGC1189,45.85215,-15.62342,7.9,1.413,33.60186,8.71,3.45,0.62,0.33,0.131,0.025,,,9.677,0.209,SED,ModSED,NGC1189
NGC1222,47.2365,-2.95531,-2.6,1.585,31.0,3.72,0.51,37.11,8.67,0.069,0.006,11.043,10.877,10.253,0.209,SED,ModSED,NGC1222
NGC1266,49.0032,-2.42735,-2.3,1.479,28.60459,2.13,0.14,56.37,4.31,0.015,0.0,4.224,4.062,10.136,0.209,SED,ModSED,NGC1266
NGC1317,50.6844,-37.10381,0.8,3.09,16.9,2.33,0.16,8.33,0.72,0.111,0.004,0.558,0.514,10.358,0.209,SED,ModSED,NGC1317
NGC1336,51.6342,-35.71366,-3.0,1.95,18.11342,0.3,0.27,1.38,1.29,0.132,0.031,0.02,0.019,9.647,0.209,SED,ModSED,NGC1336
NGC1351,52.64565,-34.85402,-3.1,3.388,18.96705,0.43,0.47,2.69,2.9,0.136,0.03,0.092,0.087,10.21,0.209,SED,ModSED,NGC1351
NGC1351A,52.20315,-35.17825,4.2,2.512,19.40886,3.69,0.79,1.08,0.31,0.117,0.016,0.127,0.112,9.41,0.208,SED,ModSED,NGC1351A
NGC1365,53.40165,-36.14051,3.2,12.023,17.29816,54.3,3.08,8.54,0.71,0.078,0.003,20.467,20.49,11.127,0.21,SED,ModSED,NGC1365
NGC1369,54.1884,-36.25615,0.1,2.239,18.26871,0.04,0.05,2.31,2.62,0.137,0.036,0.018,0.016,9.484,0.209,SED,ModSED,NGC1369
NGC1373,53.74665,-35.1711,-3.6,1.202,19.0546,0.05,0.06,1.46,1.54,0.137,0.034,,,9.272,0.208,SED,ModSED,NGC1373
NGC1374,53.8191,-35.22633,-4.5,2.884,19.40886,0.06,0.05,12.74,10.8,0.153,0.029,0.055,0.055,10.332,0.209,SED,ModSED,NGC1374
NGC1377,54.1629,-20.90202,-2.1,2.089,23.35,0.98,0.21,37.64,9.3,0.11,0.005,5.994,5.812,9.874,0.209,SED,ModSED,NGC1377
NGC1379,54.0159,-35.44116,-4.8,2.692,18.96705,0.22,0.15,5.65,4.41,0.136,0.032,0.043,0.044,10.358,0.209,SED,ModSED,NGC1379
NGC1380A,54.19785,-34.73962,-1.9,2.754,19.7697,0.17,0.14,2.78,2.42,0.134,0.029,0.021,0.02,9.74,0.209,SED,ModSED,NGC1380A
NGC1381,54.13215,-35.29521,-2.1,2.57,21.67704,0.08,0.07,11.61,11.07,0.153,0.032,0.055,0.056,10.341,0.209,SED,ModSED,NGC1381
NGC1386,54.19245,-35.99923,-0.7,3.631,16.36816,4.41,0.63,4.0,0.68,0.166,0.005,2.538,2.41,10.251,0.209,SED,ModSED,NGC1386
NGC1387,54.23775,-35.50663,-2.8,3.02,19.14256,1.45,0.35,9.24,3.4,0.109,0.019,0.365,0.342,10.69,0.21,SED,ModSED,NGC1387
NGC1389,54.2988,-35.74602,-2.8,2.57,20.9894,0.4,0.31,3.38,2.87,0.136,0.03,0.011,0.018,10.322,0.209,SED,ModSED,NGC1389
NGC1399,54.62115,-35.45063,-4.6,8.511,20.51161,1.05,1.17,7.75,9.6,0.165,0.038,,,,,SED,ModSED,NGC1399
NGC1404,54.71625,-35.59424,-4.8,5.012,20.04472,0.12,0.09,18.03,15.25,0.222,0.035,0.188,0.192,10.948,0.21,SED,ModSED,NGC1404
NGC1412,55.12245,-26.86225,-2.2,1.071,23.53905,0.08,0.06,6.5,6.57,0.139,0.031,0.025,0.024,9.895,0.209,SED,ModSED,NGC1412
NGC1419,55.17555,-37.51088,-4.9,1.479,22.59436,0.16,0.17,1.5,1.56,0.141,0.033,0.014,0.015,9.766,0.209,SED,ModSED,NGC1419
NGC1427,55.58085,-35.39278,-4.0,4.365,19.14256,0.74,0.81,2.42,2.54,0.149,0.029,0.077,0.073,10.427,0.209,SED,ModSED,NGC1427
NGC1427A,55.03875,-35.62451,9.9,2.239,16.4,0.97,0.38,1.3,0.68,0.088,0.022,0.06,0.051,8.983,0.208,SED,ModSED,NGC1427A
NGC1428,55.59555,-35.15361,-3.0,1.479,20.41738,0.19,0.18,1.69,1.64,0.135,0.032,0.016,0.016,9.722,0.209,SED,ModSED,NGC1428
