Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
NGC4713,192.4911,5.31129,0.00329,7,0,1,8.375,7.571047,8.304,7.51219,8.405,7.596394,8.502,7.680101,8.449,7.634046,8.906,8.050144,8.728,7.883646,-1.124
NGC4725,192.61095,25.50091,0.00271,11,0,0,,,,,,,,,,,,,,,
NGC4731,192.7554,-6.3937,0.00293,2,0,0,8.354415,7.733811,8.358008,7.736843,8.433,7.800993,8.523,7.879951,8.264,7.658854,8.41083,7.781863,8.766,8.101625,-1.184651
NGC4736,192.72075,41.11999,0.00098,7,3,2,8.623,7.158079,8.575,7.118718,8.735,7.252766,8.672,7.199039,8.85,7.353569,8.989,7.479332,8.939,7.433658,-0.853
NGC4746,192.9801,12.08304,0.00687,5,0,0,8.468,7.897173,8.464337,7.894247,8.632,8.032872,8.615,8.018408,8.576,7.985556,,,8.874,8.246752,-1.224574
NGC4747,192.94065,25.77581,0.00276,3,0,0,8.334,7.103739,8.404689,7.161618,8.542,7.278521,8.492,7.235324,8.434,7.186102,8.42701,7.180239,8.73,7.446314,-1.120374
NGC4753,193.09185,-1.19948,0.00448,0,0,0,,,,,,,,,,,,,,,
NGC4758,193.1847,15.84656,0.00303,6,0,0,8.358,7.010864,7.951,6.780929,8.384,7.028605,8.451,7.075839,8.324,6.988181,8.203,6.912404,8.675,7.248016,-1.672
NGC4765,193.3104,4.46322,0.00347,2,0,0,8.166,6.895875,,,8.242,6.96208,8.218,6.941014,8.284,6.999279,,,8.387,7.092122,
NGC4771,193.33845,1.26915,0.00403,1,1,0,,,,,8.629648,,,,,,8.63738,,,,
NGC4772,193.3716,2.16833,0.00613,29,3,41,8.507,8.009461,,,8.728,8.19759,8.681,8.156433,8.579,8.069162,,,8.946,8.394785,
NGC4775,193.44045,-6.62217,0.00254,2,0,0,,,8.412453,,8.586,,8.512,,8.49,,8.42701,,8.752,,-1.088999
NGC4779,193.46175,9.70993,0.00873,3,0,0,8.549,7.928184,,,8.679,8.030138,8.814,8.14237,8.893,8.210574,,,9.122,8.416517,
NGC4789A,193.5225,27.14974,0.00091,3,0,0,,,,,8.232,,8.339,,8.145,,,,8.545,,
NGC4791,193.68315,8.0531,0.00921,1,1,0,,,,,,,,,,,,,,,
NGC4793,193.66905,28.93779,0.00601,3,0,1,8.503,7.968117,,,8.663,8.098064,8.745,8.167875,8.827,8.239518,,,9.024,8.417724,
NGC4795,193.7619,8.06548,0.01003,1,0,1,,,,,9.001,,,,8.458,,,,,,
NGC4799,193.8147,2.89661,0.00992,1,1,0,,,,,8.686194,,,,,,8.70211,,,,
NGC4808,193.95405,4.30418,0.00392,3,1,0,8.479,7.891997,8.591302,7.992447,8.526,7.933702,8.61,8.009427,8.697,8.08926,,,8.864,8.245734,-1.003762
NGC4826,194.1825,21.68195,0.00099,0,2,4,,,,,,,,,,,,,,,
NGC4845,194.505,1.57587,0.00416,0,1,0,,,,,,,,,,,,,,,
NGC4866,194.8626,14.17078,0.00666,0,0,0,,,,,,,,,,,,,,,
NGC4904,195.24435,-0.02752,0.00371,4,3,0,8.474,7.313287,,,8.587,7.40677,8.698,7.502351,8.839,7.628145,8.50792,7.340903,8.964,7.742935,
NGC4941,196.0545,-5.55153,0.00458,26,3,12,8.59,7.446508,,,8.697,7.51114,8.764,7.554749,8.913,7.659752,,,9.046,7.761834,
NGC4945,196.3638,-49.46791,0.00078,492,51,485,8.549,8.121008,,,8.744,8.290961,8.735,8.282912,8.832,8.370535,,,9.016,8.541253,
NGC4961,196.44825,27.73387,0.0083,94,0,2,8.117,7.552324,8.154,7.57997,8.4,7.77737,8.446,7.816534,8.411,7.786679,8.701,8.043246,8.675,8.019497,-1.422
NGC4981,197.20305,-6.77747,0.0048,84,1,29,8.565,7.973471,,,8.766,8.152619,8.776,8.161751,8.787,8.171818,8.88012,8.257849,9.058,8.425568,
NGC5012,197.90445,22.9155,0.00857,1,1,0,,,,,,,,,,,,,,,
NGC5014,197.8803,36.28206,0.00144,6,0,0,8.432,6.032964,,,8.581,6.16097,8.572,6.153069,8.609,6.185676,8.54029,6.125394,8.822,6.378992,
NGC5016,198.0279,24.09499,0.0104,73,1,8,8.602,8.086404,8.695,8.166571,8.783,8.244449,8.805,8.264192,8.898,8.348712,9.155,8.589393,9.073,8.511653,-0.344
NGC5023,198.04905,44.03806,0.00148,3,2,0,8.076,6.631115,,,8.304,6.790902,8.369,6.84077,8.416,6.877876,,,8.588,7.020253,
NGC5033,198.36465,36.59371,0.00331,14,2,1,8.543,8.38887,,,8.611,8.447407,8.734,8.556258,8.823,8.637041,,,9.018,8.818643,
NGC5055,198.9555,42.02922,0.00203,8,0,0,8.581,8.319146,8.573,8.312885,8.73,8.440049,8.774,8.477162,8.898,8.584682,9.116,8.782143,9.053,8.72415,-0.719
NGC5116,200.73165,26.98081,0.00936,2,0,0,8.539,7.854553,,,8.772,8.049319,8.699,7.986503,8.715,8.000143,,,8.972,8.228033,
NGC5117,200.73525,28.31645,0.00757,2,0,0,8.338,7.501895,8.38,7.537188,8.523,7.661101,8.599,7.728992,8.367,7.526206,8.964,8.068954,8.858,7.968329,-1.084
NGC5122,201.0615,-10.65422,0.00937,0,1,0,,,,,,,,,,,,,,,
NGC5128,201.3672,-43.01812,0.00083,150,31,233,8.615,7.992917,,,8.722,8.082922,8.553,7.942474,8.632,8.006977,,,8.778,8.131351,
NGC5145,201.30795,43.26725,0.01189,8,0,0,8.61,8.442507,,,8.761,8.57619,8.812,8.622457,8.912,8.71453,9.224,9.010399,9.109,8.900113,
NGC5147,201.5817,2.1008,0.00485,2,1,0,8.38,7.49218,,,8.384,7.495218,8.458,7.5526,8.358,7.475592,8.41083,7.515768,8.689,7.744252,
NGC5194,202.46955,47.19515,0.00193,97,4,3,8.638,8.138276,8.627,8.130845,8.728,8.201306,8.824,8.272656,8.945,8.36798,9.107,8.503561,9.091,8.489816,-0.653
NGC5236,204.25365,-29.86556,0.0011,824,25,633,8.559,8.15759,8.585,8.180052,8.735,8.312901,8.841,8.409618,8.9,8.464285,9.125,8.677013,9.125,8.677013,-0.63
NGC5240,203.9799,35.58825,0.00958,0,1,0,,,,,,,,,,,,,,,
NGC5248,204.3837,8.885,0.00269,91,0,31,8.576,7.874155,8.546,7.85052,8.735,8.004762,8.818,8.076061,8.914,8.160745,9.0,8.238339,9.118,8.347018,-0.863
NGC5290,206.32965,41.71242,0.0074,1,1,0,,,,,,,,,,,,,,,
NGC5300,207.0669,3.9508,0.00414,3,0,0,8.488,7.441578,,,8.717,7.603325,8.699,7.589736,8.704,7.593497,8.45937,7.423187,8.975,7.811666,
NGC5301,206.60265,46.10725,0.00469,3,2,0,8.506,7.815748,8.191961,7.59682,8.76,8.022928,8.652,7.932145,8.567,7.863411,8.47556,7.792525,8.915,8.158843,-1.52807
NGC5334,208.22685,-1.11455,0.00732,104,4,7,8.444,8.158792,,,8.641,8.30232,8.708,8.354911,8.601,8.271781,8.50792,8.203407,8.981,8.584858,
NGC5338,208.3605,5.20771,0.00285,18,0,0,8.409,6.060877,8.4,6.053768,8.703,6.307924,8.782,6.378319,8.57,6.192903,8.678,6.285949,9.009,6.587213,-1.239
NGC5347,208.3242,33.4908,0.00613,0,1,0,,,,,,,,,,,,,,,
NGC5348,208.5468,5.22723,0.00357,1,0,0,,,,,8.757,,8.464786,,8.229,,8.36228,,8.699387,,
NGC5350,208.3401,40.36394,0.00621,0,0,1,,,,,,,,,,,,,,,
NGC5355,208.43985,40.33868,0.00845,1,0,0,,,,,,,,,,,,,,,
NGC5356,208.74345,5.33361,0.00438,2,0,1,,,,,8.795,,,,8.371,,8.44319,,,,
NGC5358,208.50165,40.27736,0.00914,3,0,0,,,,,,,,,,,,,,,
NGC5360,208.9113,4.98486,0.00514,3,0,0,8.332,6.752458,,,8.711,6.934773,8.849,7.021225,8.946,7.087902,8.83157,7.009746,9.00819,7.133016,
NGC5363,209.03025,5.25471,0.01262,2,2,0,,,,,,,,,,,,,,,
NGC5364,209.05005,5.01444,0.00351,1,1,0,,,,,,,,,,,,,,,
NGC5398,210.34005,-33.06366,0.00191,2,0,0,8.10867,6.417278,8.100197,6.410413,8.146153,6.447948,8.101259,6.411272,8.26519,6.548329,,,8.164236,6.462914,-1.279727
NGC5408,210.83805,-41.37709,0.00119,0,0,0,,,,,7.872822,,7.829638,,8.249,,,,,,
NGC5426,210.85365,-6.06987,0.00891,261,0,1,8.466,8.456555,,,8.603,8.57534,8.655,8.621643,8.641,8.609117,,,8.922,8.867428,
NGC5427,210.85875,-6.03059,0.00636,0,1,0,,,,,,,,,,,,,,,
NGC5457,210.8025,54.34906,0.0016,300,7,3,8.405,8.283311,8.399,8.278788,8.452,8.319265,8.528,8.379259,8.617,8.452168,8.866,8.668518,8.77,8.58322,-1.005
NGC5474,211.2564,53.66224,0.00154,199,1,1,8.231,6.991469,8.179,6.954409,8.313,7.052406,8.377,7.101938,8.379,7.103512,8.697,7.370723,8.59,7.277445,-1.357
NGC5477,211.3887,54.46096,0.00152,2,1,0,7.815,5.579836,,,7.938,5.699208,7.908,5.670003,8.107,5.864605,,,,,
NGC5480,211.59,50.72514,0.00643,88,7,13,8.491,7.643956,8.588,7.719724,8.651,7.770822,8.754,7.857188,8.905,7.989171,9.099,8.165992,9.031,8.103235,-0.694
NGC5485,211.7973,55.00162,0.00577,2,1,1,,,,,,,,,,,,,,,
NGC5486,211.854,55.10301,0.00769,4,0,0,8.248,7.510966,8.237146,7.501922,8.33,7.580461,8.283,7.540383,8.361,7.607235,8.3461,7.594334,8.463,7.697051,-1.310911
NGC5496,212.90865,-1.16048,0.00507,8,3,0,8.204,7.735586,8.204,7.735586,8.361,7.876563,8.432,7.941873,8.384,7.897625,8.773,8.264967,8.654,8.150771,-1.326
NGC5506,213.31185,-3.20762,0.00535,1,1,0,8.219,7.176241,,,8.29,7.227821,8.382,7.29793,8.531,7.418375,,,8.524,7.412545,
NGC5507,213.33285,-3.1489,0.0077,0,1,0,,,,,,,,,,,,,,,
NGC5529,213.89205,36.22674,0.00998,5,0,0,,,,,9.24,,,,8.575,,,,,,
NGC5560,215.0205,3.99192,0.00462,4,0,0,8.51,7.222221,,,8.848,7.515221,8.698,7.38152,8.622,7.315871,8.81539,7.485739,8.97,7.627248,
NGC5566,215.08275,3.93335,0.00452,1,0,0,,,,,9.46,,,,8.69,,,,,,
NGC5569,215.13375,3.9831,0.0039,1,0,0,8.366,7.082363,,,8.569,7.212157,8.518,7.177519,8.442,7.128386,,,8.76,7.352723,
NGC5577,215.3046,3.43581,0.00432,4,0,0,8.465,7.277611,,,8.66,7.411159,8.618,7.380828,8.552,7.334858,8.41083,7.243991,8.87,7.574036,
NGC5584,215.59905,-0.38759,0.00633,261,0,3,8.36,7.967921,8.436,8.023441,8.542,8.105018,8.608,8.158013,8.497,8.069828,8.976,8.477426,8.865,8.377511,-0.974
NGC5636,217.41255,3.26629,0.00665,2,0,0,8.51,7.1236,,,8.687,7.255972,8.762,7.315898,8.836,7.376958,,,9.055,7.567013,
NGC5638,217.4184,3.2333,0.00585,0,0,0,,,,,,,,,,,,,,,
NGC5645,217.66425,7.27499,0.00335,2,0,0,8.261,7.116253,8.213491,7.081985,8.373,7.200976,8.38,7.206443,8.347,7.18084,8.39464,7.21794,8.602,7.388877,-1.396177
NGC5658,218.11875,0.29404,0.00519,3,1,0,8.265,6.837041,8.28,6.84822,8.407,6.946607,8.425,6.961057,8.397,6.93863,8.524,7.04254,8.655,7.154969,-1.386
NGC5667,217.5954,59.46974,0.00751,2,1,0,8.273,7.559135,,,8.285,7.568647,8.306,7.585421,8.34,7.612919,,,8.492,7.740488,
NGC5668,218.35125,4.45033,0.00604,54,0,0,8.366,7.961349,8.342,7.945146,8.508,8.062903,8.562,8.103895,8.538,8.085525,8.828,8.321634,8.821,8.315615,-1.183
NGC5669,218.1825,9.89128,0.00329,5,1,0,8.348,7.351809,8.341038,7.346502,8.439,7.422967,8.506,7.477334,8.563,7.524778,8.44319,7.42632,8.787,7.720089,-1.257377
NGC5689,218.8737,48.74147,0.00799,1,2,0,,,,,,,,,,,,,,,
NGC5690,219.42105,2.2909,0.00438,4,1,0,8.415,8.150366,8.448,8.180357,8.536,8.261285,8.704,8.418981,8.879,8.586596,8.993,8.697117,8.98,8.684471,-0.991
NGC5691,219.4722,-0.39882,0.00678,7,0,1,8.382,7.605034,8.428,7.645171,8.574,7.775818,8.555,7.758564,8.494,7.703657,8.877,8.058718,8.801,7.986599,-1.102
NGC5693,219.04665,48.58492,0.00867,1,0,0,8.404,7.587906,,,8.524,7.688796,8.525,7.689654,8.575,7.73294,,,8.767,7.904659,
NGC5701,219.79605,5.36329,0.00586,3,0,0,8.666,8.521813,8.696,8.549682,8.703,8.556204,8.556,8.4209,8.821,8.667145,9.088,8.923548,8.843,8.688017,-0.726
NGC5705,219.95745,-0.71837,0.00469,7,1,0,8.262,7.439545,8.267,7.443275,8.437,7.576129,8.506,7.633073,8.39,7.538283,8.76,7.854439,8.747,7.842733,-1.305
NGC5713,220.0479,-0.28904,0.00308,11,2,0,8.508,7.741022,8.577,7.803507,8.596,7.820872,8.658,7.877972,8.859,8.066908,9.09,8.289249,8.915,8.120387,-0.728
NGC5719,220.2348,-0.31808,0.00593,1,0,1,,,,,,,,,,,,,,,
NGC5728,220.5996,-17.25301,0.00624,4,9,6,8.647,8.034083,,,8.885,8.248304,8.841,8.20786,8.846,8.212439,,,9.148,8.495818,
NGC5740,221.1018,1.67975,0.00656,3,0,2,8.555,7.971947,8.56,7.976204,8.691,8.09015,8.673,8.074235,8.818,8.204439,9.002,8.375122,8.94,8.317038,-0.886
NGC5746,221.23335,1.95472,0.00607,30,0,10,8.616,8.605392,,,8.854,8.807723,8.861,8.813908,8.851,8.805076,,,9.169,9.09562,
NGC5750,221.5464,-0.22296,0.00667,2,1,0,8.596,7.852893,8.597,7.853778,8.854,8.087987,8.761,8.001855,8.836,8.071212,9.032,8.256129,9.042,8.26568,-0.834
NGC5777,222.8244,58.97809,0.00962,0,0,2,,,,,,,,,,,,,,,
NGC5850,226.78185,1.54465,0.00451,1,1,0,,,,,9.426,,,,8.761,,,,,,
NGC5899,228.76365,42.0498,0.00958,0,1,0,,,,,,,,,,,,,,,
NGC5907,228.9735,56.32891,0.00387,6,0,0,8.485,8.510888,,,8.586,8.591705,8.548,8.560861,8.537,8.552028,,,8.795,8.769468,
NGC6143,245.42625,55.08582,0.01764,1,0,0,,,,,,,,,,,,,,,
NGC6221,253.1922,-59.21777,0.00248,0,0,0,,,,,,,,,,,,,,,
NGC6300,259.2474,-62.8202,0.00241,0,0,1,,,,,,,,,,,,,,,
NGC6673,281.2761,-62.29723,0.00242,0,0,0,,,,,,,,,,,,,,,
NGC6703,281.82855,45.55056,0.00593,0,0,0,,,,,,,,,,,,,,,
NGC6814,295.6692,-10.3237,0.00512,1,0,0,,,,,8.175,,8.365,,8.826,,,,8.58,,
NGC6822,296.2374,-14.80034,0.0001,2,1,0,7.886879,5.619544,7.839721,5.579335,7.876097,5.610295,7.892654,5.624512,8.122537,5.828843,,,,,-1.493713
NGC6946,308.71905,60.15361,0.00151,14,0,1,8.549,8.333025,8.405,8.212083,8.647,8.418683,8.746,8.507484,8.85,8.602814,8.972,8.716815,8.981,8.725304,-1.022
NGC7090,324.12045,-54.55761,0.00213,1,0,0,,,,,8.442,,8.435,,8.375,,,,8.667,,
NGC7172,330.50745,-31.87015,0.00761,1,1,0,,,,,,,,,,,,,,,
NGC7314,338.94165,-26.0505,0.00354,0,0,1,,,,,,,,,,,,,,,
NGC7320,339.01425,33.94816,0.00324,14,0,0,8.254,6.654885,8.233,6.639375,8.378,6.750262,8.442,6.801818,8.38,6.751851,8.716,7.036925,8.671,6.996948,-1.313
NGC7331,339.2673,34.41562,0.00326,8,0,2,8.562,8.370895,8.519,8.339569,8.676,8.457823,8.619,8.413682,8.838,8.589837,8.979,8.71137,8.88,8.625461,-0.94
NGC7463,345.46665,15.9816,0.00512,1,0,0,,,,,,,,,,,,,,,
NGC7465,345.504,15.96465,0.00611,0,1,1,,,,,,,,,,,,,,,
NGC7552,349.0449,-42.58428,0.00644,33,1,93,8.53,8.788525,,,8.721,8.970468,8.704,8.954129,8.741,8.989722,,,9.002,9.243503,
NGC7582,349.59675,-42.36999,0.0043,13,25,21,8.565,8.10741,,,8.686,8.211373,8.746,8.264338,8.862,8.368969,,,9.025,8.520033,
UGC07991,192.6624,1.46453,0.00458,2,1,0,8.284,6.815672,,,8.502,6.957482,8.553,6.994093,8.415,6.897929,8.31373,6.833525,8.8,7.186922,
NGC7625,350.12565,17.22561,0.00516,17,0,8,8.589,7.988218,8.613,8.010044,8.697,8.087247,8.777,8.161812,8.965,8.340206,9.094,8.464573,9.064,8.435535,-0.107
NGC7667,351.09615,-0.10784,0.00399,4,1,0,8.049674,6.602279,7.898784,6.454616,8.095413,6.647238,8.138573,6.689733,8.304389,6.853521,,,8.509,7.056486,-1.511407
NGC7689,353.3196,-54.09453,0.00546,0,0,1,,,,,,,,,,,,,,,
NGC7690,353.2602,-51.69842,0.0048,0,0,0,,,,,,,,,,,,,,,
NGC7694,353.3163,-2.70299,0.00317,2,0,0,,,,,8.36,,8.386,,8.374,,,,8.6,,
NGC7716,354.1311,0.29729,0.00804,88,7,33,8.515,8.01214,8.583,8.071972,8.73,8.204774,8.652,8.133766,8.604,8.090669,9.008,8.465495,8.915,8.377164,-0.868
NGC7721,354.70215,-6.51798,0.00713,105,0,3,8.497,8.368273,,,8.687,8.520306,8.745,8.569173,8.75,8.573433,,,9.029,8.821002,
NGC7755,356.96565,-30.52209,0.00672,79,0,17,8.509,8.228978,,,8.732,8.420895,8.752,8.438728,8.693,8.386383,,,9.028,8.692494,
NGC7757,357.1896,4.17099,0.00356,0,0,1,,,,,,,,,,,,,,,
NGC7764,357.7242,-40.73021,0.0046,1,0,0,,,,,8.458,,8.449,,8.219,,,,8.684,,
NGC7793,359.4573,-32.59104,0.00084,49,1,2,8.408,7.095288,8.331,7.042048,8.412,7.098132,8.468,7.138731,8.675,7.300243,8.841,7.440551,8.711,7.329951,-1.16
PGC008962,35.36925,-4.4131,0.00685,4,2,1,7.976,6.666543,8.102,6.787011,8.252,6.932154,8.288,6.967211,8.394,7.070839,8.542,7.216347,8.471,7.146439,-1.464
PGC009485,37.38195,-3.213,0.0072,1,0,0,,,,,8.636,,8.653,,8.827,,,,8.92,,
PGC012608,50.4654,-15.71055,0.00621,1,0,0,,,,,,,,,,,,,,,
PGC028759,149.3784,69.27771,0.00086,0,0,0,,,,,,,,,,,,,,,
PGC029653,152.75325,-4.69282,0.00029,4,0,0,7.608432,5.075912,,,8.001111,5.462621,8.071055,5.531956,,,,,8.132537,5.592978,
PGC039052,183.50925,6.72318,0.00885,2,0,0,8.436,6.923135,,,8.74,7.190139,8.669,7.125852,8.525,6.998881,,,8.933,7.369251,
PGC039799,185.08845,0.36679,0.00142,1,1,0,,,,,,,,,,,,,,,
PGC040045,185.5317,15.79918,0.00209,2,0,0,,,,,8.596,,,,8.582,,,,,,
PGC041994,188.9661,13.8584,0.00949,1,0,0,,,,,,,,,,,,,,,
PGC042068,189.14565,8.05471,0.00169,2,0,0,8.239,5.048776,8.409656,5.208943,8.454,5.25114,8.426,5.224471,8.409,5.20832,,,8.654,5.44369,-1.082125
PGC042160,189.4224,8.55898,0.00361,3,0,0,8.169,6.207703,8.365853,6.352966,8.237,6.255915,8.202,6.230826,8.275,6.28379,,,8.361,6.349185,-1.110548
PGC044532,194.7576,34.86082,0.00223,5,1,0,7.968719,6.506689,7.974335,6.511822,8.009818,6.544381,7.974322,6.51181,8.228442,6.749158,8.553,7.062247,8.061982,6.592628,-1.485626
PGC046875,201.16335,-10.48849,0.00923,0,0,0,,,,,,,,,,,,,,,
PGC065367,311.7156,-12.84767,0.00022,0,0,0,,,,,,,,,,,,,,,
PGC072006,354.70305,-5.7469,0.00691,0,0,0,,,,,,,,,,,,,,,
PGC090942,146.39535,-14.40249,0.00811,0,0,0,,,,,,,,,,,,,,,
PGC091228,191.75265,32.65158,0.00442,1,0,0,8.16,5.94786,,,8.378,6.146212,8.57,6.327054,8.213,5.995231,,,8.818,6.566118,
PGC166069,43.92825,58.86062,0.00092,0,0,0,,,,,,,,,,,,,,,
PGC166071,47.9955,60.34689,0.00959,0,0,0,,,,,,,,,,,,,,,
PGC166077,56.30385,67.86466,0.00071,0,0,0,,,,,,,,,,,,,,,
PGC166755,337.308,75.36707,0.00707,0,0,0,,,,,,,,,,,,,,,
PGC166861,55.81335,68.2611,0.00474,0,0,0,,,,,,,,,,,,,,,
PGC2807061,105.1176,-4.20713,0.00038,0,0,0,,,,,,,,,,,,,,,
SDSSJ121727.85+071937.6,184.3659,7.32688,0.0031,0,0,0,,,,,,,,,,,,,,,
SDSSJ140638.13+545947.6,211.65885,54.99658,0.007,1,0,0,,,,,,,,,,,,,,,
UGC00300,7.5174,3.51291,0.004,0,1,0,7.981,6.162875,7.993,6.174474,8.09,6.268602,8.085,6.263735,8.277,6.451555,8.668,6.838047,,,-1.429
UGC00313,7.8588,6.20675,0.00636,2,0,0,8.304,6.709361,8.362,6.740081,8.512,6.82834,8.548,6.851355,8.398,6.760114,8.765,7.003807,8.797,7.028112,-1.231
UGC00320,8.1285,2.57422,0.00927,0,0,0,,,,,,,,,,,,,,,
UGC00772,18.4143,0.87459,0.00357,3,0,0,,,,,7.843,,8.045,,7.754,,,,,,
UGC00931,20.81055,-0.70107,0.00715,2,0,0,7.952,6.795068,,,8.195,6.968842,8.258,7.018113,8.317,7.065612,,,8.441,7.169248,
UGC02392,43.9434,33.76658,0.00595,1,0,0,,,,,,,,,,,,,,,
UGC02826,55.9398,68.30131,0.00473,1,0,0,,,,,,,,,,,,,,,
UGC03016,65.33325,36.76014,0.00675,0,0,0,,,,,,,,,,,,,,,
UGC03701,107.92785,72.16919,0.00967,49,0,4,8.36,7.628284,,,8.49,7.742455,8.542,7.78921,8.456,7.712201,,,8.795,8.023496,
UGC04305,124.7682,70.72167,0.00078,9,0,0,7.772,6.151384,7.785,6.163377,8.011,6.375702,8.052,6.414865,8.156,6.514886,,,8.145,6.504265,-1.516
UGC04483,129.26415,69.77639,0.00079,2,0,0,7.588646,4.759132,7.554691,4.727008,7.821804,4.982816,7.945637,5.103292,7.885124,5.044304,7.86063,5.020488,,,-1.541619
UGC04549,131.08935,58.84196,0.005,2,0,0,8.473,7.331217,,,8.738,7.551886,8.629,7.458441,8.522,7.370259,,,8.888,7.685363,
UGC04551,131.02455,49.79396,0.0063,3,1,0,,,,,,,,,,,,,,,
UGC04684,134.1696,0.37501,0.00848,1,0,0,8.35,7.530082,,,8.55,7.712931,8.578,7.739059,8.422,7.595064,,,8.831,7.979443,
UGC08032,193.68405,13.2371,0.00311,1,0,0,8.445,6.483728,,,8.619,6.598356,8.818,6.7471,8.879,6.795919,,,9.133,7.01204,
UGC05139,145.1346,71.1833,0.0009,3,0,0,7.923,5.785143,7.96,5.821713,8.101,5.961369,8.119,5.979226,8.269,6.128241,,,8.182,6.041771,-1.4
UGC05340,149.19135,28.82783,0.00287,2,0,0,,,,,8.012,,8.238,,7.871,,,,8.415,,
UGC05373,150.00015,5.33223,0.00032,4,1,0,7.69411,5.008934,,,8.077079,5.347031,8.157669,5.421927,,,,,8.267475,5.525408,
UGC05423,151.3785,70.36444,0.00199,3,0,0,,,,,,,,,,,8.37846,,,,
UGC05454,151.7958,12.65128,0.00972,1,0,0,8.077,7.017328,,,8.192,7.12689,8.167,7.102958,8.28,7.211567,,,8.321,7.251227,
UGC05612,156.02775,70.8822,0.00429,0,0,0,,,,,,,,,,,,,,,
UGC05686,157.67835,74.22752,0.00969,0,0,0,,,,,,,,,,,,,,,
UGC05689,157.69125,73.88542,0.0105,1,0,0,,,,,,,,,,,,,,,
UGC05692,157.64505,70.62139,0.00088,3,0,0,8.183,5.148196,8.212,5.161775,8.314,5.213376,8.346,5.230795,8.367,5.242543,8.698,5.459021,8.558,5.360581,-1.327
UGC05720,158.13285,54.40104,0.00559,6,1,0,8.426644,7.102307,8.445117,7.118524,8.475078,7.145,8.438572,7.112768,8.36228,7.046492,8.44319,7.116828,8.668383,7.320342,-1.071631
UGC05846,161.1237,60.37023,0.00433,1,0,0,,,,,,,,,,,,,,,
UGC05958,162.816,27.84872,0.00526,3,1,0,8.344,6.919977,,,8.616,7.101458,8.582,7.076771,8.457,6.990773,8.42701,6.971317,8.833,7.270441,
UGC05990,163.1598,34.48293,0.00577,11,0,2,8.335,6.937859,8.478,7.035432,8.5,7.051324,8.513,7.060818,8.475,7.033283,8.901,7.374359,8.758,7.252766,-1.057
UGC06016,163.5537,54.28721,0.00596,1,0,0,8.044,7.250793,,,8.16,7.365751,8.116,7.322114,8.234,7.439217,,,8.235,7.440211,
UGC06023,163.5873,27.24023,0.00624,85,0,4,8.43,7.446911,8.49658,7.49792,8.579,7.563476,8.621,7.597825,8.536,7.528957,8.36228,7.39698,8.879,7.820364,-0.901736
UGC06324,169.5921,18.73836,0.00419,0,1,0,,,,,,,,,,,,,,,
UGC06341,170.0025,18.2605,0.00664,1,0,0,8.094,6.533173,,,8.322,6.757037,8.456,6.889436,8.319,6.754079,,,8.694,7.12556,
UGC06566,173.9316,58.19238,0.00516,0,1,0,,,,,,,,,,,,,,,
UGC06575,174.11025,58.19077,0.00775,4,0,0,8.191,7.536772,8.049,7.429089,8.423,7.728773,8.411,7.718432,8.405,7.713277,8.498,7.794258,8.632,7.914493,-1.557
UGC06879,178.6044,-2.31961,0.0072,2,0,0,8.395,7.514217,,,8.605,7.678874,8.607,7.680521,8.492,7.588136,,,8.864,7.901899,
UGC06998,180.1986,-0.02306,0.00696,2,0,0,8.241,7.072781,8.09,6.935433,8.274,7.103333,8.295,7.122863,8.218,7.051591,8.607,7.419357,8.498,7.31462,-1.503
UGC07035,180.9174,2.64136,0.00551,2,0,0,8.231,6.577188,8.203917,6.555057,8.317,6.649055,8.311,6.643967,8.312,6.644814,8.37846,6.701772,8.518,6.825046,-1.394217
UGC07086,181.48365,77.50514,0.0065,0,0,0,,,,,,,,,,,,,,,
UGC07089,181.49115,43.14402,0.00263,3,1,0,8.352942,6.834292,8.358162,6.837113,8.617,6.995956,8.421868,6.872792,8.509,6.925267,8.44319,6.885245,8.648284,7.017542,-1.331741
UGC07094,181.5447,42.95574,0.00241,2,0,0,8.196073,6.139789,8.239231,6.177988,8.604,6.514747,8.496442,6.413323,8.506,6.422276,8.42701,6.348678,8.736111,6.641053,-1.33094
UGC07178,182.7651,2.00573,0.00568,4,0,0,8.287,7.059495,8.474,7.242824,8.492,7.260546,8.514,7.282221,8.478,7.246761,,,8.759,7.524515,-1.062
UGC07184,182.8329,1.49236,0.00747,5,2,0,8.246,7.21616,8.122,7.117295,8.475,7.411823,8.503,7.436696,8.458,7.39681,8.355,7.307422,8.743,7.656212,-1.473
UGC07249,183.6552,12.81241,0.00615,3,0,0,8.044,6.903533,8.121842,6.955034,8.222,7.025723,8.352,7.124196,8.253,7.048548,,,8.561,7.295839,-1.383038
UGC07321,184.3914,22.54026,0.00524,2,0,0,8.19,7.652506,8.265,7.713683,8.415,7.841357,8.474,7.893245,8.377,7.808406,8.545,7.956749,8.716,8.113666,-1.383
UGC07387,185.0724,4.20161,0.00857,1,0,0,8.408,7.456233,,,8.611,7.606669,8.671,7.654397,8.671,7.654397,,,8.934,7.877452,
