Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
IC3476,188.1744,14.05072,0.0026,85,2,3,8.354,6.416129,8.616362,6.578249,8.527,6.518878,8.611,6.574572,8.462,6.478333,,,8.866,6.76399,-0.474508
IC3517,188.6286,9.15479,0.00354,1,0,0,8.205,6.144925,,,8.393,6.230472,8.444,6.257171,8.371,6.219417,,,8.675,6.396375,
IC3521,188.66355,7.1584,0.00387,4,0,0,8.542,6.936793,,,8.554,6.946708,8.789,7.149366,8.887,7.237814,,,8.722,7.090098,
IC3611,189.7671,13.36341,0.00996,2,0,0,8.246,7.176621,,,8.425,7.257883,8.333,7.213837,8.386,7.238618,8.54029,7.319939,8.543,7.321488,
IC3631,189.94995,12.97393,0.00961,3,0,0,,,,,8.89,,8.888,,8.376,,,,9.19,,
IC3718,191.18955,12.35146,0.00152,1,0,0,,,,,8.671,,,,8.526,,,,,,
IC4213,198.0465,35.67015,0.00452,3,1,0,8.213,7.010799,8.219,7.015177,8.367,7.128039,8.35,7.114622,8.395,7.150374,8.721,7.428646,8.566,7.292575,-1.351
IC5270,344.47875,-35.85804,0.00554,1,0,0,,,,,8.627,,8.676,,8.798,,,,8.943,,
IC5334,353.65155,-4.53399,0.01021,0,0,0,,,,,,,,,,,,,,,
NGC0007,2.08695,-29.91534,0.00463,2,0,0,,,,,8.576,,,,8.432,,,,,,
NGC0115,6.6933,-33.67698,0.00644,1,1,0,,,,,,,,,,,,,,,
NGC0131,7.41045,-33.25987,0.00429,2,0,0,,,,,8.805,,8.668,,8.615,,,,8.932,,
NGC0148,8.56455,-31.78615,0.00589,0,0,0,,,,,,,,,,,,,,,
NGC0150,8.56455,-27.8037,0.00473,1,0,1,,,,,8.406,,8.448,,8.424,,,,8.674,,
NGC0254,11.8665,-31.42211,0.00384,1,1,0,,,,,,,,,,,,,,,
NGC0289,13.17645,-31.20581,0.00467,63,0,34,8.597,8.676498,,,8.809,8.878852,8.821,8.89043,8.878,8.945569,,,9.118,9.179889,
NGC0300,13.72305,-37.68448,0.00045,152,1,14,8.27,7.30972,8.282,7.318821,8.432,7.437396,8.545,7.53191,8.489,7.484569,8.851,7.804524,8.768,7.72861,-1.18
NGC0337,14.95875,-7.57818,0.00409,6,0,0,8.304012,7.654013,8.373716,7.712651,8.534,7.852598,8.565,7.880373,8.36,7.700996,8.44319,7.772502,8.816,8.111729,-1.147262
NGC0428,18.23175,0.98168,0.00332,10,0,1,8.218,7.517937,,,8.294,7.581871,8.189,7.494026,8.367,7.644857,,,8.379,7.655346,
NGC0450,18.87675,-0.86092,0.00392,11,0,0,8.268811,7.310201,8.08225,7.179679,8.355734,7.376419,8.353636,7.374784,8.388031,7.401801,,,8.567517,7.549599,-1.322198
NGC0493,20.53785,0.94576,0.00514,9,1,0,8.31,7.594513,,,8.39,7.653688,8.442,7.69362,8.387,7.651418,,,8.716,7.920101,
NGC0520,21.14445,3.7942,0.00678,1,0,1,,,,,9.069465,,,,8.91248,,,,,,
NGC0584,22.8363,-6.86805,0.00448,1,0,0,,,,,,,,,,,,,,,
NGC0586,22.90365,-6.89375,0.0056,0,1,0,,,,,,,,,,,,,,,
NGC0613,23.5758,-29.41844,0.00593,13,5,22,8.561,8.602171,,,8.789,8.80098,8.796,8.80728,8.821,8.829862,,,9.085,9.074812,
NGC0625,23.77125,-41.43676,0.0009,93,0,1,8.034952,5.997746,8.171239,6.109196,8.266768,6.190814,8.35958,6.272426,8.427434,6.333338,,,8.574712,6.468547,-1.322608
NGC0628,24.174,15.78332,0.00228,746,0,36,8.488,8.461338,8.496,8.468306,8.605,8.564788,8.693,8.644545,8.824,8.765789,8.992,8.924704,8.971,8.904666,-0.884
NGC0678,27.35355,21.99728,0.00626,0,0,0,,,,,,,,,,,,,,,
NGC0855,33.51495,27.87685,0.00216,3,0,0,,,,,,,,,,,,,,,
NGC0891,35.6397,42.34712,0.00221,0,0,0,,,,,8.739,,,,8.218,,,,,,
NGC0895,35.40195,-5.52139,0.00793,7,2,1,8.434,8.339728,8.367,8.288696,8.7,8.558601,8.62,8.490356,8.608,8.480283,8.839,8.681159,8.875,8.713611,-1.18
NGC0925,36.82035,33.579,0.00207,91,0,0,8.303,7.900155,8.223,7.830313,8.338,7.931203,8.394,7.981442,8.369,7.958931,8.726,8.290317,8.608,8.17873,-1.298
NGC1052,40.2699,-8.2558,0.00394,0,4,1,,,,,,,,,,,,,,,
NGC1056,40.70145,28.57372,0.007,43,13,29,8.417796,8.031452,8.401,8.016594,8.587791,8.185183,8.567436,8.166484,8.511892,8.11584,8.908,8.486964,8.816164,8.399175,-1.241
NGC1068,40.66965,-0.01324,0.00227,40,69,75,8.634581,8.293244,8.638,8.296366,8.771045,8.419374,8.758494,8.407654,8.882515,8.524385,9.092,8.725274,9.043035,8.677977,-0.678
NGC1097,41.57955,-30.27497,0.00331,30,9,17,8.527,8.387006,8.602,8.451294,8.803,8.630436,8.576,8.428829,8.804,8.631348,9.032,8.84354,8.899,8.718816,-0.819
NGC1140,43.6398,-10.02833,0.00407,3,0,0,8.260972,7.280562,8.29379,7.311315,8.257768,7.277567,8.269889,7.288904,8.252068,7.272244,8.37846,7.391291,8.472142,7.480697,-1.2352
NGC1189,45.85215,-15.62342,0.00754,0,0,0,,,,,,,,,,,,,,,
NGC1222,47.2365,-2.95531,0.00696,1,0,0,,,,,8.46,,8.366,,8.412,,,,8.585,,
NGC1320,51.20295,-3.04223,0.00846,0,1,0,,,,,,,,,,,,,,,
NGC1351A,52.20315,-35.17825,0.00436,0,0,0,,,,,,,,,,,,,,,
NGC1365,53.40165,-36.14051,0.00388,95,31,34,8.548,8.579253,8.528,8.564655,8.634,8.644021,8.673,8.674402,8.852,8.820922,8.989,8.939655,8.935,8.892265,-0.885
NGC1412,55.12245,-26.86225,0.00528,0,1,0,,,,,,,,,,,,,,,
NGC1427A,55.03875,-35.62451,0.00368,71,0,0,8.135,7.005798,,,8.341,7.194377,8.452,7.298721,8.437,7.28453,,,8.683,7.520115,
