source_name,normalized_name,profile_type,break_radius_kpc,break_radius_error_kpc,inner_scale_kpc,inner_scale_error_kpc,outer_scale_kpc,outer_scale_error_kpc
NGC1543,NGC1543,II,13.29,0.58,17.84,0.0,2.9,0.0
NGC1553,NGC1553,I,,,4.3,0.1,,
NGC0157,NGC157,II,6.4,0.06,7.68,0.6,2.26,0.0
NGC1574,NGC1574,II,7.03,0.11,2.62,0.06,1.98,0.01
NGC1637,NGC1637,II,3.85,0.08,5.51,0.92,1.27,0.02
NGC1637,NGC1637,III,7.76,0.08,1.27,0.02,2.38,0.01
NGC1640,NGC1640,I,,,2.14,0.02,,
NGC1672,NGC1672,II,11.17,0.21,10.21,4.33,3.29,0.03
NGC1703,NGC1703,I,,,2.01,0.01,,
NGC1792,NGC1792,II,4.15,0.08,5.94,2.07,1.64,0.01
NGC0210,NGC210,II,12.11,0.06,17.83,0.47,2.83,0.06
NGC2196,NGC2196,I,,,3.73,0.04,,
NGC2217,NGC2217,II,10.95,0.7,18.59,0.0,3.43,0.0
NGC2273,NGC2273,II,6.75,0.35,4.94,1.69,3.12,0.03
NGC2300,NGC2300,I,,,4.33,0.07,,
NGC2380,NGC2380,I,,,3.83,0.11,,
NGC2523,NGC2523,II.i,,,4.97,0.08,,
NGC0254,NGC254,II,5.76,0.14,3.39,0.46,2.17,0.0
NGC2633,NGC2633,II,6.56,0.15,7.18,1.37,2.05,0.02
NGC2655,NGC2655,II,10.05,0.03,4.05,0.04,1.53,0.02
NGC2681,NGC2681,II,3.72,0.09,1.44,0.05,1.01,0.01
NGC2742,NGC2742,II,5.47,0.15,2.51,0.11,1.38,0.02
NGC2775,NGC2775,III,8.11,0.18,2.45,0.06,4.84,0.04
NGC2776,NGC2776,I,,,3.27,0.07,,
NGC2782,NGC2782,III,14.42,0.1,2.96,0.03,19.26,0.0
NGC2787,NGC2787,I,,,1.14,0.01,,
NGC2855,NGC2855,I,,,3.11,0.12,,
NGC2859,NGC2859,II,12.75,0.67,28.11,0.0,3.36,0.0
NGC2902,NGC2902,I,,,2.02,0.03,,
NGC2906,NGC2906,II,2.57,0.59,2.4,0.7,1.55,0.04
NGC2911,NGC2911,I,,,6.98,0.14,,
NGC2950,NGC2950,I,,,2.88,0.06,,
NGC2962,NGC2962,II,9.07,0.17,6.02,1.97,2.54,0.01
NGC2964,NGC2964,I,,,1.61,0.01,,
NGC2967,NGC2967,III,7.84,0.1,1.76,0.02,2.62,0.03
NGC2968,NGC2968,I,,,3.3,0.06,,
NGC2983,NGC2983,II,6.78,0.19,3.59,0.58,2.05,0.01
NGC2985,NGC2985,III,11.11,0.1,2.72,0.06,7.07,0.02
NGC3041,NGC3041,II,5.78,0.76,3.56,0.36,2.15,0.12
NGC3065,NGC3065,II,4.17,0.13,3.03,0.29,1.7,0.01
NGC3081,NGC3081,II,13.09,0.29,4.64,0.53,3.42,0.09
NGC3100,NGC3100,III,15.12,1.96,4.67,0.32,6.07,0.3
NGC3166,NGC3166,II,9.96,0.15,3.84,0.13,2.88,0.01
NGC3177,NGC3177,III,2.18,0.18,0.53,0.03,0.89,0.04
NGC3184,NGC3184,II,4.54,0.07,5.39,0.89,1.83,0.01
NGC3185,NGC3185,II,7.05,0.14,2.06,0.25,1.25,0.06
NGC3245,NGC3245,III,6.07,2.37,1.46,0.42,1.86,0.14
NGC3277,NGC3277,I,,,2.55,0.04,,
NGC3294,NGC3294,II,4.19,0.14,4.1,0.59,1.8,0.01
NGC3310,NGC3310,III,3.3,0.15,0.83,0.04,2.04,0.11
NGC3351,NGC3351,II,7.27,0.06,5.17,0.3,2.14,0.01
NGC3358,NGC3358,II,16.87,1.0,29.77,0.0,3.18,0.0
NGC3359,NGC3359,I,,,3.05,0.12,,
NGC3384,NGC3384,II,5.09,0.26,1.99,0.1,1.49,0.01
NGC3412,NGC3412,II,3.06,0.12,1.64,0.06,1.18,0.01
NGC3423,NGC3423,II,5.28,0.14,2.99,1.04,1.5,0.01
NGC3430,NGC3430,I,,,2.28,0.06,,
NGC3489,NGC3489,III,2.39,0.27,0.72,0.02,0.84,0.03
NGC3504,NGC3504,II,6.33,0.15,3.88,2.16,1.74,0.01
NGC3507,NGC3507,II,5.65,0.14,1.7,0.08,1.23,0.0
NGC3516,NGC3516,III,3.68,0.56,1.19,0.2,3.42,0.41
NGC3599,NGC3599,I,,,1.27,0.03,,
NGC3607,NGC3607,I,,,1.38,0.04,,
NGC3619,NGC3619,I,,,3.52,0.11,,
NGC3626,NGC3626,I,,,2.22,0.02,,
NGC3627,NGC3627,III,11.73,0.39,2.52,0.03,4.05,0.12
NGC3631,NGC3631,II,7.16,0.14,4.22,0.43,1.79,0.01
NGC3642,NGC3642,III,6.94,0.24,2.0,0.1,5.75,0.17
NGC3673,NGC3673,II,14.78,0.16,6.84,0.57,2.84,0.03
NGC3681,NGC3681,I,,,1.46,0.05,,
NGC3682,NGC3682,III,5.73,0.1,1.8,0.03,3.13,0.04
NGC3684,NGC3684,III,5.09,0.07,1.17,0.02,2.32,0.08
NGC3686,NGC3686,II,6.15,0.07,1.92,0.03,1.21,0.01
NGC3705,NGC3705,I,,,1.74,0.03,,
NGC3706,NGC3706,I,,,6.46,0.13,,
NGC3729,NGC3729,II.i,,,1.42,0.02,,
NGC3780,NGC3780,II,10.5,0.05,4.46,0.04,2.26,0.01
NGC3810,NGC3810,II,6.36,0.07,2.52,0.55,0.77,0.0
NGC3887,NGC3887,II.i,,,1.82,0.04,,
NGC3888,NGC3888,I,,,1.57,0.12,,
NGC3892,NGC3892,II,9.69,0.21,4.51,0.33,2.91,0.01
NGC3893,NGC3893,I,,,1.58,0.12,,
NGC3898,NGC3898,I,,,2.56,0.08,,
NGC3900,NGC3900,III,12.56,0.27,3.13,0.08,5.47,0.12
NGC3904,NGC3904,III,24.1,0.4,6.9,0.16,20.93,0.75
NGC3938,NGC3938,I,,,1.72,0.02,,
NGC3941,NGC3941,I,,,1.22,0.02,,
NGC3945,NGC3945,II,11.25,0.1,6.2,0.4,1.53,0.04
NGC3949,NGC3949,III,3.78,0.15,0.8,0.03,1.35,0.05
NGC3953,NGC3953,II,10.96,0.12,3.37,0.05,1.86,0.02
NGC3982,NGC3982,I,,,0.7,0.01,,
NGC3992,NGC3992,II,9.25,0.19,12.39,2.3,2.56,0.01
NGC3998,NGC3998,III,6.23,0.62,1.4,0.1,2.55,0.19
NGC4041,NGC4041,I,,,1.46,0.04,,
NGC4045,NGC4045,III,8.98,0.11,2.54,0.03,3.86,0.02
NGC4050,NGC4050,II,12.47,0.06,4.36,0.17,1.98,0.03
NGC4102,NGC4102,II.i,,,1.0,0.02,,
NGC4123,NGC4123,II.i,,,2.43,0.03,,
NGC4133,NGC4133,III,5.38,0.09,1.06,0.01,2.15,0.06
NGC4138,NGC4138,III,3.33,0.16,0.91,0.03,1.28,0.03
NGC4143,NGC4143,I,,,0.77,0.01,,
NGC4145,NGC4145,II,8.79,0.1,5.55,0.07,2.49,0.05
NGC4150,NGC4150,II,0.53,0.04,0.21,0.01,0.17,0.0
NGC4151,NGC4151,II.i,,,1.27,0.0,,
NGC4162,NGC4162,I,,,2.05,0.01,,
NGC4189,NGC4189,II,7.66,0.5,2.57,0.22,1.94,0.05
NGC4203,NGC4203,II,4.69,0.14,2.38,0.11,1.74,0.01
NGC4245,NGC4245,II,4.54,0.11,1.96,0.24,1.44,0.0
NGC4250,NGC4250,II,13.72,0.1,20.39,0.0,2.96,0.35
NGC4254,NGC4254,II,25.35,0.2,6.26,0.1,3.14,0.04
NGC4262,NGC4262,III,6.69,0.05,1.3,0.01,3.84,0.11
NGC4267,NGC4267,I,,,1.9,0.04,,
NGC4273,NGC4273,I,,,2.42,0.03,,
NGC4314,NGC4314,II,7.18,0.05,3.43,0.16,1.35,0.01
NGC4321,NGC4321,II,17.57,0.2,6.8,0.22,4.68,0.06
NGC4339,NGC4339,I,,,1.8,0.04,,
NGC4340,NGC4340,I,,,2.57,0.17,,
NGC4369,NGC4369,II,3.54,0.17,1.38,0.09,1.1,0.01
NGC4371,NGC4371,I,,,2.53,0.01,,
NGC4378,NGC4378,II,15.74,0.19,8.93,3.32,3.88,0.06
NGC4380,NGC4380,II,4.12,0.04,3.67,0.18,1.57,0.0
NGC4380,NGC4380,III,8.28,0.06,1.57,0.0,2.99,0.07
NGC4389,NGC4389,I,,,1.0,0.03,,
NGC4414,NGC4414,III,4.74,0.06,1.01,0.02,2.0,0.02
NGC4424,NGC4424,III,3.39,0.34,0.89,0.02,1.27,0.08
NGC4450,NGC4450,II,13.58,0.31,7.99,1.27,4.85,0.01
NGC4454,NGC4454,II,9.86,0.16,4.96,0.43,2.69,0.01
NGC4457,NGC4457,I,,,2.47,0.04,,
NGC4472,NGC4472,I,,,10.01,0.26,,
NGC4477,NGC4477,II,6.8,0.11,3.85,0.21,1.96,0.02
NGC4487,NGC4487,II,6.35,0.21,2.7,0.45,1.76,0.02
NGC4501,NGC4501,III,33.41,0.57,5.86,0.17,11.68,0.29
NGC4504,NGC4504,III,8.94,0.07,1.94,0.01,3.41,0.06
NGC4528,NGC4528,I,,,1.41,0.05,,
NGC4535,NGC4535,II.i,,,5.54,0.09,,
NGC4546,NGC4546,I,,,2.15,0.05,,
NGC4548,NGC4548,II,3.96,0.03,2.09,0.06,0.98,0.0
NGC4552,NGC4552,I,,,2.14,0.05,,
NGC4571,NGC4571,II,1.86,0.05,0.85,0.04,0.56,0.0
NGC4578,NGC4578,II,12.08,0.28,4.28,0.18,2.22,0.06
NGC4579,NGC4579,I,,,4.39,0.02,,
NGC4580,NGC4580,III,5.63,0.12,1.04,0.01,1.61,0.07
NGC4593,NGC4593,II,18.81,0.06,7.9,0.15,3.46,0.01
NGC4596,NGC4596,II,13.45,0.1,6.93,0.31,3.87,0.01
NGC4606,NGC4606,III,8.18,0.07,2.17,0.02,3.36,0.01
NGC4608,NGC4608,II.i,,,4.01,0.04,,
NGC4612,NGC4612,II,8.94,3.41,5.09,3.93,2.46,2.9
NGC4612,NGC4612,III,6.23,4.13,1.6,0.11,5.09,3.93
NGC4639,NGC4639,I,,,1.23,0.04,,
NGC4643,NGC4643,II,8.7,0.09,4.3,0.15,2.28,0.01
NGC4651,NGC4651,III,7.5,0.12,1.61,0.02,3.01,0.04
NGC4654,NGC4654,I,,,2.19,0.03,,
NGC4665,NGC4665,II.i,,,1.77,0.01,,
NGC4689,NGC4689,II,6.63,0.12,6.02,0.4,2.6,0.04
NGC4689,NGC4689,III,9.7,0.1,2.6,0.04,4.75,0.03
NGC4691,NGC4691,III,9.36,0.54,2.04,0.06,3.31,0.69
NGC0470,NGC470,II.i,,,2.08,0.06,,
NGC4725,NGC4725,II,23.7,0.27,8.32,0.44,4.51,0.08
NGC4733,NGC4733,I,,,1.13,0.03,,
NGC4736,NGC4736,II,6.91,0.08,11.61,1.59,2.94,0.05
NGC0474,NGC474,III,18.11,0.15,4.24,0.02,19.96,3.56
NGC4750,NGC4750,I,,,2.23,0.01,,
NGC4753,NGC4753,I,,,4.94,0.07,,
NGC4772,NGC4772,II,8.52,0.13,3.37,0.41,1.81,0.03
NGC4781,NGC4781,II,5.36,0.06,2.63,0.06,1.49,0.01
NGC4795,NGC4795,II.i,,,3.25,0.02,,
NGC4800,NGC4800,III,3.89,0.89,0.66,0.08,1.71,0.41
NGC4814,NGC4814,III,7.9,0.28,1.72,0.04,5.09,0.26
NGC4826,NGC4826,II,6.65,0.25,1.49,0.02,1.16,0.02
NGC0484,NGC484,I,,,4.47,0.1,,
NGC4900,NGC4900,II,2.18,0.03,3.38,0.81,0.87,0.0
NGC4914,NGC4914,I,,,8.03,0.23,,
NGC4941,NGC4941,II,8.93,0.14,4.44,0.85,1.86,0.01
NGC4976,NGC4976,III,7.17,1.83,2.83,0.51,4.77,0.7
NGC4981,NGC4981,II,8.7,0.19,2.53,0.1,1.8,0.02
NGC4984,NGC4984,II,13.77,0.18,4.14,0.05,2.44,0.12
NGC5012,NGC5012,II,14.34,0.17,2.88,0.02,1.7,0.04
NGC5018,NGC5018,III,15.68,0.59,4.28,0.15,8.22,0.24
NGC5026,NGC5026,II,26.45,1.1,11.17,0.87,8.42,0.12
NGC5042,NGC5042,I,,,2.76,0.06,,
NGC5054,NGC5054,I,,,4.27,0.03,,
NGC5055,NGC5055,III,7.47,0.2,2.13,0.04,3.33,0.06
NGC5068,NGC5068,II,7.03,0.01,3.21,0.03,1.65,0.0
NGC0507,NGC507,I,,,9.76,0.55,,
NGC5085,NGC5085,II,7.68,0.08,8.46,0.35,3.23,0.01
NGC5101,NGC5101,II,18.1,0.03,13.11,0.22,4.14,0.02
NGC5121,NGC5121,II,3.7,0.11,1.7,0.14,1.19,0.0
NGC5134,NGC5134,II,12.69,0.08,5.49,0.16,2.0,0.07
NGC5145,NGC5145,I,,,1.56,0.02,,
NGC5206,NGC5206,I,,,1.52,0.05,,
NGC5218,NGC5218,III,12.48,0.78,2.24,0.12,6.2,0.69
NGC5236,NGC5236,II.i,,,3.08,0.07,,
NGC0524,NGC524,III,4.83,1.56,1.88,0.56,3.49,0.52
NGC5247,NGC5247,II,9.45,0.05,23.55,2.83,2.96,0.01
NGC5248,NGC5248,I,,,2.64,0.07,,
NGC5266,NGC5266,III,18.05,3.04,6.4,0.56,9.25,0.68
NGC5273,NGC5273,II,3.1,0.27,1.61,0.07,1.28,0.02
NGC5300,NGC5300,II,6.35,0.03,2.88,0.01,1.56,0.01
NGC5313,NGC5313,II,5.07,0.3,2.93,3.97,1.34,0.03
NGC5326,NGC5326,I,,,6.09,0.16,,
NGC5333,NGC5333,III,7.12,2.91,2.21,0.79,3.41,0.69
NGC5364,NGC5364,II,14.53,0.19,4.77,0.09,2.66,0.04
NGC5365,NGC5365,II,14.92,0.16,12.78,0.88,3.72,0.05
NGC5375,NGC5375,II,10.53,0.15,7.35,0.75,2.9,0.03
NGC5376,NGC5376,II,4.7,0.11,2.09,0.06,1.53,0.01
NGC5377,NGC5377,II,14.51,0.03,9.12,0.17,2.71,0.02
NGC5419,NGC5419,I,,,10.65,0.14,,
NGC5427,NGC5427,II,7.28,0.14,6.45,2.87,2.73,0.0
NGC5430,NGC5430,I,,,3.08,0.04,,
NGC5457,NGC5457,I,,,2.15,0.03,,
NGC5485,NGC5485,I,,,2.27,0.05,,
NGC5507,NGC5507,III,7.16,0.05,1.3,0.01,2.52,0.04
NGC5595,NGC5595,II.i,,,2.13,0.03,,
NGC5631,NGC5631,I,,,2.0,0.02,,
NGC5676,NGC5676,III,16.62,1.89,2.61,0.03,5.17,0.84
NGC5701,NGC5701,II,11.17,0.5,18.24,3.08,2.15,0.36
NGC5713,NGC5713,I,,,2.2,0.09,,
NGC5728,NGC5728,II,20.31,0.15,13.32,1.45,4.15,0.02
NGC5740,NGC5740,I,,,1.73,0.05,,
NGC5750,NGC5750,II.i,,,1.92,0.06,,
NGC5770,NGC5770,I,,,1.5,0.03,,
NGC0578,NGC578,II,9.34,0.07,6.13,0.52,2.81,0.01
NGC5806,NGC5806,III,9.37,0.2,2.44,0.05,3.52,0.03
NGC0584,NGC584,I,,,3.5,0.08,,
NGC5850,NGC5850,II,21.61,0.21,14.45,1.61,4.71,0.04
NGC5861,NGC5861,II,8.74,0.14,3.43,0.36,1.82,0.01
NGC5898,NGC5898,I,,,3.26,0.1,,
NGC5921,NGC5921,II.i,,,2.61,0.03,,
NGC5937,NGC5937,III,8.32,0.19,1.72,0.03,3.31,0.07
NGC5962,NGC5962,III,8.26,0.61,2.06,0.09,2.82,0.1
NGC5970,NGC5970,I,,,2.12,0.11,,
NGC5982,NGC5982,I,,,2.86,0.11,,
NGC5985,NGC5985,II,9.42,0.17,16.69,7.42,4.67,0.01
NGC0613,NGC613,II.i,,,3.03,0.11,,
NGC6207,NGC6207,III,4.45,1.13,0.85,0.1,1.25,0.12
NGC6217,NGC6217,I,,,1.93,0.1,,
NGC6278,NGC6278,II,6.66,0.19,3.21,0.09,2.09,0.02
NGC0628,NGC628,II,12.39,0.53,3.29,0.06,2.18,0.1
NGC0063,NGC63,II,2.11,0.12,0.89,0.04,0.65,0.01
NGC6407,NGC6407,I,,,8.15,0.38,,
NGC6646,NGC6646,I,,,6.73,0.12,,
NGC6654,NGC6654,II,7.62,0.12,5.37,0.5,1.84,0.02
NGC6684,NGC6684,I,,,2.24,0.03,,
NGC6703,NGC6703,I,,,3.43,0.05,,
NGC6782,NGC6782,II,14.57,0.63,8.76,0.98,2.23,0.34
NGC0680,NGC680,III,6.24,0.48,2.24,0.14,3.52,0.1
NGC6861,NGC6861,I,,,4.0,0.05,,
NGC6902,NGC6902,III,19.98,0.12,5.45,0.04,8.3,0.09
NGC6923,NGC6923,II.i,,,2.66,0.09,,
NGC0701,NGC701,I,,,1.81,0.02,,
NGC7029,NGC7029,I,,,3.43,0.1,,
NGC7049,NGC7049,I,,,5.19,0.17,,
NGC7098,NGC7098,II,18.77,0.23,23.52,5.35,4.5,0.04
NGC7140,NGC7140,II,26.58,0.23,7.54,0.53,3.1,0.12
NGC0718,NGC718,II,4.67,0.16,4.48,4.72,2.21,0.01
NGC7192,NGC7192,III,10.19,0.27,3.06,0.08,6.39,0.09
NGC7205,NGC7205,II,7.42,0.08,4.98,0.35,1.89,0.01
NGC7213,NGC7213,III,20.89,0.42,6.4,0.15,12.35,0.12
NGC7217,NGC7217,III,6.63,0.11,2.07,0.05,4.03,0.03
NGC7280,NGC7280,II,5.52,0.02,3.03,0.05,1.36,0.0
NGC7371,NGC7371,III,11.36,0.33,2.51,0.04,4.7,0.15
NGC7377,NGC7377,I,,,6.0,0.12,,
NGC7412,NGC7412,I,,,3.03,0.11,,
NGC7457,NGC7457,I,,,1.5,0.01,,
NGC7479,NGC7479,II,16.0,0.05,6.37,0.18,2.24,0.01
NGC7513,NGC7513,II,6.93,0.04,3.24,0.07,1.59,0.01
NGC7531,NGC7531,III,9.63,0.08,2.09,0.02,3.92,0.04
NGC7552,NGC7552,II,10.12,0.06,4.27,0.31,1.58,0.01
NGC7585,NGC7585,I,,,5.96,0.19,,
NGC7625,NGC7625,I,,,1.07,0.02,,
NGC7689,NGC7689,II,9.45,0.03,3.3,0.03,1.39,0.01
NGC0772,NGC772,III,7.74,1.61,3.5,0.68,7.47,0.82
NGC7723,NGC7723,II,10.37,0.12,2.52,0.02,2.0,0.0
NGC7727,NGC7727,II,17.23,0.34,5.63,0.24,3.93,0.07
NGC7742,NGC7742,III,5.07,0.34,1.28,0.06,2.07,0.12
NGC7743,NGC7743,II.i,,,2.28,0.11,,
NGC7755,NGC7755,II.i,,,4.42,0.23,,
NGC7793,NGC7793,II,2.8,0.12,1.32,0.07,0.88,0.01
NGC7798,NGC7798,II,4.49,0.12,1.63,0.06,1.17,0.01
NGC0864,NGC864,II,10.18,0.69,3.23,0.07,2.3,0.11
NGC0890,NGC890,I,,,5.12,0.08,,
NGC0918,NGC918,II,7.2,0.12,3.51,0.08,2.26,0.01
NGC0936,NGC936,II,8.63,0.08,4.57,0.13,2.55,0.01
NGC0986,NGC986,II.i,,,3.19,0.04,,
PGC047721,PGC047721,II,20.64,0.37,10.4,0.44,4.6,0.12
PGC047721,PGC047721,III,32.65,0.66,4.6,0.12,16.55,1.28
