galaxy,split,role,n_points,rmse_v6,rmse_mond,rmse_tau_proxy,delta_tau_minus_v6,mean_rparent_cd,max_abs_rparent_cd,type_bin,inc_bin,distance_quality,tau_proxy_beats_tpg_v6,tau_proxy_beats_mond,tpg_v6_beats_mond,tau_minus_tpg_v6,tau_minus_mond
NGC4214,holdout,middle,14,17.991047303306,15.27888150485,17.933880348095,-0.057166955212,-5.947623346206e-18,0.305704112885,irregular_T_ge_9,inc_low_lt_40,2.0,True,False,False,-0.057166955211002346,2.6549988432449982
NGC4217,train,candidate,19,52.352191660223,55.355564076811,50.725998016795,-1.626193643428,8.03450873084e-18,0.263114143576,mid_T_3_5,inc_edge_ge_80,4.0,True,True,True,-1.626193643427996,-4.629566060015996
NGC4389,holdout,candidate,6,46.556928538857,48.501102798309,46.563244201121,0.006315662264,-1.1564823173180001e-17,0.12258894641,mid_T_3_5,inc_mid_40_60,4.0,False,True,True,0.006315662264000821,-1.9378585971879971
NGC4559,train,middle,32,15.385306161865,18.985298676354,15.398862583401,0.013556421537,-5.421010862428e-18,0.379990333291,late_T_6_8,inc_high_60_80,1.0,False,True,True,0.01355642153600023,-3.586436092952999
NGC5005,train,middle,18,12.481746631321,13.97796581666,8.946745817618,-3.535000813703,-2.0045693500180002e-17,0.533261338935,mid_T_3_5,inc_high_60_80,5.0,True,True,True,-3.5350008137030002,-5.0312199990419995
NGC5033,train,middle,22,15.138788047328,15.295974840608,12.088988996037,-3.049799051291,-6.308085367188e-18,0.745513260764,mid_T_3_5,inc_high_60_80,1.0,True,True,True,-3.049799051291,-3.206985844571001
NGC5055,train,candidate,28,23.304882018534,29.486670612228,22.923664640277,-0.381217378256,4.70853514908e-18,0.477942106146,mid_T_3_5,inc_mid_40_60,2.0,True,True,True,-0.38121737825699853,-6.563005971951
NGC5371,train,candidate,19,41.665721186816,44.871696773474,42.772108946293,1.106387759478,3.6520494231089996e-18,0.219057481635,mid_T_3_5,inc_mid_40_60,1.0,False,True,True,1.106387759477002,-2.099587827180997
NGC5585,train,middle,24,7.910184029248,8.365260361585,8.210871282276,0.300687253028,0.0,0.319272556087,late_T_6_8,inc_mid_40_60,1.0,False,True,True,0.30068725302800114,-0.1543890793089986
NGC5907,holdout,middle,19,16.785509985459,18.595364814977,17.518121160404,0.732611174945,-1.460819769244e-18,0.174892454926,mid_T_3_5,inc_edge_ge_80,2.0,False,True,True,0.7326111749449993,-1.0772436545729995
NGC5985,holdout,candidate,33,72.287390391261,69.403579993913,72.497934226524,0.210543835263,7.569702440626e-18,0.393039987461,mid_T_3_5,inc_high_60_80,1.0,False,False,False,0.21054383526299603,3.0943542326109963
NGC6015,train,middle,44,13.450865436025,10.822529721567,13.602353800883,0.151488364858,-6.465787501368e-18,0.299314335803,late_T_6_8,inc_high_60_80,1.0,False,False,False,0.15148836485800032,2.7798240793160005
NGC6195,train,candidate,23,31.926039126424,36.238986538687,32.97631319556,1.050274069136,8.447349100409e-18,0.383221088245,mid_T_3_5,inc_high_60_80,1.0,False,True,True,1.0502740691360017,-3.2626733431269983
NGC6503,train,control,31,7.537023161651,4.239120184631,7.397331075169,-0.139692086482,1.432545838226e-17,0.316217038024,late_T_6_8,inc_high_60_80,2.0,True,False,False,-0.1396920864819995,3.158210890538
NGC6674,train,candidate,15,30.844158654006,25.37693909362,32.082179399186,1.23802074518,-1.665334536938e-17,0.720871617255,mid_T_3_5,inc_mid_40_60,1.0,False,False,False,1.2380207451800018,6.705240305566004
NGC6789,holdout,middle,4,15.897752239177,15.396246199577,15.893032543867,-0.00471969531,8.673617379884e-19,0.016958930987,irregular_T_ge_9,inc_mid_40_60,2.0,True,False,False,-0.004719695310001271,0.49678634428999935
NGC6946,holdout,middle,58,15.025447425207,17.72814309542,14.665436596084,-0.360010829123,-4.6658079698689995e-18,0.840868282286,late_T_6_8,inc_low_lt_40,2.0,True,True,True,-0.3600108291230004,-3.0627064993359987
