galaxy,split,n_points,rmse_kernel_v02,rmse_tpg_v6,rmse_mond,v02_minus_tpg_v6,v02_minus_mond
UGC05414,holdout,6,7.230275461884347,6.4008126343112375,8.261884143933315,0.82946282757311,-1.0316086820489678
UGC05716,holdout,12,5.267626058793404,5.844868825954693,5.605647282808069,-0.5772427671612892,-0.33802122401466494
UGC05721,train,23,18.039184350676,18.899011901061648,16.681620310362256,-0.8598275503856492,1.3575640403137434
UGC05764,train,10,10.207991717597816,10.69204900722308,8.472754908677588,-0.4840572896252642,1.7352368089202272
UGC05829,holdout,11,6.908337739059108,6.222677845510406,8.606905396927852,0.6856598935487019,-1.698567657868744
UGC05918,train,8,3.711076368281245,3.852091274673392,4.343347077626917,-0.1410149063921473,-0.6322707093456721
UGC05986,holdout,15,16.128863067948085,17.532159853325275,15.059299363743824,-1.40329678537719,1.0695637042042616
UGC05999,train,5,9.067205616130659,8.462273332104134,12.11108103755705,0.6049322840265248,-3.0438754214263906
UGC06399,train,9,5.517486952708792,6.570667508689696,4.007206920083819,-1.0531805559809042,1.5102800326249728
UGC06446,train,17,10.88361098894759,11.600558614682592,9.277034813965724,-0.7169476257350027,1.606576174981866
UGC06628,train,7,31.720907881315583,30.52936844963153,33.51825732954061,1.1915394316840526,-1.7973494482250274
UGC06667,train,9,20.999876908816617,21.777818607382592,16.71485279097738,-0.7779416985659751,4.285024117839239
UGC06818,holdout,8,12.814288182428953,12.386120759877572,13.66362183441789,0.42816742255138074,-0.8493336519889372
UGC06917,holdout,11,5.215254739066563,6.430936477869006,4.61507933369384,-1.2156817388024423,0.6001754053727231
UGC06923,train,6,9.009127163427255,8.148037483804755,9.174294672212552,0.8610896796225003,-0.16516750878529685
UGC06983,holdout,17,9.988048492526064,11.036839059186455,9.148970751386091,-1.0487905666603918,0.8390777411399721
UGC07125,train,13,24.858706357807318,23.50738158433897,30.744216898994726,1.351324773468349,-5.885510541187408
UGC07232,train,4,4.230440609095344,4.330516350390615,4.2010085891531075,-0.10007574129527175,0.02943201994223621
UGC07524,train,31,5.546658087833784,5.168715146792566,7.393493259839208,0.3779429410412174,-1.8468351720054246
UGC07559,train,7,8.6193927085153,8.085663881075234,10.488763467566779,0.5337288274400649,-1.8693707590514794
UGC07577,holdout,9,10.990762349205806,10.601721967205515,13.125766123408509,0.38904038200029056,-2.135003774202703
UGC07608,train,8,10.39225047084086,11.086952972273936,7.643350201540864,-0.6947025014330759,2.7489002692999964
UGC07690,train,7,5.289908761424196,4.60175903715822,6.229715228813062,0.6881497242659762,-0.9398064673888662
UGC07866,train,7,6.278270830938506,5.7383846888435865,8.109464129446401,0.539886142094919,-1.8311932985078956
UGC08490,train,30,11.77116744233993,12.750079284525583,8.782045083335015,-0.9789118421856529,2.9891223590049147
UGC08550,train,11,5.414598004959021,6.06335307483473,3.445739243845035,-0.6487550698757083,1.9688587611139865
UGC08837,train,8,12.555389999926678,11.823039060545453,14.631810600470736,0.7323509393812255,-2.0764206005440577
UGC09992,train,5,13.164066570790677,12.419100947372682,15.349374013313273,0.7449656234179951,-2.1853074425225962
UGC10310,train,7,6.605840214539446,6.026738625872166,8.025462221912084,0.5791015886672808,-1.419622007372638
UGC11820,train,10,5.7870589853997005,5.218621983502207,9.228226219817985,0.5684370018974931,-3.441167234418285
UGC12632,train,15,6.0937367538029985,6.032106398984771,7.673706532829834,0.06163035481822732,-1.5799697790268352
UGC12732,train,16,7.190742682772004,7.718129754895397,6.818578331328152,-0.5273870721233935,0.3721643514438515
UGCA281,train,7,2.3515462720393527,1.9407170239409501,2.958109044402935,0.4108292480984026,-0.6065627723635822
UGCA442,train,8,4.812634739940817,5.207292467615204,3.4784865920272874,-0.394657727674387,1.3341481479135298
UGCA444,holdout,36,3.409009279211342,3.0580094444767805,4.92757139254757,0.3509998347345613,-1.5185621133362281
