scenario,draw,harmonic,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,role_0_pixels,role_1_pixels,role_2_pixels,role_3_pixels,phase_anchor_deg,phase_amplitude,phase_delta_from_baseline_deg,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
star_plus_co_independent,9,1,0.008844834277,0.9898856718,0.0440112137,102,102,108,102,106,5.570663152,0.2442123642,2.2463968,0.06317586796,0,0
star_plus_co_independent,9,2,0.07509703386,0.9671206092,0.03307289543,103,107,104,104,103,84.19413713,0.544551753,0.5031554004,0.06317586796,0,0
star_co_plus_hi_ctl49,9,1,0.006196770266,0.9898856718,0.0440112137,102,102,108,102,106,5.570663152,0.2442123642,2.2463968,0.06317586796,0,0
star_co_plus_hi_ctl49,9,2,0.07829754817,0.9671206092,0.03307289543,103,107,104,104,103,84.19413713,0.544551753,0.5031554004,0.06317586796,0,0
star_only,10,1,0.05147464641,0.9890613054,0.05870024842,101,101,106,104,107,16.8101355,0.215147282,13.48586915,0,0,0
star_only,10,2,0.08096621091,0.9581470821,0.02740667407,103,107,103,105,103,84.00681403,0.5762309097,0.6904785089,0,0,0
co_independent_only,10,1,-0.04029101428,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.005122367672,0
co_independent_only,10,2,0.08889578398,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.005122367672,0
star_plus_co_independent,10,1,0.05379284152,0.9890613054,0.05870024842,101,101,106,104,107,16.8101355,0.215147282,13.48586915,0,0.005122367672,0
star_plus_co_independent,10,2,0.07834337446,0.9581470821,0.02740667407,103,107,103,105,103,84.00681403,0.5762309097,0.6904785089,0,0.005122367672,0
star_co_plus_hi_ctl49,10,1,0.05609601455,0.9890613054,0.05870024842,101,101,106,104,107,16.8101355,0.215147282,13.48586915,0,0.005122367672,0
star_co_plus_hi_ctl49,10,2,0.07933034266,0.9581470821,0.02740667407,103,107,103,105,103,84.00681403,0.5762309097,0.6904785089,0,0.005122367672,0
star_only,11,1,-0.06970764792,0.9610985987,0.03464168581,103,103,107,104,104,-5.791066076,0.2608540963,9.115332427,0.0005691519636,0,0
star_only,11,2,0.07786094948,0.9647893276,0.03335207964,103,107,104,104,103,83.80333746,0.5477434906,0.8939550751,0.0005691519636,0,0
co_independent_only,11,1,-0.04646945998,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.001138303927,0
co_independent_only,11,2,0.0952263219,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.001138303927,0
star_plus_co_independent,11,1,-0.07352458011,0.9610985987,0.03464168581,103,103,107,104,104,-5.791066076,0.2608540963,9.115332427,0.0005691519636,0.001138303927,0
star_plus_co_independent,11,2,0.08159184942,0.9647893276,0.03335207964,103,107,104,104,103,83.80333746,0.5477434906,0.8939550751,0.0005691519636,0.001138303927,0
star_co_plus_hi_ctl49,11,1,-0.07760154742,0.9610985987,0.03464168581,103,103,107,104,104,-5.791066076,0.2608540963,9.115332427,0.0005691519636,0.001138303927,0
star_co_plus_hi_ctl49,11,2,0.08571105926,0.9647893276,0.03335207964,103,107,104,104,103,83.80333746,0.5477434906,0.8939550751,0.0005691519636,0.001138303927,0
star_only,12,1,-0.04032449459,0.996921943,0.0466413019,103,103,106,104,105,2.836593557,0.3338760778,0.4876727942,0.02731929425,0,0
star_only,12,2,0.07573614746,0.9915669592,0.04091859341,103,107,104,104,103,83.46177636,0.4908556489,1.235516177,0.02731929425,0,0
co_independent_only,12,1,-0.04267135223,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.002276607854,0
co_independent_only,12,2,0.09354370397,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.002276607854,0
star_plus_co_independent,12,1,-0.03945237937,0.996921943,0.0466413019,103,103,106,104,105,2.836593557,0.3338760778,0.4876727942,0.02731929425,0.002276607854,0
star_plus_co_independent,12,2,0.07738521103,0.9915669592,0.04091859341,103,107,104,104,103,83.46177636,0.4908556489,1.235516177,0.02731929425,0.002276607854,0
star_co_plus_hi_ctl49,12,1,-0.04094280549,0.996921943,0.0466413019,103,103,106,104,105,2.836593557,0.3338760778,0.4876727942,0.02731929425,0.002276607854,0
star_co_plus_hi_ctl49,12,2,0.080069028,0.9915669592,0.04091859341,103,107,104,104,103,83.46177636,0.4908556489,1.235516177,0.02731929425,0.002276607854,0
star_only,13,1,-0.01813792244,0.9995923972,0.06042520552,102,103,108,105,102,10.56222122,0.3527846488,7.237954867,0.04040978941,0,0
star_only,13,2,0.09045353751,0.9994594723,0.04672500687,102,106,105,105,102,85.10867635,0.5374962546,0.4113838137,0.04040978941,0,0
co_independent_only,13,1,-0.04658652034,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.002845759818,0
co_independent_only,13,2,0.0956733456,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.002845759818,0
star_plus_co_independent,13,1,-0.01971874564,0.9995923972,0.06042520552,102,103,108,105,102,10.56222122,0.3527846488,7.237954867,0.04040978941,0.002845759818,0
star_plus_co_independent,13,2,0.09467523954,0.9994594723,0.04672500687,102,106,105,105,102,85.10867635,0.5374962546,0.4113838137,0.04040978941,0.002845759818,0
star_co_plus_hi_ctl49,13,1,-0.01277463412,0.9995923972,0.06042520552,102,103,108,105,102,10.56222122,0.3527846488,7.237954867,0.04040978941,0.002845759818,0
star_co_plus_hi_ctl49,13,2,0.09354800609,0.9994594723,0.04672500687,102,106,105,105,102,85.10867635,0.5374962546,0.4113838137,0.04040978941,0.002845759818,0
star_only,14,1,-0.06559701863,0.9998524668,0.04756872207,104,104,105,104,105,7.150313709,0.3634588492,3.826047358,0.004553215709,0,0
star_only,14,2,0.109421675,0.9982405571,0.04212651924,103,107,104,104,103,87.36468204,0.5130367617,2.667389508,0.004553215709,0,0
co_independent_only,14,1,-0.04683462861,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.002845759818,0
co_independent_only,14,2,0.09261987255,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.002845759818,0
star_plus_co_independent,14,1,-0.06798921649,0.9998524668,0.04756872207,104,104,105,104,105,7.150313709,0.3634588492,3.826047358,0.004553215709,0.002845759818,0
star_plus_co_independent,14,2,0.1101337746,0.9982405571,0.04212651924,103,107,104,104,103,87.36468204,0.5130367617,2.667389508,0.004553215709,0.002845759818,0
star_co_plus_hi_ctl49,14,1,-0.06181223518,0.9998524668,0.04756872207,104,104,105,104,105,7.150313709,0.3634588492,3.826047358,0.004553215709,0.002845759818,0
star_co_plus_hi_ctl49,14,2,0.1047779291,0.9982405571,0.04212651924,103,107,104,104,103,87.36468204,0.5130367617,2.667389508,0.004553215709,0.002845759818,0
star_only,15,1,-0.1014229254,0.9488323516,0.0354529526,103,103,107,105,103,-7.253535905,0.3047676484,10.57780226,0,0,0
star_only,15,2,0.07992207792,0.9536973291,0.03777572577,103,107,103,105,103,85.46253906,0.5332314354,0.7652465206,0,0,0
co_independent_only,15,1,-0.04728249732,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,15,2,0.09631003598,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
star_plus_co_independent,15,1,-0.1068817357,0.9488323516,0.0354529526,103,103,107,105,103,-7.253535905,0.3047676484,10.57780226,0,0,0
star_plus_co_independent,15,2,0.08486934687,0.9536973291,0.03777572577,103,107,103,105,103,85.46253906,0.5332314354,0.7652465206,0,0,0
star_co_plus_hi_ctl49,15,1,-0.1001972978,0.9488323516,0.0354529526,103,103,107,105,103,-7.253535905,0.3047676484,10.57780226,0,0,0
star_co_plus_hi_ctl49,15,2,0.07715186664,0.9536973291,0.03777572577,103,107,103,105,103,85.46253906,0.5332314354,0.7652465206,0,0,0
star_only,16,1,-0.06983683745,0.9653137119,0.0476491671,103,103,107,104,104,-5.789878493,0.3298645779,9.114144844,0.001138303927,0,0
star_only,16,2,0.0803227565,0.9725517078,0.04502155552,102,105,106,102,105,81.98762517,0.5238200004,2.709667365,0.001138303927,0,0
co_independent_only,16,1,-0.04890801848,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.004553215709,0
co_independent_only,16,2,0.0968679198,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.004553215709,0
star_plus_co_independent,16,1,-0.07547464745,0.9653137119,0.0476491671,103,103,107,104,104,-5.789878493,0.3298645779,9.114144844,0.001138303927,0.004553215709,0
star_plus_co_independent,16,2,0.08579711562,0.9725517078,0.04502155552,102,105,106,102,105,81.98762517,0.5238200004,2.709667365,0.001138303927,0.004553215709,0
star_co_plus_hi_ctl49,16,1,-0.08079286658,0.9653137119,0.0476491671,103,103,107,104,104,-5.789878493,0.3298645779,9.114144844,0.001138303927,0.004553215709,0
star_co_plus_hi_ctl49,16,2,0.09112997571,0.9725517078,0.04502155552,102,105,106,102,105,81.98762517,0.5238200004,2.709667365,0.001138303927,0.004553215709,0
star_only,17,1,-0.006644742564,0.9999995636,0.05508121393,104,104,105,105,104,15.43518463,0.3265273433,12.11091828,0,0,0
star_only,17,2,0.08930508084,0.9998073601,0.03471235286,102,107,105,104,102,82.99914689,0.5133897317,1.69814565,0,0,0
co_independent_only,17,1,-0.04780029992,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.001138303927,0
co_independent_only,17,2,0.09630395652,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.001138303927,0
star_plus_co_independent,17,1,-0.0106554655,0.9999995636,0.05508121393,104,104,105,105,104,15.43518463,0.3265273433,12.11091828,0,0.001138303927,0
star_plus_co_independent,17,2,0.09460706775,0.9998073601,0.03471235286,102,107,105,104,102,82.99914689,0.5133897317,1.69814565,0,0.001138303927,0
star_co_plus_hi_ctl49,17,1,-0.01691145671,0.9999995636,0.05508121393,104,104,105,105,104,15.43518463,0.3265273433,12.11091828,0,0.001138303927,0
star_co_plus_hi_ctl49,17,2,0.09782223081,0.9998073601,0.03471235286,102,107,105,104,102,82.99914689,0.5133897317,1.69814565,0,0.001138303927,0
star_only,18,1,-0.06306132818,0.9960687106,0.04517605014,103,103,107,103,105,3.37069297,0.3332977189,0.04642661907,0.01365964713,0,0
star_only,18,2,0.09945355119,0.9948869472,0.04158232618,103,107,104,104,103,86.10963447,0.5514410074,1.412341939,0.01365964713,0,0
co_independent_only,18,1,-0.04283998704,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,18,2,0.09096607642,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
star_plus_co_independent,18,1,-0.06262451434,0.9960687106,0.04517605014,103,103,107,103,105,3.37069297,0.3332977189,0.04642661907,0.01365964713,0,0
star_plus_co_independent,18,2,0.09913759267,0.9948869472,0.04158232618,103,107,104,104,103,86.10963447,0.5514410074,1.412341939,0.01365964713,0,0
