galaxy,candidate_family,transition_radius_kpc
UGC07690,K_compact_finite,2.36
UGC07866,K_compact_finite,1.33
UGC08286,K_compact_finite,4.25
UGC08490,K_compact_finite,5.41
UGC08550,K_compact_finite,2.92
UGC08699,K_compact_finite,10.21
UGC08837,K_compact_finite,2.63
UGC09037,K_compact_finite,15.78
UGC09133,K_compact_finite,19.35
UGC09992,K_compact_finite,2.34
UGC10310,K_compact_finite,4.42
UGC11455,K_compact_finite,11.67
UGC11557,K_compact_finite,4.62
UGC11820,K_compact_finite,5.26
UGC11914,K_compact_finite,5.98
UGC12506,K_compact_finite,25.41
UGC12632,K_compact_finite,5.69
UGC12732,K_compact_finite,8.64
UGCA281,K_compact_finite,0.58
UGCA442,K_compact_finite,3.79
UGCA444,K_compact_finite,1.4
CamB,K_scale_tail_spiral,0.57
D512-2,K_scale_tail_spiral,2.88
D564-8,K_scale_tail_spiral,1.53
D631-7,K_scale_tail_spiral,2.25
DDO064,K_scale_tail_spiral,0.69
DDO154,K_scale_tail_spiral,1.97
DDO161,K_scale_tail_spiral,2.96
DDO168,K_scale_tail_spiral,1.24
DDO170,K_scale_tail_spiral,4.86
ESO079-G014,K_scale_tail_spiral,3.36
ESO116-G012,K_scale_tail_spiral,2.68
ESO444-G084,K_scale_tail_spiral,1.29
ESO563-G021,K_scale_tail_spiral,8.47
F561-1,K_scale_tail_spiral,4.84
F563-1,K_scale_tail_spiral,3.19
F563-V1,K_scale_tail_spiral,3.93
F563-V2,K_scale_tail_spiral,2.05
F565-V2,K_scale_tail_spiral,3.78
F567-2,K_scale_tail_spiral,5.75
F568-1,K_scale_tail_spiral,3.08
F568-3,K_scale_tail_spiral,2.78
F568-V1,K_scale_tail_spiral,2.74
F571-8,K_scale_tail_spiral,2.33
F571-V1,K_scale_tail_spiral,5.83
F574-1,K_scale_tail_spiral,4.22
F574-2,K_scale_tail_spiral,6.49
F579-V1,K_scale_tail_spiral,2.84
F583-1,K_scale_tail_spiral,1.8
F583-4,K_scale_tail_spiral,3.92
IC2574,K_scale_tail_spiral,2.84
IC4202,K_scale_tail_spiral,7.08
KK98-251,K_scale_tail_spiral,0.74
NGC0024,K_scale_tail_spiral,0.74
NGC0055,K_scale_tail_spiral,3.68
NGC0100,K_scale_tail_spiral,2.51
NGC0247,K_scale_tail_spiral,4.31
NGC0289,K_scale_tail_spiral,16.64
NGC0300,K_scale_tail_spiral,3.17
NGC0801,K_scale_tail_spiral,10.59
NGC0891,K_scale_tail_spiral,5.1
NGC1003,K_scale_tail_spiral,7.87
NGC1090,K_scale_tail_spiral,8.17
NGC1705,K_scale_tail_spiral,2.0
NGC2366,K_scale_tail_spiral,1.54
NGC2403,K_scale_tail_spiral,1.87
NGC2683,K_scale_tail_spiral,11.54
NGC2841,K_scale_tail_spiral,6.51
NGC2903,K_scale_tail_spiral,4.8
NGC2915,K_scale_tail_spiral,2.67
NGC2955,K_scale_tail_spiral,4.61
NGC2976,K_scale_tail_spiral,0.52
NGC2998,K_scale_tail_spiral,7.59
NGC3109,K_scale_tail_spiral,1.81
NGC3198,K_scale_tail_spiral,3.54
NGC3521,K_scale_tail_spiral,1.89
NGC3726,K_scale_tail_spiral,6.98
NGC3741,K_scale_tail_spiral,1.17
NGC3769,K_scale_tail_spiral,6.98
NGC3877,K_scale_tail_spiral,3.5
NGC3893,K_scale_tail_spiral,6.98
NGC3917,K_scale_tail_spiral,4.37
NGC3949,K_scale_tail_spiral,3.5
NGC3953,K_scale_tail_spiral,6.98
NGC3972,K_scale_tail_spiral,3.5
NGC3992,K_scale_tail_spiral,18.35
NGC4010,K_scale_tail_spiral,3.5
NGC4013,K_scale_tail_spiral,9.88
NGC4051,K_scale_tail_spiral,5.24
NGC4068,K_scale_tail_spiral,1.06
NGC4085,K_scale_tail_spiral,2.71
NGC4088,K_scale_tail_spiral,6.98
NGC4100,K_scale_tail_spiral,6.98
NGC4138,K_scale_tail_spiral,7.85
NGC4157,K_scale_tail_spiral,8.72
NGC4183,K_scale_tail_spiral,5.24
NGC4214,K_scale_tail_spiral,1.88
NGC4217,K_scale_tail_spiral,5.24
NGC4389,K_scale_tail_spiral,2.71
NGC4559,K_scale_tail_spiral,5.22
NGC5005,K_scale_tail_spiral,2.46
NGC5033,K_scale_tail_spiral,10.28
NGC5055,K_scale_tail_spiral,7.18
NGC5371,K_scale_tail_spiral,11.55
NGC5585,K_scale_tail_spiral,1.46
NGC5907,K_scale_tail_spiral,15.1
NGC5985,K_scale_tail_spiral,8.02
NGC6015,K_scale_tail_spiral,5.3
NGC6195,K_scale_tail_spiral,6.34
NGC6503,K_scale_tail_spiral,6.07
NGC6674,K_scale_tail_spiral,22.47
NGC6789,K_scale_tail_spiral,0.51
NGC6946,K_scale_tail_spiral,5.15
NGC7331,K_scale_tail_spiral,9.62
NGC7793,K_scale_tail_spiral,0.63
NGC7814,K_scale_tail_spiral,6.14
PGC51017,K_scale_tail_spiral,1.65
UGC00128,K_scale_tail_spiral,13.74
UGC00191,K_scale_tail_spiral,1.12
UGC00634,K_scale_tail_spiral,13.51
UGC00731,K_scale_tail_spiral,3.64
UGC00891,K_scale_tail_spiral,4.45
UGC01230,K_scale_tail_spiral,5.48
UGC01281,K_scale_tail_spiral,1.0
UGC02023,K_scale_tail_spiral,2.27
UGC02259,K_scale_tail_spiral,3.05
UGC02455,K_scale_tail_spiral,1.51
UGC02487,K_scale_tail_spiral,25.12
UGC02885,K_scale_tail_spiral,23.36
UGC02916,K_scale_tail_spiral,3.33
UGC02953,K_scale_tail_spiral,2.15
UGC03205,K_scale_tail_spiral,3.59
UGC03546,K_scale_tail_spiral,2.22
UGC03580,K_scale_tail_spiral,1.26
UGC04278,K_scale_tail_spiral,1.8
UGC04305,K_scale_tail_spiral,1.5
UGC04325,K_scale_tail_spiral,2.09
UGC04483,K_scale_tail_spiral,0.4
UGC04499,K_scale_tail_spiral,2.73
UGC05005,K_scale_tail_spiral,5.47
UGC05253,K_scale_tail_spiral,2.03
UGC05414,K_scale_tail_spiral,2.05
UGC05716,K_scale_tail_spiral,4.13
UGC05721,K_scale_tail_spiral,0.99
UGC05750,K_scale_tail_spiral,2.52
UGC05764,K_scale_tail_spiral,1.09
UGC05829,K_scale_tail_spiral,2.52
UGC05918,K_scale_tail_spiral,1.67
UGC05986,K_scale_tail_spiral,3.13
UGC05999,K_scale_tail_spiral,10.42
UGC06399,K_scale_tail_spiral,2.61
UGC06446,K_scale_tail_spiral,2.91
UGC06614,K_scale_tail_spiral,10.64
UGC06628,K_scale_tail_spiral,3.3
UGC06667,K_scale_tail_spiral,2.61
UGC06786,K_scale_tail_spiral,3.72
UGC06787,K_scale_tail_spiral,2.24
UGC06818,K_scale_tail_spiral,2.61
UGC06917,K_scale_tail_spiral,3.5
UGC06923,K_scale_tail_spiral,2.87
UGC06930,K_scale_tail_spiral,5.24
UGC06973,K_scale_tail_spiral,3.5
UGC06983,K_scale_tail_spiral,4.37
UGC07089,K_scale_tail_spiral,3.5
UGC07125,K_scale_tail_spiral,5.76
UGC07151,K_scale_tail_spiral,2.0
UGC07232,K_scale_tail_spiral,0.62
UGC07261,K_scale_tail_spiral,2.86
UGC07323,K_scale_tail_spiral,2.33
UGC07399,K_scale_tail_spiral,1.84
UGC07524,K_scale_tail_spiral,2.76
UGC07559,K_scale_tail_spiral,1.08
UGC07577,K_scale_tail_spiral,0.57
UGC07603,K_scale_tail_spiral,1.37
UGC07608,K_scale_tail_spiral,1.79
UGC07690,K_scale_tail_spiral,1.77
UGC07866,K_scale_tail_spiral,1.0
UGC08286,K_scale_tail_spiral,2.37
UGC08490,K_scale_tail_spiral,2.7
UGC08550,K_scale_tail_spiral,1.95
UGC08699,K_scale_tail_spiral,3.04
UGC08837,K_scale_tail_spiral,1.57
UGC09037,K_scale_tail_spiral,8.51
UGC09133,K_scale_tail_spiral,5.68
UGC09992,K_scale_tail_spiral,2.34
UGC10310,K_scale_tail_spiral,3.31
UGC11455,K_scale_tail_spiral,5.53
UGC11557,K_scale_tail_spiral,2.42
UGC11820,K_scale_tail_spiral,1.01
UGC11914,K_scale_tail_spiral,1.87
UGC12506,K_scale_tail_spiral,12.29
UGC12632,K_scale_tail_spiral,2.85
UGC12732,K_scale_tail_spiral,4.8
UGCA281,K_scale_tail_spiral,0.41
UGCA442,K_scale_tail_spiral,2.11
UGCA444,K_scale_tail_spiral,0.69
CamB,K_exponential_disk,1.22
D512-2,K_exponential_disk,2.88
D564-8,K_exponential_disk,2.04
D631-7,K_exponential_disk,6.29
DDO064,K_exponential_disk,2.27
DDO154,K_exponential_disk,4.94
DDO161,K_exponential_disk,10.99
DDO168,K_exponential_disk,3.3
DDO170,K_exponential_disk,9.34
ESO079-G014,K_exponential_disk,11.65
ESO116-G012,K_exponential_disk,7.56
ESO444-G084,K_exponential_disk,2.32
ESO563-G021,K_exponential_disk,30.53
F561-1,K_exponential_disk,6.45
F563-1,K_exponential_disk,15.43
F563-V1,K_exponential_disk,5.24
F563-V2,K_exponential_disk,7.86
F565-V2,K_exponential_disk,6.29
F567-2,K_exponential_disk,5.75
F568-1,K_exponential_disk,9.24
F568-3,K_exponential_disk,9.1
F568-V1,K_exponential_disk,9.72
F571-8,K_exponential_disk,7.22
F571-V1,K_exponential_disk,9.72
F574-1,K_exponential_disk,10.79
F574-2,K_exponential_disk,6.49
F579-V1,K_exponential_disk,10.85
F583-1,K_exponential_disk,6.43
F583-4,K_exponential_disk,6.09
IC2574,K_exponential_disk,9.1
IC4202,K_exponential_disk,22.13
KK98-251,K_exponential_disk,2.46
NGC0024,K_exponential_disk,2.54
NGC0055,K_exponential_disk,11.66
NGC0100,K_exponential_disk,8.44
NGC0247,K_exponential_disk,12.91
NGC0289,K_exponential_disk,52.99
NGC0300,K_exponential_disk,10.45
NGC0801,K_exponential_disk,31.67
NGC0891,K_exponential_disk,15.33
NGC1003,K_exponential_disk,26.95
NGC1090,K_exponential_disk,26.33
NGC1705,K_exponential_disk,5.11
NGC2366,K_exponential_disk,5.35
NGC2403,K_exponential_disk,6.46
NGC2683,K_exponential_disk,28.85
NGC2841,K_exponential_disk,22.51
NGC2903,K_exponential_disk,16.32
NGC2915,K_exponential_disk,9.03
NGC2955,K_exponential_disk,14.17
NGC2976,K_exponential_disk,1.74
NGC2998,K_exponential_disk,22.46
NGC3109,K_exponential_disk,5.67
NGC3198,K_exponential_disk,12.05
NGC3521,K_exponential_disk,6.35
NGC3726,K_exponential_disk,22.3
NGC3741,K_exponential_disk,4.67
NGC3769,K_exponential_disk,17.07
NGC3877,K_exponential_disk,9.6
NGC3893,K_exponential_disk,15.33
NGC3917,K_exponential_disk,13.12
NGC3949,K_exponential_disk,5.24
NGC3953,K_exponential_disk,12.19
NGC3972,K_exponential_disk,6.98
NGC3992,K_exponential_disk,36.7
NGC4010,K_exponential_disk,8.72
NGC4013,K_exponential_disk,28.1
NGC4051,K_exponential_disk,8.72
NGC4068,K_exponential_disk,1.48
NGC4085,K_exponential_disk,4.45
NGC4088,K_exponential_disk,17.42
NGC4100,K_exponential_disk,20.09
NGC4138,K_exponential_disk,13.47
NGC4157,K_exponential_disk,26.13
NGC4183,K_exponential_disk,17.88
NGC4214,K_exponential_disk,4.8
NGC4217,K_exponential_disk,14.86
NGC4389,K_exponential_disk,3.58
NGC4559,K_exponential_disk,18.28
NGC5005,K_exponential_disk,8.19
NGC5033,K_exponential_disk,35.36
NGC5055,K_exponential_disk,28.74
NGC5371,K_exponential_disk,34.68
NGC5585,K_exponential_disk,5.48
NGC5907,K_exponential_disk,45.29
NGC5985,K_exponential_disk,24.77
NGC6015,K_exponential_disk,20.18
NGC6195,K_exponential_disk,22.52
NGC6503,K_exponential_disk,20.45
NGC6674,K_exponential_disk,62.48
NGC6789,K_exponential_disk,0.51
NGC6946,K_exponential_disk,17.87
NGC7331,K_exponential_disk,30.98
NGC7793,K_exponential_disk,2.97
NGC7814,K_exponential_disk,17.36
PGC51017,K_exponential_disk,2.31
UGC00128,K_exponential_disk,46.28
UGC00191,K_exponential_disk,2.3
UGC00634,K_exponential_disk,13.51
UGC00731,K_exponential_disk,9.09
UGC00891,K_exponential_disk,4.45
UGC01230,K_exponential_disk,13.27
UGC01281,K_exponential_disk,3.46
UGC02023,K_exponential_disk,2.27
UGC02259,K_exponential_disk,6.11
UGC02455,K_exponential_disk,3.02
UGC02487,K_exponential_disk,70.33
UGC02885,K_exponential_disk,66.21
UGC02916,K_exponential_disk,12.67
UGC02953,K_exponential_disk,12.02
UGC03205,K_exponential_disk,14.68
UGC03546,K_exponential_disk,8.35
UGC03580,K_exponential_disk,4.69
UGC04278,K_exponential_disk,5.86
UGC04305,K_exponential_disk,4.77
UGC04325,K_exponential_disk,4.19
UGC04483,K_exponential_disk,0.89
UGC04499,K_exponential_disk,6.37
UGC05005,K_exponential_disk,17.97
UGC05253,K_exponential_disk,7.23
UGC05414,K_exponential_disk,2.74
UGC05716,K_exponential_disk,10.34
UGC05721,K_exponential_disk,3.61
UGC05750,K_exponential_disk,7.86
UGC05764,K_exponential_disk,2.9
UGC05829,K_exponential_disk,5.65
UGC05918,K_exponential_disk,3.34
UGC05986,K_exponential_disk,8.16
UGC05999,K_exponential_disk,10.42
UGC06399,K_exponential_disk,6.11
UGC06446,K_exponential_disk,8.9
UGC06614,K_exponential_disk,26.3
UGC06628,K_exponential_disk,5.5
UGC06667,K_exponential_disk,6.11
UGC06786,K_exponential_disk,10.66
UGC06787,K_exponential_disk,11.38
UGC06818,K_exponential_disk,5.24
UGC06917,K_exponential_disk,8.72
UGC06923,K_exponential_disk,3.72
UGC06930,K_exponential_disk,13.94
UGC06973,K_exponential_disk,6.81
UGC06983,K_exponential_disk,13.94
UGC07089,K_exponential_disk,7.85
UGC07125,K_exponential_disk,15.84
UGC07151,K_exponential_disk,4.49
UGC07232,K_exponential_disk,0.62
UGC07261,K_exponential_disk,4.76
UGC07323,K_exponential_disk,4.65
UGC07399,K_exponential_disk,4.91
UGC07524,K_exponential_disk,9.3
UGC07559,K_exponential_disk,1.8
UGC07577,K_exponential_disk,1.32
UGC07603,K_exponential_disk,3.42
UGC07608,K_exponential_disk,3.59
UGC07690,K_exponential_disk,2.95
UGC07866,K_exponential_disk,1.67
UGC08286,K_exponential_disk,7.1
UGC08490,K_exponential_disk,9.13
UGC08550,K_exponential_disk,4.39
UGC08699,K_exponential_disk,11.46
UGC08837,K_exponential_disk,3.15
UGC09037,K_exponential_disk,24.28
UGC09133,K_exponential_disk,22.19
UGC09992,K_exponential_disk,2.34
UGC10310,K_exponential_disk,5.52
UGC11455,K_exponential_disk,20.24
UGC11557,K_exponential_disk,7.04
UGC11820,K_exponential_disk,5.26
UGC11914,K_exponential_disk,6.26
UGC12506,K_exponential_disk,43.44
UGC12632,K_exponential_disk,9.25
UGC12732,K_exponential_disk,13.4
UGCA281,K_exponential_disk,0.74
UGCA442,K_exponential_disk,4.65
UGCA444,K_exponential_disk,2.33
CamB,K_thick_flared,1.22
D512-2,K_thick_flared,2.88
D564-8,K_thick_flared,2.04
D631-7,K_thick_flared,6.29
DDO064,K_thick_flared,2.27
DDO154,K_thick_flared,4.94
DDO161,K_thick_flared,11.46
DDO168,K_thick_flared,3.3
DDO170,K_thick_flared,9.34
ESO079-G014,K_thick_flared,11.65
ESO116-G012,K_thick_flared,7.56
ESO444-G084,K_thick_flared,2.32
ESO563-G021,K_thick_flared,30.53
F561-1,K_thick_flared,6.45
F563-1,K_thick_flared,17.93
F563-V1,K_thick_flared,5.24
F563-V2,K_thick_flared,7.86
F565-V2,K_thick_flared,6.29
F567-2,K_thick_flared,5.75
F568-1,K_thick_flared,9.24
F568-3,K_thick_flared,9.1
F568-V1,K_thick_flared,9.72
F571-8,K_thick_flared,7.22
F571-V1,K_thick_flared,9.72
F574-1,K_thick_flared,10.79
F574-2,K_thick_flared,6.49
F579-V1,K_thick_flared,10.85
F583-1,K_thick_flared,6.43
F583-4,K_thick_flared,6.09
IC2574,K_thick_flared,9.1
IC4202,K_thick_flared,22.13
KK98-251,K_thick_flared,2.46
NGC0024,K_thick_flared,2.54
NGC0055,K_thick_flared,11.66
NGC0100,K_thick_flared,8.44
NGC0247,K_thick_flared,12.91
NGC0289,K_thick_flared,52.99
NGC0300,K_thick_flared,10.45
NGC0801,K_thick_flared,31.67
NGC0891,K_thick_flared,15.33
NGC1003,K_thick_flared,26.95
NGC1090,K_thick_flared,26.33
NGC1705,K_thick_flared,5.11
NGC2366,K_thick_flared,5.35
NGC2403,K_thick_flared,6.96
NGC2683,K_thick_flared,28.85
NGC2841,K_thick_flared,24.59
NGC2903,K_thick_flared,16.32
NGC2915,K_thick_flared,9.03
NGC2955,K_thick_flared,16.88
NGC2976,K_thick_flared,1.74
NGC2998,K_thick_flared,22.46
NGC3109,K_thick_flared,5.67
NGC3198,K_thick_flared,12.05
NGC3521,K_thick_flared,6.35
NGC3726,K_thick_flared,22.3
NGC3741,K_thick_flared,4.67
NGC3769,K_thick_flared,17.07
NGC3877,K_thick_flared,9.6
NGC3893,K_thick_flared,15.33
NGC3917,K_thick_flared,13.12
NGC3949,K_thick_flared,5.24
NGC3953,K_thick_flared,12.19
NGC3972,K_thick_flared,6.98
NGC3992,K_thick_flared,36.7
NGC4010,K_thick_flared,8.72
NGC4013,K_thick_flared,28.1
NGC4051,K_thick_flared,8.72
NGC4068,K_thick_flared,1.48
NGC4085,K_thick_flared,4.45
NGC4088,K_thick_flared,17.42
NGC4100,K_thick_flared,20.09
NGC4138,K_thick_flared,13.47
NGC4157,K_thick_flared,26.13
NGC4183,K_thick_flared,17.88
NGC4214,K_thick_flared,4.8
NGC4217,K_thick_flared,14.86
NGC4389,K_thick_flared,3.58
NGC4559,K_thick_flared,18.28
NGC5005,K_thick_flared,8.19
NGC5033,K_thick_flared,35.36
NGC5055,K_thick_flared,28.74
NGC5371,K_thick_flared,34.68
NGC5585,K_thick_flared,5.48
NGC5907,K_thick_flared,45.29
NGC5985,K_thick_flared,24.77
NGC6015,K_thick_flared,20.18
NGC6195,K_thick_flared,22.52
NGC6503,K_thick_flared,20.45
NGC6674,K_thick_flared,62.48
NGC6789,K_thick_flared,0.51
NGC6946,K_thick_flared,18.24
NGC7331,K_thick_flared,30.98
NGC7793,K_thick_flared,2.97
NGC7814,K_thick_flared,17.36
PGC51017,K_thick_flared,2.31
UGC00128,K_thick_flared,46.28
UGC00191,K_thick_flared,2.3
UGC00634,K_thick_flared,13.51
UGC00731,K_thick_flared,9.09
UGC00891,K_thick_flared,4.45
UGC01230,K_thick_flared,13.27
UGC01281,K_thick_flared,3.83
UGC02023,K_thick_flared,2.27
UGC02259,K_thick_flared,6.11
UGC02455,K_thick_flared,3.02
UGC02487,K_thick_flared,70.33
UGC02885,K_thick_flared,66.21
UGC02916,K_thick_flared,12.67
UGC02953,K_thick_flared,12.02
UGC03205,K_thick_flared,15.2
UGC03546,K_thick_flared,8.35
UGC03580,K_thick_flared,4.69
UGC04278,K_thick_flared,5.86
UGC04305,K_thick_flared,4.77
UGC04325,K_thick_flared,4.19
UGC04483,K_thick_flared,0.89
UGC04499,K_thick_flared,6.37
UGC05005,K_thick_flared,17.97
UGC05253,K_thick_flared,8.32
UGC05414,K_thick_flared,2.74
UGC05716,K_thick_flared,10.34
UGC05721,K_thick_flared,3.61
UGC05750,K_thick_flared,7.86
UGC05764,K_thick_flared,2.9
UGC05829,K_thick_flared,5.65
UGC05918,K_thick_flared,3.34
UGC05986,K_thick_flared,8.16
UGC05999,K_thick_flared,10.42
UGC06399,K_thick_flared,6.11
UGC06446,K_thick_flared,8.9
UGC06614,K_thick_flared,26.3
UGC06628,K_thick_flared,5.5
UGC06667,K_thick_flared,6.11
UGC06786,K_thick_flared,10.66
UGC06787,K_thick_flared,11.38
UGC06818,K_thick_flared,5.24
UGC06917,K_thick_flared,8.72
UGC06923,K_thick_flared,3.72
UGC06930,K_thick_flared,13.94
UGC06973,K_thick_flared,6.81
UGC06983,K_thick_flared,13.94
UGC07089,K_thick_flared,7.85
UGC07125,K_thick_flared,15.84
UGC07151,K_thick_flared,4.49
UGC07232,K_thick_flared,0.62
UGC07261,K_thick_flared,4.76
UGC07323,K_thick_flared,4.65
UGC07399,K_thick_flared,4.91
UGC07524,K_thick_flared,9.3
UGC07559,K_thick_flared,1.8
UGC07577,K_thick_flared,1.32
UGC07603,K_thick_flared,3.42
UGC07608,K_thick_flared,3.59
UGC07690,K_thick_flared,2.95
UGC07866,K_thick_flared,1.67
UGC08286,K_thick_flared,7.1
UGC08490,K_thick_flared,9.13
UGC08550,K_thick_flared,4.39
UGC08699,K_thick_flared,11.46
UGC08837,K_thick_flared,3.15
UGC09037,K_thick_flared,24.28
UGC09133,K_thick_flared,22.19
UGC09992,K_thick_flared,2.34
UGC10310,K_thick_flared,5.52
UGC11455,K_thick_flared,20.24
UGC11557,K_thick_flared,7.04
UGC11820,K_thick_flared,5.26
UGC11914,K_thick_flared,6.26
UGC12506,K_thick_flared,43.44
UGC12632,K_thick_flared,9.25
UGC12732,K_thick_flared,13.4
UGCA281,K_thick_flared,0.74
UGCA442,K_thick_flared,4.65
UGCA444,K_thick_flared,2.33
