galaxy,split,role,formula_family,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs
F574-1,train,middle,K_exponential_disk,1.0,none,7.0,late_T_6_8,inc_high_60_80,1.0,0.1,65.0,10.0,14,0.47,6.58,12.6,0.1509646831563863,0.0,0.0,1.139464245847707,2.0194901629975077,3.921334922526818,2.303,13.551077503885233,6.58,0.14793410742037383,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F574-2,train,candidate,K_scale_tail_spiral,0.6000000000000001,few_rotation_points;low_inclination,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.1,30.0,10.0,5,2.17,6.49,10.83,0.1330475659417185,0.0,0.0,0.8321018279674817,1.2826221128780626,3.8676996424314662,2.2715,11.550452569574405,6.49,0.13987140467377332,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F579-V1,train,middle,K_thick_flared,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_low_lt_40,1.0,0.1,26.0,10.0,14,0.42,6.005000000000001,15.16,0.0989417908584865,0.0,0.0,1.3966085480435169,2.2225604091652236,3.578665077473183,2.10175,15.909978774707328,6.005000000000001,0.12452380588631892,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F583-1,train,middle,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_high_60_80,1.0,0.25,63.0,5.0,25,0.26,3.86,16.26,0.1919541705876132,0.0,0.0,0.7648490504112828,1.5350408132511606,2.300357568533969,1.351,17.820587406877298,3.86,0.16637937676442593,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F583-4,train,control,K_thick_flared,0.75,large_distance_error;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,1.0,0.200750469043,55.0,10.0,12,0.22,4.675,7.29,0.11316579514847798,0.0,0.0,1.0754630461670265,1.8399805576783428,2.786054827175209,1.6362499999999998,7.702489323316203,4.675,0.1309246078168151,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
KK98-251,train,middle,K_scale_tail_spiral,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,59.0,5.0,15,0.25,1.4,3.13,0.7299731114553866,0.0,0.0,0.5944204822522641,0.9390197764486664,0.834326579261025,0.48999999999999994,4.27240791942768,1.4,0.408487900154924,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0055,train,middle,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.052132701422,77.0,3.0,21,1.23,7.37,13.5,0.5636871759105618,0.0,0.0,0.9481123405254441,1.7634279935629371,4.392133492252682,2.5795,17.304888437396293,7.37,0.3336592291597528,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0100,train,control,K_exponential_disk,0.85,large_distance_error,6.0,late_T_6_8,inc_edge_ge_80,1.0,0.3,89.0,1.0,21,0.23,4.79,9.62,0.1353722904856278,0.0,0.0,0.9832195240295576,2.1542413301672982,2.854588796185936,1.6764999999999999,10.27114071723587,4.79,0.14091753071853252,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0247,train,control,K_exponential_disk,1.0,none,7.0,late_T_6_8,inc_high_60_80,2.0,0.051351351351,74.0,3.0,26,1.08,7.800000000000001,14.54,0.2780788625868493,0.0,0.0,1.0216021887480098,1.819675519994293,4.64839094159714,2.73,16.561633331006394,7.800000000000001,0.20513548816408217,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0289,train,middle,K_thick_flared,0.75,large_distance_error;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,1.0,0.25,46.0,5.0,28,1.5,30.255,71.12,0.3264680293358429,0.0,0.0,0.28284513819261864,3.1437608955657024,18.030393325387365,10.58925,82.72920312318257,30.255,0.22691061320112932,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0300,train,middle,K_exponential_disk,1.0,none,7.0,late_T_6_8,inc_mid_40_60,2.0,0.048076923077,42.0,10.0,25,0.91,6.36,11.8,0.2524806244199543,0.0,0.0,0.6574265386880047,1.9566485792052033,3.790226460071514,2.226,13.28963568407773,6.36,0.19361628098897943,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0801,train,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_edge_ge_80,1.0,0.1,80.0,1.0,13,1.17,17.65,59.82,0.081133378243954,0.0,0.0,1.9951723710897176,3.4632761813503317,10.518474374255065,6.177499999999999,62.24669934327666,17.65,0.1165100202097793,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0891,train,candidate,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_edge_ge_80,2.0,0.050454086781,90.0,1.0,18,0.92,9.265,17.11,0.0332828051711864,0.2235566106692832,0.8610048919716082,1.858026248534805,3.4548555267595273,5.521454112038141,3.24275,17.3947343982395,11.33625199785091,0.09497726232703388,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC1003,train,middle,K_scale_tail_spiral,0.85,large_distance_error,6.0,late_T_6_8,inc_high_60_80,1.0,0.3,67.0,5.0,36,1.25,15.745,30.24,0.4134634055397422,0.0,0.0,0.05021327702122619,2.2447964787476224,9.383194278903456,5.51075,36.4915666917609,15.745,0.26605853249288397,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC1090,train,middle,K_thick_flared,0.75,large_distance_error;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,1.0,0.25,64.0,3.0,24,0.35,15.705,30.09,0.1157557203351142,0.0,0.0,1.1905175547260551,3.187641967953542,9.359356376638857,5.49675,31.831544812441795,15.705,0.1320900741508014,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC1705,train,middle,K_scale_tail_spiral,1.0,none,11.0,irregular_T_ge_9,inc_edge_ge_80,2.0,0.050610820244,80.0,10.0,14,0.22,3.115,6.0,0.3380916901906999,0.0,0.0,0.22435242117842633,2.709990359852276,1.856376638855781,1.09025,7.014275070572101,3.115,0.23214126058581497,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2366,train,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.048929663609,68.0,5.0,26,0.12,3.09,6.06,0.5932214289876663,0.0,0.0,-0.043928554504358105,1.7134905430939424,1.8414779499404053,1.0815,7.857460929832629,3.09,0.34694964304444986,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2403,train,middle,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_high_60_80,2.0,0.050632911392,63.0,3.0,73,0.16,3.79,20.87,0.2240697473760753,0.0,0.0,1.254477272840949,3.043672658161538,2.2586412395709177,1.3265,23.20816781386935,3.79,0.1808313863192339,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2841,train,candidate,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_high_60_80,3.0,0.099290780142,76.0,10.0,50,3.44,13.33,63.64,0.1292219698933915,0.3327677068343596,0.7504850772761782,1.3326522610343003,2.748513625783343,7.9439809296781885,4.6655,67.75184308200772,17.765793532102013,0.13814988645202617,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2903,train,candidate,K_thick_flared,0.75,large_distance_error;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,1.0,0.3,66.0,3.0,34,0.32,9.120000000000001,24.96,0.0496469477804444,0.0,0.0,1.3307327366895614,3.868854188993705,5.435041716328964,3.192,25.579593908299948,9.120000000000001,0.10234112650119997,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2915,train,candidate,K_scale_tail_spiral,1.0,none,11.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.049261083744,56.0,4.0,30,0.34,5.185,10.04,0.424129996197886,0.0,0.0,-0.03810962553270595,2.5184481326981416,3.0899880810488676,1.8147499999999996,12.169132580913388,5.185,0.2708584982890487,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2955,train,middle,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_mid_40_60,1.0,0.100102145046,56.0,7.0,24,0.75,9.035,35.43,0.0550017614935728,0.4673226415945107,0.9280103392460785,2.134365859482458,3.1435799525277397,5.3843861740166865,3.16225,36.404356204858644,13.257260066806404,0.10475079267210777,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2976,train,control,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,2.0,0.050279329609,61.0,10.0,27,0.11,1.01,2.27,0.1027653613566688,0.0,0.0,2.30167128980786,2.603404221739564,0.601907032181168,0.3535,2.386638685139819,1.01,0.12624441261050096,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2998,train,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,1.0,0.149779735683,58.0,2.0,13,0.33,12.5,42.28,0.1083132521731512,0.0,0.0,1.6922306830143974,3.316031184383639,7.449344457687724,4.375,44.569742150940414,12.5,0.12874096347791805,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3109,train,middle,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.052631578947,70.0,5.0,25,0.26,3.35,6.45,0.6611396570013207,0.0,0.0,0.30839211635486125,1.0232524596337116,1.99642431466031,1.1724999999999999,8.58217539382926,3.35,0.37751284565059434,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3198,train,control,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,3.0,0.101449275362,73.0,3.0,43,0.32,7.06,44.08,0.1492655314504896,0.0,0.0,1.2650109711054893,3.035397715291015,4.207389749702026,2.4709999999999996,47.36981231316879,7.06,0.14716948915272032,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3521,train,control,K_thick_flared,0.75,large_distance_error;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,1.0,0.298701298701,75.0,5.0,41,0.51,3.95,17.74,0.0168386498903978,0.0,0.0,2.5195889276611987,3.74763239520684,2.353992848629321,1.3825,17.88935882452783,3.95,0.08757739245067901,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3741,train,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.052959501558,70.0,4.0,21,0.23,2.57,7.0,0.7272761755685594,0.0,0.0,-0.24253971986880193,1.5554572172046497,1.531585220500596,0.8994999999999999,9.545466614489959,2.57,0.4072742790058517,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3769,train,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,70.0,2.0,12,1.74,11.39,37.16,0.2583620174278137,0.0,0.0,0.859274475859463,2.560086048497414,6.7878426698450545,3.9865,41.960366283808774,11.39,0.19626290784251615,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3877,train,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,76.0,1.0,13,0.87,6.11,11.35,0.024960031778022997,0.0,0.0,2.2468720154381567,2.8772158014269795,3.6412395709177594,2.1385,11.49164818034028,6.11,0.09123201430011035,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3893,train,control,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,49.0,2.0,10,1.74,9.855,19.05,0.11509842379060728,0.0,0.0,1.450096450609115,3.01651939857895,5.873063170441002,3.44925,20.146312486605535,9.855,0.13179429070577328,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3917,train,control,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_high_60_80,4.0,0.138888888889,79.0,2.0,17,0.87,7.85,14.86,0.0873836513534947,0.0,0.0,1.410959420870229,2.2756568095370144,4.67818831942789,2.7474999999999996,15.509260529556466,7.85,0.11932264310907262,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3953,train,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,62.0,1.0,8,3.5,9.595,15.68,0.0177415452346258,0.0,0.0,2.065113145238178,2.697525747861548,5.718116805721097,3.35825,15.819093714639466,9.595,0.0879836953555816,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3992,train,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,5.0,0.097046413502,56.0,2.0,9,9.19,27.52,46.02,0.0840148172865388,0.0,0.0,1.0276702834637474,2.326683976381879,16.400476758045293,9.632,47.95318094576326,27.52,0.11780666777894247,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4010,train,middle,K_exponential_disk,1.0,none,7.0,late_T_6_8,inc_edge_ge_80,4.0,0.138888888889,89.0,1.0,12,0.87,5.675000000000001,10.47,0.12129304681024829,0.0,0.0,1.6578795401868776,2.4078326232636313,3.382002383790227,1.98625,11.10496910005165,5.675000000000001,0.13458187106461172,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4051,train,candidate,K_thick_flared,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,49.0,3.0,7,1.74,6.98,12.19,0.0334116549580295,0.0,0.0,2.119310762320387,2.5967729767595324,4.159713945172825,2.443,12.39364403696919,6.98,0.09503524473111327,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4068,train,middle,K_scale_tail_spiral,0.8,few_rotation_points,10.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.050343249428,44.0,6.0,6,0.21,1.27,2.33,0.3037921835610156,0.0,0.0,1.1018631630164675,1.6375897858387,0.7568533969010728,0.44449999999999995,2.6839178938485833,1.27,0.216706482602457,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4085,train,middle,K_thick_flared,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_edge_ge_80,4.0,0.138888888889,82.0,2.0,7,0.87,3.58,6.2,0.0310189699612426,0.0,0.0,2.1452884804595134,2.9485107688376573,2.1334922526817643,1.253,6.296158806879852,3.58,0.09395853648255917,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4100,train,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,73.0,2.0,24,2.61,12.655,22.76,0.0818813008653056,0.0,0.0,0.9593450077717341,2.5456410607205737,7.5417163289630516,4.42925,23.69180920384718,12.655,0.11684658538938753,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4138,train,middle,K_compact_finite,0.8,few_rotation_points,0.0,early_T_le_2,inc_mid_40_60,4.0,0.138888888889,53.0,3.0,7,2.61,10.65,18.58,0.0439935766307571,0.23972984785708581,0.3331901700525024,0.6926189013281929,2.6583739527605146,6.3468414779499405,3.7275,18.988700326899735,13.203122879677963,0.0997971094838407,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4157,train,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_edge_ge_80,4.0,0.138888888889,82.0,3.0,17,1.74,15.68,29.61,0.1146371143590203,0.04062638353243858,0.2918294965393529,0.7485886640063604,3.0507160785392387,9.34445768772348,5.4879999999999995,31.307202478085294,16.317021693788636,0.13158670146155915,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4217,train,candidate,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_edge_ge_80,4.0,0.138888888889,86.0,2.0,19,0.87,8.72,16.72,0.029597365409038002,0.8443493764507262,0.9843602996273886,1.0314022242396845,2.173681489728459,5.196662693682956,3.052,16.967433974819556,16.082726562650333,0.0933188144340671,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4559,train,middle,K_exponential_disk,0.85,large_distance_error,6.0,late_T_6_8,inc_high_60_80,1.0,0.3,67.0,1.0,32,0.67,10.805,20.97,0.2468108590410989,0.0,0.0,0.6756005247589165,2.719314710542117,6.439213349225268,3.7817499999999997,23.55781185704592,10.805,0.19106488656849452,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5005,train,middle,K_compact_finite,1.0,none,4.0,mid_T_3_5,inc_high_60_80,5.0,0.08875739645,68.0,2.0,18,0.49,4.67,11.47,0.0748525960352255,0.32930392944612125,0.848673966640449,2.6603883165060256,3.5452724705098606,2.7830750893921334,1.6344999999999998,11.89927963826202,6.207849350513387,0.11368366821585148,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5033,train,middle,K_compact_finite,0.85,large_distance_error,5.0,mid_T_3_5,inc_high_60_80,1.0,0.299363057325,66.0,1.0,22,0.76,20.515,44.59,0.1346835011651077,0.3038915079333484,0.921939696358538,0.8263437543116122,3.335698551498222,12.225864123957093,7.18025,47.592768658476075,26.749334285252644,0.14060757552429848,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5055,train,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,2.0,0.030303030303,55.0,6.0,28,0.72,15.745000000000001,54.59,0.0856031183632459,0.0,0.0,1.312204963610679,3.6106527118951433,9.383194278903458,5.51075,56.9265371157248,15.745000000000001,0.11852140326346065,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5371,train,candidate,K_thick_flared,0.75,large_distance_error;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,1.0,0.249874055416,53.0,2.0,19,1.45,20.2,46.24,0.0481273593454864,0.0,0.0,1.9478022273343039,3.198505882176718,12.038140643623361,7.069999999999999,47.35270454806764,20.2,0.10165731170546888,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5585,train,middle,K_exponential_disk,0.85,large_distance_error,7.0,late_T_6_8,inc_mid_40_60,1.0,0.300283286119,51.0,2.0,24,0.09,3.08,10.96,0.20892023292151976,0.0,0.0,1.7350991678311907,2.8187733666631947,1.8355184743742552,1.0779999999999998,12.10488287640993,3.08,0.17401410481468388,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC6015,train,middle,K_exponential_disk,0.85,large_distance_error,6.0,late_T_6_8,inc_high_60_80,1.0,0.3,60.0,2.0,44,0.34,11.54,29.23,0.1854140497066611,0.0,0.0,0.8049295527339634,2.9706397170107355,6.877234803337306,4.039,31.939826336462854,11.54,0.1634363223679975,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC6195,train,candidate,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_high_60_80,1.0,0.100156494523,62.0,5.0,23,1.33,12.34,36.43,0.0474303933661792,0.5471611332496125,0.9652275768822268,2.0510870336753273,2.7646393320674476,7.3539928486293205,4.319,37.29394461516495,19.091968384300216,0.10134367701478064,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC6503,train,control,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_high_60_80,2.0,0.049520766773,74.0,2.0,31,0.76,12.12,23.5,0.2049645647197884,0.0,0.0,-0.034790635205404215,2.9215460222233314,7.222884386174017,4.241999999999999,25.908333635457517,12.12,0.1722340541239048,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC6674,train,candidate,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_mid_40_60,1.0,0.19921875,54.0,6.0,15,2.5,37.51,72.41,0.1201566434788357,0.14127099740146237,0.7322717546349606,0.39821126194759715,2.825886783798647,22.35399284862932,13.128499999999999,76.76027127715125,42.80907511252885,0.13407048956547607,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC7793,train,control,K_exponential_disk,1.0,none,7.0,late_T_6_8,inc_mid_40_60,2.0,0.049861495845,47.0,9.0,46,0.11,1.6600000000000001,7.87,0.0827505793622192,0.0,0.0,2.1094456224038796,3.082419116442672,0.9892729439809298,0.581,8.195623529790334,1.6600000000000001,0.11723776071299864,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
