scenario,draw,radial_index,radius_lo_arcsec,radius_hi_arcsec,q_shape_proxy,delta_uv,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
star_only,1,4,45,55,0.1580042487,0.9972716604,0,0,0
star_only,1,5,55,65,0.1325929699,0.9936427582,0,0,0
co_independent_only,1,0,5,15,-0.06504247827,0.7770716789,0,0.003984063745,0
co_independent_only,1,1,15,25,-0.03928067224,0.8923255771,0,0.003984063745,0
co_independent_only,1,2,25,35,0.039014516,0.931726178,0,0.003984063745,0
co_independent_only,1,3,35,45,0.02338935037,0.9986816763,0,0.003984063745,0
co_independent_only,1,4,45,55,-0.0448815299,0.9343224355,0,0.003984063745,0
co_independent_only,1,5,55,65,-0.1096216155,0.9762370048,0,0.003984063745,0
star_plus_co_independent,1,0,5,15,-0.0609835882,0.7505988037,0,0.003984063745,0
star_plus_co_independent,1,1,15,25,-0.04947184611,0.7122796476,0,0.003984063745,0
star_plus_co_independent,1,2,25,35,0.03719331771,0.6078593114,0,0.003984063745,0
star_plus_co_independent,1,3,35,45,0.03597353024,0.9789901573,0,0.003984063745,0
star_plus_co_independent,1,4,45,55,0.1482330698,0.9972716604,0,0.003984063745,0
star_plus_co_independent,1,5,55,65,0.1213705309,0.9936427582,0,0.003984063745,0
star_plus_co_correlated_control,1,0,5,15,-0.05750105163,0.7505988037,0,0.02219692658,0
star_plus_co_correlated_control,1,1,15,25,-0.04302522683,0.7122796476,0,0.02219692658,0
star_plus_co_correlated_control,1,2,25,35,0.0307717687,0.6078593114,0,0.02219692658,0
star_plus_co_correlated_control,1,3,35,45,0.04834232495,0.9789901573,0,0.02219692658,0
star_plus_co_correlated_control,1,4,45,55,0.1600402672,0.9972716604,0,0.02219692658,0
star_plus_co_correlated_control,1,5,55,65,0.1367005213,0.9936427582,0,0.02219692658,0
star_co_plus_hi_ctl01,1,0,5,15,-0.06058408105,0.7505988037,0,0.003984063745,0
star_co_plus_hi_ctl01,1,1,15,25,-0.04899449674,0.7122796476,0,0.003984063745,0
star_co_plus_hi_ctl01,1,2,25,35,0.0365596396,0.6078593114,0,0.003984063745,0
star_co_plus_hi_ctl01,1,3,35,45,0.03684837447,0.9789901573,0,0.003984063745,0
star_co_plus_hi_ctl01,1,4,45,55,0.148102434,0.9972716604,0,0.003984063745,0
star_co_plus_hi_ctl01,1,5,55,65,0.1212864752,0.9936427582,0,0.003984063745,0
star_co_plus_hi_ctl10,1,0,5,15,-0.05950831706,0.7505988037,0,0.003984063745,0
star_co_plus_hi_ctl10,1,1,15,25,-0.04771080665,0.7122796476,0,0.003984063745,0
star_co_plus_hi_ctl10,1,2,25,35,0.03485479068,0.6078593114,0,0.003984063745,0
star_co_plus_hi_ctl10,1,3,35,45,0.03919726004,0.9789901573,0,0.003984063745,0
star_co_plus_hi_ctl10,1,4,45,55,0.1480492259,0.9972716604,0,0.003984063745,0
star_co_plus_hi_ctl10,1,5,55,65,0.122195706,0.9936427582,0,0.003984063745,0
star_co_plus_hi_ctl49,1,0,5,15,-0.05766889433,0.7505988037,0,0.003984063745,0
star_co_plus_hi_ctl49,1,1,15,25,-0.04501002667,0.7122796476,0,0.003984063745,0
star_co_plus_hi_ctl49,1,2,25,35,0.03207178172,0.6078593114,0,0.003984063745,0
star_co_plus_hi_ctl49,1,3,35,45,0.04319076814,0.9789901573,0,0.003984063745,0
star_co_plus_hi_ctl49,1,4,45,55,0.1483665238,0.9972716604,0,0.003984063745,0
star_co_plus_hi_ctl49,1,5,55,65,0.1246481304,0.9936427582,0,0.003984063745,0
star_only,2,0,5,15,-0.05987360065,0.7248958652,0.01365964713,0,0
star_only,2,1,15,25,-0.04170718815,0.7026869863,0.01365964713,0,0
star_only,2,2,25,35,0.03457571088,0.7284073954,0.01365964713,0,0
star_only,2,3,35,45,0.0408663059,0.9700278718,0.01365964713,0,0
star_only,2,4,45,55,0.01856215349,0.9992713827,0.01365964713,0,0
star_only,2,5,55,65,0.001728053059,0.9768437783,0.01365964713,0,0
co_independent_only,2,0,5,15,-0.06294156011,0.7770716789,0,0.002845759818,0
co_independent_only,2,1,15,25,-0.03729503503,0.8923255771,0,0.002845759818,0
co_independent_only,2,2,25,35,0.03794124042,0.931726178,0,0.002845759818,0
co_independent_only,2,3,35,45,0.02459848652,0.9986816763,0,0.002845759818,0
co_independent_only,2,4,45,55,-0.04242418536,0.9343224355,0,0.002845759818,0
co_independent_only,2,5,55,65,-0.1045202771,0.9762370048,0,0.002845759818,0
star_plus_co_independent,2,0,5,15,-0.06247914747,0.7248958652,0.01365964713,0.002845759818,0
star_plus_co_independent,2,1,15,25,-0.04417402457,0.7026869863,0.01365964713,0.002845759818,0
star_plus_co_independent,2,2,25,35,0.03750676458,0.7284073954,0.01365964713,0.002845759818,0
star_plus_co_independent,2,3,35,45,0.03734338168,0.9700278718,0.01365964713,0.002845759818,0
star_plus_co_independent,2,4,45,55,0.01432556807,0.9992713827,0.01365964713,0.002845759818,0
star_plus_co_independent,2,5,55,65,-0.00432275638,0.9768437783,0.01365964713,0.002845759818,0
star_plus_co_correlated_control,2,0,5,15,-0.06220225611,0.7248958652,0.01365964713,0.06829823563,0
star_plus_co_correlated_control,2,1,15,25,-0.04470261058,0.7026869863,0.01365964713,0.06829823563,0
star_plus_co_correlated_control,2,2,25,35,0.03875972813,0.7284073954,0.01365964713,0.06829823563,0
star_plus_co_correlated_control,2,3,35,45,0.04019367347,0.9700278718,0.01365964713,0.06829823563,0
star_plus_co_correlated_control,2,4,45,55,0.01958249486,0.9992713827,0.01365964713,0.06829823563,0
star_plus_co_correlated_control,2,5,55,65,0.00352260409,0.9768437783,0.01365964713,0.06829823563,0
star_co_plus_hi_ctl01,2,0,5,15,-0.06258618943,0.7248958652,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl01,2,1,15,25,-0.04422967321,0.7026869863,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl01,2,2,25,35,0.03711816103,0.7284073954,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl01,2,3,35,45,0.0377300002,0.9700278718,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl01,2,4,45,55,0.01450353039,0.9992713827,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl01,2,5,55,65,-0.004122742178,0.9768437783,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl10,2,0,5,15,-0.06287476005,0.7248958652,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl10,2,1,15,25,-0.04437973831,0.7026869863,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl10,2,2,25,35,0.03606987108,0.7284073954,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl10,2,3,35,45,0.03877080865,0.9700278718,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl10,2,4,45,55,0.01493910417,0.9992713827,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl10,2,5,55,65,-0.003977618304,0.9768437783,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl49,2,0,5,15,-0.06336931661,0.7248958652,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl49,2,1,15,25,-0.04463707118,0.7026869863,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl49,2,2,25,35,0.0342710267,0.7284073954,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl49,2,3,35,45,0.04054418127,0.9700278718,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl49,2,4,45,55,0.0132094845,0.9992713827,0.01365964713,0.002845759818,0
star_co_plus_hi_ctl49,2,5,55,65,-0.003757703135,0.9768437783,0.01365964713,0.002845759818,0
star_only,3,0,5,15,-0.0609054494,0.7819909184,0.005691519636,0,0
star_only,3,1,15,25,-0.03227093805,0.9368764389,0.005691519636,0,0
star_only,3,2,25,35,0.03460421123,0.9568785762,0.005691519636,0,0
star_only,3,3,35,45,0.01405338718,0.9878647125,0.005691519636,0,0
star_only,3,4,45,55,-0.07494457847,0.9466981737,0.005691519636,0,0
star_only,3,5,55,65,-0.1454762992,0.9458944419,0.005691519636,0,0
co_independent_only,3,0,5,15,-0.06133031978,0.7770716789,0,0.002845759818,0
co_independent_only,3,1,15,25,-0.0357185471,0.8923255771,0,0.002845759818,0
co_independent_only,3,2,25,35,0.03120253047,0.931726178,0,0.002845759818,0
co_independent_only,3,3,35,45,0.02427426679,0.9986816763,0,0.002845759818,0
co_independent_only,3,4,45,55,-0.04453018371,0.9343224355,0,0.002845759818,0
co_independent_only,3,5,55,65,-0.111978569,0.9762370048,0,0.002845759818,0
star_plus_co_independent,3,0,5,15,-0.06201128171,0.7819909184,0.005691519636,0.002845759818,0
star_plus_co_independent,3,1,15,25,-0.03165435933,0.9368764389,0.005691519636,0.002845759818,0
star_plus_co_independent,3,2,25,35,0.03103255473,0.9568785762,0.005691519636,0.002845759818,0
star_plus_co_independent,3,3,35,45,0.01421741321,0.9878647125,0.005691519636,0.002845759818,0
star_plus_co_independent,3,4,45,55,-0.07882454597,0.9466981737,0.005691519636,0.002845759818,0
star_plus_co_independent,3,5,55,65,-0.158098832,0.9458944419,0.005691519636,0.002845759818,0
star_plus_co_correlated_control,3,0,5,15,-0.05939297986,0.7819909184,0.005691519636,0,0
star_plus_co_correlated_control,3,1,15,25,-0.03043051079,0.9368764389,0.005691519636,0,0
star_plus_co_correlated_control,3,2,25,35,0.03140536329,0.9568785762,0.005691519636,0,0
star_plus_co_correlated_control,3,3,35,45,0.0156526871,0.9878647125,0.005691519636,0,0
star_plus_co_correlated_control,3,4,45,55,-0.07326493698,0.9466981737,0.005691519636,0,0
star_plus_co_correlated_control,3,5,55,65,-0.1406461494,0.9458944419,0.005691519636,0,0
star_co_plus_hi_ctl01,3,0,5,15,-0.06191750354,0.7819909184,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl01,3,1,15,25,-0.03103925131,0.9368764389,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl01,3,2,25,35,0.03099364636,0.9568785762,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl01,3,3,35,45,0.01524688876,0.9878647125,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl01,3,4,45,55,-0.07888017115,0.9466981737,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl01,3,5,55,65,-0.1571075809,0.9458944419,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl10,3,0,5,15,-0.06166493951,0.7819909184,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl10,3,1,15,25,-0.02938254606,0.9368764389,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl10,3,2,25,35,0.03088817851,0.9568785762,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl10,3,3,35,45,0.01802529836,0.9878647125,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl10,3,4,45,55,-0.07904186326,0.9466981737,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl10,3,5,55,65,-0.1544295917,0.9458944419,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl49,3,0,5,15,-0.06123293439,0.7819909184,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl49,3,1,15,25,-0.02634554162,0.9368764389,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl49,3,2,25,35,0.03070547601,0.9568785762,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl49,3,3,35,45,0.01955390231,0.9878647125,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl49,3,4,45,55,-0.07882141239,0.9466981737,0.005691519636,0.002845759818,0
star_co_plus_hi_ctl49,3,5,55,65,-0.1475465433,0.9458944419,0.005691519636,0.002845759818,0
star_only,4,0,5,15,-0.0608340713,0.7486040598,0.007398975526,0,0
star_only,4,1,15,25,-0.03596433512,0.84546896,0.007398975526,0,0
star_only,4,2,25,35,0.03460561375,0.9094087762,0.007398975526,0,0
star_only,4,3,35,45,0.024859573,0.9998087367,0.007398975526,0,0
star_only,4,4,45,55,-0.06565715467,0.9161564606,0.007398975526,0,0
star_only,4,5,55,65,-0.1315762075,0.9810089512,0.007398975526,0,0
co_independent_only,4,0,5,15,-0.0544471829,0.7770716789,0,0.001138303927,0
co_independent_only,4,1,15,25,-0.02810749605,0.8923255771,0,0.001138303927,0
co_independent_only,4,2,25,35,0.03173381727,0.931726178,0,0.001138303927,0
co_independent_only,4,3,35,45,0.02916682988,0.9986816763,0,0.001138303927,0
co_independent_only,4,4,45,55,-0.03706476583,0.9343224355,0,0.001138303927,0
co_independent_only,4,5,55,65,-0.09772820376,0.9762370048,0,0.001138303927,0
star_plus_co_independent,4,0,5,15,-0.05474311153,0.7486040598,0.007398975526,0.001138303927,0
star_plus_co_independent,4,1,15,25,-0.02798477959,0.84546896,0.007398975526,0.001138303927,0
star_plus_co_independent,4,2,25,35,0.03107145689,0.9094087762,0.007398975526,0.001138303927,0
star_plus_co_independent,4,3,35,45,0.02943691222,0.9998087367,0.007398975526,0.001138303927,0
star_plus_co_independent,4,4,45,55,-0.06236041277,0.9161564606,0.007398975526,0.001138303927,0
star_plus_co_independent,4,5,55,65,-0.1290600823,0.9810089512,0.007398975526,0.001138303927,0
star_plus_co_correlated_control,4,0,5,15,-0.06160229271,0.7486040598,0.007398975526,0.02390438247,0
star_plus_co_correlated_control,4,1,15,25,-0.03677512595,0.84546896,0.007398975526,0.02390438247,0
star_plus_co_correlated_control,4,2,25,35,0.03624020533,0.9094087762,0.007398975526,0.02390438247,0
star_plus_co_correlated_control,4,3,35,45,0.02419179434,0.9998087367,0.007398975526,0.02390438247,0
star_plus_co_correlated_control,4,4,45,55,-0.06642219664,0.9161564606,0.007398975526,0.02390438247,0
star_plus_co_correlated_control,4,5,55,65,-0.1341069024,0.9810089512,0.007398975526,0.02390438247,0
star_co_plus_hi_ctl01,4,0,5,15,-0.05416124242,0.7486040598,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl01,4,1,15,25,-0.02741407425,0.84546896,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl01,4,2,25,35,0.03016516207,0.9094087762,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl01,4,3,35,45,0.02997704618,0.9998087367,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl01,4,4,45,55,-0.0610404081,0.9161564606,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl01,4,5,55,65,-0.1283835885,0.9810089512,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl10,4,0,5,15,-0.05259422061,0.7486040598,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl10,4,1,15,25,-0.02575706736,0.84546896,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl10,4,2,25,35,0.02772390355,0.9094087762,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl10,4,3,35,45,0.03143386424,0.9998087367,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl10,4,4,45,55,-0.05749023363,0.9161564606,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl10,4,5,55,65,-0.1266415947,0.9810089512,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl49,4,0,5,15,-0.04994042761,0.7486040598,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl49,4,1,15,25,-0.02281201171,0.84546896,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl49,4,2,25,35,0.02354674191,0.9094087762,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl49,4,3,35,45,0.03377018619,0.9998087367,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl49,4,4,45,55,-0.05214773022,0.9161564606,0.007398975526,0.001138303927,0
star_co_plus_hi_ctl49,4,5,55,65,-0.1220308307,0.9810089512,0.007398975526,0.001138303927,0
star_only,5,0,5,15,-0.06109342408,0.7604477407,0.002276607854,0,0
star_only,5,1,15,25,-0.03483155249,0.9368262853,0.002276607854,0,0
star_only,5,2,25,35,0.03412555986,0.9745259111,0.002276607854,0,0
star_only,5,3,35,45,0.02389564203,0.9933557232,0.002276607854,0,0
star_only,5,4,45,55,-0.04636224218,0.9398913449,0.002276607854,0,0
star_only,5,5,55,65,-0.112000966,0.969842135,0.002276607854,0,0
co_independent_only,5,0,5,15,-0.06069735951,0.7770716789,0,0,0
co_independent_only,5,1,15,25,-0.03510834928,0.8923255771,0,0,0
co_independent_only,5,2,25,35,0.03101483419,0.931726178,0,0,0
co_independent_only,5,3,35,45,0.02349270105,0.9986816763,0,0,0
co_independent_only,5,4,45,55,-0.04512697346,0.9343224355,0,0,0
co_independent_only,5,5,55,65,-0.100945535,0.9762370048,0,0,0
star_plus_co_independent,5,0,5,15,-0.06153519879,0.7604477407,0.002276607854,0,0
star_plus_co_independent,5,1,15,25,-0.03381709646,0.9368262853,0.002276607854,0,0
star_plus_co_independent,5,2,25,35,0.03040054491,0.9745259111,0.002276607854,0,0
star_plus_co_independent,5,3,35,45,0.02274542927,0.9933557232,0.002276607854,0,0
star_plus_co_independent,5,4,45,55,-0.05182174993,0.9398913449,0.002276607854,0,0
star_plus_co_independent,5,5,55,65,-0.114270036,0.969842135,0.002276607854,0,0
star_plus_co_correlated_control,5,0,5,15,-0.06386322838,0.7604477407,0.002276607854,0.07683551508,0
star_plus_co_correlated_control,5,1,15,25,-0.03762753101,0.9368262853,0.002276607854,0.07683551508,0
star_plus_co_correlated_control,5,2,25,35,0.03870496386,0.9745259111,0.002276607854,0.07683551508,0
star_plus_co_correlated_control,5,3,35,45,0.02174385931,0.9933557232,0.002276607854,0.07683551508,0
star_plus_co_correlated_control,5,4,45,55,-0.04826763244,0.9398913449,0.002276607854,0.07683551508,0
star_plus_co_correlated_control,5,5,55,65,-0.1201897238,0.969842135,0.002276607854,0.07683551508,0
star_co_plus_hi_ctl01,5,0,5,15,-0.061166685,0.7604477407,0.002276607854,0,0
star_co_plus_hi_ctl01,5,1,15,25,-0.03378171231,0.9368262853,0.002276607854,0,0
star_co_plus_hi_ctl01,5,2,25,35,0.03014158276,0.9745259111,0.002276607854,0,0
star_co_plus_hi_ctl01,5,3,35,45,0.02351463916,0.9933557232,0.002276607854,0,0
star_co_plus_hi_ctl01,5,4,45,55,-0.05181502808,0.9398913449,0.002276607854,0,0
star_co_plus_hi_ctl01,5,5,55,65,-0.1144458691,0.969842135,0.002276607854,0,0
star_co_plus_hi_ctl10,5,0,5,15,-0.0601762565,0.7604477407,0.002276607854,0,0
star_co_plus_hi_ctl10,5,1,15,25,-0.03357058004,0.9368262853,0.002276607854,0,0
star_co_plus_hi_ctl10,5,2,25,35,0.02944904181,0.9745259111,0.002276607854,0,0
star_co_plus_hi_ctl10,5,3,35,45,0.0255864889,0.9933557232,0.002276607854,0,0
star_co_plus_hi_ctl10,5,4,45,55,-0.0517966559,0.9398913449,0.002276607854,0,0
star_co_plus_hi_ctl10,5,5,55,65,-0.1149207439,0.969842135,0.002276607854,0,0
star_co_plus_hi_ctl49,5,0,5,15,-0.05848906565,0.7604477407,0.002276607854,0,0
star_co_plus_hi_ctl49,5,1,15,25,-0.03234996973,0.9368262853,0.002276607854,0,0
star_co_plus_hi_ctl49,5,2,25,35,0.02822648064,0.9745259111,0.002276607854,0,0
star_co_plus_hi_ctl49,5,3,35,45,0.02862751179,0.9933557232,0.002276607854,0,0
star_co_plus_hi_ctl49,5,4,45,55,-0.05229227436,0.9398913449,0.002276607854,0,0
star_co_plus_hi_ctl49,5,5,55,65,-0.116053126,0.969842135,0.002276607854,0,0
star_only,6,0,5,15,-0.06051500778,0.7332921081,0.001707455891,0,0
star_only,6,1,15,25,-0.03318148178,0.8170152013,0.001707455891,0,0
star_only,6,2,25,35,0.03472870806,0.9090805568,0.001707455891,0,0
star_only,6,3,35,45,0.01954228188,0.999980733,0.001707455891,0,0
star_only,6,4,45,55,-0.07307482418,0.9868248845,0.001707455891,0,0
star_only,6,5,55,65,-0.1865155548,0.999250228,0.001707455891,0,0
co_independent_only,6,0,5,15,-0.06243578156,0.7770716789,0,0.001707455891,0
co_independent_only,6,1,15,25,-0.03628428631,0.8923255771,0,0.001707455891,0
co_independent_only,6,2,25,35,0.03635074492,0.931726178,0,0.001707455891,0
co_independent_only,6,3,35,45,0.02330992517,0.9986816763,0,0.001707455891,0
co_independent_only,6,4,45,55,-0.0385982822,0.9343224355,0,0.001707455891,0
co_independent_only,6,5,55,65,-0.09509701069,0.9762370048,0,0.001707455891,0
star_plus_co_independent,6,0,5,15,-0.06266723129,0.7332921081,0.001707455891,0.001707455891,0
star_plus_co_independent,6,1,15,25,-0.03325637274,0.8170152013,0.001707455891,0.001707455891,0
star_plus_co_independent,6,2,25,35,0.03631627689,0.9090805568,0.001707455891,0.001707455891,0
star_plus_co_independent,6,3,35,45,0.01843178206,0.999980733,0.001707455891,0.001707455891,0
star_plus_co_independent,6,4,45,55,-0.07059113219,0.9868248845,0.001707455891,0.001707455891,0
star_plus_co_independent,6,5,55,65,-0.1807849935,0.999250228,0.001707455891,0.001707455891,0
star_plus_co_correlated_control,6,0,5,15,-0.05793039901,0.7332921081,0.001707455891,0,0
star_plus_co_correlated_control,6,1,15,25,-0.02986611175,0.8170152013,0.001707455891,0,0
star_plus_co_correlated_control,6,2,25,35,0.02911883338,0.9090805568,0.001707455891,0,0
star_plus_co_correlated_control,6,3,35,45,0.02190446,0.999980733,0.001707455891,0,0
star_plus_co_correlated_control,6,4,45,55,-0.07128144587,0.9868248845,0.001707455891,0,0
star_plus_co_correlated_control,6,5,55,65,-0.1751743813,0.999250228,0.001707455891,0,0
star_co_plus_hi_ctl01,6,0,5,15,-0.06291430956,0.7332921081,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl01,6,1,15,25,-0.03363286651,0.8170152013,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl01,6,2,25,35,0.03698722822,0.9090805568,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl01,6,3,35,45,0.0184288521,0.999980733,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl01,6,4,45,55,-0.07084820701,0.9868248845,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl01,6,5,55,65,-0.1811703851,0.999250228,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl10,6,0,5,15,-0.06357889624,0.7332921081,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl10,6,1,15,25,-0.03464708478,0.8170152013,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl10,6,2,25,35,0.03878970856,0.9090805568,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl10,6,3,35,45,0.01841823966,0.999980733,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl10,6,4,45,55,-0.07154370155,0.9868248845,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl10,6,5,55,65,-0.1822082363,0.999250228,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl49,6,0,5,15,-0.0647128044,0.7332921081,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl49,6,1,15,25,-0.03575801157,0.8170152013,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl49,6,2,25,35,0.04143451812,0.9090805568,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl49,6,3,35,45,0.01839091449,0.999980733,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl49,6,4,45,55,-0.07274389099,0.9868248845,0.001707455891,0.001707455891,0
star_co_plus_hi_ctl49,6,5,55,65,-0.18419483,0.999250228,0.001707455891,0.001707455891,0
star_only,7,0,5,15,-0.06112994929,0.8340713771,0.002276607854,0,0
star_only,7,1,15,25,-0.02686254112,0.9942042053,0.002276607854,0,0
star_only,7,2,25,35,0.03404205337,0.9848805432,0.002276607854,0,0
star_only,7,3,35,45,0.01699939876,0.9584783795,0.002276607854,0,0
star_only,7,4,45,55,-0.09825770206,0.9646284463,0.002276607854,0,0
star_only,7,5,55,65,-0.118489056,0.9148297475,0.002276607854,0,0
co_independent_only,7,0,5,15,-0.0626402675,0.7770716789,0,0.001138303927,0
co_independent_only,7,1,15,25,-0.03924773348,0.8923255771,0,0.001138303927,0
co_independent_only,7,2,25,35,0.03718049501,0.931726178,0,0.001138303927,0
co_independent_only,7,3,35,45,0.02624270688,0.9986816763,0,0.001138303927,0
