grayscale_floor,radius_kpc,gas_shell_mass_msun_with_helium,gas_enclosed_mass_msun_with_helium
4.0,14.5,713624821.2115002,5928223346.162673
4.0,15.5,717059980.1928847,6645283326.355557
4.0,16.5,672692953.2435266,7317976279.599084
4.0,17.5,585862285.5877997,7903838565.186884
4.0,18.5,521210599.53473246,8425049164.721617
4.0,19.5,461688992.5936771,8886738157.315294
4.0,20.5,455924451.4006806,9342662608.715975
4.0,21.5,391073362.97931015,9733735971.695284
4.0,22.5,317548271.5363709,10051284243.231655
4.0,23.5,310396977.5092086,10361681220.740864
4.0,24.5,291979449.6724033,10653660670.413267
4.0,25.5,269102559.7806654,10922763230.193932
4.0,26.5,213487426.50972316,11136250656.703655
4.0,27.5,142373290.97455147,11278623947.678207
4.0,28.5,80078178.36517632,11358702126.043383
4.0,29.5,34532864.69397484,11393234990.737358
4.0,30.5,24209260.26183838,11417444250.999197
4.0,31.5,18263444.18854958,11435707695.187746
4.0,32.5,42427385.73031456,11478135080.91806
4.0,33.5,18000595.612133484,11496135676.530193
4.0,34.5,14574500.37478302,11510710176.904978
4.0,35.5,19360157.2142601,11530070334.119238
4.0,36.5,24363343.91008507,11554433678.029322
4.0,37.5,17900894.42797928,11572334572.457302
4.0,38.5,9825098.511355057,11582159670.968657
4.0,39.5,8420218.189157639,11590579889.157814
4.0,40.5,6661851.850415497,11597241741.00823
4.0,41.5,15272408.663872834,11612514149.672102
4.0,42.5,12091034.514901582,11624605184.187004
4.0,43.5,9217827.662410736,11633823011.849415
4.0,44.5,6127090.953577194,11639950102.802992
4.0,45.5,13396213.652940903,11653346316.455933
4.0,46.5,14891731.41527344,11668238047.871206
4.0,47.5,561952.128880005,11668800000.000086
4.0,48.5,0.0,11668800000.000086
4.0,49.5,0.0,11668800000.000086
4.0,50.5,0.0,11668800000.000086
4.0,51.5,0.0,11668800000.000086
4.0,52.5,0.0,11668800000.000086
4.0,53.5,0.0,11668800000.000086
4.0,54.5,0.0,11668800000.000086
4.0,55.5,0.0,11668800000.000086
4.0,56.5,0.0,11668800000.000086
4.0,57.5,0.0,11668800000.000086
4.0,58.5,0.0,11668800000.000086
8.0,0.5,28804315.309949618,28804315.309949618
8.0,1.5,26428217.568372443,55232532.878322065
8.0,2.5,50912355.16636352,106144888.04468559
8.0,3.5,108248626.75659592,214393514.8012815
8.0,4.5,198512165.86449438,412905680.6657759
8.0,5.5,266320172.56088763,679225853.2266635
8.0,6.5,356827895.62641853,1036053748.8530821
8.0,7.5,470270127.3280425,1506323876.1811244
8.0,8.5,523934247.86310893,2030258124.0442333
8.0,9.5,515960702.477346,2546218826.5215793
8.0,10.5,600993069.8775043,3147211896.3990836
8.0,11.5,691979769.1676196,3839191665.5667033
8.0,12.5,704029308.3077033,4543220973.874407
8.0,13.5,692308478.3413541,5235529452.215761
8.0,14.5,716867749.464777,5952397201.680538
8.0,15.5,720586858.9733171,6672984060.653855
8.0,16.5,674163731.9511247,7347147792.6049795
8.0,17.5,586257507.2034326,7933405299.808412
8.0,18.5,522055909.72746557,8455461209.535877
8.0,19.5,462446848.99311984,8917908058.528997
8.0,20.5,456661567.535366,9374569626.064363
8.0,21.5,392140652.57633454,9766710278.640697
8.0,22.5,317157394.201826,10083867672.842524
8.0,23.5,310367201.8415069,10394234874.68403
8.0,24.5,290898227.06565225,10685133101.749683
8.0,25.5,267212383.17530587,10952345484.92499
8.0,26.5,211162773.20799083,11163508258.13298
8.0,27.5,138226903.40131578,11301735161.534296
8.0,28.5,76767679.60336731,11378502841.137663
8.0,29.5,31884789.852390748,11410387630.990053
8.0,30.5,21854464.208096467,11432242095.19815
8.0,31.5,16266408.254587708,11448508503.452738
8.0,32.5,40365486.53477837,11488873989.987516
8.0,33.5,16369716.852050401,11505243706.839567
8.0,34.5,13345592.453678284,11518589299.293245
8.0,35.5,18144746.39022362,11536734045.683468
8.0,36.5,22831200.03863373,11559565245.722103
8.0,37.5,16942609.983417206,11576507855.705519
8.0,38.5,9166290.10189354,11585674145.807413
8.0,39.5,7842061.716271591,11593516207.523685
8.0,40.5,6198515.847591629,11599714723.371277
8.0,41.5,14970354.941005403,11614685078.312283
8.0,42.5,11758396.729069825,11626443475.041351
8.0,43.5,8781230.784088898,11635224705.82544
8.0,44.5,5578664.262834931,11640803370.088276
8.0,45.5,12988708.20791069,11653792078.296186
8.0,46.5,14566512.241842728,11668358590.538029
8.0,47.5,441409.46187355043,11668799999.999903
8.0,48.5,0.0,11668799999.999903
8.0,49.5,0.0,11668799999.999903
8.0,50.5,0.0,11668799999.999903
8.0,51.5,0.0,11668799999.999903
8.0,52.5,0.0,11668799999.999903
8.0,53.5,0.0,11668799999.999903
8.0,54.5,0.0,11668799999.999903
8.0,55.5,0.0,11668799999.999903
8.0,56.5,0.0,11668799999.999903
8.0,57.5,0.0,11668799999.999903
8.0,58.5,0.0,11668799999.999903
