galaxy,fold,asymmetry_3p6,asymmetry_4p5,log_tpg_target,tpg_3p6_baseline_prediction,tpg_3p6_augmented_prediction,tpg_4p5_augmented_prediction
UGC04483,2,0.699999988079071,0.959999978542328,1.3346604772383226,1.0377712652734177,1.082384998751559,0.8639934144462607
UGC04499,4,0.2300000041723251,0.1500000059604644,1.7985090050059513,2.833848898094158,2.8382884888142605,2.83735956903641
UGC05764,4,0.1400000005960464,0.1199999973177909,2.369500381805263,2.0701244451945335,2.089433951391506,2.1048577656582426
UGC05829,1,0.6800000071525574,0.8600000143051147,1.828200335889348,2.0279024450311454,2.0156916803544576,1.9770653993918408
UGC05918,0,0.4799999892711639,0.2399999946355819,1.3486161890523438,2.073287762932618,2.071420590917216,2.1015523113638537
UGC06399,1,0.3700000047683716,0.2000000029802322,1.8826154268318347,2.478951800585392,2.473393283313052,2.4894446759954407
UGC06446,0,0.3899999856948852,0.3000000119209289,2.45105325339249,2.2283675904626103,2.227778353462237,2.1712393710798112
UGC06628,4,0.25,0.1800000071525573,3.4186891203094367,2.164446901864864,2.1737711821071986,2.186871978031229
UGC06667,3,0.2300000041723251,0.1500000059604644,3.080891956722132,2.257532118035005,2.2689797784533146,2.2598057094391506
UGC06818,0,0.2599999904632568,0.1899999976158142,2.5165765521776904,2.1480341455434515,2.149224624481186,2.20461767280482
UGC06917,3,0.5199999809265137,0.7200000286102295,1.8611201696152169,2.6829664260184805,2.7622515512319783,2.6736896957315106
UGC06930,1,0.1800000071525573,0.1599999964237213,1.9643031561158752,2.5524529792562802,2.5562715313803865,2.5514473596992366
UGC06983,2,0.2300000041723251,0.1299999952316284,2.4012386827509333,2.555269342155071,2.556599346179409,2.5507991089436324
UGC07089,0,0.2800000011920929,0.1599999964237213,2.472718184309047,2.517384123324823,2.518740887630884,2.608329500618771
UGC07125,0,0.1899999976158142,0.1299999952316284,3.1573144817981174,1.9527197874902213,1.9554741389264731,2.038730870269159
UGC07559,0,0.8899999856948853,0.9900000095367432,2.090092602345701,1.817365382365082,1.813783364513876,1.5767198509296083
UGC07577,0,0.5099999904632568,0.4300000071525574,2.361016437660341,1.7815474466511978,1.7807506794928099,1.776070373972919
UGC07608,0,0.4699999988079071,0.4000000059604645,2.405769009083735,2.3956437400755863,2.394527080833565,2.352253264116396
UGC07690,0,0.25,0.209999993443489,1.5264386297816481,2.118561515756223,2.1209490228430656,2.214504437925997
UGC08837,0,0.6899999976158142,0.4399999976158142,2.470050090647827,1.9932722838037225,1.991326561571706,1.9776415888270968
UGC09992,3,0.4799999892711639,0.4699999988079071,2.5192356863973093,1.9183556767644603,1.9491585782448038,1.9177741240076385
UGC10310,0,0.8299999833106995,1.0,1.7962060063579344,2.631576860394434,2.6283335745857674,2.4124975130333657
UGC12732,4,0.4099999964237213,0.4399999976158142,2.0435720749590773,2.3356973289069347,2.3444925338029043,2.346710809681392
