line,velocity_km_s,channel_index_zero_based,held_path,lambda,fractional_squared_residual_improvement,model_rss,background_plane_rss
CO87,-12.999999445360299,47,1,1.0,0.018657487186145127,5.074987650568192e-06,5.171474367309752e-06
CO87,-12.999999445360299,47,2,1.0,-0.006040971587850441,4.97616004821992e-06,4.946279713008077e-06
CO87,-12.999999445360299,47,3,1.0,0.13997306914084862,4.195778025847318e-06,4.878658882990806e-06
CO87,8.000000554633004,48,0,1.0,0.0813287707011956,5.809203296694809e-06,6.323484519188446e-06
CO87,8.000000554633004,48,1,1.0,0.045635618471337236,5.398975310273941e-06,5.657142507378658e-06
CO87,8.000000554633004,48,2,1.0,0.024412977250154233,4.343143184116978e-06,4.451825498739358e-06
CO87,8.000000554633004,48,3,1.0,0.2017618610476185,4.597641013553167e-06,5.759736085257932e-06
CO87,29.000000554626308,49,0,1.0,0.06567549518610671,6.957669668512477e-06,7.4467378653398e-06
CO87,29.000000554626308,49,1,1.0,0.09279850416941138,5.387579687269101e-06,5.938680339516527e-06
CO87,29.000000554626308,49,2,1.0,0.04363616540616222,4.504752320303152e-06,4.7102913738015765e-06
CO87,29.000000554626308,49,3,1.0,0.11179937702468057,7.85078790462544e-06,8.838980407744649e-06
CO87,50.00000055461961,50,0,1.0,-0.02179870969312736,7.344545268877936e-06,7.187859212587667e-06
CO87,50.00000055461961,50,1,1.0,0.06941381634884336,5.922410184659774e-06,6.364171625053777e-06
CO87,50.00000055461961,50,2,1.0,-0.011089544291709164,5.352530570960763e-06,5.293824470027856e-06
CO87,50.00000055461961,50,3,1.0,0.043936748833948935,8.433179554867563e-06,8.820733925900966e-06
CO87,71.00000055461291,51,0,1.0,-0.06727568628842007,6.647957140747834e-06,6.2289033903385426e-06
CO87,71.00000055461291,51,1,1.0,0.11321194843954607,5.861632728303339e-06,6.609959074199074e-06
CO87,71.00000055461291,51,2,1.0,-0.01877050667941771,6.539121152152911e-06,6.418640026659717e-06
CO87,71.00000055461291,51,3,1.0,0.04791164016079652,7.057576764938194e-06,7.412732959081797e-06
CO87,92.00000055457294,52,0,1.0,0.06056964262490849,6.004942816130715e-06,6.3921106753558835e-06
CO87,92.00000055457294,52,1,1.0,0.13903057771646132,5.681580545224969e-06,6.599050324175025e-06
CO87,92.00000055457294,52,2,1.0,-0.03049407615872557,6.700258377686776e-06,6.501986311908449e-06
CO87,92.00000055457294,52,3,1.0,0.0631149453527754,7.023491186351118e-06,7.496641291813272e-06
CO87,113.00000055456624,53,0,1.0,0.057871111387495344,7.506828211334283e-06,7.967941862381234e-06
CO87,113.00000055456624,53,1,1.0,0.11331560717160194,5.773166898942592e-06,6.5109603209852425e-06
CO87,113.00000055456624,53,2,1.0,-0.09731142052062891,6.958041226795075e-06,6.340990439608996e-06
CO87,113.00000055456624,53,3,1.0,-0.08399048597580183,9.427539119668958e-06,8.697068140023704e-06
