galaxy,split,formula_family,n_points,rmse_mixture_proxy,rmse_single_matched_family,rmse_tpg_v6,rmse_mond,mixture_minus_single_matched,mixture_minus_tpg_v6,mixture_minus_mond,mixture_beats_single_matched,mixture_beats_tpg_v6,mixture_beats_mond
NGC7331,holdout,K_thick_flared,36,25.427350189865646,24.522570438330455,25.485065060071012,29.311675230419702,0.904779751535191,-0.05771487020536625,-3.8843250405540566,False,True,True
UGC00731,holdout,K_scale_tail_spiral,12,11.034722729741045,11.310048467799863,12.845453066903099,11.466827035781066,-0.2753257380588181,-1.8107303371620542,-0.4321043060400207,True,True,True
UGC00891,holdout,K_scale_tail_spiral,5,8.66676298769668,7.225333270873022,5.958365558298525,7.682081654505746,1.4414297168236585,2.708397429398155,0.9846813331909345,False,False,False
UGC02023,holdout,K_scale_tail_spiral,5,24.895483231211234,15.300264315382941,12.198048884046239,13.979836766957423,9.595218915828292,12.697434347164995,10.915646464253811,False,False,False
UGC02259,holdout,K_exponential_disk,8,15.453884580549186,19.573338345039396,16.43514083306515,13.66144175213647,-4.11945376449021,-0.9812562525159656,1.7924428284127156,True,True,False
UGC03580,holdout,K_compact_finite,47,47.927084251790035,53.98299406241329,25.49452615076704,27.172706555031343,-6.055909810623255,22.432558101022995,20.75437769675869,True,False,False
UGC04305,holdout,K_scale_tail_spiral,22,31.045482276305602,26.808062784312273,23.999621706482884,26.588364190715332,4.237419491993329,7.045860569822718,4.45711808559027,False,False,False
UGC04499,holdout,K_scale_tail_spiral,9,9.236407431834209,8.071013668884772,6.040634191372928,8.985021588452573,1.1653937629494369,3.195773240461281,0.2513858433816356,False,False,False
UGC05414,holdout,K_scale_tail_spiral,6,15.266440388278756,9.440201402889352,6.4008126343112375,8.261884143933315,5.826238985389404,8.86562775396752,7.004556244345441,False,False,False
UGC05716,holdout,K_scale_tail_spiral,12,3.9917294431077943,4.212043634396867,5.844868825954693,5.605647282808069,-0.2203141912890727,-1.8531393828468987,-1.6139178397002745,True,True,True
UGC05829,holdout,K_scale_tail_spiral,11,10.762473246488181,7.720215953585758,6.222677845510406,8.606905396927852,3.0422572929024225,4.539795400977775,2.155567849560329,False,False,False
UGC05986,holdout,K_scale_tail_spiral,15,13.945836414912609,15.662107914873872,17.532159853325275,15.059299363743824,-1.7162714999612625,-3.5863234384126663,-1.1134629488312147,True,True,True
UGC06818,holdout,K_scale_tail_spiral,8,15.762229546173607,13.901550076257113,12.386120759877572,13.66362183441789,1.8606794699164944,3.376108786296035,2.098607711755717,False,False,False
UGC06917,holdout,K_scale_tail_spiral,11,3.720900338876371,4.9226251653474105,6.430936477869006,4.61507933369384,-1.2017248264710396,-2.710036138992635,-0.8941789948174694,True,True,True
UGC06983,holdout,K_scale_tail_spiral,17,10.110482894618606,9.70055392147702,11.036839059186455,9.148970751386091,0.40992897314158583,-0.9263561645678493,0.9615121432325147,False,True,False
UGC07151,holdout,K_exponential_disk,11,7.605794172487359,3.9908842627101606,4.3119123214161394,5.615951252005322,3.6149099097771984,3.2938818510712196,1.9898429204820367,False,False,False
UGC07261,holdout,K_exponential_disk,7,5.405932942847409,5.956232149170297,4.296839337715027,4.6168185611277694,-0.5502992063228884,1.109093605132382,0.7891143817196395,True,False,False
UGC07577,holdout,K_scale_tail_spiral,9,43.470077942629764,17.124297895456632,10.601721967205515,13.125766123408509,26.345780047173132,32.86835597542425,30.344311819221254,False,False,False
UGC07603,holdout,K_exponential_disk,12,3.564611564444469,11.387173267934267,9.318897295784359,6.8156573361002755,-7.822561703489798,-5.754285731339889,-3.2510457716558063,True,True,True
UGC08699,holdout,K_compact_finite,41,11.993051940038056,12.627055841271439,15.184307759904634,13.478161966003247,-0.6340039012333829,-3.191255819866578,-1.4851100259651915,True,True,True
UGC11914,holdout,K_compact_finite,65,23.70976365799283,23.229579108902147,33.820143068839116,30.19760108867859,0.48018454909068353,-10.110379410846285,-6.487837430685758,False,True,True
UGC12506,holdout,K_exponential_disk,31,43.74308275965163,44.999238791738094,40.697842583379504,38.12269540109571,-1.2561560320864658,3.0452401762721237,5.6203873585559165,True,False,False
UGCA444,holdout,K_scale_tail_spiral,36,20.949284334673354,7.622534837373528,3.0580094444767805,4.92757139254757,13.326749497299826,17.891274890196573,16.021712942125784,False,False,False
D512-2,train,K_scale_tail_spiral,4,16.521480553693618,6.808960055926971,2.5139498188497846,6.561883790113319,9.712520497766647,14.007530734843833,9.959596763580299,False,False,False
D564-8,train,K_scale_tail_spiral,6,21.297877090196586,9.336622485938781,3.399294537690645,7.16409055590109,11.961254604257805,17.898582552505943,14.133786534295496,False,False,False
D631-7,train,K_scale_tail_spiral,16,12.442880225983757,10.943013951197013,10.35809255392164,10.521817679771978,1.4998662747867435,2.0847876720621166,1.921062546211779,False,False,False
DDO064,train,K_scale_tail_spiral,14,20.453439998316096,5.443535706033468,2.7332917850477236,3.548332793859171,15.009904292282627,17.720148213268374,16.905107204456925,False,False,False
DDO154,train,K_scale_tail_spiral,12,7.633250388489297,4.184305567259078,3.544983778635305,4.451832612674567,3.448944821230219,4.088266609853992,3.1814177758147304,False,False,False
DDO161,train,K_scale_tail_spiral,31,16.433360060866608,15.881667823431446,13.579219703882607,18.569662825271475,0.5516922374351623,2.8541403569840007,-2.136302764404867,False,False,True
DDO168,train,K_scale_tail_spiral,10,13.610486657115759,8.993591610956091,6.727638673752554,7.879974549733663,4.616895046159668,6.882847983363205,5.730512107382096,False,False,False
DDO170,train,K_scale_tail_spiral,8,10.690170923600466,10.159584119881025,7.480201139884626,14.370201282342645,0.5305868037194408,3.20996978371584,-3.6800303587421794,False,False,True
ESO079-G014,train,K_thick_flared,15,11.493756754214141,13.175386122165875,12.522654026496923,11.397542407404476,-1.681629367951734,-1.0288972722827818,0.09621434680966523,True,True,False
ESO444-G084,train,K_scale_tail_spiral,7,6.474140648501736,9.653687321801225,13.917114692092932,10.513209179623457,-3.1795466732994893,-7.442974043591196,-4.039068531121721,True,True,True
ESO563-G021,train,K_thick_flared,30,48.602521434929635,49.05425860593719,47.72714916375959,44.48667176928297,-0.45173717100755795,0.8753722711700433,4.115849665646664,True,False,False
F563-V1,train,K_scale_tail_spiral,6,29.059262793121295,26.964419023751876,23.66949222725619,29.338957960123544,2.094843769369419,5.389770565865106,-0.2796951670022487,False,False,True
F563-V2,train,K_scale_tail_spiral,10,22.000639165705795,23.80775763175782,26.238947803350438,23.428832485173935,-1.8071184660520245,-4.238308637644643,-1.4281933194681393,True,True,True
F565-V2,train,K_scale_tail_spiral,7,7.298641930167393,9.108198192477284,11.960771688430881,6.916649069723871,-1.8095562623098909,-4.662129758263489,0.3819928604435221,True,True,False
F567-2,train,K_scale_tail_spiral,5,19.299954369120922,16.22869903613856,14.016635993218337,19.406231954265397,3.0712553329823606,5.283318375902585,-0.1062775851444755,False,False,True
F568-3,train,K_exponential_disk,18,7.4579823900800575,11.251672319569533,9.11490703879206,7.976415983117765,-3.7936899294894753,-1.6569246487120024,-0.5184335930377078,True,True,True
F568-V1,train,K_exponential_disk,15,29.470265532976914,33.68872136932015,29.877210479611758,25.762065140172663,-4.218455836343235,-0.4069449466348445,3.708200392804251,True,True,False
F571-8,train,K_thick_flared,13,29.570837504261682,30.469049603845086,30.175376192122503,28.290592925853005,-0.8982120995834038,-0.6045386878608205,1.2802445784086771,True,True,False
F571-V1,train,K_scale_tail_spiral,7,3.3561203110652684,3.7041860848067847,3.5735232878164758,6.360130039546406,-0.34806577374151626,-0.21740297675120734,-3.0040097284811376,True,True,True
F574-1,train,K_exponential_disk,14,12.249371508539415,15.653160782256908,11.820788616096635,8.776912560877792,-3.403789273717493,0.4285828924427797,3.4724589476616234,True,False,False
F574-2,train,K_scale_tail_spiral,5,37.18124216123043,35.20922291232126,32.6388165436646,38.74115873241575,1.9720192489091701,4.542425617565826,-1.559916571185319,False,False,True
F579-V1,train,K_thick_flared,14,18.262130457466213,20.704633861715262,19.63941142103888,18.38890176475787,-2.4425034042490488,-1.377280963572666,-0.12677130729165498,True,True,True
F583-1,train,K_scale_tail_spiral,25,7.493925717442195,10.359993146223937,13.297286773674033,10.320140273858495,-2.866067428781742,-5.803361056231838,-2.8262145564163,True,True,True
F583-4,train,K_thick_flared,12,6.545574644890307,1.8163548767334206,2.089348476842753,5.381087823103697,4.729219768156886,4.456226168047554,1.1644868217866096,False,False,False
KK98-251,train,K_scale_tail_spiral,15,27.27761826842789,13.610025806267119,8.181219377823203,10.870651981388162,13.667592462160771,19.09639889060469,16.40696628703973,False,False,False
NGC0055,train,K_scale_tail_spiral,21,15.747113066781667,15.50707161929844,13.646013162608714,17.518196226309797,0.2400414474832271,2.101099904172953,-1.7710831595281302,False,False,True
NGC0100,train,K_exponential_disk,21,7.051391273420865,8.856389899016648,7.537919334963079,6.061732881040405,-1.8049986255957826,-0.48652806154221384,0.98965839238046,True,True,False
NGC0247,train,K_exponential_disk,26,4.70072411234,6.561795274843639,3.866312004062215,5.475417572666649,-1.861071162503639,0.8344121082777844,-0.7746934603266498,True,False,True
NGC0289,train,K_thick_flared,28,11.839576462163318,11.257300859223461,13.44827134683854,23.595309185371484,0.5822756029398573,-1.6086948846752218,-11.755732723208165,False,True,True
NGC0300,train,K_exponential_disk,25,9.70796649527256,13.615448943697162,9.83189803567648,5.607034629923943,-3.9074824484246022,-0.12393154040391963,4.100931865348617,True,True,False
NGC0801,train,K_thick_flared,13,30.72121358329897,30.338225611407932,31.348134413644825,35.306528941160416,0.38298797189103695,-0.6269208303458562,-4.585315357861447,False,True,True
NGC0891,train,K_compact_finite,18,34.36029562506972,36.117714962740685,29.637636010909365,32.67571266789567,-1.7574193376709673,4.722659614160353,1.684582957174051,True,False,False
NGC1003,train,K_scale_tail_spiral,36,11.37678035751164,10.239711077957573,11.228797331872782,8.233924992844548,1.1370692795540673,0.14798302563885812,3.142855364667092,False,False,False
NGC1090,train,K_thick_flared,24,14.251781803652817,13.765926902112863,15.259685358845738,18.764009439287914,0.4858549015399536,-1.0079035551929216,-4.512227635635098,False,True,True
NGC1705,train,K_scale_tail_spiral,14,14.28599856276315,17.353386930958422,20.59864390810048,16.95201559286103,-3.0673883681952727,-6.312645345337332,-2.6660170300978816,True,True,True
NGC2366,train,K_scale_tail_spiral,26,14.360600576283801,11.179048179418931,8.175530891777854,11.387781875806942,3.18155239686487,6.185069684505947,2.972818700476859,False,False,False
NGC2403,train,K_exponential_disk,73,9.283175729218197,10.644397151446181,9.860995949284607,6.239762201686606,-1.3612214222279846,-0.5778202200664104,3.043413527531591,True,True,False
NGC2841,train,K_compact_finite,50,56.00791491480016,54.87724264138518,59.09007494417434,53.02346081870857,1.1306722734149801,-3.0821600293741795,2.9844540960915893,False,True,False
NGC2903,train,K_thick_flared,34,24.334722062574343,24.47346324263098,24.362146162225375,24.96300377208502,-0.1387411800566376,-0.027424099651032208,-0.6282817095106772,True,True,True
NGC2915,train,K_scale_tail_spiral,30,21.204403150102102,23.036865971923184,26.00786566771677,20.629433034344654,-1.8324628218210819,-4.803462517614669,0.5749701157574485,True,True,False
NGC2955,train,K_compact_finite,24,23.78467708255457,24.641523770508012,19.782113998497127,23.273161362253415,-0.8568466879534427,4.002563084057442,0.5115157203011549,True,False,False
NGC2976,train,K_thick_flared,27,25.852344972327728,4.791806857705614,5.11693008193194,5.678104979086942,21.060538114622112,20.735414890395788,20.174239993240786,False,False,False
NGC2998,train,K_thick_flared,13,27.20693252365443,27.16527082415665,27.11504519134483,27.07347466768693,0.04166169949778009,0.09188733230960011,0.13345785596749948,False,False,False
NGC3109,train,K_scale_tail_spiral,25,4.846666645559974,6.272043335416706,9.323880057063088,5.041785679362137,-1.4253766898567317,-4.477213411503113,-0.1951190338021629,True,True,True
NGC3198,train,K_thick_flared,43,7.70248760120374,7.680393768171026,7.704000492040528,11.179050056995646,0.02209383303271384,-0.0015128908367882943,-3.476562455791906,False,True,True
NGC3521,train,K_thick_flared,41,7.188983549334054,7.247916089313718,7.110920589361769,6.814883835390855,-0.05893253997966408,0.07806295997228485,0.37409971394319896,True,False,False
NGC3741,train,K_scale_tail_spiral,21,6.746964830455197,3.894370209914949,7.821498388140469,2.7212527031991094,2.8525946205402484,-1.074533557685272,4.025712127256088,False,True,False
NGC3769,train,K_thick_flared,12,11.04470497402982,10.512927499323025,11.2553126000523,15.980528592616563,0.5317774747067947,-0.21060762602247962,-4.935823618586744,False,True,True
NGC3877,train,K_thick_flared,13,22.830473494204675,22.08734115885114,22.419419150236873,23.91875443404216,0.7431323353535362,0.4110543439678018,-1.0882809398374853,False,False,True
NGC3893,train,K_thick_flared,10,7.48852535446499,8.268422939237203,7.421761571780209,6.883534927974165,-0.7798975847722129,0.06676378268478089,0.6049904264908248,True,False,False
NGC3917,train,K_exponential_disk,17,7.304264252010544,8.631088151285468,6.899654025227952,6.637702160319162,-1.326823899274924,0.40461022678259173,0.6665620916913815,True,False,False
NGC3953,train,K_thick_flared,8,10.545371842408317,10.55383538687841,10.449994650865388,10.343662263567392,-0.008463544470092899,0.09537719154292823,0.20170957884092466,True,False,False
NGC3992,train,K_thick_flared,9,23.14477661233423,23.63875115028724,21.62991458359259,18.53931925672739,-0.4939745379530116,1.5148620287416392,4.605457355606841,True,False,False
NGC4010,train,K_exponential_disk,12,10.66525951940075,9.44159669812727,10.799199499954586,11.798351296716529,1.2236628212734804,-0.13393998055383527,-1.1330917773157783,False,True,True
NGC4051,train,K_thick_flared,7,23.964328828067963,22.321198124489968,23.162699244292835,25.364933901873997,1.6431307035779952,0.8016295837751279,-1.4006050738060338,False,False,True
NGC4068,train,K_scale_tail_spiral,6,28.44857823126138,14.042724437389454,9.789559083112076,11.389697947293712,14.405853793871925,18.659019148149305,17.058880283967667,False,False,False
NGC4085,train,K_thick_flared,7,23.667960763806153,20.992615149075316,21.45520895763762,23.247876990413115,2.675345614730837,2.2127518061685336,0.4200837733930385,False,False,False
NGC4100,train,K_thick_flared,24,11.144479695995818,11.777571748634417,10.799906207475212,9.873831807311648,-0.6330920526385988,0.34457348852060576,1.2706478886841701,True,False,False
NGC4138,train,K_compact_finite,7,16.841374754574026,19.734164564684434,9.51519890085038,10.185247994852606,-2.8927898101104077,7.326175853723646,6.65612675972142,True,False,False
NGC4157,train,K_thick_flared,17,20.35197378765351,18.880739807305662,20.216389281228402,23.480615178680974,1.4712339803478471,0.13558450642510778,-3.1286413910274646,False,False,True
NGC4217,train,K_compact_finite,19,54.83742573798538,55.742715665520755,52.35219166022327,55.35556407681141,-0.9052899275353781,2.485234077762108,-0.5181383388260343,True,False,True
NGC4559,train,K_exponential_disk,32,13.847049280358599,11.77662416508168,15.385306161864646,18.985298676354127,2.070425115276919,-1.5382568815060473,-5.138249395995528,False,True,True
NGC5005,train,K_compact_finite,18,18.268955628077986,21.343997411839407,12.481746631320759,13.97796581666026,-3.075041783761421,5.7872089967572276,4.290989811417726,True,False,False
NGC5033,train,K_compact_finite,22,14.099721953983174,13.873279524642212,15.138788047327509,15.295974840608453,0.22644242934096148,-1.039066093344335,-1.1962528866252793,False,True,True
NGC5055,train,K_thick_flared,28,22.655356843363002,22.108380900027967,23.304882018533657,29.486670612228213,0.5469759433350347,-0.6495251751706554,-6.831313768865211,False,True,True
NGC5371,train,K_thick_flared,19,40.713946251187146,40.216009532545556,41.66572118681593,44.87169677347413,0.49793671864158995,-0.9517749356287837,-4.157750522286982,False,True,True
NGC5585,train,K_exponential_disk,24,9.18810239668253,7.261200623297494,7.910184029247681,8.365260361585127,1.926901773385035,1.2779183674348484,0.822842035097402,False,False,False
NGC6015,train,K_exponential_disk,44,14.537487658133147,15.74229513884599,13.450865436024902,10.82252972156713,-1.2048074807128426,1.0866222221082449,3.714957936566016,True,False,False
NGC6195,train,K_compact_finite,23,35.38109223849429,36.564874545827834,31.92603912642373,36.238986538686945,-1.1837823073335443,3.4550531120705585,-0.8578943001926547,True,False,True
NGC6503,train,K_exponential_disk,31,9.657401631189796,12.325638251735061,7.537023161651215,4.239120184630891,-2.6682366205452652,2.120378469538581,5.418281446558905,True,False,False
NGC6674,train,K_compact_finite,15,29.83496948811738,29.261624241442536,30.84415865400613,25.376939093620358,0.5733452466748439,-1.009189165888749,4.4580303944970225,False,True,False
NGC7793,train,K_exponential_disk,46,9.688823191304493,5.760806077336799,5.722342289485416,6.0568332273601175,3.9280171139676945,3.966480901819077,3.631989963944376,False,False,False
NGC7814,train,K_compact_finite,18,16.637254006446348,15.356217521468395,22.076573970785304,20.006224427465735,1.2810364849779532,-5.4393199643389565,-3.3689704210193874,False,True,True
PGC51017,train,K_scale_tail_spiral,6,30.596608023362187,22.624401309139223,18.392706990319713,21.58619332313812,7.972206714222963,12.203901033042474,9.010414700224068,False,False,False
UGC00128,train,K_scale_tail_spiral,22,15.181615589651592,12.85495106943448,13.983592876820651,11.714529979315056,2.326664520217113,1.1980227128309409,3.467085610336536,False,False,False
UGC00191,train,K_scale_tail_spiral,9,10.721938320828379,5.7232425165237695,7.100447637659804,7.3035411506648025,4.998695804304609,3.6214906831685747,3.4183971701635762,False,False,False
UGC00634,train,K_scale_tail_spiral,4,6.441948915588504,6.473523239737815,8.17927394861286,2.390542422509193,-0.03157432414931094,-1.737325033024356,4.051406493079311,True,True,False
UGC01230,train,K_scale_tail_spiral,11,15.027055632837273,15.269259084422602,15.668391396233122,19.787452508603863,-0.24220345158532908,-0.6413357633958494,-4.76039687576659,True,True,True
UGC01281,train,K_exponential_disk,23,10.110125451496538,4.989913178659305,2.873653918392883,2.590778492828074,5.120212272837233,7.236471533103655,7.519346958668464,False,False,False
UGC02455,train,K_scale_tail_spiral,8,48.25327927318855,42.14294798709024,40.12562667208877,41.15186377794972,6.110331286098308,8.127652601099776,7.101415495238825,False,False,False
UGC02487,train,K_compact_finite,17,66.47459071565764,66.03842575329956,67.62411171265585,60.82824936276332,0.43616496235807745,-1.1495209969982056,5.646341352894318,False,True,False
UGC02885,train,K_compact_finite,19,17.77976533511529,17.310996533690737,18.30388329245319,15.131131571665343,0.46876880142455235,-0.5241179573379,2.648633763449947,False,True,False
UGC02916,train,K_compact_finite,43,30.508774350916973,31.135460068182244,27.319935272727097,30.310716706055015,-0.6266857172652713,3.1888390781898757,0.19805764486195798,True,False,False
UGC02953,train,K_compact_finite,115,27.832111312601175,27.22347751113864,32.750190465366245,28.930833464990883,0.6086338014625348,-4.9180791527650705,-1.0987221523897084,False,True,True
UGC03205,train,K_compact_finite,48,19.640250375165614,19.265882690084666,23.038239432266117,20.01236999671605,0.37436768508094787,-3.397989057100503,-0.37211962155043565,False,True,True
UGC03546,train,K_compact_finite,30,35.84516933323901,36.762765257786825,31.144679427119854,32.99335102825052,-0.9175959245478182,4.700489906119152,2.851818304988484,True,False,False
UGC04278,train,K_exponential_disk,25,7.197443474598263,12.870915321538439,10.395694298729477,7.617050061219652,-5.673471846940176,-3.1982508241312146,-0.4196065866213896,True,True,True
UGC04325,train,K_scale_tail_spiral,8,11.952440401509978,15.624506638510129,17.920667735433767,16.430046998854888,-3.6720662370001502,-5.968227333923789,-4.477606597344909,True,True,True
UGC04483,train,K_scale_tail_spiral,8,38.75984468580866,10.054495276935254,3.798705980303068,5.284251656234046,28.705349408873403,34.96113870550559,33.47559302957461,False,False,False
UGC05005,train,K_scale_tail_spiral,11,10.462477700861884,10.39639267224357,8.667266606701743,15.3370678339474,0.06608502861831411,1.7952110941601411,-4.8745901330855155,False,False,True
UGC05253,train,K_compact_finite,73,16.775839156485596,17.207837701966405,15.05917273003151,15.801028556046024,-0.43199854548080907,1.7166664264540863,0.9748106004395716,True,False,False
UGC05721,train,K_scale_tail_spiral,23,11.026292871454904,15.677533845245193,18.899011901061648,16.681620310362256,-4.651240973790289,-7.872719029606744,-5.655327438907351,True,True,True
UGC05750,train,K_exponential_disk,11,9.789178789288018,7.20491638120323,9.302313712413989,15.43158945781573,2.584262408084788,0.4868650768740288,-5.642410668527713,False,False,True
UGC05764,train,K_scale_tail_spiral,10,5.664291466221383,6.982946574188482,10.69204900722308,8.472754908677588,-1.318655107967099,-5.027757541001697,-2.8084634424562056,True,True,True
UGC05918,train,K_scale_tail_spiral,8,10.63427404957309,3.820573804610818,3.852091274673392,4.343347077626917,6.813700244962272,6.782182774899698,6.290926971946173,False,False,False
UGC05999,train,K_scale_tail_spiral,5,9.084005016259905,9.169425489037593,8.462273332104134,12.11108103755705,-0.08542047277768816,0.6217316841557707,-3.0270760212971446,True,False,True
UGC06399,train,K_scale_tail_spiral,9,2.4750370402273556,4.496852360136039,6.570667508689696,4.007206920083819,-2.0218153199086832,-4.095630468462341,-1.5321698798564634,True,True,True
UGC06446,train,K_scale_tail_spiral,17,9.079819064953822,9.608036252006082,11.600558614682592,9.277034813965724,-0.5282171870522596,-2.52073954972877,-0.1972157490119013,True,True,True
UGC06614,train,K_compact_finite,13,29.849185448631907,30.231883780361514,27.61230809264631,31.039843849947932,-0.3826983317296069,2.236877355985598,-1.1906584013160249,True,False,True
UGC06628,train,K_scale_tail_spiral,7,36.06905685163361,32.76752603659018,30.52936844963153,33.51825732954061,3.301530815043428,5.539688402002081,2.5507995220930013,False,False,False
UGC06667,train,K_scale_tail_spiral,9,16.827136946111604,18.254026493374933,21.777818607382592,16.71485279097738,-1.426889547263329,-4.950681661270988,0.11228415513422618,True,True,False
UGC06786,train,K_compact_finite,45,24.40409718312732,22.485512324729054,33.56822624211261,29.84835494248942,1.9185848583982654,-9.164129058985289,-5.444257759362099,False,True,True
UGC06787,train,K_compact_finite,71,26.699848341536725,25.47360509382077,32.5137827820559,29.754940330408104,1.2262432477159564,-5.813934440519173,-3.0550919888713786,False,True,True
UGC06923,train,K_scale_tail_spiral,6,12.55054618318786,9.756185765361533,8.148037483804755,9.174294672212552,2.7943604178263275,4.402508699383105,3.376251510975308,False,False,False
UGC06930,train,K_exponential_disk,10,6.765520634968726,6.7704197733511,7.129942401878801,10.615359911067321,-0.004899138382373991,-0.3644217669100751,-3.849839276098595,True,True,True
UGC06973,train,K_compact_finite,9,55.1117717422058,59.15991593534564,43.77487056159231,46.219420778795254,-4.048144193139834,11.336901180613495,8.89235096341055,True,False,False
UGC07089,train,K_exponential_disk,12,12.191429117015414,8.347194825643959,11.854626156035648,15.11002549298317,3.844234291371455,0.3368029609797656,-2.9185963759677556,False,False,True
UGC07125,train,K_scale_tail_spiral,13,25.22297362397712,25.49714427081561,23.50738158433897,30.744216898994726,-0.2741706468384919,1.7155920396381497,-5.521243275017607,True,False,True
UGC07232,train,K_scale_tail_spiral,4,47.78971378174624,6.488737231787711,4.330516350390615,4.2010085891531075,41.30097654995853,43.45919743135562,43.58870519259313,False,False,False
UGC07323,train,K_exponential_disk,10,12.013977748686017,5.738379289187959,7.870558254421247,9.408514005252675,6.275598459498058,4.14341949426477,2.605463743433342,False,False,False
UGC07399,train,K_exponential_disk,10,26.10949524607151,32.593702666180214,29.951109537180738,27.270722350345288,-6.484207420108703,-3.8416142911092273,-1.1612271042737774,True,True,True
UGC07524,train,K_scale_tail_spiral,31,5.974871715226457,5.631555109722481,5.168715146792566,7.393493259839208,0.3433166055039756,0.8061565684338907,-1.4186215446127513,False,False,True
UGC07559,train,K_scale_tail_spiral,7,25.62482616571594,12.843255511283772,8.085663881075234,10.488763467566779,12.78157065443217,17.539162284640707,15.136062698149162,False,False,False
UGC07608,train,K_scale_tail_spiral,8,3.267922648315179,7.4459557613823,11.086952972273936,7.643350201540864,-4.178033113067121,-7.819030323958757,-4.375427553225685,True,True,True
UGC07690,train,K_scale_tail_spiral,7,12.472465636317963,6.725261998780935,4.60175903715822,6.229715228813062,5.747203637537028,7.870706599159743,6.242750407504901,False,False,False
UGC07866,train,K_scale_tail_spiral,7,26.508345005175496,10.64394186732065,5.7383846888435865,8.109464129446401,15.864403137854845,20.76996031633191,18.398880875729095,False,False,False
