r_kpc,vobs_km_s,errv_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,vn_km_s,v_tpg_v6_km_s,v_mond_km_s,x_R_over_RHI,x_w_frozen,warp_kernel_frozen,primary_total_v2_km2_s2,pred_TAU_WARP_TRANSFER_PRIMARY,resid_TAU_WARP_TRANSFER_PRIMARY,pred_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,resid_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,pred_NEWTONIAN_BARYONIC,resid_NEWTONIAN_BARYONIC,pred_TPG_V6_FIXED,resid_TPG_V6_FIXED,pred_MOND_FIXED_A0,resid_MOND_FIXED_A0,pred_CONTROL_WRONG_NGC4088_ONSET,resid_CONTROL_WRONG_NGC4088_ONSET,pred_CONTROL_WRONG_P2,resid_CONTROL_WRONG_P2,pred_CONTROL_WRONG_SIGN,resid_CONTROL_WRONG_SIGN,pred_NFW_TWO_PARAMETER_ENDPOINT_FIT,resid_NFW_TWO_PARAMETER_ENDPOINT_FIT,pred_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,resid_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,wrong_sign_total_v2_km2_s2,construction_used_pointwise_vobs_or_residual,scoring_used_vobs,claim_boundary
3.72,78.8,3.69,23.77,36.93,0.0,35.31183017063828,66.95011338851894,69.38639685920108,0.47692307692307695,0.4508762999054615,0.04743335065146734,1379.0507464469918,37.13557252079186,-41.664427479208136,37.31605173106347,-41.48394826893653,35.31183017063828,-43.488169829361716,66.95011338851894,-11.849886611481054,69.38639685920108,-9.413603140798912,41.425032227551995,-37.374967772448,35.40045904023893,-43.39954095976107,33.38862012052921,-45.411379879470786,79.35281330181324,0.5528133018132451,78.49187037312255,-0.30812962687744516,1114.7999535530082,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
4.06,79.2,3.69,25.04,35.68,0.0,35.54620654866001,68.26813875607992,70.96255135886426,0.5205128205128204,0.4508762999054615,0.12681390476384488,1616.7723922234036,40.209108324152176,-38.99089167584783,40.653368506374505,-38.5466314936255,35.54620654866001,-43.65379345133999,68.26813875607992,-10.931861243920082,70.96255135886426,-8.237448641135742,42.97835512798906,-36.22164487201094,36.170823767327136,-43.02917623267287,30.171065738163705,-49.0289342618363,80.06704367447809,0.867043674478083,79.10939910334126,-0.09060089665874216,910.2932077765958,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
4.39,79.2,3.69,24.74,34.2,0.0,34.59606335986798,67.97123273074966,71.06157379530643,0.5628205128205128,0.4508762999054615,0.2038597366964469,1764.7380293005108,42.00878514430655,-37.19121485569345,42.69060357663175,-36.50939642336825,34.59606335986798,-44.60393664013202,67.97123273074966,-11.22876726925034,71.06157379530643,-8.138426204693573,43.49280949706537,-35.70719050293463,36.23050426091481,-42.96949573908519,25.080613443444506,-54.1193865565555,80.12175242730927,0.9217524273092721,79.11337327034647,-0.08662672965353124,629.0371706994893,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
4.74,79.2,3.69,24.74,32.41,0.0,33.72345845253716,67.70806953361118,71.22096636868778,0.6076923076923078,0.4508762999054615,0.28557501298860055,1932.73963377623,43.96293477210354,-35.237065227896466,44.87357383978281,-34.326426160217196,33.72345845253716,-45.476541547462844,67.70806953361118,-11.491930466388823,71.22096636868778,-7.97903363131222,44.15738203760716,-35.042617962392846,36.93829218844467,-42.26170781155533,18.48793298948722,-60.71206701051278,80.14260850256092,0.9426085025609154,79.1272576001627,-0.07274239983730979,341.8036662237698,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
5.08,78.8,3.69,23.87,31.05,0.0,32.431900191015636,66.7378754284444,70.7457971945245,0.6512820512820513,0.4508762999054615,0.3649555671009782,2068.410329552643,45.47977934810857,-33.320220651891425,46.60252496672384,-32.197475033276156,32.431900191015636,-46.36809980898436,66.7378754284444,-12.0621245715556,70.7457971945245,-8.054202805475498,44.48515654540303,-34.31484345459697,37.720491458136955,-41.07950854186304,5.936831684270433,-72.86316831572957,79.90312553494599,1.1031255349459883,78.91821584184146,0.11821584184146161,35.24597044735731,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
5.41,78.5,3.69,22.31,29.85,0.0,30.712332213623895,65.0070544488581,69.59903852746504,0.6935897435897437,0.4508762999054615,0.44200139903358027,2174.4403666297494,46.630894979935235,-31.869105020064765,47.95467647785939,-30.545323522140613,30.712332213623895,-47.787667786376105,65.0070544488581,-13.4929455511419,69.59903852746504,-8.90096147253496,44.513807086223146,-33.986192913776854,38.56729684370845,-39.93270315629155,,,79.43885413492764,0.938854134927638,78.51394211814147,0.013942118141471838,-287.94566662974944,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
5.75,80.1,3.69,22.6,28.79,0.0,30.41696977017928,65.22287918927016,70.17795713427036,0.7371794871794872,0.4508762999054615,0.5213819531459579,2377.4992624061624,48.75960687296568,-31.34039312703431,50.2513372977858,-29.84866270221419,30.41696977017928,-49.683030229820716,65.22287918927016,-14.877120810729835,70.17795713427036,-9.922042865729637,45.58422957299282,-34.515770427007176,41.01705524501103,-39.082944754988965,,,79.48858788116928,-0.6114121188307138,78.6611878894964,-1.4388121105035907,-527.115162406162,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
6.09,80.1,3.69,23.18,27.84,0.0,30.41126764868574,65.81805843913565,71.08136639515929,0.7807692307692308,0.4508762999054615,0.6007625072583356,2598.2666081825746,50.973194996807635,-29.12680500319236,52.616074106070634,-27.48392589392936,30.41126764868574,-49.68873235131426,65.81805843913565,-14.28194156086434,71.08136639515929,-9.018633604840701,46.81958351178634,-33.28041648821365,43.93374603740885,-36.16625396259114,,,79.59713120201233,-0.5028687979876594,78.89278468015375,-1.2072153198462416,-748.576208182575,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
6.42,80.1,3.69,22.99,26.98,0.0,29.87474351354334,65.57138811829512,71.23186012721219,0.823076923076923,0.4508762999054615,0.6778083391909374,2780.532545259681,52.73075521230168,-27.369244787698314,54.52103096198344,-25.578969038016552,29.87474351354334,-50.22525648645666,65.57138811829512,-14.528611881704876,71.23186012721219,-8.868139872787808,47.65353259368723,-32.44646740631276,46.60712714272787,-33.492872857272125,,,79.45858438681998,-0.6414156131800155,78.89188500250579,-1.2081149974942065,-995.5319452596813,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
6.77,80.1,3.69,22.99,26.18,0.0,29.516712215285764,65.57724139579184,71.61873217333594,0.8679487179487179,0.4508762999054615,0.7595236154830909,2986.8860997353995,54.65241165525452,-25.447588344745476,56.586612927218695,-23.5133870727813,29.516712215285764,-50.58328778471423,65.57724139579184,-14.52275860420815,71.61873217333594,-8.481267826664052,48.65656203560607,-31.443437964393922,49.780742109686436,-30.31925789031356,,,79.35435722399478,-0.7456427760052122,78.95281661138245,-1.1471833886175489,-1244.4134997354001,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
7.11,79.8,3.69,22.8,25.47,0.0,29.055127774628698,65.36679694431186,71.80072396380557,0.9115384615384616,0.4508762999054615,0.8389041695954689,3180.964445511813,56.40003941055195,-23.39996058944805,58.468881609746504,-21.331118390253494,29.055127774628698,-50.744872225371296,65.36679694431186,-14.43320305568814,71.80072396380557,-7.999276036194431,49.54718401260162,-30.252815987398378,52.95773323316839,-26.842266766831607,,,79.17968713261055,-0.620312867389444,78.9539508713694,-0.8460491286305967,-1492.5635455118136,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
7.44,79.8,3.69,23.87,24.82,0.0,29.627573305959434,66.72026329584982,73.32126331581868,0.9538461538461539,0.4508762999054615,0.9159500015280707,3429.1679325889195,58.559097778132816,-21.24090222186718,60.73416855046749,-19.06583144953251,29.627573305959434,-50.17242669404057,66.72026329584982,-13.079736704150179,73.32126331581868,-6.478736684181314,50.9867312348917,-28.813268765108297,56.69854391259534,-23.101456087404657,,,79.36099158148252,-0.4390084185174743,79.31868317050778,-0.481316829492215,-1673.5817325889197,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
7.78,79.5,3.69,24.06,24.22,0.0,29.532825804517927,67.03372753782017,73.94335143769099,0.9974358974358974,0.4508762999054615,0.9953305556404484,3644.676828365332,60.371158911895435,-19.128841088104565,62.6628688589684,-16.8371311410316,29.532825804517927,-49.96717419548207,67.03372753782017,-12.46627246217983,73.94335143769099,-5.556648562309007,52.04363291001988,-27.45636708998012,60.26384359721767,-19.236156402782328,,,79.27072803761162,-0.2292719623883812,79.4270565997054,-0.072943400294605,-1900.3012283653322,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
8.12,79.5,3.69,22.89,23.66,0.0,28.352246824546373,65.58828859514142,73.03811316792832,1.0410256410256409,0.4508762999054615,1.074711109752826,3797.4531241417444,61.623478676083714,-17.876521323916286,64.04606496699036,-15.453935033009643,28.352246824546373,-51.14775317545363,65.58828859514142,-13.911711404858579,73.03811316792832,-6.461886832071684,52.485236885496924,-27.014763114503076,63.41221130962877,-16.087788690371227,,,78.76269695207773,-0.7373030479222678,79.12831709722049,-0.37168290277951144,-2189.753324141745,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
8.46,78.8,3.69,23.09,23.15,0.0,28.303875176378234,65.91760773799682,73.6620060372658,1.0846153846153848,0.4508762999054615,1.1540916638652041,4015.826769918159,63.37055128305386,-15.42944871694614,65.89961374602761,-12.900386253972385,28.303875176378234,-50.49612482362176,65.91760773799682,-12.88239226200318,73.6620060372658,-5.1379939627342,53.53931084147938,-25.26068915852062,67.16537743517715,-11.634622564822848,,,78.6517964864435,-0.14820351355649564,79.2331778562147,0.43317785621469795,-2413.6080699181584,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
8.8,77.9,3.69,23.38,22.65,0.0,28.339648021808596,66.36792822822363,74.38402627848393,1.1282051282051284,0.4508762999054615,1.2334722179775819,4238.967265694571,65.10735185595074,-12.792648144049267,67.73763057559151,-10.162369424408496,28.339648021808596,-49.560351978191406,66.36792822822363,-11.532071771776373,74.38402627848393,-3.515973721516076,54.61668581884454,-23.28331418115547,71.0009753004019,-6.899024699598101,,,78.5560017687774,0.6560017687774007,79.35884381172605,1.458843811726041,-2632.695965694572,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
9.13,77.2,3.69,22.8,22.21,0.0,27.685412223768676,65.64904516711907,74.08150864605172,1.1705128205128206,0.4508762999054615,1.3105180499101836,4416.924502771677,66.45994660524245,-10.740053394757552,69.19660005244008,-8.003399947559927,27.685412223768676,-49.51458777623132,65.64904516711907,-11.550954832880933,74.08150864605172,-3.1184913539482864,55.29429842465541,-21.905701575344594,74.50136089036016,-2.698639109639842,,,78.20401905434501,1.004019054345008,79.22951818966062,2.029518189660621,-2883.9604027716773,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
9.47,77.6,3.69,22.21,21.79,0.0,27.031206965283662,64.90150921568868,73.7586908573271,1.2141025641025642,0.4508762999054615,1.3898986040225614,4602.24279854809,67.83983194663803,-9.760168053361966,70.68220966365602,-6.91779033634397,27.031206965283662,-50.568793034716336,64.90150921568868,-12.698490784311318,73.7586908573271,-3.8413091426728982,56.00144464858628,-21.598555351413715,78.17772912544375,0.5777291254437529,,,77.84137474082921,0.24137474082921528,79.10129487642027,1.5012948764202747,-3140.8704985480904,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
9.77,76.6,3.69,22.21,21.43,0.0,26.886921541894676,64.95245420089195,74.08207305430614,1.2525641025641026,0.4508762999054615,1.4599402694158357,4789.563959527278,69.20667568614518,-7.393324313854819,72.13277619685906,-4.467223803140939,26.886921541894676,-49.713078458105315,64.95245420089195,-11.647545799108045,74.08207305430614,-2.5179269456938584,56.82789880973169,-19.7721011902683,81.60872174030885,5.008721740308857,,,77.66541840985995,1.0654184098599586,79.13304496808273,2.5330449680827343,-3343.7508595272775,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
10.15,77.6,3.69,22.5,21.0,0.0,26.95830113341714,65.43759737989832,74.84835542628569,1.3012820512820513,0.4508762999054615,1.5486597122473167,5040.5350401009155,70.9967255590067,-6.603274440993289,74.02189555244033,-3.5781044475596673,26.95830113341714,-50.64169886658286,65.43759737989832,-12.162402620101673,74.84835542628569,-2.7516445737143016,57.97604834443547,-19.623951655564525,86.06587650689129,8.465876506891291,,,77.52124218437682,-0.07875781562317741,79.25305005741926,1.6530500574192644,-3587.0350401009155,False,True,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
