u_active_window,K_projection_current_normalized,K_vertical_outer_warp_current_normalized,K_projection_source_sharpened_normalized,K_vertical_outer_warp_source_sharpened_normalized,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
0.385,0.23655703295849778,0.3876544478854169,0.04361035179352269,0.851747227838539,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.39,0.24267388287229869,0.39540663583473323,0.04621834785490685,0.8607698277594423,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.395,0.24886244755385467,0.403174446321515,0.0489391988532433,0.8695295372207161,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.4,0.255122017135863,0.4109560818071264,0.05177562607350824,0.8780229011925854,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.405,0.26145184774332225,0.4187497556100154,0.05473032743793116,0.8862466685339995,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.41000000000000003,0.26785116110172336,0.4265536918053591,0.05780597339955782,0.894197790691103,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.41500000000000004,0.2743191441643546,0.4343661251258218,0.06100520275822681,0.9018734203891599,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.42,0.28085494875871725,0.44218530086340724,0.06433061840266822,0.9092709103167925,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.425,0.2874576912520559,0.4500094747723961,0.06778478298261796,0.9163878118014298,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.43,0.294126452236,0.4578369129733508,0.0713702145150218,0.9232218734748602,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.435,0.3008602762303185,0.4656658918581752,0.07508938192858554,0.9297710399278212,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.44,0.307658171405787,0.47349469799621646,0.07894470055110432,0.9360334503525669,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.445,0.31451910932616794,0.48132162804139533,0.08293852754417971,0.9420074371723705,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.45,0.32144202470930244,0.48914498864034983,0.08707315729010558,0.9476915246569486,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.455,0.32842581520731534,0.49696309634158337,0.0913508167358722,0.9530844275227991,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.46,0.3354693412059339,0.5047742775056007,0.09577366069940614,0.9581850495174697,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.465,0.34257142564291637,0.5125768682160212,0.10034376714332127,0.9629924819867881,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.47000000000000003,0.34973085384559616,0.5203692141916575,0.10506313242161949,0.9675060024241051,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.47500000000000003,0.35694637338753643,0.5281496706995443,0.10993366650492951,0.971725073000613,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.48,0.3642166939642987,0.5359166024689104,0.11495718819002534,0.9756493390758239,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.485,0.37154048728832345,0.5436683836060766,0.12013542029950745,0.9792786276873046,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.49,0.3789163870029229,0.5514033975102718,0.12546998487767352,0.9826129460187841,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.495,0.3863429886153876,0.5591200367903547,0.130962398388739,0.9856524798457599,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.5,0.3938188494492044,0.566816703182428,0.13661406692369701,0.9883975919577528,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.505,0.4013424886153877,0.5744918074683366,0.14242628142223349,0.9908488205563634,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.51,0.4089123870029228,0.5821437693950376,0.1484002129162308,0.9930068776283144,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.515,0.41652698728832344,0.5897710175948304,0.1545369078015073,0.9948726472926606,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.52,0.4241846939642987,0.5973719895064374,0.1608372831445437,0.9964471841213725,False,False,mixed_kernel_sharpening_preflight_not_endpoint
