geometry_variant,stellar_psf_scenario,h2_conversion_factor,harmonic,beam_mode,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,phase_anchor_rad,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1,2,1,0.1248537369,0.96153269,0.0117388801,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1.3,1,0,0.06182546047,0.9992302109,0.4995521474,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1.3,1,1,0.004571087154,0.9839573799,0.01746435325,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1.3,2,0,0.1662203657,0.8302455783,0.2553651607,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1.3,2,1,0.1280696392,0.96153269,0.0117388801,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_4arcsec_control,0.7,1,0,0.07108252618,0.9992440599,0.5005798117,4,0.1997216301,11.44320648,0.3149416765,34.23558397,22.79237749
s4g_global_pa_plus_1sigma,psf_4arcsec_control,0.7,1,1,0.0194051351,0.9832688352,0.01749766209,4,0.1997216301,11.44320648,0.3149416765,34.23558397,22.79237749
s4g_global_pa_plus_1sigma,psf_4arcsec_control,0.7,2,0,0.1467132124,0.8294720214,0.2559156342,5,1.435292489,82.23620199,0.5573860153,82.36306727,0.1268652803
s4g_global_pa_plus_1sigma,psf_4arcsec_control,0.7,2,1,0.1193709384,0.9613092826,0.01178180096,5,1.435292489,82.23620199,0.5573860153,82.36306727,0.1268652803
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1,1,0,0.06432049993,0.9992440599,0.5005798117,4,0.1997216301,11.44320648,0.3149416765,34.23558397,22.79237749
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1,1,1,0.008088514345,0.9832688352,0.01749766209,4,0.1997216301,11.44320648,0.3149416765,34.23558397,22.79237749
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1,2,0,0.1589779506,0.8294720214,0.2559156342,5,1.435292489,82.23620199,0.5573860153,82.36306727,0.1268652803
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1,2,1,0.1255425314,0.9613092826,0.01178180096,5,1.435292489,82.23620199,0.5573860153,82.36306727,0.1268652803
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1.3,1,0,0.06196272555,0.9992440599,0.5005798117,4,0.1997216301,11.44320648,0.3149416765,34.23558397,22.79237749
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1.3,1,1,0.002510391238,0.9832688352,0.01749766209,4,0.1997216301,11.44320648,0.3149416765,34.23558397,22.79237749
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1.3,2,0,0.1658633655,0.8294720214,0.2559156342,5,1.435292489,82.23620199,0.5573860153,82.36306727,0.1268652803
s4g_global_pa_plus_1sigma,psf_4arcsec_control,1.3,2,1,0.1287625311,0.9613092826,0.01178180096,5,1.435292489,82.23620199,0.5573860153,82.36306727,0.1268652803
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,0.7,1,0,0.0371816595,0.9716359275,0.3434110315,3,0.1662974827,9.528143903,0.3133006673,28.39080498,18.86266108
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,0.7,1,1,-0.01401920622,0.9267898042,0.01972371386,3,0.1662974827,9.528143903,0.3133006673,28.39080498,18.86266108
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,0.7,2,0,0.0928145088,0.8806866551,0.2095003547,4,1.455027769,83.36695021,0.5144155499,85.35277736,1.985827153
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,0.7,2,1,0.1802496774,0.9998560892,0.01828204442,4,1.455027769,83.36695021,0.5144155499,85.35277736,1.985827153
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1,1,0,0.02873929476,0.9716359275,0.3434110315,3,0.1662974827,9.528143903,0.3133006673,28.39080498,18.86266108
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1,1,1,-0.02403750265,0.9267898042,0.01972371386,3,0.1662974827,9.528143903,0.3133006673,28.39080498,18.86266108
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1,2,0,0.107392,0.8806866551,0.2095003547,4,1.455027769,83.36695021,0.5144155499,85.35277736,1.985827153
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1,2,1,0.1910286581,0.9998560892,0.01828204442,4,1.455027769,83.36695021,0.5144155499,85.35277736,1.985827153
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1.3,1,0,0.02440030595,0.9716359275,0.3434110315,3,0.1662974827,9.528143903,0.3133006673,28.39080498,18.86266108
