galaxy,formula_id,r_kpc,x_R_over_RHI,carrier_velocity_km_s,x_w_formula_freeze,sigma_warp,mu_load,lambda_split_km2_s2,kernel_ramp,delta_v2_split_km2_s2,v_split_b2_unit_load_km_s,uses_vobs_or_residual_in_construction,endpoint_scores_allowed,claim_boundary
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,9.62,0.35616438356164376,229.3329927201928,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,229.3329927201928,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,10.66,0.3946686412439837,221.4913601475236,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,221.4913601475236,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,11.74,0.4346538319141059,213.95827869002872,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,213.95827869002872,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,12.83,0.4750092558311736,208.71575223255192,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,208.71575223255192,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,13.91,0.5149944465012958,203.5184651819092,0.5343091911302521,1.0,1.0,30520.27530655113,0.0,0.0,203.5184651819092,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,15.0,0.5553498704183636,197.96862685789384,0.5343091911302521,1.0,1.0,30520.27530655113,0.04518165032970726,1378.9564068669922,201.42128394702235,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,16.08,0.5953350610884857,193.13934407572165,0.5343091911302521,1.0,1.0,30520.27530655113,0.13104375005026625,3999.4913287369995,203.22966702412566,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,17.07,0.6319881525360977,189.68860661621193,0.5343091911302521,1.0,1.0,30520.27530655113,0.20975067479411239,6401.6483404511855,205.87232893337364,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,18.15,0.6719733432062198,187.2646016202742,0.5343091911302521,1.0,1.0,30520.27530655113,0.2956127745146714,9022.183262321192,209.97669937952924,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,19.24,0.7123287671232875,185.5578518414136,0.5343091911302521,1.0,1.0,30520.27530655113,0.3822698936770875,11666.982396430742,214.70607531327738,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,20.32,0.7523139577934098,183.2082060662131,0.5343091911302521,1.0,1.0,30520.27530655113,0.468131993397647,14287.517318300763,218.75274647030324,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,21.41,0.7926693817104775,179.29356494308433,0.5343091911302521,1.0,1.0,30520.27530655113,0.5547891125600631,16932.316452410312,221.5366761563654,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,22.49,0.8326545723805997,175.52189236673584,0.5343091911302521,1.0,1.0,30520.27530655113,0.6406512122806224,19552.851374280326,224.41208985765525,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,23.48,0.8693076638282118,172.5171474085982,0.5343091911302521,1.0,1.0,30520.27530655113,0.7193581370244685,21955.00838599451,227.41410364353945,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,24.57,0.9096630877452795,168.4120560411279,0.5343091911302521,1.0,1.0,30520.27530655113,0.8060152561868846,24599.80752010406,230.1356733322847,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,25.65,0.9496482784154016,164.72852014754457,0.5343091911302521,1.0,1.0,30520.27530655113,0.8918773559074437,27220.342441974066,233.14336317376495,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,26.74,0.9900037023324694,161.43043229205577,0.5343091911302521,1.0,1.0,30520.27530655113,0.97853447506986,29865.141576083624,236.4845154467489,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,27.82,1.0299888930025916,158.04190346234128,0.5343091911302521,1.0,1.0,30520.27530655113,1.0643965747904192,32485.676497953635,239.714246026292,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,28.91,1.0703443169196594,154.49986090608624,0.5343091911302521,1.0,1.0,30520.27530655113,1.1510536939528355,35130.475632063186,242.90056124279167,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,29.89,1.1066271751203258,151.3289849962657,0.5343091911302521,1.0,1.0,30520.27530655113,1.2289655992548245,37508.368431537834,245.78207854019348,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,30.98,1.1469825990373934,148.00584289142105,0.5343091911302521,1.0,1.0,30520.27530655113,1.3156227184172404,40153.167565647374,249.11623209989224,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,32.06,1.1869677897075157,145.2041479090732,0.5343091911302521,1.0,1.0,30520.27530655113,1.4014848181378,42773.702487517396,252.70130007088883,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,33.15,1.2273232136245833,142.88869958817597,0.5343091911302521,1.0,1.0,30520.27530655113,1.4881419373002158,45418.501621626936,256.58464897890315,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,34.23,1.2673084042947054,140.66870540386728,0.5343091911302521,1.0,1.0,30520.27530655113,1.5740040370207748,48039.03654349695,260.43563739146174,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,35.32,1.3076638282117734,138.31511551526103,0.5343091911302521,1.0,1.0,30520.27530655113,1.6606611561831917,50683.83567760652,264.2251064104365,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
NGC7331,NGC7331_SPLIT_B2_UNIT_LOAD_FREEZE_DIAGNOSTIC_V1,36.31,1.3443169196593854,135.51705269079608,0.5343091911302521,1.0,1.0,30520.27530655113,1.7393680809270375,53085.992689320694,267.3029447262426,False,False,ngc7331_b2_split_unit_load_formula_freeze_diagnostic_not_endpoint
