galaxy,split,source_family,endpoint_blind,retrospective_lock,sparc_t_type,log_distance_mpc,inclination_deg,log_l36,log_reff_kpc,log_sbeff,log_rdisk_kpc,log_sbdisk,log_mhi,log_rhi_kpc,log_s4g_scale_to_sparc_rdisk,s4g_bar_present,s4g_bar_to_disk_scale,s4g_component_bulge,s4g_component_disk,s4g_component_edge_disk,s4g_component_nucleus,s4g_component_bar,s4g_model_quality,s4g_global_sersic_n,s4g_global_axis_ratio_q,s4g_global_ellipticity,log_s4g_global_re_to_disk_scale,s4g_global_tmag,log_rhi_kpc__missing,s4g_bar_to_disk_scale__missing,s4g_global_sersic_n__missing,s4g_global_axis_ratio_q__missing,log_s4g_global_re_to_disk_scale__missing,s4g_global_tmag__missing,asymmetry_3p6,asymmetry_error_3p6,asymmetry_4p5,asymmetry_error_4p5,fold
NGC2841,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,2.6461747973841225,76.0,5.237085372818619,1.706564623164823,6.89124981008025,1.2919836816486494,8.466213532050608,2.2798281058714296,3.809325607189803,0.0553685764488227,0,,1,1,0,0,0,5.0,3.842,0.485,0.543,0.7061223611128999,8.29,0,1,0,0,0,0,0.9200000166893004,0.0,0.5400000214576721,0.0099999997764825,3
NGC2903,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,1.8870696490323795,66.0,4.405047118328238,1.5129270120532563,6.44914252666308,0.8458682675776092,7.0846622030745925,0.9368773654825434,2.6217658325051976,-0.2826291969459896,1,1.2980506611817682,1,1,0,0,1,5.0,1.482,0.476,0.513,0.5005710128871649,8.36,0,0,0,0,0,0,0.5600000023841858,0.0099999997764825,0.6800000071525574,0.0099999997764825,0
NGC2976,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,1.275362800412609,61.0,1.2152094362519237,0.2700271372130602,5.730748922886015,0.009950330853168,7.314918943725883,-1.760260802168684,1.1118575154181305,0.0290941532653048,0,,0,1,0,0,0,5.0,0.553,0.411,0.401,0.2324805657552038,9.93,0,1,0,0,0,0,0.8500000238418579,0.0,0.8199999928474426,0.0099999997764825,3
NGC3198,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.624668592163159,73.0,3.6449014429415487,1.7647307968401356,5.187329938358409,1.144222799920162,7.379395068986553,2.3859147005810497,3.574029612434994,0.1387854750453011,0,,1,1,0,0,0,5.0,0.988,0.349,0.666,0.4177533281477671,10.29,0,1,0,0,0,0,0.8399999737739563,0.0099999997764825,0.7900000214576721,0.0099999997764825,3
NGC3521,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.0412203288596382,75.0,4.4407199810131,0.8960880245566357,7.710966894404391,0.8754687373538999,7.655703096008197,1.4240717254539206,2.93651291389402,-0.4985673015890864,0,,1,1,0,0,0,4.0,2.488,0.538,0.547,0.6758408143913065,8.05,0,1,0,0,0,0,0.9300000071525574,0.0,0.6299999952316284,0.0099999997764825,0
NGC3726,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.8903717578961645,53.0,4.251832524265944,2.017566137961748,5.288670989496231,1.2237754316221157,7.489920618241144,1.8676396795633732,3.100092288878234,0.2492575954325609,0,,1,1,0,0,0,5.0,0.762,0.584,0.371,0.4529302870018951,10.17,0,1,0,0,0,0,0.9900000095367432,0.0,1.0,2.8499999046325684,3
NGC3769,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,2.8903717578961645,70.0,2.927399898177166,0.7793248768009977,6.439941250809394,1.2178757094949273,5.076797496349925,1.7100069673557958,3.1166215908294443,-0.7180330522391919,1,1.3393329832993397,0,1,0,0,1,5.0,1.236,0.359,0.682,0.3354886498915906,11.65,0,0,0,0,0,0,0.800000011920929,0.0,0.5,0.0299999993294477,3
NGC3877,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.8903717578961645,76.0,4.284069203990866,1.47932922708708,6.393891712002695,0.9282193027394288,8.134640575839096,0.3940670631557951,2.4397349311412793,0.3233690698322438,0,,1,1,0,0,0,5.0,0.72,0.225,0.793,0.384783378286801,10.23,0,1,0,0,0,0,0.8399999737739563,0.0,0.7699999809265137,0.0099999997764825,2
NGC3893,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.8903717578961645,49.0,4.0694540133769745,0.8878912573524571,7.360975094724678,0.8671004876833833,7.6280749215917725,1.7576854888943036,3.0368742168851663,-0.1108976014764076,0,,1,1,0,0,0,5.0,2.124,0.759,0.368,0.4178151390088124,10.15,0,1,0,0,0,0,0.7099999785423279,0.0199999995529651,0.7900000214576721,0.0199999995529651,4
NGC3917,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.8903717578961645,79.0,3.0894958033661544,1.715598108262491,4.726856704244691,0.9669838461896731,7.112294844342524,0.6355180677233089,2.644755350729896,0.2451440661050711,0,,1,1,0,0,0,5.0,0.719,0.232,0.723,0.5018527864491156,11.41,0,1,0,0,0,0,0.2000000029802322,0.0099999997764825,0.1700000017881393,0.0099999997764825,0
NGC3949,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,55.0,3.639347765082887,0.8712933659434193,6.964929248256655,1.2781522025001877,5.224186317204961,1.2152094362519237,2.6188546222977394,-0.908142081047105,0,,1,1,0,0,0,5.0,1.162,0.576,0.397,0.50792811163577,10.87,0,1,0,0,0,0,0.209999993443489,0.0900000035762786,0.270000010728836,0.0700000002980232,4
NGC3953,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,62.0,4.950892366806274,1.8196988379172965,6.375467651916814,1.5871923034867803,7.600442353709626,1.0409831758314734,2.8553201198372458,-0.1637799914047428,1,0.9865461552710906,1,1,0,0,1,5.0,2.548,0.563,0.475,0.5933071074047942,9.27,0,0,0,0,0,0,0.7799999713897705,0.0299999993294477,1.0,4.599999904632568,1
NGC3972,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,77.0,2.663958979589243,1.316408233655724,5.104429173382616,0.7793248768009977,7.370186560230969,0.1939206926373065,2.307572634505085,0.1165865107539851,0,,1,1,0,0,0,5.0,1.055,0.278,0.705,0.5045358562006576,11.83,0,1,0,0,0,0,0.4399999976158142,0.0199999995529651,0.4199999868869781,0.0199999995529651,0
NGC3992,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,3.1654750481410856,56.0,5.424650413133136,2.301584592660462,5.887325507366836,1.601405740736836,8.088589437685368,2.809342452584082,3.488902962081261,0.4422831462880367,1,0.8931229492027465,1,1,0,1,1,5.0,5.573,0.581,0.428,1.4880722491393383,8.76,0,0,0,0,0,0,0.4300000071525574,0.0099999997764825,0.3400000035762787,0.0,1
NGC4010,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,2.8903717578961645,89.0,2.8445023242377103,1.891604804197771,2.691243082785829,1.0331844833456545,7.867542186564615,1.0409831758314734,2.867330558749466,-0.1997474431020033,0,,0,0,1,0,0,4.0,0.978,0.117,0.902,0.6954198769856392,11.81,0,1,0,0,0,0,0.7599999904632568,0.0099999997764825,0.7699999809265137,0.0099999997764825,4
NGC4013,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,2.8903717578961645,89.0,4.370637018546407,1.4134230285081433,6.614940054418608,1.2612978709452054,9.2306722709481,1.0875513413086848,3.4452142670789296,-0.389909901900809,0,,0,0,1,1,0,4.0,1.206,0.135,0.818,0.5501306087502178,10.08,0,1,0,0,0,0,0.800000011920929,0.0199999995529651,0.6100000143051147,0.0099999997764825,3
NGC4051,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,49.0,4.556693972530977,1.927164106234258,5.767570714403068,1.536867219599265,7.185977750153295,0.9921400441575928,2.7166795278002644,-0.1745657668252536,1,1.340782122905028,1,1,0,0,1,5.0,,,0.138,,,0,0,1,1,1,1,0.3199999928474426,0.050000000745058,0.800000011920929,0.0099999997764825,4
NGC4068,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,1.4747630091074988,44.0,-1.443923473956527,0.1043600153242428,3.40982670836021,-0.527632742082372,5.564941774473782,-1.870802676568508,1.1568811967920856,0.0955403262991532,0,,0,1,0,0,0,5.0,0.747,0.568,0.34,0.4802722216478461,13.24,0,1,0,0,0,0,0.3000000119209289,0.0199999995529651,0.1700000017881393,0.0099999997764825,3
NGC4085,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.8903717578961645,82.0,3.078417640172599,0.6931471805599453,6.7530877989699984,0.5007752879124892,8.52147600705438,0.2993635772256188,2.318458442150336,-0.1669765576195608,0,,0,1,0,1,0,5.0,1.162,0.269,0.742,0.4723446369477091,11.44,0,1,0,0,0,0,0.1800000071525573,0.0599999986588954,0.1800000071525573,0.0399999991059303,4
NGC4088,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,69.0,4.6754981658211205,1.8082887711792657,6.126781844055611,0.947789398933526,8.29121813517283,2.1072998698082324,3.1023420086122493,0.2326820331602722,0,,0,1,0,1,0,5.0,1.143,0.379,0.64,0.4876702536869207,9.81,0,1,0,0,0,0,0.3000000119209289,0.0099999997764825,0.3000000119209289,0.0099999997764825,3
NGC4100,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,73.0,4.084193211165725,1.5953389880545987,5.961005339623274,0.7654678421395714,9.101727907794082,1.132047064754347,2.893699547988839,0.711757207809256,0,,1,1,0,0,0,5.0,0.992,0.282,0.672,0.1096937279362821,10.41,0,1,0,0,0,0,0.6000000238418579,0.0099999997764825,0.4699999988079071,0.0,1
NGC4138,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,0.0,2.8903717578961645,53.0,3.786709184456111,0.6471032420585384,7.55439244385719,0.412109650826833,8.28200742277924,0.3940670631557951,2.922085733385692,-0.0883612467543323,0,,1,1,0,0,0,5.0,2.944,0.621,0.436,0.444669623981165,10.61,0,1,0,0,0,0,0.3300000131130218,0.1000000014901161,0.25,0.1599999964237213,3
NGC4157,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,2.8903717578961645,82.0,4.659847747278787,1.4906543764441336,6.743882492256643,0.8415671856782185,10.078023463022507,2.1072998698082324,3.18179681662678,0.297590694470425,0,,0,1,0,1,0,3.0,1.133,0.149,0.875,0.4425707294859484,9.72,0,1,0,0,0,0,1.0,1.1200000047683716,1.0,0.0,0
NGC4183,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.8903717578961645,82.0,2.3830584771439223,1.4973884086254774,4.4596818792394854,1.0260415958332745,7.0017737157546405,1.2544757864990428,2.776954179749421,-0.0985707997008191,0,,0,0,1,0,0,4.0,1.437,0.169,0.85,0.6474158710753377,12.14,0,1,0,0,0,0,0.8299999833106995,0.0099999997764825,0.6899999976158142,0.0299999993294477,2
NGC4214,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,1.0543120297715298,15.0,0.1319050708799386,-0.3566749439387324,5.896521799792072,-0.6733445532637656,7.176766633286805,-0.7215466550816433,1.7647307968401356,0.2370865408288293,1,1.7380542744562248,0,1,0,0,1,5.0,1.391,0.707,0.077,0.5385480054639351,10.12,0,0,0,0,0,0,0.9900000095367432,3.9800000190734863,0.9800000190734864,0.0,2
NGC4217,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,2.8903717578961645,86.0,4.44616273109949,1.6639260977181702,6.182043583548792,1.0784095813505905,8.383321169355524,0.9407882034745424,2.8154087194227095,-0.1540502883321464,0,,0,0,1,1,0,4.0,1.411,0.123,0.854,0.7511612898976816,9.96,0,1,0,0,0,0,0.3600000143051147,0.0299999993294477,0.3499999940395355,0.0199999995529651,2
NGC4389,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8903717578961645,50.0,3.060020763436353,1.3987168811184478,5.334697510640787,1.0260415958332745,5.776785074205902,-0.6180397080731398,1.918392120161421,-0.3193870607035209,1,1.8080069232733484,0,1,0,0,1,5.0,1.94,0.287,0.356,0.6770913118500036,11.43,0,0,0,0,0,0,0.1899999976158142,0.0299999993294477,0.1599999964237213,0.0299999993294477,1
NGC4559,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.1972245773362196,67.0,2.964086795718446,1.3402504226184837,5.3531369363121435,0.7419373447293773,7.379395068986553,1.7597526730929685,3.052112606990099,0.0260759378459376,1,0.5392712260482965,0,1,0,1,1,5.0,1.25,0.416,0.547,0.5752249342897908,10.01,0,0,0,0,0,0,0.9700000286102296,0.0,0.9200000166893004,0.0,3
NGC5005,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.8273136219290276,68.0,5.185820335320891,1.3787660946990992,7.489920618241144,2.2460147415056513,4.570268133978827,0.2468600779315258,2.3427668826268775,-1.0990244569018066,1,1.4699453871942507,1,1,0,0,1,5.0,3.959,0.409,0.604,0.3447645799027344,8.8,0,0,0,0,0,0,0.2199999988079071,0.0299999993294477,0.1899999976158142,0.050000000745058,4
NGC5033,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.7536607123542622,66.0,4.705096965604903,1.0784095813505905,7.618860248915859,1.6409365794934714,6.421524702071527,2.426040896920964,3.3854066957558313,-0.0462127925642563,0,,1,1,0,0,0,5.0,3.567,0.453,0.465,-0.4517865680624896,9.37,0,1,0,0,0,0,0.9300000071525574,0.0,0.3700000047683716,0.0099999997764825,0
NGC5055,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,2.2925347571405443,55.0,5.029927987476665,1.430311246536665,7.2320247928761745,1.1631508098056809,8.116219979619261,2.4614674180542373,3.5570608794930885,-1.4923945056626164,0,,0,1,0,1,0,5.0,2.67,0.577,0.444,2.0370269562340577,7.81,0,1,0,0,0,0,0.5600000023841858,0.0099999997764825,0.25,0.0199999995529651,3
NGC5371,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,4.0,3.681351187693145,53.0,5.830100832445473,2.2823823856765264,6.329417829296706,2.0068708488450007,7.241237335180784,2.414126467726953,3.402196881995239,-0.0970501912943505,0,,1,1,0,0,0,5.0,1.285,0.718,0.2,0.5553715243401114,10.09,0,1,0,0,0,0,0.8700000047683716,0.0099999997764825,0.5799999833106995,0.0099999997764825,1
NGC5585,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,1.9544450515051504,51.0,1.0794294692513358,0.8197798314933114,4.505791742007813,0.4252677354043441,5.69390047480175,0.520577915208669,2.390595970316759,0.0179476114050643,0,,1,1,0,0,0,5.0,2.073,0.655,0.378,0.6301163850686032,11.29,0,1,0,0,0,0,1.0,0.0,1.0,0.0,0
NGC5907,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,5.0,2.8507065015037334,88.0,5.167211601138352,2.064327903869788,6.108358298579481,1.6752256529721037,9.064885606187165,3.0457122058590116,,-0.1862232178670226,0,,0,0,1,0,0,4.0,1.159,0.103,0.89,0.5932380124418967,9.1,1,1,0,0,0,0,1.0,3.75,0.4300000071525574,0.0599999986588954,0
NGC5985,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,3.0,3.681351187693145,60.0,5.341031968955574,2.3711778844596574,5.666253662763787,1.9473377010464987,7.287293846857579,2.4497974726744323,3.676300671907076,-0.0369471761968859,0,,1,1,0,0,0,5.0,0.898,0.503,0.487,0.4698255941849665,10.64,0,1,0,0,0,0,0.9800000190734864,0.0,0.7200000286102295,0.0099999997764825,1
NGC6015,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.833213344056216,60.0,3.469759049082884,1.366091653802371,5.804411815938126,0.8329091229351039,7.563600304778097,1.7637028714455296,3.064791809485486,0.1832847605484107,0,,0,1,0,1,0,5.0,0.983,0.484,0.593,0.4106228126897318,10.8,0,1,0,0,0,0,0.9800000190734864,0.0,0.949999988079071,0.0,3
NGC6503,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,1.8341801851120072,74.0,2.552954630561847,0.4824261492442928,6.651778570572687,0.7701082216960737,5.988635549264435,0.5561813254867879,2.642622395779755,-0.8763024531653838,0,,0,1,0,1,0,5.0,0.741,0.303,0.648,0.5489034189150235,9.8,0,1,0,0,0,0,0.9900000095367432,0.0,0.9900000095367432,0.0,3
NGC7793,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,1.2837077723447896,47.0,1.9530276168241776,0.7839015438284094,5.454423276523579,0.1906203596086497,6.974142090977326,-0.1496607745544062,1.9947003132247452,0.0820802616355878,0,,0,1,0,1,0,5.0,1.042,0.659,0.387,0.4838151632202335,9.11,0,1,0,0,0,0,0.8100000023841858,0.0,0.7699999809265137,0.0099999997764825,0
UGC00191,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.8390784635086144,45.0,0.6951451832226183,0.9162907318741552,3.916214210046614,0.4574248470388755,5.334697510640787,0.2949059175411005,2.305580601973844,0.0427089288062482,1,0.7058823726842353,0,1,0,0,1,5.0,1.165,0.726,0.37,0.4379467677124422,13.8,0,0,0,0,0,0,0.1800000071525573,0.0199999995529651,0.1299999952316284,0.0199999995529651,2
UGC00634,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,3.4307561839036995,37.0,1.0949388833018008,1.449269160281279,3.2623183827110376,0.8960880245566357,4.837313121099101,1.298282483796677,2.8201877010390604,0.1124074276607403,0,,0,1,0,0,0,5.0,1.134,0.532,0.518,0.5167099583423616,14.68,0,1,0,0,0,0,0.1099999994039535,0.0099999997764825,0.0900000035762786,0.0199999995529651,0
UGC00891,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.322387720290225,60.0,-0.9834994815676052,0.5653138090500605,2.949164637737656,0.3576744442718159,4.736022994406854,-0.8486320834003402,1.8293763327993615,-0.2215901320875333,0,,0,1,0,0,0,5.0,0.71,0.336,0.633,0.4517104329056201,14.6,0,1,0,0,0,0,0.4099999964237213,0.0099999997764825,0.4300000071525574,0.0399999991059303,4
UGC04305,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,1.2383742310432684,40.0,-0.3065251602532608,0.2070141693843261,4.3400320779712045,0.1484200051182732,4.478131952817368,-0.371063681390832,2.0028304393079956,-0.0388526709205879,0,,0,1,0,0,0,5.0,0.825,0.782,0.239,0.4192112132743893,11.95,0,1,0,0,0,0,0.4900000095367431,0.0,0.3400000035762787,0.0,1
UGC04483,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,1.205970806988609,58.0,-4.3428059215206005,-1.3470736479666092,3.391483689474516,-1.7147984280919266,4.413646418429337,-3.4420193761824103,0.378436435720245,0.284205612773607,0,,0,1,0,0,0,5.0,0.44,0.504,0.457,0.3461936354783488,15.87,0,1,0,0,0,0,0.699999988079071,0.0299999993294477,0.959999978542328,0.0199999995529651,2
UGC04499,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,8.0,2.5257286443082556,50.0,0.439544421761027,0.9895411936137476,3.5201649007261984,0.5481214085096876,4.846546505563361,0.0953101798043249,2.1598687907924505,-0.4910694292027504,0,,0,1,0,0,0,5.0,1.851,0.562,0.253,1.0113407308350335,13.47,0,1,0,0,0,0,0.2300000041723251,0.0199999995529651,0.1500000059604644,0.0199999995529651,4
UGC05764,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,2.010894999144726,60.0,-2.4651040224918206,0.1823215567939546,2.231089091288976,0.1570037488096647,3.5201649007261984,-1.8140050781753747,1.2556160374777745,-0.5548007515833248,0,,0,1,0,0,0,5.0,0.929,0.353,0.533,0.4088735299695399,15.72,0,1,0,0,0,0,0.1400000005960464,0.0099999997764825,0.1199999973177909,0.0199999995529651,4
UGC05829,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,2.1564025828159643,34.0,-0.5727010274840783,1.0681530811834012,2.359910159613315,0.688134638736401,4.146620706787472,0.0227394869694893,2.063058062429312,-0.1364059057758911,0,,0,1,0,0,0,5.0,0.736,0.632,0.45,0.3525409400248495,13.75,0,1,0,0,0,0,0.6800000071525574,0.0099999997764825,0.8600000143051147,0.0099999997764825,1
UGC05918,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,2.0360119837525,46.0,-1.4567168254164364,0.9669838461896731,1.6789639750827108,0.5068176023684519,3.2164729402518906,-1.2140231401794377,1.7749523509116738,0.1754059610632114,0,,0,1,0,0,0,4.0,1.365,0.651,0.622,0.4477952484828758,14.47,0,1,0,0,0,0,0.4799999892711639,0.0099999997764825,0.2399999946355819,0.0199999995529651,0
UGC06399,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.8903717578961645,75.0,0.8311684784573199,1.2383742310432684,3.42816382989197,0.7178397931503168,5.739953670961029,-0.3945251680698299,2.174751721484161,0.0096887600843989,0,,0,1,0,0,0,5.0,1.083,0.267,0.725,0.5680121718362849,13.8,0,1,0,0,0,0,0.3700000047683716,0.0199999995529651,0.2000000029802322,0.0199999995529651,1
UGC06446,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,2.4849066497880004,51.0,-0.0120725812342692,0.7227059828014898,3.612268351742096,0.3987761199573678,4.4596818792394854,0.3213585988111647,2.3350522831315472,0.2982178684604118,0,,0,1,0,0,0,5.0,1.868,0.825,0.302,0.5389965493698019,13.19,0,1,0,0,0,0,0.3899999856948852,0.0199999995529651,0.3000000119209289,0.0199999995529651,0
