score_layer,split,inclusion_lane,allowed_use,n_galaxies,median_rmse_prediction,median_minus_wrong_mean,median_minus_tpg_v6,median_minus_mond,beats_wrong_fraction,beats_tpg_v6_fraction,beats_mond_fraction,claim_boundary
L3,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,17,14.241114072239911,-0.0756115734242897,1.1559259068592826,0.9084764901983284,0.5294117647058824,0.23529411764705882,0.35294117647058826,inclusion_lane_endpoint_analysis_not_validation
L3,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,33,20.42679464131056,-3.234328034403209,-0.3525770108954662,-0.6958501346387251,0.7575757575757576,0.5454545454545454,0.696969696969697,inclusion_lane_endpoint_analysis_not_validation
L3,train,STRICT_READY_CANDIDATE,strict_preendpoint_freeze_candidate,1,32.946466715337166,-3.0918713026056466,-2.134494239489797,-5.34329812028389,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,28,11.46190841540854,-13.784893510161018,1.0272508695227764,0.03146001280786945,0.9285714285714286,0.4642857142857143,0.5,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,11.02346153040202,-42.10621338905556,2.5071323078647607,2.1530388018508466,1.0,0.5,0.0,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,14,25.55105345839067,-12.27650246743915,0.052696894815856155,-0.8346529051966486,0.7857142857142857,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,80,10.454660085783296,-15.867050207546441,0.3782566873262492,0.4112838047612133,0.9375,0.4625,0.4375,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,17,17.666260136312292,-3.8543471514900745,2.158220881397096,2.2877286426346037,0.5882352941176471,0.17647058823529413,0.17647058823529413,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,33,20.704633861715266,-7.161680994387883,-0.325123224226326,-0.8862981213813272,0.8484848484848485,0.5454545454545454,0.6363636363636364,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,STRICT_READY_CANDIDATE,strict_preendpoint_freeze_candidate,1,31.40417997527423,-6.752959116046792,-3.676780979552735,-6.885584860346828,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,28,11.936713565557682,,-0.0785966442076318,-0.5655136693780896,,0.5,0.6785714285714286,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,2,8.690491527629415,,0.17416230509215325,-0.17993120092176085,,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,14,29.8864317825713,,3.145717204291953,2.282096907111792,,0.35714285714285715,0.2857142857142857,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,80,10.17086853075233,,-0.036930531504491146,-0.4634692413139141,,0.5125,0.575,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,17,14.505991549296436,,1.1109507549065505,2.674748140542958,,0.4117647058823529,0.35294117647058826,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,33,18.81520024110275,,1.177397344921025,0.4343812326625711,,0.36363636363636365,0.36363636363636365,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,STRICT_READY_CANDIDATE,strict_preendpoint_freeze_candidate,1,51.29731337917479,,16.216352424347825,13.007548543553732,,0.0,0.0,inclusion_lane_endpoint_analysis_not_validation
