galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
DDO168,train,10,7.037649220370971,6.727638673752554,7.879974549733663,tau_side_source_normalization_formula_conditional_not_validation,7.120768721744281,-0.08311950137330992,0.3100105466184173,-0.8423253293626916,True,False,True
DDO170,train,8,8.490861821589785,7.480201139884626,14.370201282342645,tau_side_source_normalization_formula_conditional_not_validation,7.504501016528399,0.9863608050613859,1.0106606817051595,-5.87933946075286,False,False,True
ESO079-G014,train,15,10.252342133004742,12.522654026496923,11.397542407404476,tau_side_source_normalization_formula_conditional_not_validation,12.186790566897496,-1.9344484338927543,-2.270311893492181,-1.145200274399734,True,True,True
ESO444-G084,train,7,13.635037097407603,13.917114692092932,10.513209179623457,tau_side_source_normalization_formula_conditional_not_validation,13.024005605195304,0.6110314922122981,-0.28207759468532956,3.1218279177841453,False,True,False
ESO563-G021,train,30,35.65448160323825,47.72714916375959,44.48667176928297,tau_side_source_normalization_formula_conditional_not_validation,47.62781180262277,-11.97333019938452,-12.072667560521339,-8.832190166044718,True,True,True
F563-V1,train,6,24.600985596109503,23.66949222725619,29.338957960123544,tau_side_source_normalization_formula_conditional_not_validation,24.185722088310527,0.4152635077989757,0.9314933688533138,-4.737972364014041,False,False,True
F563-V2,train,10,24.255057911897516,26.238947803350438,23.428832485173935,tau_side_source_normalization_formula_conditional_not_validation,25.186946416897033,-0.9318885049995167,-1.9838898914529217,0.8262254267235818,True,True,False
F565-V2,train,7,11.305486347663065,11.960771688430881,6.916649069723871,tau_side_source_normalization_formula_conditional_not_validation,11.698062166805126,-0.39257581914206163,-0.6552853407678167,4.388837277939194,True,True,False
F567-2,train,5,16.61599099615324,14.016635993218337,19.406231954265397,tau_side_source_normalization_formula_conditional_not_validation,16.22869903613856,0.3872919600146787,2.599355002934903,-2.7902409581121574,False,False,True
F568-3,train,18,7.309450523854006,9.11490703879206,7.976415983117765,tau_side_source_normalization_formula_conditional_not_validation,7.860002856544251,-0.5505523326902448,-1.8054565149380535,-0.6669654592637588,True,True,True
F568-V1,train,15,24.85923744716944,29.877210479611758,25.762065140172663,tau_side_source_normalization_formula_conditional_not_validation,27.48853157033532,-2.6292941231658773,-5.017973032442317,-0.9028276930032213,True,True,True
F571-8,train,13,28.146675777654043,30.175376192122503,28.290592925853005,tau_side_source_normalization_formula_conditional_not_validation,29.758271974218054,-1.6115961965640118,-2.02870041446846,-0.1439171481989625,True,True,True
F571-V1,train,7,3.545099609090462,3.5735232878164758,6.360130039546406,tau_side_source_normalization_formula_conditional_not_validation,3.5769628763078303,-0.03186326721736821,-0.0284236787260137,-2.815030430455944,True,True,True
F574-1,train,14,7.290738294265652,11.820788616096635,8.776912560877792,tau_side_source_normalization_formula_conditional_not_validation,9.94379058780138,-2.653052293535729,-4.530050321830983,-1.4861742666121396,True,True,True
F574-2,train,5,37.044997919871385,32.6388165436646,38.74115873241575,tau_side_source_normalization_formula_conditional_not_validation,35.20922291232126,1.8357750075501258,4.406181376206781,-1.6961608125443632,False,False,True
F579-V1,train,14,15.191072295359895,19.63941142103888,18.38890176475787,tau_side_source_normalization_formula_conditional_not_validation,18.3734345340946,-3.1823622387347044,-4.448339125678984,-3.1978294693979734,True,True,True
F583-1,train,25,11.462665091141819,13.297286773674033,10.320140273858495,tau_side_source_normalization_formula_conditional_not_validation,10.359993146223935,1.1026719449178835,-1.8346216825322141,1.1425248172833236,False,True,False
F583-4,train,12,5.815469055766268,2.089348476842753,5.381087823103697,tau_side_source_normalization_formula_conditional_not_validation,4.070396257323441,1.745072798442827,3.7261205789235152,0.4343812326625711,False,False,False
KK98-251,train,15,8.392100747078695,8.181219377823203,10.870651981388162,tau_side_source_normalization_formula_conditional_not_validation,9.438586192012098,-1.0464854449334027,0.2108813692554925,-2.4785512343094673,True,False,True
NGC0055,train,21,11.779890092381107,13.646013162608714,17.518196226309797,tau_side_source_normalization_formula_conditional_not_validation,12.15629174276546,-0.37640165038435214,-1.8661230702276068,-5.73830613392869,True,True,True
NGC0100,train,21,7.554756798181018,7.537919334963079,6.061732881040405,tau_side_source_normalization_formula_conditional_not_validation,7.66544892858323,-0.11069213040221193,0.01683746321793933,1.4930239171406132,True,False,False
