galaxy,split,formula_family,weighted_matched_beats_wrong,weighted_matched_minus_wrong
NGC0247,train,K_exponential_disk,True,-2.8471322243064865
NGC0289,train,K_thick_flared,True,-2.978266242150678
NGC0300,train,K_exponential_disk,True,-4.127053523019233
NGC0801,train,K_thick_flared,True,-2.3407843498274516
NGC0891,train,K_compact_finite,False,11.211590387904899
NGC1003,train,K_scale_tail_spiral,True,-6.101556749826887
NGC1090,train,K_thick_flared,True,-4.957989466266682
NGC1705,train,K_scale_tail_spiral,True,-24.78129672236257
NGC2366,train,K_scale_tail_spiral,True,-28.15446880216721
NGC2403,train,K_exponential_disk,True,-8.457985508511271
NGC2683,holdout,K_thick_flared,True,-1.555141599671261
NGC2841,train,K_compact_finite,True,-6.150219311398168
NGC2903,train,K_thick_flared,True,-3.4191213031485326
NGC2915,train,K_scale_tail_spiral,True,-12.220299373705664
NGC2955,train,K_compact_finite,False,3.37169722832018
NGC2976,train,K_thick_flared,True,-66.01745987903006
NGC2998,train,K_thick_flared,True,-3.133798003111009
NGC3109,train,K_scale_tail_spiral,True,-21.273267611666704
NGC3198,train,K_thick_flared,True,-9.72246168736978
NGC3521,train,K_thick_flared,True,-7.16281422380524
NGC3726,holdout,K_thick_flared,True,-4.98872839514053
NGC3741,train,K_scale_tail_spiral,True,-39.62203822443251
NGC3769,train,K_thick_flared,True,-6.785035807043956
NGC3877,train,K_thick_flared,True,-8.758385083543562
NGC3893,train,K_thick_flared,True,-1.1883472332571205
NGC3917,train,K_exponential_disk,True,-5.334198957680657
NGC3949,holdout,K_thick_flared,True,-13.496509167662252
NGC3953,train,K_thick_flared,True,-2.9716085163894093
NGC3972,holdout,K_thick_flared,True,-12.418552798550348
NGC3992,train,K_thick_flared,False,1.7146685144488814
NGC4010,train,K_exponential_disk,True,-13.811120862354649
NGC4013,holdout,K_compact_finite,False,5.165947942906795
NGC4051,train,K_thick_flared,True,-9.519698623716486
NGC4068,train,K_scale_tail_spiral,True,-61.29267601673603
NGC4085,train,K_thick_flared,True,-19.003747976749548
NGC4088,holdout,K_thick_flared,True,-5.130951604777664
NGC4100,train,K_thick_flared,False,0.2700046054030114
NGC4138,train,K_compact_finite,False,6.301220820898424
NGC4157,train,K_thick_flared,True,-3.708341694515159
NGC4183,holdout,K_exponential_disk,True,-8.111588448006604
NGC4214,holdout,K_scale_tail_spiral,True,-24.056783795268494
NGC4217,train,K_compact_finite,False,3.670946243044
NGC4389,holdout,K_thick_flared,True,-20.647321452107754
NGC4559,train,K_exponential_disk,True,-11.267065400108846
NGC5005,train,K_compact_finite,False,6.572159580294116
NGC5033,train,K_compact_finite,True,-5.175919692174418
NGC5055,train,K_thick_flared,True,-2.493427924702882
NGC5371,train,K_thick_flared,True,-2.587021473848438
NGC5585,train,K_exponential_disk,True,-19.157621452630217
NGC5907,holdout,K_thick_flared,True,-2.3306050218732555
NGC5985,holdout,K_compact_finite,True,-8.642363166854551
NGC6015,train,K_exponential_disk,False,1.5839179936682903
NGC6195,train,K_compact_finite,False,4.313564394768488
NGC6503,train,K_exponential_disk,False,0.3773150042882758
NGC6674,train,K_compact_finite,True,-6.521160303351362
NGC6789,holdout,K_scale_tail_spiral,True,-106.64759938051043
NGC6946,holdout,K_compact_finite,False,12.702451842569886
NGC7331,holdout,K_thick_flared,True,-2.7740612297650813
NGC7793,train,K_exponential_disk,True,-34.66949418391023
NGC7814,train,K_compact_finite,True,-8.669590171355221
PGC51017,train,K_scale_tail_spiral,True,-42.6972486023776
UGC00128,train,K_scale_tail_spiral,True,-5.154942124311814
UGC00191,train,K_scale_tail_spiral,True,-26.686465321955854
UGC00634,train,K_scale_tail_spiral,True,-9.930703230232053
UGC00731,holdout,K_scale_tail_spiral,True,-17.313165917888586
UGC00891,holdout,K_scale_tail_spiral,True,-29.794101278838756
UGC01230,train,K_scale_tail_spiral,True,-3.7117055348321415
UGC01281,train,K_exponential_disk,True,-40.49866487478719
UGC02023,holdout,K_scale_tail_spiral,True,-37.0486801673007
UGC02259,holdout,K_exponential_disk,True,-11.441120292232874
UGC02455,train,K_scale_tail_spiral,True,-30.97122687130667
UGC02487,train,K_compact_finite,True,-5.995359094712391
UGC02885,train,K_compact_finite,True,-2.852401078836202
UGC02916,train,K_compact_finite,False,3.407872692296401
UGC02953,train,K_compact_finite,True,-10.342649357695056
UGC03205,train,K_compact_finite,True,-2.97461371355403
UGC03546,train,K_compact_finite,False,17.98246255039971
UGC03580,holdout,K_compact_finite,False,32.880487256966276
UGC04278,train,K_exponential_disk,True,-20.204958408362252
UGC04305,holdout,K_scale_tail_spiral,True,-29.28087081300775
UGC04325,train,K_scale_tail_spiral,True,-21.108056005354552
UGC04483,train,K_scale_tail_spiral,True,-88.74992218617697
UGC04499,holdout,K_scale_tail_spiral,True,-19.353600456673348
UGC05005,train,K_scale_tail_spiral,True,-5.867072291904293
UGC05253,train,K_compact_finite,False,2.0369733455038954
UGC05414,holdout,K_scale_tail_spiral,True,-33.859729613326614
UGC05716,holdout,K_scale_tail_spiral,True,-17.59992006780655
UGC05721,train,K_scale_tail_spiral,True,-27.989429419023146
UGC05750,train,K_exponential_disk,True,-25.877908280248413
UGC05764,train,K_scale_tail_spiral,True,-51.394716755693985
UGC05829,holdout,K_scale_tail_spiral,True,-25.958777886358305
UGC05918,train,K_scale_tail_spiral,True,-40.601536000784314
UGC05986,holdout,K_scale_tail_spiral,True,-9.501819623925206
UGC05999,train,K_scale_tail_spiral,True,-7.61660393839491
UGC06399,train,K_scale_tail_spiral,True,-24.56713858157596
UGC06446,train,K_scale_tail_spiral,True,-17.543138459274658
UGC06614,train,K_compact_finite,False,3.314641806469936
UGC06628,train,K_scale_tail_spiral,True,-18.830818973491475
UGC06667,train,K_scale_tail_spiral,True,-17.6269374872536
UGC06786,train,K_compact_finite,True,-14.255642024134822
UGC06787,train,K_compact_finite,True,-12.022535208278704
UGC06818,holdout,K_scale_tail_spiral,True,-22.011170738274103
UGC06917,holdout,K_scale_tail_spiral,True,-15.024710648397122
UGC06923,train,K_scale_tail_spiral,True,-27.021898143911947
UGC06930,train,K_exponential_disk,True,-9.143758567426783
UGC06973,train,K_compact_finite,False,13.789404122701406
UGC06983,holdout,K_scale_tail_spiral,True,-8.034320539708439
UGC07089,train,K_exponential_disk,True,-20.79597126489156
UGC07125,train,K_scale_tail_spiral,True,-6.138700786385652
UGC07151,holdout,K_exponential_disk,True,-29.878514762294216
UGC07232,train,K_scale_tail_spiral,True,-101.57327616486722
UGC07261,holdout,K_exponential_disk,True,-22.603042055194994
UGC07323,train,K_exponential_disk,True,-30.076012971894265
UGC07399,train,K_exponential_disk,True,-6.35438504825969
UGC07524,train,K_scale_tail_spiral,True,-16.16642444813891
UGC07559,train,K_scale_tail_spiral,True,-52.476539101995115
UGC07577,holdout,K_scale_tail_spiral,True,-69.53452680606681
UGC07603,holdout,K_exponential_disk,True,-32.1592807743268
UGC07608,train,K_scale_tail_spiral,True,-35.5602969283881
UGC07690,train,K_scale_tail_spiral,True,-34.797014623706026
UGC07866,train,K_scale_tail_spiral,True,-55.876229138839506
UGC08286,train,K_exponential_disk,True,-12.160401336840366
UGC08490,train,K_scale_tail_spiral,True,-16.462711275393858
UGC08550,train,K_scale_tail_spiral,True,-36.480421188021595
UGC08699,holdout,K_compact_finite,True,-3.672852069511782
UGC08837,train,K_scale_tail_spiral,True,-33.57643293468691
UGC09037,train,K_exponential_disk,True,-6.200722724477586
UGC09133,train,K_compact_finite,False,2.8820172914897526
UGC09992,train,K_scale_tail_spiral,True,-37.47181912576471
UGC10310,train,K_scale_tail_spiral,True,-20.915399467429836
UGC11455,train,K_exponential_disk,True,-2.2875357564390875
UGC11557,train,K_exponential_disk,True,-19.48544563888754
UGC11820,train,K_scale_tail_spiral,True,-14.547024022096215
UGC11914,holdout,K_compact_finite,True,-15.348430457018175
UGC12506,holdout,K_exponential_disk,False,5.515842044639044
UGC12632,train,K_scale_tail_spiral,True,-18.405774183619314
UGC12732,train,K_scale_tail_spiral,True,-13.232767330067166
UGCA281,train,K_scale_tail_spiral,True,-95.60484406922829
UGCA442,train,K_scale_tail_spiral,True,-29.90269467881553
UGCA444,holdout,K_scale_tail_spiral,True,-52.47580611689958
