line,velocity_km_s,channel_index_zero_based,held_path,lambda,fractional_squared_residual_improvement,wrong_source_reflection_improvement,model_rss,background_plane_rss
CO87,92.00000055457294,52,1,100.0,0.08841278580702572,0.09193929032078907,6.0156099013339545e-06,6.599050324175025e-06
CO87,92.00000055457294,52,2,100.0,0.030832498846037892,0.03539380906312595,6.301513826449578e-06,6.501986311908449e-06
CO87,92.00000055457294,52,3,100.0,0.06458064918446649,0.06640485330330281,7.0125033304848935e-06,7.496641291813272e-06
CO87,113.00000055456624,53,0,100.0,0.043304358221130546,0.046360663581198724,7.622895253687535e-06,7.967941862381234e-06
CO87,113.00000055456624,53,1,100.0,0.08519377773031245,0.08657271378473042,5.956267014588342e-06,6.5109603209852425e-06
CO87,113.00000055456624,53,2,100.0,0.031000344970960603,0.03839178209243255,6.144417548523554e-06,6.340990439608996e-06
CO87,113.00000055456624,53,3,100.0,0.005294984059147079,0.009667275493263627,8.651017302860963e-06,8.697068140023704e-06
CO87,134.00000055459282,54,0,100.0,0.061219383367507096,0.0626136332723457,6.894606497019617e-06,7.3442147982894155e-06
CO87,134.00000055459282,54,1,100.0,0.0907682028305895,0.09624420965277614,7.721253210532622e-06,8.492062458187411e-06
CO87,134.00000055459282,54,2,100.0,0.0392798377365704,0.03762852737352984,6.390783998400593e-06,6.6520764832748865e-06
CO87,134.00000055459282,54,3,100.0,-0.0049959956288530005,-0.010823325258261018,8.522745728110437e-06,8.480377797702095e-06
CO87,155.00000055458614,55,0,100.0,0.039274608159879376,0.02090838079315649,6.253382812930556e-06,6.509022105633297e-06
CO87,155.00000055458614,55,1,100.0,0.05790215933077403,0.053316070095458135,7.2993299200778566e-06,7.747953137110181e-06
CO87,155.00000055458614,55,2,100.0,0.05629098085240225,0.03414539448246978,6.4071115792068e-06,6.789287215877204e-06
CO87,155.00000055458614,55,3,100.0,0.02001651744454258,0.0020095962142325785,9.226753229397014e-06,9.41521300475069e-06
CO87,176.00000055457943,56,0,100.0,0.018030762105821996,0.010313186398492769,5.155909883412355e-06,5.250581876138142e-06
CO87,176.00000055457943,56,1,100.0,0.012353880073261214,0.009821960563859422,6.20746558350845e-06,6.28511109218847e-06
CO87,176.00000055457943,56,2,100.0,0.032073184661623455,0.009927971699267624,6.829145565531401e-06,7.055435862828128e-06
CO87,176.00000055457943,56,3,100.0,0.009818969444506775,-0.0027152735568622965,7.543974546441217e-06,7.618783145349729e-06
CO87,197.00000055457272,57,0,100.0,0.013700846172542192,0.01371807063065933,5.274669173271747e-06,5.3479404831715924e-06
CO87,197.00000055457272,57,1,100.0,-0.010746413377248354,-0.009357911451095546,6.439215496711486e-06,6.370752754091773e-06
CO87,197.00000055457272,57,2,100.0,0.02043196995048291,0.017218392856440223,6.694601168881852e-06,6.83423811671706e-06
CO87,197.00000055457272,57,3,100.0,0.0002722027599867394,-0.0026727502338923514,7.459508808109747e-06,7.46153985985335e-06
