galaxy,split,predeclared_formula_family,rotation_inferred_family,rotation_inferred_best_rmse,rotation_inferred_margin_to_second,rotation_inferred_confidence,predeclared_family_rank_by_rotation,matches_predeclared_family,rmse_tpg_v6,rmse_mond,rotation_inferred_beats_tpg_v6,rotation_inferred_beats_mond,claim_boundary,manifest_confidence,manifest_caveat,type_bin,inclination_deg,distance_frac_error,external_family_label,external_family_label_status,narrow_dry_run_lane,matches_external_expdisk_label
F568-V1,train,K_exponential_disk,K_compact_finite,22.97781842335368,4.51071314698164,MEDIUM,4,False,29.87721047961176,25.762065140172663,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,40.0,0.1,,,,False
F571-8,train,K_thick_flared,K_scale_tail_spiral,29.46517560068289,1.003874003162199,LOW,2,False,30.175376192122503,28.290592925853005,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.75,large_distance_error;vertical_geometry_proxy_only,mid_T_3_5,85.0,0.200750469043,,,,False
F571-V1,train,K_scale_tail_spiral,K_scale_tail_spiral,3.7041860848067847,0.9840626741450551,HIGH,1,True,3.573523287816476,6.360130039546406,False,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.6000000000000001,few_rotation_points;low_inclination,late_T_6_8,30.0,0.099875156055,,,,False
F574-1,train,K_exponential_disk,K_scale_tail_spiral,9.94379058780138,3.587306016525032,HIGH,3,False,11.820788616096635,8.776912560877792,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,65.0,0.1,,,,False
F574-2,train,K_scale_tail_spiral,K_exponential_disk,27.59855615227147,2.7308584810300793,LOW,3,False,32.6388165436646,38.74115873241575,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.6000000000000001,few_rotation_points;low_inclination,irregular_T_ge_9,30.0,0.1,,,,False
F579-V1,train,K_thick_flared,K_scale_tail_spiral,18.3734345340946,2.3311993276206664,MEDIUM,2,False,19.63941142103888,18.38890176475787,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,mid_T_3_5,26.0,0.1,,,,False
F583-1,train,K_scale_tail_spiral,K_scale_tail_spiral,10.359993146223935,4.497521977179845,HIGH,1,True,13.297286773674031,10.320140273858495,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,63.0,0.25,,,,False
F583-4,train,K_thick_flared,K_thick_flared,1.8163548767334208,1.2529222052750202,HIGH,1,True,2.089348476842753,5.381087823103697,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.75,large_distance_error;vertical_geometry_proxy_only,mid_T_3_5,55.0,0.200750469043,,,,False
KK98-251,train,K_scale_tail_spiral,K_exponential_disk,5.992935139188714,1.3543708919172825,MEDIUM,3,False,8.181219377823203,10.870651981388162,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,59.0,0.3,,,,False
NGC0055,train,K_scale_tail_spiral,K_exponential_disk,9.845703903937553,2.29527582384752,MEDIUM,3,False,13.646013162608714,17.518196226309797,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,77.0,0.052132701422,,,,False
