galaxy,split,coarse_formula_family,weight_intake_status,dominant_intake_family,n_nonzero_source_components,nonzero_source_components,weight_entropy,effective_component_count,uses_endpoint_residuals,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary,thick_flared_weight_is_proxy_only,raw_K_compact_finite,raw_K_scale_tail_spiral,raw_K_exponential_disk,raw_K_thick_flared,w_K_compact_finite,w_K_scale_tail_spiral,w_K_exponential_disk,w_K_thick_flared
NGC3949,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_compact_finite,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,1.0951195900914472,2.9895401814000064,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.7,0.5806642098293366,0.5973550497355331,0.0,0.3727331316943935,0.3091896991321987,0.3180771691734078,0.0
NGC3972,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_compact_finite,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.3236807351194488,3.7572253085138994,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.8999999999999999,0.6135455431757523,0.8576495359074912,0.32904698961080886,0.33330345098848,0.22721871875453303,0.31761950006292794,0.12185833019405905
NGC4013,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_compact_finite,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.321293552621875,3.7482668230421003,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.9477035268702112,0.8525787077586715,0.8545999817179302,0.32186091798668204,0.31836926604095644,0.2864132608303025,0.28709228279089605,0.10812519033784485
NGC4088,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,1.0983258109458982,2.999140689925839,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.7,0.7330789252865575,0.6945663953246618,0.0,0.32900220408865305,0.3445494031288835,0.3264483927824635,0.0
NGC4183,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.3582481866143907,3.8893738731433896,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.55,0.7585423328162977,0.8616060189555188,0.47325245085254897,0.20806530718079552,0.2869569881582913,0.32594603818691337,0.17903166647399987
NGC4214,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,1.0820460836251578,2.9507107797713195,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.55,0.4927576056119438,0.75,0.0,0.3067899409704425,0.27486013952440874,0.41834991950514877,0.0
NGC4389,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,2,K_scale_tail_spiral;K_exponential_disk,0.6575215801962386,1.9300030441517286,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.36851236963926165,0.6346952738212428,0.0,0.0,0.3673340928385478,0.6326659071614523,0.0
NGC5907,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.3345557677571,3.7983082405914086,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.55,0.65,0.9374696745051418,0.3771483498994387,0.21872109189634512,0.258488563150226,0.37280798332268333,0.14998236163074552
NGC5985,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,1.0976958302603395,2.9972518842359324,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.7560841264466754,0.8397431553142964,0.8,0.0,0.31558373685891977,0.3505023762385207,0.3339138869025597,0.0
NGC6789,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6731424551384397,1.960388082931617,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.25,0.0,0.37449556440348153,0.0,0.4003230995544382,0.0,0.5996769004455618
NGC6946,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_compact_finite;K_scale_tail_spiral,0.6837163219375976,1.9812269449106654,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.6395033069008045,0.842752703857136,0.0,0.0,0.43143917262565146,0.5685608273743487,0.0,0.0
NGC7331,holdout,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,3,K_compact_finite;K_scale_tail_spiral;K_thick_flared,1.0117943126445872,2.7505319040905194,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.5727939552562178,0.9415307458241162,0.0,0.32355696298362535,0.31165986714816274,0.5122912776343747,0.0,0.1760488552174627
UGC00731,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6924063214069962,1.9985188304308656,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.5092319211445144,0.0,0.55,0.0,0.48075582974716474,0.0,0.5192441702528352
UGC00891,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0759921142299949,2.9329012306433953,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.34799107712901495,0.5742153500629458,0.55,0.0,0.23637383365644038,0.39003725255987753,0.37358891378368203
UGC02023,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.35755548798220826,0.0,0.0,0.0,1.0,0.0,0.0
UGC02259,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6931429518191757,1.999991542536343,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.375275905518401,0.0,0.37746500623887486,0.0,0.4985459135498804,0.0,0.5014540864501196
UGC03580,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.6608051028308579,0.0,0.0,0.0,1.0,0.0,0.0
UGC04305,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.3561918509266082,3.8813842323520222,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.55,0.540410910563127,0.771742323037937,0.3832661074563889,0.24494311149069564,0.24067259984882244,0.3436963015890361,0.1706879870714458
UGC04499,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0901078988108734,2.974595010512807,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.4358485419927381,0.5669355736346947,0.43025329109791244,0.0,0.30414317166270066,0.39561812620802933,0.30023870212926995
UGC05414,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6929599842495362,1.9996256424194538,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.36733375448738786,0.0,0.3818290235473683,0.0,0.4903256878978924,0.0,0.5096743121021077
UGC05716,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6897995569360217,1.9933159468413972,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.466587207069492,0.0,0.5496977780948238,0.0,0.4591105977956103,0.0,0.5408894022043896
UGC05829,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0822951259791322,2.951445723242039,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.4176010483590401,0.6169365555351657,0.43533565663657114,0.0,0.28410684075458503,0.4197209188718676,0.2961722403735474
UGC05986,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.6692485697501647,1.9527693991872186,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.5920530293063377,0.0,0.3803187122777093,0.0,0.6088751904100491,0.0,0.3911248095899509
UGC06818,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0785680891548255,2.9404660498797472,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.40226140375066216,0.5986037272829126,0.3928129933913901,0.0,0.2886329323111362,0.42951361350376216,0.28185345418510155
UGC06917,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,2,K_scale_tail_spiral;K_exponential_disk,0.6853682773333301,1.9845025482828988,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.5308049385113833,0.6818660972118495,0.0,0.0,0.43771552455263607,0.5622844754473639,0.0
UGC06983,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0745265407776818,2.928605996720725,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.5955948019190358,0.6896699856269691,0.3997033187559597,0.0,0.35347541576095487,0.4093074421097515,0.2372171421292935
UGC07151,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6918972652575595,1.9975017310327854,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.36422350751251,0.0,0.40255304776310386,0.0,0.4750060562057635,0.0,0.5249939437942365
UGC07261,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.47198985875602534,0.0,0.0,0.0,1.0,0.0,0.0
UGC07577,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,2,K_scale_tail_spiral;K_exponential_disk,0.6210863745552451,1.8609486313308101,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.25,0.55,0.0,0.0,0.3125,0.6875,0.0
UGC07603,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.657973373474767,1.930875203557659,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.28533835823270143,0.0,0.4896841202623744,0.0,0.36816784822392,0.0,0.6318321517760799
UGC08699,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.6310904533181705,1.879659142679127,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.6405719928546963,0.0,0.3094066265429508,0.0,0.6743014840279918,0.0,0.3256985159720081
UGC11914,holdout,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.43494431890997187,0.0,0.0,0.0,1.0,0.0,0.0
UGC12506,holdout,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.6340486314552675,1.8852277416532488,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.85,0.0,0.4183094147698865,0.0,0.6701834663540823,0.0,0.32981653364591773
UGCA444,holdout,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.5908422462755826,1.805508457957155,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.25,0.0,0.65,0.0,0.2777777777777778,0.0,0.7222222222222222
D512-2,train,K_scale_tail_spiral,UNINFORMATIVE_EQUAL_FALLBACK,K_compact_finite,0,,1.3862943611198906,4.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
D564-8,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,1,K_thick_flared,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.0,0.0,0.4999923825152576,0.0,0.0,0.0,1.0
D631-7,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,1,K_thick_flared,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.0
DDO064,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.2518150871128954,0.0,0.0,0.0,1.0,0.0,0.0
DDO154,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6511311099230643,1.9177087420964911,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.3041472751926219,0.0,0.55,0.0,0.3560829426330869,0.0,0.6439170573669131
DDO161,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6818231083983723,1.9774796076084262,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.48023009220721513,0.0,0.65,0.0,0.4248958645839791,0.0,0.5751041354160208
DDO168,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6468719812603345,1.90955834294638,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.29495107104873874,0.0,0.55,0.0,0.34907473480405266,0.0,0.6509252651959474
DDO170,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6848144471476802,1.9834037751631066,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.4243867496936723,0.0,0.55,0.0,0.4355424063669698,0.0,0.5644575936330303
ESO079-G014,train,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.639999560020885,1.896480044893156,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.6149264904979398,0.0,0.3145921945507961,0.0,0.6615536625449314,0.0,0.33844633745506864
ESO444-G084,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6210863745552451,1.8609486313308101,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.25,0.0,0.55,0.0,0.3125,0.0,0.6875
ESO563-G021,train,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.5795597724625509,1.7852523404918994,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.85,0.0,0.30853637283280344,0.0,0.7336843451204008,0.0,0.2663156548795991
F563-V1,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6876680198167033,1.989071644960659,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.37352398082702876,0.0,0.4607808280103237,0.0,0.4477068535030429,0.0,0.5522931464969572
F563-V2,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.68036573729948,1.974599784974499,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.5188754612795647,0.0,0.3760904228362586,0.0,0.579771218645038,0.0,0.420228781354962
F565-V2,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6783641636757414,1.9706514309063239,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.38894890557233286,0.0,0.55,0.0,0.4142386271117175,0.0,0.5857613728882824
F567-2,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.5699124699350637,0.0,0.0,0.0,1.0,0.0,0.0
F568-3,train,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.6019590166445464,0.0,0.0,0.0,1.0,0.0,0.0
F568-V1,train,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.5651576076454237,0.0,0.0,0.0,1.0,0.0,0.0
F571-8,train,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,2,K_scale_tail_spiral;K_thick_flared,0.6295646393213941,1.8767933193627182,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.6270264551366977,0.0,0.30000000000000004,0.0,0.6763846400092621,0.0,0.32361535999073787
F571-V1,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.692825931724925,1.9993576055197233,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.46443867991227183,0.0,0.48859442912798234,0.0,0.4873269097439666,0.0,0.5126730902560334
F574-1,train,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.6101198169791444,0.0,0.0,0.0,1.0,0.0,0.0
F574-2,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.5186225459528664,0.0,0.0,0.0,1.0,0.0,0.0
F579-V1,train,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.6173329008506466,0.0,0.0,0.0,1.0,0.0,0.0
F583-1,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.5672120246601589,0.0,0.0,0.0,1.0,0.0,0.0
F583-4,train,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,1,K_scale_tail_spiral,-0.0,1.0,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,False,0.0,0.3950066119542694,0.0,0.0,0.0,1.0,0.0,0.0
KK98-251,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_thick_flared,2,K_scale_tail_spiral;K_thick_flared,0.6210863745552451,1.8609486313308101,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.25,0.0,0.55,0.0,0.3125,0.0,0.6875
NGC0055,train,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0868621793433473,2.964955960866757,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.48135407015521026,0.7001603698391687,0.6319993268615719,0.0,0.26542620130737865,0.3860794346507892,0.34849436404183204
NGC0100,train,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.077919352836221,2.938559081386307,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.5696796557908222,0.580138419290724,0.36344310467895635,0.0,0.3764582501752824,0.38336965690386643,0.24017209292085123
NGC0247,train,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_exponential_disk,3,K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.0786883546702102,2.9408197078107077,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.0,0.5225005484526524,0.7229476242982804,0.45292105463652743,0.0,0.30764838412457346,0.4256716458589894,0.2666799700164372
NGC0289,train,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,K_scale_tail_spiral,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk;K_thick_flared,1.3338755095525334,3.795725288883924,False,False,False,l2_weight_intake_candidate_not_endpoint_not_accepted_state,True,0.8999999999999999,1.0,0.8279345722980169,0.38326137727971965,0.2892778258219806,0.32141980646886736,0.2661145699969131,0.12318779771223905
