galaxy,formula_family,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,scale_radius_kpc,tail_inner_radius_kpc,tail_cutoff_radius_kpc,compact_support_radius_kpc,thickness_h_over_rs,ring_radius_kpc,bar_m2_strength,lopsided_m1_strength,observable_provenance,proxy_formula_family_for_scope,proxy_manifest_caveat_for_scope,source_dataset,measurement_method,pre_scoring_timestamp,residual_blind_certification,accepted_source_status
UGC05829,,,,34.0,0.299768518519,,,,,,,,,,K_scale_tail_spiral,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05986,,,,90.0,0.300115874855,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06818,,,,75.0,0.138888888889,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06917,,,,56.0,0.138888888889,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06983,,,,49.0,0.138888888889,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07151,,,,90.0,0.049490538574,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07261,,,,30.0,0.3,,,,,,,,,,K_exponential_disk,few_rotation_points;low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07577,,,,63.0,0.050193050193,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07603,,,,78.0,0.3,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC08699,,,,73.0,0.249872773537,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC11914,,,,31.0,0.301775147929,,,,,,,,,,K_compact_finite,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC12506,,,,86.0,0.100397614314,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGCA444,,,,78.0,0.051020408163,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
D512-2,,,,56.0,0.3,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
D564-8,,,,63.0,0.031854379977,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
D631-7,,,,59.0,0.023316062176,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
DDO064,,,,60.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
DDO154,,,,64.0,0.049504950495,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
DDO161,,,,70.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
DDO168,,,,63.0,0.049411764706,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
DDO170,,,,66.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
ESO079-G014,,,,79.0,0.249825783972,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
ESO444-G084,,,,32.0,0.099378881988,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
ESO563-G021,,,,83.0,0.149671052632,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F563-V1,,,,60.0,0.2,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F563-V2,,,,29.0,0.19932998325,,,,,,,,,,K_scale_tail_spiral,low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F565-V2,,,,60.0,0.200772200772,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F567-2,,,,20.0,0.149367088608,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F568-3,,,,40.0,0.1,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F568-V1,,,,40.0,0.1,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F571-8,,,,85.0,0.200750469043,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F571-V1,,,,30.0,0.099875156055,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F574-1,,,,65.0,0.1,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F574-2,,,,30.0,0.1,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F579-V1,,,,26.0,0.1,,,,,,,,,,K_thick_flared,low_inclination;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F583-1,,,,63.0,0.25,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
F583-4,,,,55.0,0.200750469043,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
KK98-251,,,,59.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0055,,,,77.0,0.052132701422,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0100,,,,89.0,0.3,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0247,,,,74.0,0.051351351351,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0289,,,,46.0,0.25,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0300,,,,42.0,0.048076923077,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0801,,,,80.0,0.1,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC0891,,,,90.0,0.050454086781,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC1003,,,,67.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC1090,,,,64.0,0.25,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC1705,,,,80.0,0.050610820244,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2366,,,,68.0,0.048929663609,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2403,,,,63.0,0.050632911392,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2841,,,,76.0,0.099290780142,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2903,,,,66.0,0.3,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2915,,,,56.0,0.049261083744,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2955,,,,56.0,0.100102145046,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2976,,,,61.0,0.050279329609,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC2998,,,,58.0,0.149779735683,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3109,,,,70.0,0.052631578947,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3198,,,,73.0,0.101449275362,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3521,,,,75.0,0.298701298701,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3741,,,,70.0,0.052959501558,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3769,,,,70.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3877,,,,76.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3893,,,,49.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3917,,,,79.0,0.138888888889,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3953,,,,62.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC3992,,,,56.0,0.097046413502,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4010,,,,89.0,0.138888888889,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4051,,,,49.0,0.138888888889,,,,,,,,,,K_thick_flared,few_rotation_points;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4068,,,,44.0,0.050343249428,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4085,,,,82.0,0.138888888889,,,,,,,,,,K_thick_flared,few_rotation_points;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4100,,,,73.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4138,,,,53.0,0.138888888889,,,,,,,,,,K_compact_finite,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4157,,,,82.0,0.138888888889,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4217,,,,86.0,0.138888888889,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC4559,,,,67.0,0.3,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5005,,,,68.0,0.08875739645,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5033,,,,66.0,0.299363057325,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5055,,,,55.0,0.030303030303,,,,,,,,,,K_thick_flared,vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5371,,,,53.0,0.249874055416,,,,,,,,,,K_thick_flared,large_distance_error;vertical_geometry_proxy_only,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC5585,,,,51.0,0.300283286119,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC6015,,,,60.0,0.3,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC6195,,,,62.0,0.100156494523,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC6503,,,,74.0,0.049520766773,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC6674,,,,54.0,0.19921875,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC7793,,,,47.0,0.049861495845,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
NGC7814,,,,90.0,0.045833333333,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
PGC51017,,,,66.0,0.102941176471,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC00128,,,,57.0,0.150387596899,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC00191,,,,45.0,0.298245614035,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC00634,,,,37.0,0.249190938511,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC01230,,,,22.0,0.199255121043,,,,,,,,,,K_scale_tail_spiral,low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC01281,,,,90.0,0.045540796964,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02455,,,,51.0,0.300578034682,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02487,,,,36.0,0.150506512301,,,,,,,,,,K_compact_finite,low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02885,,,,64.0,0.1,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02916,,,,50.0,0.149847094801,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC02953,,,,50.0,0.3,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC03205,,,,67.0,0.2,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC03546,,,,55.0,0.250871080139,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC04278,,,,90.0,0.299684542587,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC04325,,,,41.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC04483,,,,58.0,0.092814371257,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
