galaxy,split,dominant_intake_family,closure_fraction_c,source_vn2_median,net_signed_source_strength_v2,positive_component_strength_v2,negative_component_strength_v2,normalization_rule_status,endpoint_freeze_allowed,uses_vobs_or_residual,claim_boundary
NGC3917,train,K_compact_finite,0.6167000694260736,5591.7702,645.3921293912779,1883.698064520476,-1238.3059351291981,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3953,train,K_exponential_disk,0.3879056679958085,27395.008925000002,2988.669600614375,6807.674418708818,-3819.0048180944427,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC3992,train,K_scale_tail_spiral,0.6663789904544741,23785.986050000003,4999.858541799794,10425.1699563815,-5425.311414581706,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4010,train,K_exponential_disk,0.5943781263074602,5260.5015,-270.9166004876238,1176.9230849885917,-1447.8396854762154,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4051,train,K_exponential_disk,0.43974031534085584,15813.908549999995,1935.8307746076748,4444.921953578064,-2509.091178970389,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4068,train,K_exponential_disk,0.7375788355575932,359.4326249999999,-102.88934031166437,56.693763498089275,-159.58310380975362,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4085,train,K_compact_finite,0.3872709077572711,10318.351200000001,984.2049794162854,2266.6123277287907,-1282.4073483125053,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4100,train,K_exponential_disk,0.6129596278699161,11463.996075000001,1473.0604937516498,3994.738258507112,-2521.6777647554622,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4138,train,K_compact_finite,0.5856319015018036,10796.0746,2255.5488027066467,4289.037249729985,-2033.4884470233383,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4157,train,K_scale_tail_spiral,0.5838938712740976,17379.018979999997,2779.280252317204,5947.022802417969,-3167.7425501007647,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4217,train,K_compact_finite,0.4002123791958448,27186.057819999995,2993.002718083602,6526.4595273436025,-3533.4568092600007,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC4559,train,K_compact_finite,0.6698743800419372,5282.773425000001,1234.5343937706018,2386.6644833722494,-1152.1300896016476,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC5005,train,K_compact_finite,0.16723198581856527,55219.543204999994,2733.3053650926217,5983.889615629416,-3250.584250536794,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC5033,train,K_compact_finite,0.6241884975856428,15711.626034999998,3386.8355166399497,6596.925883027034,-3210.090366387084,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC5055,train,K_scale_tail_spiral,0.5870263952016378,22137.869000000002,5609.400588426743,9302.457012471416,-3693.0564240446724,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC5371,train,K_scale_tail_spiral,0.5621449211484382,30090.9512,5197.667840714747,11056.571615160123,-5858.903774445375,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC5585,train,K_compact_finite,0.6660391227651108,1677.453075,366.46031270233755,741.8548436274875,-375.39453092515,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC6015,train,K_compact_finite,0.6958350155464992,6428.1098999999995,1564.0711142783507,3018.487533239728,-1454.416418961377,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
NGC6195,train,K_scale_tail_spiral,0.3428892720455868,50592.744280000006,17347.709256957725,17347.709256957725,0.0,E_TAU_EVIDENCE_MEASURE_PREFLIGHT,False,False,tau_side_evidence_measure_l2_endpoint_preflight_not_validation
