galaxy,r,vobs,v_v6,v_mond,scalar_h_over_rs,scalar_kernel_K_thick_flared,scalar_v_K_thick_flared,hr_profile_effective_h_over_rs,hr_profile_kernel_K_thick_flared,hr_profile_v_K_thick_flared,post22_policy,locality_width_kpc,hr_profile_minus_scalar_kernel,hr_profile_minus_scalar_v,accepted_endpoint_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC2683,5.77,212.0,205.56864510633676,209.5771422919674,0.2024081922882335,0.3766178918518042,205.08903206081536,0.2268147991447915,0.3721465785480123,205.09473274025763,post22_linear_taper_to_inner_height,2.20964580039598,-0.004471313303791913,0.005700679442270484,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,8.66,206.0,195.64916509459607,198.6571645172199,0.2024081922882335,0.3160977746167923,195.2262501146387,0.24192127131074836,0.31256903908519545,195.23097635311146,post22_linear_taper_to_inner_height,2.20964580039598,-0.003528735531596827,0.004726238472755995,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,11.54,200.0,196.70526142594747,199.23787024790695,0.2024081922882335,0.24500341109735052,196.3793075713338,0.37573684587985257,0.23801187694207235,196.38861664475965,post22_linear_taper_to_inner_height,2.20964580039598,-0.006991534155278173,0.009309073425839642,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,14.43,172.0,187.4279088764902,189.83588634373183,0.2024081922882335,0.19131466300897648,187.16081523898893,0.8307676074191931,0.1782367152755798,187.17908544575107,post22_linear_taper_to_inner_height,2.20964580039598,-0.013077947733396683,0.018270206762139196,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,17.31,190.0,181.7602782353024,184.7993948227998,0.2024081922882335,0.15457584076646716,181.53776874449616,1.4622029013295237,0.13870977602848222,181.56062025358315,post22_linear_taper_to_inner_height,2.20964580039598,-0.015866064737984936,0.022851509086990518,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,20.2,169.0,176.5568570911684,180.7381105181678,0.2024081922882335,0.12916950845671588,176.36545314863014,1.7637482896670063,0.11650355883799944,176.38423079295225,post22_linear_taper_to_inner_height,2.20964580039598,-0.012665949618716435,0.01877764432211393,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,23.08,150.0,171.799957872427,177.44750044150263,0.2024081922882335,0.11108188223284346,171.63080708706644,1.7549582903362215,0.1027152208559376,171.64355328949011,post22_linear_taper_to_inner_height,2.20964580039598,-0.008366661376905865,0.012746202423670638,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,28.85,160.0,164.68501847149776,173.6060661295253,0.2024081922882335,0.08709726177474804,164.54667048038692,1.2261926735445041,0.0847804730639759,164.55035204528798,post22_linear_taper_to_inner_height,2.20964580039598,-0.0023167887107721358,0.0036815649010577545,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,31.74,155.0,161.7099539887288,172.32238891390995,0.2024081922882335,0.07871035561685308,161.5826312076643,0.8729515982162463,0.07779647266427796,161.58411009095767,post22_linear_taper_to_inner_height,2.20964580039598,-0.0009138829525751208,0.001478883293373201,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
NGC2683,34.62,151.0,159.0282518636722,171.31311319176228,0.2024081922882335,0.07185775138497694,158.9100564161082,0.5833821613339875,0.07154589585224695,158.91056956259558,post22_linear_taper_to_inner_height,2.20964580039598,-0.0003118555327299849,0.0005131464873784353,False,False,True,s4g75_ngc2683_hr_profile_kernel_prototype_not_validation
