baryonic_sensitivity,radius_kpc,radius_over_bar,vobs_halpha_km_s,final_error_km_s,vbar_km_s,matched_modal_response,vpred_matched_km_s
vbar_alpha3.20_h0.5_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,184.57819007664725,0.19834924731266557,202.0561561308219
vbar_alpha4.35_h0.1_km_s,3.839720747581994,1.060696339111048,225.98,1.29,192.62821253040238,0.19484079832582443,210.55953670098964
vbar_alpha4.35_h0.1_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,188.58594021675276,0.19540798027675887,206.18989939187185
vbar_alpha4.35_h0.1_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,182.82570356508714,0.19595386936425588,199.93759671925935
vbar_alpha4.35_h0.1_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,198.6965980715872,0.1962237128995601,217.31846817708342
vbar_alpha4.35_h0.1_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,194.72996747878946,0.1964935564348643,213.0041050822342
vbar_alpha4.35_h0.1_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,189.93059629547582,0.1966917549579629,207.77155069625968
vbar_alpha4.35_h0.1_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,184.07028078313013,0.19685911482160462,201.3748317522288
vbar_alpha4.35_h0.1_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,194.83740497397642,0.19703274434108622,213.16964004592754
vbar_alpha4.35_h0.1_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,197.3584779824464,0.19722185168457065,215.9449760848875
vbar_alpha4.35_h0.1_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,192.14704286462575,0.1974109590280551,210.25935091399612
vbar_alpha4.35_h0.1_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,187.36746071917975,0.19774509056152645,205.05783642205606
vbar_alpha4.35_h0.1_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,188.4758372161722,0.19810785302700576,206.3020951252907
vbar_alpha4.35_h0.1_km_s,6.71951130826849,1.856218593444334,277.77,19.6,195.92561244562884,0.19834924731266557,214.47808173816057
vbar_alpha4.35_h0.1_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,191.17919809038386,0.19834924731266557,209.28222279281766
vbar_alpha4.35_h0.1_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,187.23105159630114,0.19834924731266557,204.96022080490962
vbar_alpha4.35_h0.1_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,183.7374892609128,0.19834924731266557,201.13584818321007
vbar_alpha4.35_h0.1_km_s,7.679441495163988,2.121392678222096,257.19,20.36,193.40390940154452,0.19834924731266557,211.71759511848202
vbar_alpha4.35_h0.1_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,188.93117842237626,0.19834924731266557,206.821335009513
vbar_alpha4.35_h0.1_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,185.4384820937757,0.19834924731266557,202.99791039799086
vbar_alpha4.35_h0.1_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,180.9802475629446,0.19834924731266557,198.11751942625494
vbar_alpha4.35_h0.3_km_s,3.839720747581994,1.060696339111048,225.98,1.29,191.3613204652571,0.19484079832582443,209.1747125218988
vbar_alpha4.35_h0.3_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,189.39112738863895,0.19540798027675887,207.07024848773773
vbar_alpha4.35_h0.3_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,188.3088082802634,0.19595386936425588,205.93390226019275
vbar_alpha4.35_h0.3_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,191.3496029632979,0.1962237128995601,209.28291176527856
vbar_alpha4.35_h0.3_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,192.2167100256412,0.1964935564348643,210.25499480619303
vbar_alpha4.35_h0.3_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,190.25810907383357,0.1966917549579629,208.1298280836816
vbar_alpha4.35_h0.3_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,188.72428238851666,0.19685911482160462,206.46635867483675
vbar_alpha4.35_h0.3_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,191.51390171178687,0.19703274434108622,209.53342864089961
vbar_alpha4.35_h0.3_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,193.5076585142184,0.19722185168457065,211.73150055308048
vbar_alpha4.35_h0.3_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,191.70736017535003,0.1974109590280551,209.7782225267101
vbar_alpha4.35_h0.3_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,189.75697476700677,0.19774509056152645,207.67295741940947
vbar_alpha4.35_h0.3_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,190.61729834993073,0.19810785302700576,208.64609807574348
vbar_alpha4.35_h0.3_km_s,6.71951130826849,1.856218593444334,277.77,19.6,192.19622292441397,0.19834924731266557,210.39555112575005
vbar_alpha4.35_h0.3_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,190.5942076402147,0.19834924731266557,208.64183878165503
vbar_alpha4.35_h0.3_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,188.57751587615118,0.19834924731266557,206.4341836639071
vbar_alpha4.35_h0.3_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,188.35323715784162,0.19834924731266557,206.18866768119668
vbar_alpha4.35_h0.3_km_s,7.679441495163988,2.121392678222096,257.19,20.36,189.63154035132746,0.19834924731266557,207.58801518557001
vbar_alpha4.35_h0.3_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,188.23950030405769,0.19834924731266557,206.06416092621956
vbar_alpha4.35_h0.3_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,186.23640086981092,0.19834924731266557,203.87138521494157
vbar_alpha4.35_h0.3_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,185.33991257191013,0.19834924731266557,202.89000719072928
vbar_alpha4.35_h0.5_km_s,3.839720747581994,1.060696339111048,225.98,1.29,190.7080998106369,0.19484079832582443,208.46068503551157
vbar_alpha4.35_h0.5_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,189.9216283639916,0.19540798027675887,207.65027021475265
vbar_alpha4.35_h0.5_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,189.6830613674362,0.19595386936425588,207.43678098115737
vbar_alpha4.35_h0.5_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,190.50810359797785,0.1962237128995601,208.36254697384183
vbar_alpha4.35_h0.5_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,190.93337667308225,0.1964935564348643,208.85122898718123
vbar_alpha4.35_h0.5_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,190.4072117889472,0.1966917549579629,208.29293662404538
vbar_alpha4.35_h0.5_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,190.11957723402742,0.19685911482160462,207.99282597615266
vbar_alpha4.35_h0.5_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,190.9885793311628,0.19703274434108622,208.95867872159815
vbar_alpha4.35_h0.5_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,191.69708806399163,0.19722185168457065,209.75041721391426
vbar_alpha4.35_h0.5_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,191.19792334371692,0.1974109590280551,209.2207647800076
vbar_alpha4.35_h0.5_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,190.48330804533376,0.19774509056152645,208.46786775231033
vbar_alpha4.35_h0.5_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,190.5453535379848,0.19810785302700576,208.56734864209156
vbar_alpha4.35_h0.5_km_s,6.71951130826849,1.856218593444334,277.77,19.6,190.73534607983905,0.19834924731266557,208.7963418168238
vbar_alpha4.35_h0.5_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,190.03637776542013,0.19834924731266557,208.03118721860133
vbar_alpha4.35_h0.5_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,189.04424369829096,0.19834924731266557,206.94510659397653
vbar_alpha4.35_h0.5_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,188.61287599957515,0.19834924731266557,206.4728920866974
vbar_alpha4.35_h0.5_km_s,7.679441495163988,2.121392678222096,257.19,20.36,188.47477528427999,0.19834924731266557,206.32171442220806
vbar_alpha4.35_h0.5_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,187.67115100177048,0.19834924731266557,205.44199383642362
vbar_alpha4.35_h0.5_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,186.52886236207013,0.19834924731266557,204.19154029348925
vbar_alpha4.35_h0.5_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,185.77986539048095,0.19834924731266557,203.37161975482707
vbar_alpha5.50_h0.1_km_s,3.839720747581994,1.060696339111048,225.98,1.29,193.4776739052216,0.19484079832582443,211.48807251190615
vbar_alpha5.50_h0.1_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,188.6492779386517,0.19540798027675887,206.25914950930394
vbar_alpha5.50_h0.1_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,181.67364990746285,0.19595386936425588,198.67771457410444
vbar_alpha5.50_h0.1_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,201.06750172323692,0.1962237128995601,219.91157321648794
vbar_alpha5.50_h0.1_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,196.33297389021152,0.1964935564348643,214.75754319207843
vbar_alpha5.50_h0.1_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,190.57116776532223,0.1966917549579629,208.47229365299066
vbar_alpha5.50_h0.1_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,183.49644701273135,0.19685911482160462,200.74705154525478
vbar_alpha5.50_h0.1_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,196.62698835441526,0.19703274434108622,215.12760517634626
vbar_alpha5.50_h0.1_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,199.757645861534,0.19722185168457065,218.5700888014503
vbar_alpha5.50_h0.1_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,193.5789504974409,0.1974109590280551,211.82623409344023
vbar_alpha5.50_h0.1_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,187.9516838797523,0.19774509056152645,205.69721925211007
vbar_alpha5.50_h0.1_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,189.3086684108844,0.19810785302700576,207.21369643659173
vbar_alpha5.50_h0.1_km_s,6.71951130826849,1.856218593444334,277.77,19.6,198.1620053091146,0.19834924731266557,216.9262417586196
vbar_alpha5.50_h0.1_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,192.66311213432058,0.19834924731266557,210.90665072561887
vbar_alpha5.50_h0.1_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,188.10766196040095,0.19834924731266557,205.91983862606656
vbar_alpha5.50_h0.1_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,184.09125319393874,0.19834924731266557,201.52311051607433
vbar_alpha5.50_h0.1_km_s,7.679441495163988,2.121392678222096,257.19,20.36,195.55180967706852,0.19834924731266557,214.06888306449824
vbar_alpha5.50_h0.1_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,190.43548133340428,0.19834924731266557,208.46808245964516
vbar_alpha5.50_h0.1_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,186.4748024105753,0.19834924731266557,204.13236132984719
vbar_alpha5.50_h0.1_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,181.3959030728107,0.19834924731266557,198.57253393562502
vbar_alpha5.50_h0.3_km_s,3.839720747581994,1.060696339111048,225.98,1.29,191.93017525491004,0.19484079832582443,209.7965207159636
vbar_alpha5.50_h0.3_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,189.62965414742445,0.19540798027675887,207.3310410385489
vbar_alpha5.50_h0.3_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,188.3895351373866,0.19595386936425588,206.02218488943564
vbar_alpha5.50_h0.3_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,192.1638799176093,0.1962237128995601,210.17350285793077
vbar_alpha5.50_h0.3_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,193.28115111402602,0.1964935564348643,211.41932674944601
vbar_alpha5.50_h0.3_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,190.96372157096803,0.1966917549579629,208.90172163627284
vbar_alpha5.50_h0.3_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,189.1627890860507,0.19685911482160462,206.94608963445964
vbar_alpha5.50_h0.3_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,192.615716573885,0.19703274434108622,210.7389131708444
vbar_alpha5.50_h0.3_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,195.1069271167202,0.19722185168457065,213.48138241096183
vbar_alpha5.50_h0.3_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,193.02451191182507,0.1974109590280551,211.21953260381392
vbar_alpha5.50_h0.3_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,190.76296367102597,0.19774509056152645,208.77392717867812
vbar_alpha5.50_h0.3_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,191.83617395189506,0.19810785302700576,209.9802563110717
vbar_alpha5.50_h0.3_km_s,6.71951130826849,1.856218593444334,277.77,19.6,193.77013241957667,0.19834924731266557,212.1184963044752
vbar_alpha5.50_h0.3_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,191.96754031314623,0.19834924731266557,210.14521423931978
vbar_alpha5.50_h0.3_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,189.68592784851128,0.19834924731266557,207.64755271065886
vbar_alpha5.50_h0.3_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,189.52140978519316,0.19834924731266557,207.46745620264593
vbar_alpha5.50_h0.3_km_s,7.679441495163988,2.121392678222096,257.19,20.36,191.1314243206444,0.19834924731266557,209.22992525824208
vbar_alpha5.50_h0.3_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,189.61833594632444,0.19834924731266557,207.57356043705505
vbar_alpha5.50_h0.3_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,187.3961953985438,0.19834924731266557,205.14100230393788
vbar_alpha5.50_h0.3_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,186.4679902479348,0.19834924731266557,204.12490411403255
vbar_alpha5.50_h0.5_km_s,3.839720747581994,1.060696339111048,225.98,1.29,191.12903339875174,0.19484079832582443,208.92080237829882
vbar_alpha5.50_h0.5_km_s,4.079703294305869,1.1269898603054886,238.37,4.85001,190.27300645958053,0.19540798027675887,208.03444845250843
vbar_alpha5.50_h0.5_km_s,4.319685841029743,1.193283381499929,239.0,5.82001,190.0631247947205,0.19595386936425588,207.85241711311434
vbar_alpha5.50_h0.5_km_s,4.559668387753618,1.2595769026943695,241.37,25.11,191.13657802694888,0.1962237128995601,209.0499221051626
vbar_alpha5.50_h0.5_km_s,4.7996509344774925,1.32587042388881,246.4,25.17,191.71654103506725,0.1964935564348643,209.7078882174822
vbar_alpha5.50_h0.5_km_s,5.039633481201367,1.3921639450832506,252.96,48.2,191.13779514723078,0.1966917549579629,209.0921466524671
vbar_alpha5.50_h0.5_km_s,5.2796160279252415,1.458457466277691,259.96,52.66,190.85042552735135,0.19685911482160462,208.79238172995687
vbar_alpha5.50_h0.5_km_s,5.519598574649116,1.5247509874721314,266.45,9.87003,191.9715858579338,0.19703274434108622,210.03417624992213
vbar_alpha5.50_h0.5_km_s,5.7595811213729915,1.591044508666572,258.7,21.45,192.9049620772964,0.19722185168457065,211.07204437471884
vbar_alpha5.50_h0.5_km_s,5.999563668096866,1.6573380298610128,270.69,9.54001,192.38329683156024,0.1974109590280551,210.51787482879558
vbar_alpha5.50_h0.5_km_s,6.239546214820741,1.7236315510554532,273.49,12.48,191.598888551645,0.19774509056152645,209.68877624997984
vbar_alpha5.50_h0.5_km_s,6.479528761544615,1.7899250722498936,269.32,14.13,191.7379371059502,0.19810785302700576,209.87272811310075
vbar_alpha5.50_h0.5_km_s,6.71951130826849,1.856218593444334,277.77,19.6,192.03827617635838,0.19834924731266557,210.22264817999994
vbar_alpha5.50_h0.5_km_s,6.959493854992364,1.9225121146387745,281.59,15.05,191.30055345878358,0.19834924731266557,209.415069470177
vbar_alpha5.50_h0.5_km_s,7.199476401716239,1.9888056358332151,266.14,2.95999,190.2261916938977,0.19834924731266557,208.238974892499
vbar_alpha5.50_h0.5_km_s,7.439458948440113,2.0550991570276556,261.39,21.95,189.82011590279728,0.19834924731266557,207.79444721881524
vbar_alpha5.50_h0.5_km_s,7.679441495163988,2.121392678222096,257.19,20.36,189.76803660555032,0.19834924731266557,207.73743646033208
vbar_alpha5.50_h0.5_km_s,7.919424041887862,2.1876861994165364,258.14,48.24,188.94331541772604,0.19834924731266557,206.83462127386707
vbar_alpha5.50_h0.5_km_s,8.159406588611738,2.2539797206109773,255.78,10.29,187.72716163473447,0.19834924731266557,205.50330819428171
vbar_alpha5.50_h0.5_km_s,8.399389135335612,2.3202732418054177,261.63,23.53,186.97381772554445,0.19834924731266557,204.6786291004392
