galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
NGC7331,holdout,K_thick_flared,36,25.485065060071012,29.311675230419702,23.65225365891692,26.663061940864182,K_thick_flared,1,27.563235497065957,26.66184833047948,25.764101995047117,23.65225365891692,-3.010808281947263,-1.8328114011540926,-5.659421571502783,True,True,True
UGC00731,holdout,K_scale_tail_spiral,12,12.845453066903099,11.466827035781066,12.306688590633387,12.873599692550124,K_compact_finite,2,11.330416856033215,12.306688590633387,12.66148691345492,14.628895308162237,-0.5669111019167374,-0.5387644762697121,0.8398615548523214,True,True,False
UGC00891,holdout,K_scale_tail_spiral,5,5.958365558298525,7.682081654505746,6.432423727739196,6.391401859483358,K_thick_flared,3,7.287031372927318,6.432423727739196,6.065997896260822,5.821176309261932,0.041021868255837646,0.4740581694406707,-1.2496579267665497,False,False,True
UGC02023,holdout,K_scale_tail_spiral,5,12.198048884046239,13.979836766957423,13.76733002580334,12.093130851002433,K_thick_flared,3,13.786384124014143,13.76733002580334,12.548448279813227,9.94456014917993,1.674199174800906,1.5692811417571004,-0.2125067411540833,False,False,True
UGC02259,holdout,K_exponential_disk,8,16.43514083306515,13.66144175213647,16.101330890824123,16.144873801905174,K_compact_finite,3,14.668266877338159,14.904335245333797,16.101330890824123,18.86201928304357,-0.04354291108105102,-0.3338099422410288,2.4398891386876524,True,True,False
UGC03580,holdout,K_compact_finite,47,25.49452615076704,27.172706555031343,27.786469771454367,25.392758166160558,K_thick_flared,4,27.786469771454367,26.65768593921086,25.76569325514943,23.754895304121376,2.3937116052938094,2.291943620687327,0.613763216423024,False,False,False
UGC04305,holdout,K_scale_tail_spiral,22,23.999621706482884,26.588364190715332,25.730279468043374,23.742494181726926,K_thick_flared,4,25.166071933015225,25.730279468043374,24.3180923490467,21.743318263118844,1.9877852863164485,1.7306577615604901,-0.8580847226719577,False,False,True
UGC04499,holdout,K_scale_tail_spiral,9,6.040634191372928,8.985021588452573,7.569249712339821,6.034520535527293,K_thick_flared,3,7.625634396419689,7.569249712339821,6.321811365288741,4.15611584487345,1.5347291768125277,1.528615520966893,-1.4157718761127525,False,False,True
UGC05414,holdout,K_scale_tail_spiral,6,6.4008126343112375,8.261884143933315,8.096233988763219,6.253876121102251,K_thick_flared,4,8.077352666565314,8.096233988763219,6.756765261154956,3.9275104355864814,1.8423578676609678,1.6954213544519812,-0.16565015517009662,False,False,True
UGC05716,holdout,K_scale_tail_spiral,12,5.844868825954693,5.605647282808069,4.749782163843638,6.0138329577467475,K_compact_finite,2,4.18378023347808,4.749782163843638,5.560860303097587,8.296858336664576,-1.2640507939031096,-1.095086662111055,-0.8558651189644308,True,True,True
