galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
UGC05716,holdout,K_scale_tail_spiral,12,11.370018760124921,45.162661441878804,38.595717422736016,5.844868825954693,5.605647282808069,-33.79264268175388,-27.225698662611094,5.525149934170228,5.764371477316852,106.2017607732948,11.370018760124921,11.925422559727831,17.360800992613783
UGC05829,holdout,K_scale_tail_spiral,11,9.912693598727085,71.11133064344791,24.75432036929144,6.222677845510406,8.606905396927852,-61.198637044720826,-14.841626770564357,3.690015753216679,1.305788201799233,179.3789537458454,9.912693598727085,15.22138904171519,18.73364914278314
UGC05986,holdout,K_scale_tail_spiral,15,26.738065441888672,42.4935629821071,54.03667362248708,17.532159853325275,15.059299363743824,-15.755497540218428,-27.298608180598407,9.205905588563397,11.678766078144848,100.83867292967376,26.738065441888672,16.537728627469885,10.104287389177655
UGC06818,holdout,K_scale_tail_spiral,8,14.076271707475751,70.60581602585954,27.07042994637209,12.386120759877572,13.66362183441789,-56.529544318383785,-12.99415823889634,1.6901509475981786,0.4126498730578607,169.91986871209343,14.076271707475751,18.916919423597317,22.980659941887897
UGC06917,holdout,K_scale_tail_spiral,11,20.650649712890225,35.72887347060482,46.43992237689648,6.430936477869006,4.61507933369384,-15.078223757714593,-25.78927266400626,14.219713235021219,16.035570379196386,97.17604210351625,20.650649712890225,4.749453797550144,5.261124510748043
UGC06983,holdout,K_scale_tail_spiral,17,29.733696982817772,25.080650484191892,54.54130717033093,11.036839059186455,9.148970751386091,4.65304649862588,-24.80761018751316,18.696857923631317,20.58472623143168,60.439244479215176,29.733696982817772,4.625767003668593,10.176939969691897
UGC07151,holdout,K_exponential_disk,11,3.2616791246435373,67.67344818339258,27.222430951846494,4.3119123214161394,5.615951252005322,-64.41176905874904,-23.960751827202955,-1.0502331967726022,-2.354272127361785,193.01590866656662,3.6280008841990994,3.2616791246435373,6.3764349994120035
UGC07261,holdout,K_exponential_disk,7,4.20473729798467,59.590767320640026,33.05085052090242,4.296839337715027,4.6168185611277694,-55.386030022655355,-28.84611322291775,-0.09210203973035647,-0.412081263143099,165.33336056441465,4.415454886132473,4.20473729798467,9.02348651137297
UGC07577,holdout,K_scale_tail_spiral,9,42.739301080578805,162.4059219985418,2.444233288569486,10.601721967205515,13.125766123408509,-119.666620917963,40.29506779200932,32.13757911337329,29.613534957170295,444.06111489352,42.739301080578805,19.83958485229103,23.317066249814324
UGC07603,holdout,K_exponential_disk,12,6.052919717297134,81.76273439963778,31.453943634197763,9.318897295784359,6.8156573361002755,-75.70981468234065,-25.40102391690063,-3.2659775784872247,-0.7627376188031416,238.97645082798067,3.734387776521837,6.052919717297134,2.5773645944108337
