galaxy,source_figure,marker_index_radial_order,vector_x_pt,vector_y_pt,delta_axis_calibrated,physical_delta,physical_delta_error_minus,physical_delta_error_plus,vector_error_y_top_pt,vector_error_y_bottom_pt,physical_r_over_abar,delta_calibration_status,point_origin,uses_dark_discrepancy_endpoint
NGC 4579,PLOTS4.eps,3,349.707031,57.145241,True,0.451146,0.050983,0.048998,49.851562,64.734375,0.43325,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,4,365.071378,82.448864,True,0.281158,0.070987,0.068988,72.179688,93.015625,0.58079,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,5,380.602273,94.355114,True,0.201173,0.200963,0.19899,64.734375,124.269531,0.729929,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,6,396.313565,100.308239,True,0.16118,0.162807,0.238983,64.734375,124.542969,0.880801,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,7,412.226562,104.773793,True,0.131181,0.132808,0.168974,79.621094,124.542969,1.03361,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,8,428.360085,109.238991,True,0.101184,0.102811,0.118986,91.527344,124.542969,1.188536,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,9,444.738991,114.448864,True,0.066184,0.067811,0.093996,100.457031,124.542969,1.345819,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,10,461.382102,112.215554,True,0.081188,0.082815,0.118986,94.503906,124.542969,1.505639,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,11,478.317827,115.192827,True,0.061187,0.062814,0.108992,98.96875,124.542969,1.668268,vector_linear_axis_0_to_1,vector_marker,False
NGC 4579,PLOTS4.eps,12,495.580611,109.238991,True,0.101184,0.050983,0.048998,101.945312,116.828125,1.834039,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,1,323.336648,316.042614,True,0.148978,0.102976,0.101003,301.007812,331.371094,0.223301,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,2,342.721236,326.163707,True,0.080985,0.070987,0.069014,315.890625,336.730469,0.454199,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,3,362.280895,315.743608,True,0.150986,0.152823,0.189004,287.609375,338.492188,0.687182,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,4,382.035156,311.278054,True,0.180986,0.182823,0.23899,275.703125,338.492188,0.922483,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,5,402.003551,308.449929,True,0.199985,0.201822,0.290004,265.28125,338.492188,1.160334,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,6,422.203835,311.278054,True,0.180986,0.182823,0.279009,269.746094,338.492188,1.400948,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,7,442.662642,312.766335,True,0.170987,0.172824,0.198997,283.144531,338.492188,1.644642,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,8,463.40625,314.106179,True,0.161986,0.138999,0.137014,293.710938,334.796875,1.891727,vector_linear_axis_0_to_1,vector_marker,False
NGC 5248,PLOTS4.eps,9,484.464844,324.675426,True,0.090983,0.09282,0.139001,303.984375,338.492188,2.142565,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,1,320.836648,726.569957,True,0.263235,0.2213,0.219301,693.925781,759.511719,0.10977,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,2,337.821023,710.173295,True,0.373386,0.121149,0.119174,692.433594,728.207031,0.224523,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,3,354.960227,725.079545,True,0.273247,0.181243,0.179242,698.398438,752.058594,0.340322,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,4,372.269531,728.060014,True,0.253225,0.111151,0.10915,711.8125,744.605469,0.457271,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,5,389.766335,731.041903,True,0.233193,0.031025,0.029043,726.71875,735.660156,0.575486,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,6,407.465909,738.495028,True,0.183123,0.021027,0.019044,735.660156,741.625,0.695072,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,7,425.393466,739.984375,True,0.173118,0.061091,0.059071,731.191406,749.078125,0.816198,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,8,443.569247,739.984375,True,0.173118,0.081114,0.079119,728.207031,752.058594,0.939,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,9,462.020597,741.476207,True,0.163096,0.111137,0.109164,725.226562,758.019531,1.063665,vector_linear_axis_0_to_1,vector_marker,False
NGC 7479,PLOTS5.eps,10,480.770597,722.097656,True,0.293279,0.121159,0.119164,704.359375,740.132812,1.190348,vector_linear_axis_0_to_1,vector_marker,False
