radius_kpc,vstar_total_primary_km_s,v2_star_primary_km2_s2,v2_h2_alpha3.20_h0.1_km2_s2,vbar_alpha3.20_h0.1_km_s,v2_h2_alpha3.20_h0.3_km2_s2,vbar_alpha3.20_h0.3_km_s,v2_h2_alpha3.20_h0.5_km2_s2,vbar_alpha3.20_h0.5_km_s,v2_h2_alpha4.35_h0.1_km2_s2,vbar_alpha4.35_h0.1_km_s,v2_h2_alpha4.35_h0.3_km2_s2,vbar_alpha4.35_h0.3_km_s,v2_h2_alpha4.35_h0.5_km2_s2,vbar_alpha4.35_h0.5_km_s,v2_h2_alpha5.50_h0.1_km2_s2,vbar_alpha5.50_h0.1_km_s,v2_h2_alpha5.50_h0.3_km2_s2,vbar_alpha5.50_h0.3_km_s,v2_h2_alpha5.50_h0.5_km2_s2,vbar_alpha5.50_h0.5_km_s,uses_halpha_endpoint_or_dark_discrepancy
1.6000000000000003,176.5702637988971,31177.058058012106,1258.0242067283214,180.30859496868536,419.2498569542129,177.75671950127605,267.3952966579882,177.3001813904648,1710.1266560213123,181.55795732733506,569.9177742971332,178.18001920865947,363.49048139445273,177.57097033532304,2162.229105314302,182.79878095372356,720.5856916400534,178.60231566959365,459.58566613091716,177.8413469656723,False
1.6500000000000006,176.29991300368368,31081.659325106437,1155.6397971105428,179.72848663694128,464.51176162193775,177.62314514724676,285.57509133908945,177.0833433459281,1570.9478491971443,180.8801729347133,631.4456759548216,178.09243556741194,388.2036397890748,177.3728813517496,1986.2559012837455,182.02457255265946,798.3795902877052,178.56049260871134,490.8321882390601,177.66194749431241,False
1.7000000000000006,176.09766763832695,31010.388547658666,1004.5764132532154,179.06486744781841,484.229425134214,177.4784510306266,298.61312591461825,176.91836439830527,1365.5960617660896,180.07011524019651,658.2493747918221,177.9680323257189,405.9272180401842,177.22139191840554,1726.6157102789637,181.06978226951765,832.2693244494302,178.45627049657216,513.2413101657501,177.52390218115042,False
1.7500000000000009,175.95851306675485,30961.398320663335,863.3318530180549,178.49061334927953,482.4416934491731,177.32982118725977,305.9636046491769,176.79848759066047,1173.5917376964185,179.35762860408354,655.8191770324698,177.81800517914044,415.91927506997473,177.10917786711596,1483.8516223747822,180.2204728191521,829.1966606157665,178.30485256849323,525.8749454907729,177.41932407487784,False
1.8000000000000007,175.87777688622305,30932.992402440053,740.1572614633541,178.027061871456,464.82191532265045,177.18992748359625,307.7310051050635,176.71934357614685,1006.1512773017466,178.77256158152912,631.8672911417276,177.6606759456385,418.3218350646957,177.03196667253027,1272.1452931401393,179.51496536573214,798.9126669608049,178.130180354931,528.9126650243278,177.34403867596876,False
1.8500000000000008,175.85110495278707,30923.611113116134,632.3167186178393,177.66218862468313,436.49048698815403,177.07016489703466,304.497911816703,176.67839836981395,859.5555393711254,178.300566705958,593.354255749522,177.51255466987234,413.9268488758308,176.98781140966122,1086.7943601244112,178.93666731114408,750.2180245108904,177.95384467379677,523.3557859349584,177.29668447165315,False
1.9000000000000008,175.87443919071964,30931.81836065014,535.5071258433253,177.37918752512965,401.3197132700625,176.9784604908342,297.14138954883407,176.6743617619722,727.9549991932709,177.9208364425737,545.5439852264911,177.38545529344336,403.9265764179463,176.9763127960048,920.4028725432155,178.46084140162236,689.7682571829199,177.7915184186766,510.71176328705855,177.27774952807374,False
1.9500000000000008,175.94399703777705,30956.2900936293,445.78031836321725,177.16238693134727,362.0190012561557,176.91948911007185,286.6894119655398,176.70671852451633,605.9826202749983,177.61394552546878,492.11957983258674,177.28679083774196,389.7184193906558,176.99800388458553,766.1849221867797,178.06435900268187,622.2201584090177,177.65333316355677,492.7474268157718,177.28881066371017,False
2.0000000000000004,176.05625239201433,30995.80400632065,359.7120052680987,176.9978029534736,320.4812968970637,176.89570945468338,274.23273505072723,176.77543185676245,488.9835071613218,177.3626052815246,435.65426296944617,177.2209496350478,372.78512420958225,177.05396267043483,618.2550090545444,177.72665881668715,550.8272290418284,177.54559401917166,471.3375133684372,177.33205600359622,False
2.0500000000000007,176.20791793866636,31049.230344279775,274.1851104607978,176.87248239312527,278.1662023732623,176.90853160021078,260.8839582631821,176.88079398904324,372.7203845326472,177.15081230967658,378.13218135115335,177.19084212204837,354.6391307640132,177.14561934943575,471.2556586044965,177.4287056145372,478.09816032904473,177.47270356564292,448.39430326484415,177.41004939742288,False
2.100000000000001,176.395928747257,31115.523678607366,186.09988889999212,176.77359453705324,236.46784911337394,176.95945585313606,247.76458700812933,177.02336369781872,252.9795364734269,176.96266095740063,321.4484823884925,177.19940645812875,336.80498546417584,177.27467865813844,319.85918404686146,177.15152559517335,406.4291156636111,177.43903257848382,425.845383920222,177.52563784367118,False
2.150000000000001,176.61742703954,31193.715534067233,92.07536068372167,176.68747526433535,197.08492932031544,177.05123592709964,235.9971962799225,177.20391787630254,125.16494342943442,176.78108919799888,267.9123257948041,177.2511425627152,320.80868869301975,177.44306129889802,158.2545261751467,176.87465358489482,338.7397222692922,177.45082399431814,405.620181106117,177.68188285679992,False
2.2000000000000006,176.86974803816122,31282.907771082635,-11.80468795174305,176.59880077151058,162.416811755815,177.1891361057068,226.67889192366937,177.42334084768396,-16.046997684400488,176.5867892119992,220.78535348056116,177.35376651092426,308.141618708738,177.65276413368443,-20.289307417058343,176.57477683539733,279.15389520530687,177.518244237983,389.6043454938067,177.8818915210977,False
