galaxy,split,formula_family,best_family,model_id,prediction_column,r_kpc,vobs_kms,vpred_kms,residual_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,1.71,18.6,27.3166720450221,8.716672045022097,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,1.99,19.8,30.63657439235328,10.836574392353278,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,2.28,26.1,32.82750920820246,6.727509208202456,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,2.55,27.7,35.14264620721294,7.442646207212942,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,2.84,29.7,36.95871405203442,7.258714052034424,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,3.13,33.0,38.56347523258023,5.563475232580231,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,3.41,34.8,39.85452842527064,5.0545284252706395,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,3.7,35.0,40.17131885157545,5.17131885157545,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,3.98,39.0,40.281215991594735,1.2812159915947348,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,4.26,35.9,41.6373011746465,5.737301174646504,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,4.55,40.0,45.31168914858153,5.311689148581529,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,4.84,38.7,48.87701023980934,10.177010239809334,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,5.12,41.8,51.16020084289772,9.360200842897726,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,5.41,42.9,52.400910060909496,9.500910060909497,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,5.68,44.4,54.2487565052638,9.8487565052638,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,5.97,46.1,55.83135167062349,9.73135167062349,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,6.26,49.0,57.9344080308332,8.934408030833197,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,6.54,51.9,59.93639378379367,8.03639378379367,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,6.83,53.1,60.75040904837705,7.65040904837705,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,7.1,54.0,61.74617199427779,7.746171994277788,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,7.39,55.9,62.62653540244748,6.726535402447482,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,7.68,58.8,64.2363513904876,5.4363513904876015,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,7.96,57.3,65.49996241472599,8.199962414725988,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,8.25,54.0,66.55922934397864,12.559229343978643,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,8.52,63.8,66.67465817834564,2.8746581783456406,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,8.81,60.5,67.24879344067926,6.748793440679265,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,9.1,61.0,68.00504323992979,7.00504323992979,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,9.38,66.0,69.28706319818713,3.287063198187127,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,9.67,65.2,71.40506785733781,6.205067857337809,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,9.96,67.1,72.33486304153692,5.234863041536926,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,10.23,67.5,73.94004986508675,6.440049865086749,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,0.85,10.3,20.10276688999315,9.802766889993148,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,1.14,12.9,24.247669891362843,11.347669891362843,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,1.42,16.4,27.609393997437117,11.209393997437118,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,1.71,18.6,31.116466625232857,12.516466625232855,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,1.99,19.8,34.575132122778975,14.775132122778974,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,2.28,26.1,37.03855321979423,10.93855321979423,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,2.55,27.7,39.53765075432297,11.837650754322969,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,2.84,29.7,41.61451231871631,11.914512318716309,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,3.13,33.0,43.48362759273665,10.483627592736653,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,3.41,34.8,45.04452619054671,10.244526190546715,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,3.7,35.0,45.762146172677504,10.762146172677504,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,3.98,39.0,46.26967772321262,7.269677723212617,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,4.26,35.9,47.83787749530144,11.937877495301443,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,4.55,40.0,51.40643383072777,11.40643383072777,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,4.84,38.7,54.86880091065742,16.168800910657417,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,5.12,41.8,57.201324737429545,15.401324737429547,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,5.41,42.9,58.63645581762403,15.736455817624034,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,5.68,44.4,60.56214104889499,16.162141048894995,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,5.97,46.1,62.274620599172344,16.174620599172343,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,6.26,49.0,64.4285964230328,15.4285964230328,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,6.54,51.9,66.47663704412089,14.576637044120893,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,6.83,53.1,67.50183253472349,14.40183253472349,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,7.1,54.0,68.65597047897896,14.655970478978958,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,7.39,55.9,69.72600262813665,13.826002628136656,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,7.68,58.8,71.42044608223209,12.620446082232093,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,7.96,57.3,72.79986006600234,15.499860066002341,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,8.25,54.0,74.00762332440817,20.007623324408172,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,8.52,63.8,74.37510195776012,10.575101957760126,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,8.81,60.5,75.15429435813218,14.654294358132177,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,9.1,61.0,76.08622279197171,15.086222791971707,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,9.38,66.0,77.45836209423999,11.458362094239988,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,9.67,65.2,79.55799866133208,14.357998661332076,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,9.96,67.1,80.62723252535801,13.527232525358016,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
