amplitude_path_id,shrinkage_policy,family_weight,global_weight,formula_family,beta_delta_v2_amplitude,raw_family_beta,raw_global_beta,is_negative,kernel,formula_source
shrink_family_weight_0.85,family_to_global_linear,0.85,0.15000000000000002,K_exponential_disk,-898.383305988492,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.85,family_to_global_linear,0.85,0.15000000000000002,K_thick_flared,-489.6003573313535,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.90,family_to_global_linear,0.9,0.09999999999999998,K_compact_finite,97887.57776496852,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.90,family_to_global_linear,0.9,0.09999999999999998,K_scale_tail_spiral,652.2274407359679,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.90,family_to_global_linear,0.9,0.09999999999999998,K_exponential_disk,-933.549850273413,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.90,family_to_global_linear,0.9,0.09999999999999998,K_thick_flared,-500.7208458129133,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.95,family_to_global_linear,0.95,0.050000000000000044,K_compact_finite,103342.47386597481,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.95,family_to_global_linear,0.95,0.050000000000000044,K_scale_tail_spiral,705.1596348404571,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.95,family_to_global_linear,0.95,0.050000000000000044,K_exponential_disk,-968.7163945583338,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.95,family_to_global_linear,0.95,0.050000000000000044,K_thick_flared,-511.84133429447314,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_1.00,family_to_global_linear,1.0,0.0,K_compact_finite,108797.3699669811,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_1.00,family_to_global_linear,1.0,0.0,K_scale_tail_spiral,758.0918289449462,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_1.00,family_to_global_linear,1.0,0.0,K_exponential_disk,-1003.8829388432547,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_1.00,family_to_global_linear,1.0,0.0,K_thick_flared,-522.9618227760329,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
