baseline_id,galaxy,split,r_kpc,x_r_over_rmax,v_observed_kms,v_baseline_kms,q_required,u_required_kms,u_predicted_combined_kms,u_predicted_distance_context_kms,u_predicted_morphology_plus_distance_kms,u_predicted_morphology_plus_orientation_kms,u_predicted_morphology_proxy_kms,u_predicted_observer_geometry_kms,u_predicted_orientation_quality_kms,u_predicted_radial_only_kms
mond_fixed,UGC06787,train,17.58,0.472707717128,224,200.678406569,7.77925011807e-05,23.3216051429,-8.71940150209,-4.17336068334,-4.33326345679,-13.541337394,-4.32827165397,-10.1122990643,-8.23818238405,-3.96512496682
mond_fixed,UGC06787,train,18.6,0.500134444743,228,199.980413025,9.34633294582e-05,28.0196012711,-8.82382390964,-4.36290500331,-4.42097945584,-13.6270841751,-4.39760302675,-10.3174824621,-8.29583272381,-4.0860534661
mond_fixed,UGC06787,train,19.61,0.527292282872,234,199.222628878,0.00011600488401,34.7773893174,-8.95452133994,-4.5592187021,-4.51661379068,-13.7647123873,-4.4745148657,-10.5382345776,-8.36664154114,-4.21359010666
mond_fixed,UGC06787,train,20.62,0.554450121,239,198.843790278,0.000133946769254,40.1562311958,-9.12853541859,-4.76421686838,-4.62996208366,-13.9136630904,-4.56861807087,-10.7766711166,-8.45171784748,-4.34915860278
mond_fixed,UGC06787,train,21.64,0.581876848615,243,198.888338901,0.000147140743408,44.1116851382,-9.30285048048,-4.98015938148,-4.74412403227,-14.0167419343,-4.66291489828,-11.0356098918,-8.55273710198,-4.49450154937
mond_fixed,UGC06787,train,22.77,0.612261360581,245,199.263104494,0.00015256194572,45.7369207045,-9.51439116102,-5.22997259567,-4.87830921914,-14.1147362838,-4.7744842539,-11.3439954632,-8.68312543162,-4.66575478517
mond_fixed,UGC06787,train,23.78,0.639419198709,247,199.737198146,0.000157651825215,47.2628281894,-9.6663106032,-5.4627812901,-4.98147314452,-14.154218074,-4.85692638515,-11.6389891643,-8.81677662716,-4.82823284414
mond_fixed,UGC06787,train,24.79,0.666577036838,249,199.965321289,0.00016356217445,49.0347063141,-9.77021740003,-5.70468313313,-5.06273138652,-14.1721747538,-4.9168674384,-11.9524520708,-8.96721137047,-4.99988073013
mond_fixed,UGC06787,train,25.81,0.694003764453,250,199.828936127,0.000167352749845,50.171092229,-9.90906837486,-5.95830947657,-5.15917975373,-14.2613779768,-4.99115087689,-12.2879565241,-9.13678972446,-5.1828152161
mond_fixed,UGC06787,train,26.82,0.721161602581,251,199.570957772,0.000171548916672,51.4290713964,-10.0758361241,-6.21878705829,-5.26943615766,-14.3772250988,-5.07875947657,-12.6391156561,-9.32280106654,-5.37372725376
mond_fixed,UGC06787,train,27.84,0.748588330196,251,199.304972755,0.000172436147581,51.6950565315,-10.2371679058,-6.49137497336,-5.38009122957,-14.4651037279,-5.16578565177,-13.0130772976,-9.52955135759,-5.57667885662
mond_fixed,UGC06787,train,29.41,0.790803979564,248,198.645900865,0.000164627645948,49.3541266336,-10.2802249589,-6.92989888396,-5.45713893473,-14.4224231669,-5.20506626919,-13.6270873375,-9.88633866916,-5.90964939248
mond_fixed,UGC06787,train,30.99,0.833288518419,246,197.672276448,0.000161204022413,48.3277501187,-10.2565125632,-7.39474519169,-5.50038037777,-14.3537461182,-5.20900606984,-14.2926495474,-10.294633146,-6.27086045832
