galaxy,split,formula_family,orientation_gate_status,projection_status,projection_reason,memory_status,memory_reason,memory_history_proxy_class,source_memory_proxy_flags,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,memory_projection_gate_status,endpoint_scores_computed,uses_vobs_or_residual,endpoint_freeze_allowed,claim_boundary
NGC3949,holdout,K_thick_flared,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,55.0,0.138888888889,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC3972,holdout,K_thick_flared,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,77.0,0.138888888889,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC4013,holdout,K_compact_finite,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,compact_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;rotation_current_proxy_mismatch,1.0,none,89.0,0.138888888889,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC4088,holdout,K_thick_flared,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,69.0,0.138888888889,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC4183,holdout,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,expdisk_current_with_vertical_projection_memory_candidate,edge_or_projection_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,82.0,0.138888888889,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,low_inclination,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse,0.8,low_inclination,15.0,0.048780487805,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC4389,holdout,K_thick_flared,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,50.0,0.138888888889,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC5907,holdout,K_thick_flared,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,88.0,0.052023121387,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC5985,holdout,K_compact_finite,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,bulge_or_compact_core_memory;distance_caveat,0.85,large_distance_error,60.0,0.249370277078,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC6789,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,gas_rich_late_or_irregular,0.8,few_rotation_points,43.0,0.051136363636,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC6946,holdout,K_compact_finite,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,compact_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;distance_caveat;inclination_caveat;rotation_current_proxy_mismatch,0.65,low_inclination;large_distance_error,38.0,0.300724637681,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
NGC7331,holdout,K_thick_flared,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,thick_flared_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,75.0,0.102040816327,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC00731,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,0.85,large_distance_error,57.0,0.3,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.65,few_rotation_points;large_distance_error,60.0,0.303921568627,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC02023,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;rotation_current_proxy_mismatch,0.45,few_rotation_points;low_inclination;large_distance_error,19.0,0.298076923077,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC02259,holdout,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;rotation_current_proxy_mismatch,0.85,large_distance_error,41.0,0.295238095238,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC03580,holdout,K_compact_finite,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,compact_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;distance_caveat;rotation_current_proxy_mismatch,0.85,large_distance_error,63.0,0.251207729469,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC04305,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,40.0,0.049275362319,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.85,large_distance_error,50.0,0.3,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC05414,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.65,few_rotation_points;large_distance_error,55.0,0.3,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC05716,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,0.85,large_distance_error,54.0,0.24882629108,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.65,low_inclination;large_distance_error,34.0,0.299768518519,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC05986,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,distance_caveat;gas_rich_late_or_irregular,0.85,large_distance_error,90.0,0.300115874855,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC06818,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,75.0,0.138888888889,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,gas_rich_late_or_irregular,1.0,none,56.0,0.138888888889,BLOCKED_MEMORY_HISTORY_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,gas_rich_late_or_irregular,1.0,none,49.0,0.138888888889,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC07151,holdout,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_NOT_REQUIRED_CURRENT_READOUT_CONSISTENT,current proxy and readout proxy are consistent and no memory flag is present,current_readout_consistent_no_memory_proxy_flag,none,1.0,none,90.0,0.049490538574,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC07261,holdout,K_exponential_disk,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination;low_manifest_confidence,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;inclination_caveat;rotation_current_proxy_mismatch,0.45,few_rotation_points;low_inclination;large_distance_error,30.0,0.3,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC07577,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,63.0,0.050193050193,BLOCKED_MEMORY_HISTORY_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC07603,holdout,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.85,large_distance_error,78.0,0.3,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC08699,holdout,K_compact_finite,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,bulge_or_compact_core_memory;distance_caveat,0.85,large_distance_error,73.0,0.249872773537,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC11914,holdout,K_compact_finite,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,current/readout proxy is consistent but source-side caveats remain,current_readout_consistent_no_memory_proxy_flag,bulge_or_compact_core_memory;distance_caveat;inclination_caveat,0.65,low_inclination;large_distance_error,31.0,0.301775147929,BLOCKED_PROJECTION_ACCEPTANCE,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGC12506,holdout,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,generic_current_vs_rotation_readout_mismatch_candidate,rotation_current_proxy_mismatch,1.0,none,86.0,0.100397614314,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
UGCA444,holdout,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,memory class uses rotation-inferred diagnostic and cannot be accepted,generic_current_vs_rotation_readout_mismatch_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,1.0,none,78.0,0.051020408163,BLOCKED_ORIENTATION_NOT_READY,False,False,False,memory_projection_acceptance_gate_not_endpoint
