ghasp_release,ghasp_name,ghasp_key,radius_kpc,radius_error_kpc,radius_arcsec,radius_error_arcsec,velocity_km_s,velocity_error_km_s,n_velocity_bins,side,aliases,sparc_match,source_url,endpoint_access,claim_boundary
VI,IC 2542,IC2542,7.71,1.07,19.1,2.6,292,13,21,a,IC2542,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,0.31,0.0,1.0,0.0,40,19,1,a,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,0.4,0.0,1.3,0.0,41,19,1,r,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,0.68,0.05,2.2,0.2,43,2,2,r,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,0.98,0.06,3.2,0.2,50,19,3,a,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,1.27,0.0,4.1,0.0,48,19,1,r,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,2.4,0.77,7.7,2.5,71,8,12,r,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,IC 476,IC476,2.42,0.68,7.8,2.2,67,10,11,a,IC476,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.18,0.03,1.1,0.2,9,4,2,r,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.21,0.01,1.3,0.1,2,7,2,a,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.36,0.07,2.3,0.4,21,1,5,a,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.36,0.08,2.3,0.5,21,3,5,r,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.54,0.0,3.4,0.0,28,7,1,a,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.57,0.03,3.6,0.2,39,1,4,r,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.82,0.04,5.2,0.3,57,3,4,a,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,0.85,0.04,5.3,0.3,56,4,3,r,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,1.35,0.26,8.5,1.6,71,1,2,r,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,NGC 5296,NGC5296,1.53,0.29,9.6,1.8,79,1,7,a,NGC5296,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.05,0.0,0.7,0.0,-38,7,1,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.1,0.0,1.4,0.0,25,7,1,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.14,0.03,2.0,0.4,4,6,2,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.2,0.0,2.8,0.0,0,7,1,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.26,0.0,3.6,0.0,-4,7,1,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.26,0.02,3.6,0.3,17,4,3,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.4,0.04,5.6,0.6,38,7,4,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.4,0.02,5.6,0.3,24,2,6,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.51,0.04,7.2,0.6,33,4,4,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.52,0.03,7.3,0.4,55,5,4,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.6,0.03,8.4,0.4,59,4,5,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.62,0.04,8.7,0.6,54,6,8,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.7,0.03,9.8,0.4,70,7,5,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.74,0.03,10.4,0.4,50,7,6,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.84,0.02,11.8,0.3,78,2,7,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.84,0.03,11.8,0.4,65,5,6,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.96,0.03,13.5,0.4,83,5,6,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,0.97,0.02,13.6,0.3,85,7,5,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.06,0.02,14.9,0.3,80,3,6,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.08,0.04,15.2,0.6,85,7,6,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.17,0.03,16.4,0.4,96,5,5,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.17,0.03,16.4,0.4,84,5,8,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.28,0.04,18.0,0.6,87,2,11,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.29,0.04,18.1,0.6,94,3,9,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.4,0.02,19.6,0.3,90,4,8,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.4,0.02,19.6,0.3,101,4,6,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.5,0.03,21.0,0.4,96,3,9,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.51,0.03,21.2,0.4,96,2,12,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.61,0.02,22.6,0.3,100,2,11,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.64,0.03,23.0,0.4,100,2,14,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.74,0.04,24.4,0.6,96,2,12,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.75,0.02,24.6,0.3,101,2,19,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.86,0.03,26.1,0.4,110,2,16,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.86,0.03,26.1,0.4,92,3,10,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.97,0.03,27.6,0.4,106,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,1.98,0.02,27.8,0.3,102,5,8,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.08,0.03,29.2,0.4,112,3,20,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.1,0.02,29.5,0.3,102,3,10,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.19,0.02,30.7,0.3,124,2,19,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.19,0.04,30.7,0.6,109,3,14,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.3,0.03,32.3,0.4,127,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.31,0.03,32.4,0.4,113,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.39,0.03,33.5,0.4,126,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.43,0.03,34.1,0.4,111,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.49,0.02,34.9,0.3,135,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.54,0.03,35.6,0.4,119,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.57,0.02,36.1,0.3,137,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.64,0.02,37.0,0.3,137,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.64,0.03,37.0,0.4,124,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.7,0.02,37.9,0.3,140,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.72,0.02,38.2,0.3,127,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.76,0.02,38.7,0.3,141,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.8,0.03,39.3,0.4,125,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.85,0.03,40.0,0.4,140,1,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.88,0.02,40.4,0.3,128,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.93,0.02,41.1,0.3,139,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,2.96,0.02,41.5,0.3,132,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.03,0.03,42.5,0.4,144,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.03,0.02,42.5,0.3,132,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.1,0.02,43.5,0.3,137,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.11,0.02,43.6,0.3,145,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.17,0.02,44.5,0.3,134,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.2,0.04,44.9,0.6,145,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.22,0.02,45.2,0.3,133,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.3,0.02,46.3,0.3,137,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.31,0.02,46.4,0.3,151,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.37,0.02,47.3,0.3,136,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.41,0.04,47.8,0.6,150,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.44,0.02,48.3,0.3,137,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.52,0.03,49.4,0.4,142,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.53,0.03,49.5,0.4,150,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.59,0.01,50.4,0.1,143,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.64,0.02,51.1,0.3,142,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.65,0.03,51.2,0.4,148,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.7,0.02,51.9,0.3,144,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.76,0.02,52.8,0.3,142,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.78,0.04,53.0,0.6,148,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.8,0.02,53.3,0.3,147,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.86,0.02,54.2,0.3,148,1,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.9,0.03,54.7,0.4,144,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.92,0.02,55.0,0.3,148,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,3.98,0.02,55.8,0.3,151,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.02,0.03,56.4,0.4,144,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.07,0.03,57.1,0.4,146,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.14,0.03,58.1,0.4,147,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.17,0.04,58.5,0.6,152,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.25,0.03,59.6,0.4,137,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.3,0.04,60.3,0.6,149,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.39,0.03,61.6,0.4,139,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.47,0.05,62.7,0.7,150,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.51,0.04,63.3,0.6,137,3,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.64,0.04,65.1,0.6,137,1,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.64,0.05,65.1,0.7,152,2,21,r,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
VI,UGC 10075,UGC10075,4.75,0.03,66.7,0.4,144,2,21,a,NGC6015;UGC10075,NGC6015,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/388/500/tablef.dat,False,source acquisition only; not an endpoint score
