galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
NGC3949,holdout,7,14.278198381956717,8.950158230683527,11.297904622428334,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,24.44325259103885,-10.165054209082133,5.328040151273189,2.980293759528383,True,False,False
NGC3972,holdout,10,6.236895892918824,7.806428086864266,6.774747860896815,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,13.92630563477123,-7.6894097418524066,-1.5695321939454425,-0.537851967977991,True,True,True
NGC4013,holdout,36,14.936780553353975,12.273912532057183,14.334222058319126,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,12.507084507992706,2.4296960453612684,2.6628680212967915,0.6025584950348488,False,False,False
NGC4088,holdout,12,46.859666649419516,38.98773649865968,42.18384581680386,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,42.56348032525069,4.296186324168829,7.871930150759837,4.675820832615656,False,False,False
NGC4183,holdout,23,7.630148917466484,6.489693491114096,10.354993594406714,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,9.741644276499994,-2.1114953590335093,1.1404554263523883,-2.72484467694023,True,False,True
NGC4214,holdout,14,17.044465945022218,17.991047303306434,15.27888150484993,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,24.67008828870912,-7.625622343686903,-0.9465813582842166,1.7655844401722884,True,True,False
NGC4389,holdout,6,42.89236494586057,46.55692853885728,48.50110279830857,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,46.27429572913639,-3.38193078327582,-3.664563592996707,-5.608737852448002,True,True,True
NGC5907,holdout,19,18.213599591007902,16.785509985459306,18.59536481497724,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,16.72953347222077,1.4840661187871333,1.428089605548596,-0.38176522396933876,False,False,True
NGC5985,holdout,33,66.26970189398078,72.28739039126062,69.40357999391347,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,71.09345366054956,-4.823751766568776,-6.017688497279835,-3.133878099932687,True,True,True
NGC6789,holdout,4,15.53349101856579,15.897752239176857,15.396246199577478,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,14.089331192642511,1.444159825923279,-0.36426122061106625,0.13724481898831264,False,True,False
NGC6946,holdout,58,34.16143133866352,15.025447425206579,17.728143095419597,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,20.948752064502973,13.212679274160546,19.13598391345694,16.433288243243922,False,False,False
NGC7331,holdout,36,42.91665124039367,25.485065060071012,29.311675230419702,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,26.764221798862284,16.152429441531385,17.431586180322657,13.604976009973967,False,False,False
UGC00731,holdout,12,12.22605973756641,12.845453066903099,11.466827035781066,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,12.523488983592612,-0.29742924602620135,-0.6193933293366882,0.7592327017853453,True,True,False
UGC00891,holdout,5,5.79676739278409,5.958365558298525,7.682081654505746,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,5.812976613743893,-0.01620922095980326,-0.16159816551443562,-1.885314261721656,True,True,True
UGC02023,holdout,5,16.85632560191673,12.198048884046239,13.979836766957423,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,15.30026431538294,1.5560612865337902,4.658276717870491,2.876488834959307,False,False,False
UGC02259,holdout,8,14.693581076958491,16.43514083306515,13.66144175213647,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,15.926795760580909,-1.2332146836224176,-1.7415597561066605,1.0321393248220208,True,True,False
UGC03580,holdout,47,34.626626539675215,25.49452615076704,27.172706555031343,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,26.623336512958986,8.003290026716229,9.132100388908174,7.453919984643871,False,False,False
UGC04305,holdout,22,24.40880517658248,23.999621706482884,26.588364190715332,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,57.46023051372418,-33.051425337141694,0.4091834700995953,-2.1795590141328525,True,False,True
UGC04499,holdout,9,5.15016294330203,6.040634191372928,8.985021588452573,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,5.397304499008665,-0.24714155570663454,-0.8904712480708978,-3.8348586451505433,True,True,True
UGC05414,holdout,6,7.993708806085131,6.4008126343112375,8.261884143933315,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,7.455645261144433,0.5380635449406981,1.5928961717738934,-0.26817533784818437,False,False,True
UGC05716,holdout,12,5.012471912029881,5.844868825954693,5.605647282808069,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,5.702170825248938,-0.6896989132190576,-0.8323969139248124,-0.5931753707781882,True,True,True
UGC05829,holdout,11,6.227082722609578,6.222677845510406,8.606905396927852,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,6.220924516996659,0.006158205612918799,0.004404877099172033,-2.379822674318274,False,False,True
UGC05986,holdout,15,13.36354041168741,17.532159853325275,15.059299363743824,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,16.856878883305757,-3.4933384716183475,-4.1686194416378655,-1.6957589520564138,True,True,True
UGC06818,holdout,8,11.713390492049257,12.386120759877572,13.66362183441789,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,11.90895045377944,-0.19555996173018286,-0.6727302678283156,-1.9502313423686335,True,True,True
UGC06917,holdout,11,7.395836693036465,6.430936477869006,4.61507933369384,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,7.341476384447996,0.05436030858846852,0.964900215167459,2.7807573593426245,False,False,False
UGC06983,holdout,17,12.160036639066107,11.036839059186455,9.148970751386091,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,12.385460782501298,-0.22542414343519113,1.1231975798796512,3.011065887680015,True,False,False
UGC07151,holdout,11,5.576536553942746,4.3119123214161394,5.615951252005322,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,4.641822879680751,0.934713674261995,1.2646242325266064,-0.03941469806257647,False,False,True
UGC07261,holdout,7,5.929997028428442,4.296839337715027,4.6168185611277694,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,4.120854225707304,1.809142802721138,1.633157690713415,1.3131784673006726,False,False,False
UGC07577,holdout,9,9.985146362222363,10.601721967205515,13.125766123408509,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,11.543046063508982,-1.557899701286619,-0.6165756049831526,-3.140619761186146,True,True,True
