scenario,draw,harmonic,beam_mode,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,phase_anchor_rad,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg,phase_delta_from_baseline_deg,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
co_independent_only,1,1,1,-0.06673366424,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,1,2,0,0.09892450639,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
co_independent_only,1,2,1,0.139921724,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
star_plus_co_independent,1,1,0,0.08927692807,0.9859968262,0.418494357,3,0.2428351289,13.91342801,0.2652961706,38.57985088,24.66642287,10.58916165,0.0375640296,0,0
star_plus_co_independent,1,1,1,-0.01759421551,0.9998490803,0.0106715284,3,0.2428351289,13.91342801,0.2652961706,38.57985088,24.66642287,10.58916165,0.0375640296,0,0
star_plus_co_independent,1,2,0,0.1196284603,0.8733570496,0.2112303134,4,1.463780569,83.86844874,0.5118113129,83.58766448,0.2807842553,0.8288437999,0.0375640296,0,0
star_plus_co_independent,1,2,1,0.1456058642,0.9907320537,0.01449868543,4,1.463780569,83.86844874,0.5118113129,83.58766448,0.2807842553,0.8288437999,0.0375640296,0,0
star_co_plus_hi_ctl49,1,1,0,0.09259225694,0.9859968262,0.418494357,3,0.2428351289,13.91342801,0.2652961706,38.57985088,24.66642287,10.58916165,0.0375640296,0,0
star_co_plus_hi_ctl49,1,1,1,-0.01735775122,0.9998490803,0.0106715284,3,0.2428351289,13.91342801,0.2652961706,38.57985088,24.66642287,10.58916165,0.0375640296,0,0
star_co_plus_hi_ctl49,1,2,0,0.1325377264,0.8733570496,0.2112303134,4,1.463780569,83.86844874,0.5118113129,83.58766448,0.2807842553,0.8288437999,0.0375640296,0,0
star_co_plus_hi_ctl49,1,2,1,0.1555122615,0.9907320537,0.01449868543,4,1.463780569,83.86844874,0.5118113129,83.58766448,0.2807842553,0.8288437999,0.0375640296,0,0
star_only,2,1,0,-0.01511139769,0.9931982048,0.3159903752,3,0.07645200344,4.380377132,0.3654458484,18.22897001,13.84859288,1.056110781,0.001138303927,0,0
star_only,2,1,1,-0.009210998475,0.9999114652,0.01189450329,3,0.07645200344,4.380377132,0.3654458484,18.22897001,13.84859288,1.056110781,0.001138303927,0,0
star_only,2,2,0,0.09486985067,0.9978253756,0.2733734934,3,1.525475676,87.40331796,0.5489067681,86.80776457,0.5955533916,2.706025422,0.001138303927,0,0
star_only,2,2,1,0.20784487,0.9979893446,0.01031012652,3,1.525475676,87.40331796,0.5489067681,86.80776457,0.5955533916,2.706025422,0.001138303927,0,0
co_independent_only,2,1,0,-0.01875364288,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.003984063745,0
co_independent_only,2,1,1,-0.06899351802,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.003984063745,0
co_independent_only,2,2,0,0.1089244998,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.003984063745,0
co_independent_only,2,2,1,0.1428150699,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.003984063745,0
star_plus_co_independent,2,1,0,-0.0285326897,0.9931982048,0.3159903752,3,0.07645200344,4.380377132,0.3654458484,18.22897001,13.84859288,1.056110781,0.001138303927,0.003984063745,0
star_plus_co_independent,2,1,1,-0.01167222287,0.9999114652,0.01189450329,3,0.07645200344,4.380377132,0.3654458484,18.22897001,13.84859288,1.056110781,0.001138303927,0.003984063745,0
star_plus_co_independent,2,2,0,0.09911479308,0.9978253756,0.2733734934,3,1.525475676,87.40331796,0.5489067681,86.80776457,0.5955533916,2.706025422,0.001138303927,0.003984063745,0
star_plus_co_independent,2,2,1,0.2133507882,0.9979893446,0.01031012652,3,1.525475676,87.40331796,0.5489067681,86.80776457,0.5955533916,2.706025422,0.001138303927,0.003984063745,0
star_co_plus_hi_ctl49,2,1,0,-0.03294367372,0.9931982048,0.3159903752,3,0.07645200344,4.380377132,0.3654458484,18.22897001,13.84859288,1.056110781,0.001138303927,0.003984063745,0
star_co_plus_hi_ctl49,2,1,1,-0.009085514699,0.9999114652,0.01189450329,3,0.07645200344,4.380377132,0.3654458484,18.22897001,13.84859288,1.056110781,0.001138303927,0.003984063745,0
star_co_plus_hi_ctl49,2,2,0,0.1045118068,0.9978253756,0.2733734934,3,1.525475676,87.40331796,0.5489067681,86.80776457,0.5955533916,2.706025422,0.001138303927,0.003984063745,0
star_co_plus_hi_ctl49,2,2,1,0.2098065608,0.9979893446,0.01031012652,3,1.525475676,87.40331796,0.5489067681,86.80776457,0.5955533916,2.706025422,0.001138303927,0.003984063745,0
star_only,3,1,0,0.1094913805,0.9896894295,0.5693520765,4,0.4381997274,25.10699497,0.2134419529,47.72796561,22.62097065,21.78272861,0,0,0
star_only,3,1,1,0.09049316272,0.8927688195,0.01672534005,4,0.4381997274,25.10699497,0.2134419529,47.72796561,22.62097065,21.78272861,0,0,0
star_only,3,2,0,0.120342938,0.6829340476,0.1530803821,4,1.40963941,80.76638884,0.5186745465,80.84776979,0.08138095039,3.930903699,0,0,0
star_only,3,2,1,0.1299660435,0.6431268388,0.004183901746,4,1.40963941,80.76638884,0.5186745465,80.84776979,0.08138095039,3.930903699,0,0,0
co_independent_only,3,1,0,-0.009126898254,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,3,1,1,-0.06745617261,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,3,2,0,0.09957454931,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
co_independent_only,3,2,1,0.1330725397,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
star_plus_co_independent,3,1,0,0.1021945118,0.9896894295,0.5693520765,4,0.4381997274,25.10699497,0.2134419529,47.72796561,22.62097065,21.78272861,0,0,0
star_plus_co_independent,3,1,1,0.08934174674,0.8927688195,0.01672534005,4,0.4381997274,25.10699497,0.2134419529,47.72796561,22.62097065,21.78272861,0,0,0
star_plus_co_independent,3,2,0,0.1150614033,0.6829340476,0.1530803821,4,1.40963941,80.76638884,0.5186745465,80.84776979,0.08138095039,3.930903699,0,0,0
star_plus_co_independent,3,2,1,0.1226291187,0.6431268388,0.004183901746,4,1.40963941,80.76638884,0.5186745465,80.84776979,0.08138095039,3.930903699,0,0,0
star_co_plus_hi_ctl49,3,1,0,0.09776125772,0.9896894295,0.5693520765,4,0.4381997274,25.10699497,0.2134419529,47.72796561,22.62097065,21.78272861,0,0,0
star_co_plus_hi_ctl49,3,1,1,0.08375881433,0.8927688195,0.01672534005,4,0.4381997274,25.10699497,0.2134419529,47.72796561,22.62097065,21.78272861,0,0,0
star_co_plus_hi_ctl49,3,2,0,0.09886940726,0.6829340476,0.1530803821,4,1.40963941,80.76638884,0.5186745465,80.84776979,0.08138095039,3.930903699,0,0,0
star_co_plus_hi_ctl49,3,2,1,0.1130841575,0.6431268388,0.004183901746,4,1.40963941,80.76638884,0.5186745465,80.84776979,0.08138095039,3.930903699,0,0,0
star_only,4,1,0,0.05838130945,0.9982204892,0.2775488815,3,0.1571173763,9.002162549,0.2059579937,34.07235229,25.07018974,5.677896198,0,0,0
star_only,4,1,1,0.1291985703,0.9999912087,0.01145424939,3,0.1571173763,9.002162549,0.2059579937,34.07235229,25.07018974,5.677896198,0,0,0
star_only,4,2,0,0.1112653726,0.8990332029,0.1741025612,4,1.465566193,83.97075748,0.5480107705,83.58381276,0.3869447223,0.7265350506,0,0,0
star_only,4,2,1,0.1487306007,0.9051985901,0.006840895256,4,1.465566193,83.97075748,0.5480107705,83.58381276,0.3869447223,0.7265350506,0,0,0
co_independent_only,4,1,0,-0.007290192854,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.001707455891,0
co_independent_only,4,1,1,-0.0710381038,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.001707455891,0
co_independent_only,4,2,0,0.1065531788,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.001707455891,0
co_independent_only,4,2,1,0.1392366196,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.001707455891,0
star_plus_co_independent,4,1,0,0.05701403446,0.9982204892,0.2775488815,3,0.1571173763,9.002162549,0.2059579937,34.07235229,25.07018974,5.677896198,0,0.001707455891,0
star_plus_co_independent,4,1,1,0.1248241427,0.9999912087,0.01145424939,3,0.1571173763,9.002162549,0.2059579937,34.07235229,25.07018974,5.677896198,0,0.001707455891,0
star_plus_co_independent,4,2,0,0.1153170558,0.8990332029,0.1741025612,4,1.465566193,83.97075748,0.5480107705,83.58381276,0.3869447223,0.7265350506,0,0.001707455891,0
star_plus_co_independent,4,2,1,0.1460881634,0.9051985901,0.006840895256,4,1.465566193,83.97075748,0.5480107705,83.58381276,0.3869447223,0.7265350506,0,0.001707455891,0
star_co_plus_hi_ctl49,4,1,0,0.03470751981,0.9982204892,0.2775488815,3,0.1571173763,9.002162549,0.2059579937,34.07235229,25.07018974,5.677896198,0,0.001707455891,0
star_co_plus_hi_ctl49,4,1,1,0.1200670944,0.9999912087,0.01145424939,3,0.1571173763,9.002162549,0.2059579937,34.07235229,25.07018974,5.677896198,0,0.001707455891,0
star_co_plus_hi_ctl49,4,2,0,0.1305981796,0.8990332029,0.1741025612,4,1.465566193,83.97075748,0.5480107705,83.58381276,0.3869447223,0.7265350506,0,0.001707455891,0
star_co_plus_hi_ctl49,4,2,1,0.1581443562,0.9051985901,0.006840895256,4,1.465566193,83.97075748,0.5480107705,83.58381276,0.3869447223,0.7265350506,0,0.001707455891,0
star_only,5,1,0,0.1206809215,0.9743177352,0.6885096205,3,0.7097397875,40.66509438,0.1709788431,61.70288498,21.0377906,37.34082803,0,0,0
star_only,5,1,1,0.1153214516,0.9716669389,0.01660507061,3,0.7097397875,40.66509438,0.1709788431,61.70288498,21.0377906,37.34082803,0,0,0
star_only,5,2,0,0.1221540383,0.5055362941,0.1113929408,4,1.466472199,84.0226678,0.5935656189,83.66026383,0.3624039724,0.6746247363,0,0,0
star_only,5,2,1,0.05838768877,0.9330864337,0.00682456731,4,1.466472199,84.0226678,0.5935656189,83.66026383,0.3624039724,0.6746247363,0,0,0
co_independent_only,5,1,0,-0.007039974717,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,5,1,1,-0.06378670098,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,5,2,0,0.09709687147,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
co_independent_only,5,2,1,0.1332734339,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
star_plus_co_independent,5,1,0,0.106721753,0.9743177352,0.6885096205,3,0.7097397875,40.66509438,0.1709788431,61.70288498,21.0377906,37.34082803,0,0,0
star_plus_co_independent,5,1,1,0.1099648723,0.9716669389,0.01660507061,3,0.7097397875,40.66509438,0.1709788431,61.70288498,21.0377906,37.34082803,0,0,0
star_plus_co_independent,5,2,0,0.1159994548,0.5055362941,0.1113929408,4,1.466472199,84.0226678,0.5935656189,83.66026383,0.3624039724,0.6746247363,0,0,0
star_plus_co_independent,5,2,1,0.05650493484,0.9330864337,0.00682456731,4,1.466472199,84.0226678,0.5935656189,83.66026383,0.3624039724,0.6746247363,0,0,0
star_co_plus_hi_ctl49,5,1,0,0.1078901572,0.9743177352,0.6885096205,3,0.7097397875,40.66509438,0.1709788431,61.70288498,21.0377906,37.34082803,0,0,0
star_co_plus_hi_ctl49,5,1,1,0.1026141446,0.9716669389,0.01660507061,3,0.7097397875,40.66509438,0.1709788431,61.70288498,21.0377906,37.34082803,0,0,0
star_co_plus_hi_ctl49,5,2,0,0.1168298746,0.5055362941,0.1113929408,4,1.466472199,84.0226678,0.5935656189,83.66026383,0.3624039724,0.6746247363,0,0,0
star_co_plus_hi_ctl49,5,2,1,0.05897730121,0.9330864337,0.00682456731,4,1.466472199,84.0226678,0.5935656189,83.66026383,0.3624039724,0.6746247363,0,0,0
star_only,6,1,0,0.02205964949,0.999999801,0.2447327207,3,0.1036561739,5.939061286,0.2443609484,30.75197193,24.81291064,2.614794935,0.01081388731,0,0
star_only,6,1,1,0.03808682559,0.9932956804,0.01109529419,3,0.1036561739,5.939061286,0.2443609484,30.75197193,24.81291064,2.614794935,0.01081388731,0,0
star_only,6,2,0,0.1129297795,0.9516946582,0.1889642198,4,1.466400789,84.0185763,0.512360717,83.26773736,0.7508389429,0.678716231,0.01081388731,0,0
star_only,6,2,1,0.1448190879,0.9796234468,0.01274007397,4,1.466400789,84.0185763,0.512360717,83.26773736,0.7508389429,0.678716231,0.01081388731,0,0
co_independent_only,6,1,0,-0.004254596262,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.007398975526,0
co_independent_only,6,1,1,-0.06292011651,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.007398975526,0
co_independent_only,6,2,0,0.09662685743,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.007398975526,0
co_independent_only,6,2,1,0.1382529576,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.007398975526,0
star_plus_co_independent,6,1,0,0.02117373996,0.999999801,0.2447327207,3,0.1036561739,5.939061286,0.2443609484,30.75197193,24.81291064,2.614794935,0.01081388731,0.007398975526,0
star_plus_co_independent,6,1,1,0.03379254973,0.9932956804,0.01109529419,3,0.1036561739,5.939061286,0.2443609484,30.75197193,24.81291064,2.614794935,0.01081388731,0.007398975526,0
star_plus_co_independent,6,2,0,0.1066060961,0.9516946582,0.1889642198,4,1.466400789,84.0185763,0.512360717,83.26773736,0.7508389429,0.678716231,0.01081388731,0.007398975526,0
star_plus_co_independent,6,2,1,0.1419379912,0.9796234468,0.01274007397,4,1.466400789,84.0185763,0.512360717,83.26773736,0.7508389429,0.678716231,0.01081388731,0.007398975526,0
star_co_plus_hi_ctl49,6,1,0,0.008532228571,0.999999801,0.2447327207,3,0.1036561739,5.939061286,0.2443609484,30.75197193,24.81291064,2.614794935,0.01081388731,0.007398975526,0
star_co_plus_hi_ctl49,6,1,1,0.02920456739,0.9932956804,0.01109529419,3,0.1036561739,5.939061286,0.2443609484,30.75197193,24.81291064,2.614794935,0.01081388731,0.007398975526,0
star_co_plus_hi_ctl49,6,2,0,0.1116200294,0.9516946582,0.1889642198,4,1.466400789,84.0185763,0.512360717,83.26773736,0.7508389429,0.678716231,0.01081388731,0.007398975526,0
star_co_plus_hi_ctl49,6,2,1,0.1397835445,0.9796234468,0.01274007397,4,1.466400789,84.0185763,0.512360717,83.26773736,0.7508389429,0.678716231,0.01081388731,0.007398975526,0
star_only,7,1,0,0.03767499455,0.9999674616,0.3618108413,3,0.1157285885,6.630759691,0.2816837399,27.96341159,21.3326519,3.306493339,0.02048947069,0,0
star_only,7,1,1,0.1115317257,0.9964144325,0.01233305883,3,0.1157285885,6.630759691,0.2816837399,27.96341159,21.3326519,3.306493339,0.02048947069,0,0
star_only,7,2,0,0.09784984486,0.9027454729,0.2386216617,4,1.452408161,83.21685774,0.5942366511,82.78729783,0.4295599161,1.480434791,0.02048947069,0,0
star_only,7,2,1,0.1451759696,0.9960497621,0.007867229275,4,1.452408161,83.21685774,0.5942366511,82.78729783,0.4295599161,1.480434791,0.02048947069,0,0
co_independent_only,7,1,0,-0.002195760621,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.001707455891,0
co_independent_only,7,1,1,-0.06420663541,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0.001707455891,0
co_independent_only,7,2,0,0.08612498239,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.001707455891,0
co_independent_only,7,2,1,0.1340647933,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0.001707455891,0
star_plus_co_independent,7,1,0,0.03778680093,0.9999674616,0.3618108413,3,0.1157285885,6.630759691,0.2816837399,27.96341159,21.3326519,3.306493339,0.02048947069,0.001707455891,0
star_plus_co_independent,7,1,1,0.105912022,0.9964144325,0.01233305883,3,0.1157285885,6.630759691,0.2816837399,27.96341159,21.3326519,3.306493339,0.02048947069,0.001707455891,0
star_plus_co_independent,7,2,0,0.08108283696,0.9027454729,0.2386216617,4,1.452408161,83.21685774,0.5942366511,82.78729783,0.4295599161,1.480434791,0.02048947069,0.001707455891,0
star_plus_co_independent,7,2,1,0.1380036834,0.9960497621,0.007867229275,4,1.452408161,83.21685774,0.5942366511,82.78729783,0.4295599161,1.480434791,0.02048947069,0.001707455891,0
star_co_plus_hi_ctl49,7,1,0,0.04655937705,0.9999674616,0.3618108413,3,0.1157285885,6.630759691,0.2816837399,27.96341159,21.3326519,3.306493339,0.02048947069,0.001707455891,0
star_co_plus_hi_ctl49,7,1,1,0.1016674537,0.9964144325,0.01233305883,3,0.1157285885,6.630759691,0.2816837399,27.96341159,21.3326519,3.306493339,0.02048947069,0.001707455891,0
star_co_plus_hi_ctl49,7,2,0,0.07309753516,0.9027454729,0.2386216617,4,1.452408161,83.21685774,0.5942366511,82.78729783,0.4295599161,1.480434791,0.02048947069,0.001707455891,0
star_co_plus_hi_ctl49,7,2,1,0.132679315,0.9960497621,0.007867229275,4,1.452408161,83.21685774,0.5942366511,82.78729783,0.4295599161,1.480434791,0.02048947069,0.001707455891,0
star_only,8,1,0,0.08343202286,0.9906049065,0.484962252,4,0.3814042372,21.85285308,0.2293697205,44.7555093,22.90265622,18.52858673,0,0,0
star_only,8,1,1,0.1336093095,0.9503111066,0.01639880318,4,0.3814042372,21.85285308,0.2293697205,44.7555093,22.90265622,18.52858673,0,0,0
star_only,8,2,0,0.1119783715,0.7589527605,0.1797649934,4,1.453312281,83.26866,0.5447635009,82.86203707,0.406622933,1.428632533,0,0,0
star_only,8,2,1,0.1569523421,0.982116639,0.007227299172,4,1.453312281,83.26866,0.5447635009,82.86203707,0.406622933,1.428632533,0,0,0
co_independent_only,8,1,0,-0.02121863996,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,8,1,1,-0.07112095873,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,8,2,0,0.1184418184,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
co_independent_only,8,2,1,0.144544547,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
star_plus_co_independent,8,1,0,0.08318472907,0.9906049065,0.484962252,4,0.3814042372,21.85285308,0.2293697205,44.7555093,22.90265622,18.52858673,0,0,0
star_plus_co_independent,8,1,1,0.1376771741,0.9503111066,0.01639880318,4,0.3814042372,21.85285308,0.2293697205,44.7555093,22.90265622,18.52858673,0,0,0
star_plus_co_independent,8,2,0,0.1257072489,0.7589527605,0.1797649934,4,1.453312281,83.26866,0.5447635009,82.86203707,0.406622933,1.428632533,0,0,0
star_plus_co_independent,8,2,1,0.1636425873,0.982116639,0.007227299172,4,1.453312281,83.26866,0.5447635009,82.86203707,0.406622933,1.428632533,0,0,0
star_co_plus_hi_ctl49,8,1,0,0.090070172,0.9906049065,0.484962252,4,0.3814042372,21.85285308,0.2293697205,44.7555093,22.90265622,18.52858673,0,0,0
star_co_plus_hi_ctl49,8,1,1,0.1381462632,0.9503111066,0.01639880318,4,0.3814042372,21.85285308,0.2293697205,44.7555093,22.90265622,18.52858673,0,0,0
star_co_plus_hi_ctl49,8,2,0,0.1120768393,0.7589527605,0.1797649934,4,1.453312281,83.26866,0.5447635009,82.86203707,0.406622933,1.428632533,0,0,0
star_co_plus_hi_ctl49,8,2,1,0.1498472258,0.982116639,0.007227299172,4,1.453312281,83.26866,0.5447635009,82.86203707,0.406622933,1.428632533,0,0,0
star_only,9,1,0,0.03304151399,0.9985581988,0.2230470688,3,0.08571393112,4.911046498,0.2220191235,33.37356632,28.46251983,1.586780147,0.004553215709,0,0
star_only,9,1,1,0.0856253365,0.9682251446,0.01078034089,3,0.08571393112,4.911046498,0.2220191235,33.37356632,28.46251983,1.586780147,0.004553215709,0,0
star_only,9,2,0,0.09952843344,0.8931030062,0.1172710635,3,1.481229385,84.86819225,0.5554583142,84.28762816,0.5805640901,0.1708997162,0.004553215709,0,0
star_only,9,2,1,0.09513430532,0.8384338167,0.006048982521,3,1.481229385,84.86819225,0.5554583142,84.28762816,0.5805640901,0.1708997162,0.004553215709,0,0
co_independent_only,9,1,0,-0.0191284084,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,9,1,1,-0.07937717753,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871,0,0,0,0
co_independent_only,9,2,0,0.1115735981,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
co_independent_only,9,2,1,0.1440676702,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809,0,0,0,0
star_plus_co_independent,9,1,0,0.02313077679,0.9985581988,0.2230470688,3,0.08571393112,4.911046498,0.2220191235,33.37356632,28.46251983,1.586780147,0.004553215709,0,0
star_plus_co_independent,9,1,1,0.076369173,0.9682251446,0.01078034089,3,0.08571393112,4.911046498,0.2220191235,33.37356632,28.46251983,1.586780147,0.004553215709,0,0
star_plus_co_independent,9,2,0,0.1089608778,0.8931030062,0.1172710635,3,1.481229385,84.86819225,0.5554583142,84.28762816,0.5805640901,0.1708997162,0.004553215709,0,0
star_plus_co_independent,9,2,1,0.1009978013,0.8384338167,0.006048982521,3,1.481229385,84.86819225,0.5554583142,84.28762816,0.5805640901,0.1708997162,0.004553215709,0,0
star_co_plus_hi_ctl49,9,1,0,0.02760297972,0.9985581988,0.2230470688,3,0.08571393112,4.911046498,0.2220191235,33.37356632,28.46251983,1.586780147,0.004553215709,0,0
star_co_plus_hi_ctl49,9,1,1,0.08189055716,0.9682251446,0.01078034089,3,0.08571393112,4.911046498,0.2220191235,33.37356632,28.46251983,1.586780147,0.004553215709,0,0
star_co_plus_hi_ctl49,9,2,0,0.1114620386,0.8931030062,0.1172710635,3,1.481229385,84.86819225,0.5554583142,84.28762816,0.5805640901,0.1708997162,0.004553215709,0,0
star_co_plus_hi_ctl49,9,2,1,0.1042148347,0.8384338167,0.006048982521,3,1.481229385,84.86819225,0.5554583142,84.28762816,0.5805640901,0.1708997162,0.004553215709,0,0
star_only,10,1,0,-0.1235942231,0.9999995389,0.3169966804,4,-0.1873644445,-10.7351919,0.3481191523,7.799275787,18.53446769,14.05945825,0,0,0
