s4g_name,s4g_disk_scale_arcsec,s4g_disk_component_source,s4g_bar_radius_arcsec,s4g_model_components,s4g_model_quality_values
ESO237-052,14.369999885559082,D:expdisk_hr3,15.0,B;D;BAR,5
ESO238-018,10.0600004196167,D:expdisk_hr3,11.25,D;BAR,5
ESO240-004,14.0600004196167,Z:edgedisk_hr2,,Z,4
ESO240-011,28.559999465942383,Z:edgedisk_hr2,,B;Z,4
ESO245-005,83.23999786376953,D:expdisk_hr3,,D,3
ESO245-007,74.31999969482422,D:expdisk_hr3,,D,3
ESO248-002,29.780000686645508,D:expdisk_hr3,21.0,D;BAR,5
ESO249-008,3.740000009536743,D:expdisk_hr3,,D,5
ESO249-026,14.569999694824219,D:expdisk_hr3,,D,5
ESO249-027,16.59000015258789,D:expdisk_hr3,,D,5
ESO249-035,11.25,Z:edgedisk_hr2,,Z,4
ESO285-048,20.5,D:expdisk_hr3,13.5,D;BAR,5
ESO286-044,,missing,,B,5
ESO287-009,13.140000343322754,Z:edgedisk_hr2,,B;Z,4
ESO287-037,18.690000534057617,D:expdisk_hr3,27.84000015258789,D;BAR,5
ESO287-043,11.180000305175781,Z:edgedisk_hr2,,Z,4
ESO288-013,14.720000267028809,D:expdisk_hr3,,D,5
ESO289-010,21.290000915527344,Z:edgedisk_hr2,,Z,4
ESO289-026,18.3799991607666,D:expdisk_hr3,,D,3
ESO289-048,15.579999923706055,D:expdisk_hr3,11.59000015258789,D;BAR,5
ESO291-024,16.3799991607666,D:expdisk_hr3,11.25,D;BAR,5
ESO292-014,24.979999542236328,Z:edgedisk_hr2,,Z,4
ESO293-034,16.549999237060547,Z:edgedisk_hr2,,Z;N,4
ESO293-045,13.579999923706055,D:expdisk_hr3,39.2400016784668,D;BAR,5
ESO298-015,20.110000610351562,D:expdisk_hr3,22.719999313354492,D;BAR,5
ESO298-023,9.300000190734863,D:expdisk_hr3,,D,5
ESO300-014,50.75,D:expdisk_hr3,,D,5
ESO302-009,24.1200008392334,D:expdisk_hr3,14.819999694824219,D;BAR;N,5
ESO302-014,22.1200008392334,D:expdisk_hr3,,D,3
ESO302-021,8.34000015258789,D:expdisk_hr3,,D,5
ESO305-009,42.56999969482422,D:expdisk_hr3,31.81999969482422,D;BAR,5
ESO305-017,19.860000610351562,D:expdisk_hr3,,D,5
ESO340-008,6.860000133514404,Z:edgedisk_hr2,,Z,4
ESO340-009,16.790000915527344,Z:edgedisk_hr2,,Z,4
ESO340-017,16.700000762939453,D:expdisk_hr3,23.149999618530273,D;BAR,5
ESO340-042,28.43000030517578,D:expdisk_hr3,19.309999465942383,D;BAR;N,5
ESO341-032,14.09000015258789,D:expdisk_hr3,15.8100004196167,D;BAR,5
ESO342-013,15.9399995803833,D:expdisk_hr3,28.469999313354492,D;BAR,5
ESO342-050,21.15999984741211,D:expdisk_hr3,,B;D,5
ESO345-046,23.09000015258789,D:expdisk_hr3,30.600000381469727,D;BAR,5
ESO346-001,,missing,,Z1;Z2,4
ESO346-014,15.789999961853027,Z:edgedisk_hr2,,B;Z,4
ESO347-008,22.5,D:expdisk_hr3,,D,4
ESO347-017,17.639999389648438,D:expdisk_hr3,,D,5
ESO347-029,44.72999954223633,D:expdisk_hr3,18.579999923706055,D;BAR;N,5
ESO355-026,15.180000305175781,D:expdisk_hr3,,D;N,5
ESO356-018,14.390000343322754,D:expdisk_hr3,,D,5
ESO357-007,22.700000762939453,Z:edgedisk_hr2,,B;Z,4
ESO357-012,39.150001525878906,D:expdisk_hr3,40.95000076293945,D;BAR,5
ESO357-025,12.079999923706055,D:expdisk_hr3,,D,5
ESO358-005,17.450000762939453,D:expdisk_hr3,,D,5
ESO358-015,11.739999771118164,D:expdisk_hr3,,D,5
ESO358-020,15.380000114440918,D:expdisk_hr3,,D,5
ESO358-025,17.5,D:expdisk_hr3,,B;D,5
ESO358-051,9.930000305175781,D:expdisk_hr3,11.25,D;BAR,5
ESO358-054,20.68000030517578,D:expdisk_hr3,,D,5
ESO358-060,18.829999923706055,D:expdisk_hr3,,D,4
ESO358-063,38.38999938964844,D:expdisk_hr3,,D;N,5
ESO359-003,28.75,D:expdisk_hr3,,D,5
ESO359-022,7.559999942779541,D:expdisk_hr3,,D,5
ESO359-029,17.790000915527344,D:expdisk_hr3,,D,5
ESO359-031,11.359999656677246,D:expdisk_hr3,,D,5
ESO361-009,32.65999984741211,D:expdisk_hr3,,D,5
ESO361-015,20.84000015258789,D:expdisk_hr3,,D,5
ESO361-019,11.869999885559082,D:expdisk_hr3,20.68000030517578,D;BAR,5
ESO362-009,45.470001220703125,D:expdisk_hr3,,D,5
ESO362-011,31.899999618530273,Z:edgedisk_hr2,,Z;N,4
ESO362-019,26.780000686645508,D:expdisk_hr3,17.25,D;BAR,5
ESO399-025,33.56999969482422,D:expdisk_hr3,,B;D,4
ESO400-025,20.709999084472656,D:expdisk_hr3,18.68000030517578,D;BAR,5
ESO402-025,10.460000038146973,D:expdisk_hr3,10.5,D;BAR,5
ESO402-026,31.700000762939453,D:expdisk_hr3,25.709999084472656,B;D;BAR,5
ESO402-030,7.039999961853027,D:expdisk_hr3,,D,5
ESO403-024,2.6700000762939453,D:expdisk_hr3,,D,5
ESO403-031,13.170000076293945,D:expdisk_hr3,7.5,D;BAR,5
ESO404-003,13.680000305175781,D:expdisk_hr3,11.25,D;BAR,5
ESO404-012,13.029999732971191,D:expdisk_hr3,26.989999771118164,D;BAR;N,5
ESO404-017,6.5,D:expdisk_hr3,,D,5
ESO404-018,21.75,Z:edgedisk_hr2,,Z,4
ESO404-027,17.989999771118164,D:expdisk_hr3,18.899999618530273,D;BAR;N,5
ESO406-042,22.09000015258789,D:expdisk_hr3,,D;N,5
ESO407-007,13.539999961853027,Z:edgedisk_hr2,,Z;N,4
ESO407-009,23.84000015258789,D:expdisk_hr3,,D;N,5
ESO407-014,8.079999923706055,D:expdisk_hr3,,D;N,5
ESO407-018,27.34000015258789,D:expdisk_hr3,,D,5
ESO408-012,14.270000457763672,D:expdisk_hr3,21.34000015258789,D;BAR;N,5
ESO409-015,12.210000038146973,D:expdisk_hr3,,D,5
ESO410-012,19.8700008392334,D:expdisk_hr3,,D;N,5
ESO410-018,19.3700008392334,D:expdisk_hr3,,D,5
ESO411-013,14.130000114440918,Z:edgedisk_hr2,,Z,4
ESO411-026,12.800000190734863,D:expdisk_hr3,,D,5
ESO418-008,11.130000114440918,D:expdisk_hr3,,D,5
ESO418-009,14.770000457763672,D:expdisk_hr3,15.0,D;BAR,5
ESO419-013,11.680000305175781,D:expdisk_hr3,28.209999084472656,D;BAR,5
ESO420-006,26.489999771118164,D:expdisk_hr3,,D,5
ESO420-009,13.670000076293945,D:expdisk_hr3,6.0,D;BAR,5
ESO421-019,28.719999313354492,D:expdisk_hr3,,D,5
ESO422-005,12.5,D:expdisk_hr3,,D,5
ESO422-033,15.300000190734863,D:expdisk_hr3,,D,5
ESO422-041,24.690000534057617,D:expdisk_hr3,15.380000114440918,D;BAR,5
ESO423-002,22.579999923706055,D:expdisk_hr3,21.989999771118164,D;BAR,5
ESO438-017,22.450000762939453,D:expdisk_hr3,18.75,D;BAR,5
ESO440-004,33.93000030517578,D:expdisk_hr3,20.479999542236328,D;BAR,5
ESO440-011,27.700000762939453,D:expdisk_hr3,15.0,D;BAR,5
ESO440-027,30.540000915527344,Z:edgedisk_hr2,,Z;N,4
ESO440-037,,missing,,B,5
ESO440-044,19.34000015258789,D:expdisk_hr3,18.68000030517578,D;BAR,5
ESO440-046,22.760000228881836,D:expdisk_hr3,,D,5
ESO440-049,18.559999465942383,D:expdisk_hr3,,B;D,5
ESO441-011,9.149999618530273,Z:edgedisk_hr2,,Z,4
ESO441-014,12.779999732971191,D:expdisk_hr3,,D,5
ESO441-017,9.539999961853027,D:expdisk_hr3,13.039999961853027,D;BAR,5
ESO442-013,23.84000015258789,D:expdisk_hr3,22.40999984741211,D;BAR,5
ESO443-021,14.1899995803833,Z:edgedisk_hr2,,Z;N,4
ESO443-042,22.739999771118164,Z:edgedisk_hr2,,Z;N,4
ESO443-069,20.899999618530273,D:expdisk_hr3,17.309999465942383,D;BAR,5
ESO443-079,14.4399995803833,D:expdisk_hr3,,D,5
ESO443-080,16.350000381469727,D:expdisk_hr3,15.630000114440918,D;BAR,3
ESO443-085,17.030000686645508,D:expdisk_hr3,22.5,D;BAR,5
ESO444-033,16.399999618530273,D:expdisk_hr3,35.689998626708984,B;D;BAR,5
ESO444-037,16.25,D:expdisk_hr3,,D;N,4
ESO444-078,22.8700008392334,D:expdisk_hr3,,D,5
ESO445-089,22.139999389648438,D:expdisk_hr3,16.84000015258789,D;BAR;N,5
ESO462-031,9.819999694824219,D:expdisk_hr3,10.5,D;BAR,5
ESO466-014,8.40999984741211,Z:edgedisk_hr2,,Z,4
ESO466-036,,missing,,B,5
ESO467-051,29.6299991607666,Z:edgedisk_hr2,,Z,4
ESO469-008,21.969999313354492,D:expdisk_hr3,,D,5
ESO469-015,8.770000457763672,Z:edgedisk_hr2,,Z,4
ESO471-006,35.970001220703125,D:expdisk_hr3,,D,5
ESO476-010,16.360000610351562,D:expdisk_hr3,,D,5
ESO477-016,6.679999828338623,Z:edgedisk_hr2,,Z;N,4
ESO479-004,19.790000915527344,D:expdisk_hr3,12.0,D;BAR,5
ESO479-025,10.720000267028809,D:expdisk_hr3,,D,5
ESO480-025,19.3799991607666,D:expdisk_hr3,,D,5
ESO481-014,37.31999969482422,D:expdisk_hr3,49.63999938964844,D;BAR,5
ESO481-018,23.079999923706055,D:expdisk_hr3,26.649999618530273,D;BAR;N,5
ESO481-030,13.25,Z:edgedisk_hr2,,Z;N,4
ESO482-005,23.610000610351562,D:expdisk_hr3,21.360000610351562,D;BAR,5
ESO482-011,11.699999809265137,D:expdisk_hr3,,D,5
ESO482-013,7.110000133514404,D:expdisk_hr3,,D,5
ESO482-035,19.059999465942383,D:expdisk_hr3,18.0,D;BAR,5
ESO482-046,23.670000076293945,Z:edgedisk_hr2,,Z,4
ESO483-008,9.239999771118164,D:expdisk_hr3,12.75,D;BAR,5
ESO483-013,,missing,,B,5
ESO485-021,33.63999938964844,D:expdisk_hr3,36.650001525878906,N;D;BAR,5
ESO486-003,24.559999465942383,D:expdisk_hr3,,D,5
ESO486-021,8.270000457763672,D:expdisk_hr3,,D,5
ESO501-079,22.260000228881836,D:expdisk_hr3,,D,5
ESO501-080,15.100000381469727,Z:edgedisk_hr2,,B;Z,4
ESO502-016,18.209999084472656,D:expdisk_hr3,12.0,D;BAR,5
ESO502-020,1.9800000190734863,D:expdisk_hr3,,D,5
ESO502-023,12.779999732971191,D:expdisk_hr3,,D,5
ESO503-022,15.09000015258789,D:expdisk_hr3,,D,5
ESO504-010,11.899999618530273,D:expdisk_hr3,9.75,D;BAR;N,5
ESO504-024,12.039999961853027,D:expdisk_hr3,,D,5
ESO504-028,15.850000381469727,D:expdisk_hr3,,D;N,5
ESO505-002,18.469999313354492,D:expdisk_hr3,,D,5
ESO505-003,9.520000457763672,Z:edgedisk_hr2,,Z,4
ESO505-008,9.779999732971191,D:expdisk_hr3,,D,5
ESO505-009,17.510000228881836,D:expdisk_hr3,,D,5
ESO505-013,41.56999969482422,D:expdisk_hr3,38.220001220703125,D;BAR;N,5
ESO505-023,16.84000015258789,Z:edgedisk_hr2,5.340000152587891,Z;BAR,4
ESO506-018,7.960000038146973,Z:edgedisk_hr2,,Z,5
ESO506-029,27.510000228881836,D:expdisk_hr3,12.65999984741211,D;BAR,5
ESO506-033,3.2699999809265137,Z:edgedisk_hr2,,Z;N,5
ESO507-065,14.260000228881836,D:expdisk_hr3,,D,5
ESO508-007,17.579999923706055,D:expdisk_hr3,12.239999771118164,D;BAR,5
ESO508-011,26.360000610351562,D:expdisk_hr3,,D,5
ESO508-015,19.25,D:expdisk_hr3,,D,5
ESO508-019,16.31999969482422,D:expdisk_hr3,13.5,D;BAR,5
ESO508-024,23.190000534057617,D:expdisk_hr3,7.760000228881836,D;BAR,5
ESO508-030,30.81999969482422,D:expdisk_hr3,,D,5
ESO508-034,13.449999809265137,D:expdisk_hr3,,D,5
ESO508-051,16.56999969482422,D:expdisk_hr3,,D,5
ESO509-026,8.460000038146973,D:expdisk_hr3,14.760000228881836,B;D;BAR,4
ESO509-074,15.630000114440918,Z:edgedisk_hr2,,B;Z,5
ESO510-026,19.190000534057617,D:expdisk_hr3,,D,4
ESO510-058,10.800000190734863,D:expdisk_hr3,5.159999847412109,D;BAR,5
ESO510-059,27.760000228881836,D:expdisk_hr3,19.969999313354492,D;BAR,5
ESO532-014,11.9399995803833,D:expdisk_hr3,,D,5
ESO532-022,17.989999771118164,D:expdisk_hr3,12.75,D;BAR,5
ESO532-032,16.389999389648438,Z:edgedisk_hr2,,Z,4
ESO533-004,14.670000076293945,Z:edgedisk_hr2,,Z,4
ESO533-028,7.71999979019165,D:expdisk_hr3,,D,5
ESO536-003,6.679999828338623,Z:edgedisk_hr2,,Z;N,5
ESO540-016,18.34000015258789,Z:edgedisk_hr2,,Z,4
ESO541-004,26.209999084472656,D:expdisk_hr3,,B;D,5
ESO541-005,19.56999969482422,D:expdisk_hr3,22.15999984741211,D;BAR,5
ESO544-027,8.329999923706055,Z:edgedisk_hr2,,Z,4
ESO544-030,23.030000686645508,D:expdisk_hr3,,D,5
ESO545-002,20.440000534057617,D:expdisk_hr3,,D,5
ESO545-003,6.980000019073486,Z:edgedisk_hr2,,B;Z,4
ESO545-005,9.350000381469727,D:expdisk_hr3,,D,3
ESO545-016,19.56999969482422,D:expdisk_hr3,,D,5
ESO546-034,16.049999237060547,D:expdisk_hr3,,D,5
ESO547-005,14.020000457763672,D:expdisk_hr3,,D,5
ESO547-012,9.050000190734863,Z:edgedisk_hr2,,Z,4
ESO547-020,17.450000762939453,D:expdisk_hr3,,D,5
ESO548-005,16.6200008392334,D:expdisk_hr3,,D,5
ESO548-009,10.039999961853027,Z:edgedisk_hr2,,Z,4
ESO548-016,10.640000343322754,D:expdisk_hr3,15.9399995803833,D;BAR,5
ESO548-021,13.479999542236328,Z:edgedisk_hr2,,B;Z,4
ESO548-023,12.949999809265137,D:expdisk_hr3,,B;D,5
ESO548-025,17.84000015258789,D:expdisk_hr3,45.279998779296875,BAR;D,5
ESO548-032,21.84000015258789,D:expdisk_hr3,9.75,D;BAR,5
ESO548-063,8.25,Z:edgedisk_hr2,,Z,4
ESO548-082,11.920000076293945,D:expdisk_hr3,,D,5
ESO549-002,11.130000114440918,D:expdisk_hr3,,D,5
ESO549-018,26.799999237060547,D:expdisk_hr3,,B;D,5
ESO549-035,11.020000457763672,D:expdisk_hr3,,D,5
ESO550-005,21.149999618530273,D:expdisk_hr3,,D,5
ESO550-024,43.5,D:expdisk_hr3,,D,5
ESO551-016,17.43000030517578,Z:edgedisk_hr2,,Z,4
ESO551-031,14.619999885559082,D:expdisk_hr3,15.75,D;BAR,5
ESO553-017,8.420000076293945,Z:edgedisk_hr2,,B;Z,4
ESO567-048,20.559999465942383,D:expdisk_hr3,,D,5
ESO569-014,30.959999084472656,Z:edgedisk_hr2,,Z,4
ESO570-019,10.109999656677246,D:expdisk_hr3,12.369999885559082,D;BAR;N,5
ESO572-012,11.279999732971191,D:expdisk_hr3,,D,4
ESO572-018,13.229999542236328,D:expdisk_hr3,9.329999923706055,D;BAR,5
ESO572-022,13.210000038146973,D:expdisk_hr3,20.729999542236328,D;BAR,5
ESO572-024,13.579999923706055,D:expdisk_hr3,,D,3
ESO572-030,29.709999084472656,D:expdisk_hr3,,D;N,5
ESO572-034,10.920000076293945,D:expdisk_hr3,,D,5
ESO572-049,16.260000228881836,D:expdisk_hr3,22.979999542236328,D;BAR,5
ESO575-061,14.539999961853027,Z:edgedisk_hr2,,Z,4
ESO576-001,8.779999732971191,D:expdisk_hr3,6.75,D;BAR;N,5
ESO576-003,19.059999465942383,D:expdisk_hr3,,B;D,5
ESO576-005,12.510000228881836,Z:edgedisk_hr2,,Z,4
ESO576-008,6.670000076293945,D:expdisk_hr3,,D,5
ESO576-011,23.43000030517578,Z:edgedisk_hr2,,Z;N,4
ESO576-017,15.479999542236328,D:expdisk_hr3,14.399999618530273,D;BAR;N,5
ESO576-026,20.06999969482422,Z:edgedisk_hr2,,Z,4
ESO576-032,22.399999618530273,D:expdisk_hr3,15.640000343322754,D;BAR;N,5
ESO576-040,27.81999969482422,Z:edgedisk_hr2,,Z,4
ESO576-050,27.040000915527344,D:expdisk_hr3,13.0600004196167,D;BAR,5
ESO576-059,32.2599983215332,D:expdisk_hr3,,D,5
ESO577-038,9.8100004196167,Z:edgedisk_hr2,,Z,4
ESO580-022,19.809999465942383,D:expdisk_hr3,23.06999969482422,D;BAR,5
ESO580-029,14.149999618530273,Z:edgedisk_hr2,,Z;N,5
ESO580-030,13.430000305175781,D:expdisk_hr3,,D;N,5
ESO580-034,6.909999847412109,Z:edgedisk_hr2,,Z,4
ESO580-041,15.829999923706055,D:expdisk_hr3,,D;N,4
ESO581-025,19.579999923706055,Z:edgedisk_hr2,,B;Z,4
ESO582-004,11.739999771118164,D:expdisk_hr3,,B;D,5
ESO601-007,15.84000015258789,D:expdisk_hr3,,D;N,4
ESO601-025,21.959999084472656,D:expdisk_hr3,,D,5
ESO601-031,14.430000305175781,D:expdisk_hr3,,D,5
ESO602-003,16.5,D:expdisk_hr3,,D,5
ESO602-015,22.75,D:expdisk_hr3,16.25,D;BAR;N,3
ESO602-030,9.949999809265137,D:expdisk_hr3,6.75,D;BAR,5
ESO603-031,10.569999694824219,D:expdisk_hr3,,D,5
ESO605-015,8.350000381469727,Z:edgedisk_hr2,,Z,4
IC0101,9.390000343322754,D:expdisk_hr3,,D;N,5
IC0163,16.530000686645508,D:expdisk_hr3,12.0,D;BAR,5
IC0167,43.849998474121094,D:expdisk_hr3,,D;bar,4
IC0210,10.399999618530273,Z:edgedisk_hr2,,Z,4
IC0217,18.040000915527344,Z:edgedisk_hr2,,Z,4
IC0223,14.09000015258789,D:expdisk_hr3,,D,5
IC0335,10.539999961853027,Z:edgedisk_hr2,,Z;N,5
IC0529,27.65999984741211,D:expdisk_hr3,16.790000915527344,D;BAR;N,5
IC0600,29.1200008392334,D:expdisk_hr3,13.65999984741211,D;BAR,5
IC0610,15.640000343322754,Z:edgedisk_hr2,,Z;N,4
IC0718,11.949999809265137,D:expdisk_hr3,,D,5
IC0719,7.309999942779541,D:expdisk_hr3,11.25,D;BAR;N,5
IC0749,21.360000610351562,D:expdisk_hr3,12.75,D;BAR;N,5
IC0750,12.760000228881836,D:expdisk_hr3,25.84000015258789,D;BAR;N,5
IC0755,8.779999732971191,D:expdisk_hr3,,D;N,5
IC0758,19.520000457763672,D:expdisk_hr3,24.0,D;BAR,5
IC0764,27.979999542236328,D:expdisk_hr3,11.140000343322754,D;BAR;N,5
IC0769,18.459999084472656,D:expdisk_hr3,11.1899995803833,D;BAR;N,5
IC0776,1.9800000190734863,D:expdisk_hr3,,D,5
IC0796,7.380000114440918,D:expdisk_hr3,,D;N,5
IC0797,13.960000038146973,D:expdisk_hr3,10.5,D;BAR;N,5
IC0800,16.3700008392334,D:expdisk_hr3,15.0,D;BAR,5
IC0851,8.890000343322754,D:expdisk_hr3,,D,5
IC0863,6.639999866485596,D:expdisk_hr3,11.520000457763672,D;BAR;N,5
IC0902,20.6299991607666,Z:edgedisk_hr2,8.520000457763672,Z;BAR,4
IC1014,20.84000015258789,D:expdisk_hr3,19.100000381469727,D;BAR;N,5
IC1024,7.550000190734863,D:expdisk_hr3,14.5,D;BAR,5
IC1029,19.270000457763672,D:expdisk_hr3,,B;D,5
IC1048,19.760000228881836,Z:edgedisk_hr2,7.309999942779541,Z;BAR,5
IC1055,17.0,D:expdisk_hr3,,B;D,5
IC1066,8.350000381469727,D:expdisk_hr3,,D;N,5
IC1067,15.4399995803833,D:expdisk_hr3,17.25,B;D;BAR;N,5
IC1125,10.640000343322754,D:expdisk_hr3,12.0,D;BAR,5
IC1151,16.75,D:expdisk_hr3,9.8100004196167,D;BAR,5
IC1158,22.34000015258789,D:expdisk_hr3,,D;N,5
IC1197,20.719999313354492,Z:edgedisk_hr2,,Z,4
IC1210,3.5,D:expdisk_hr3,,D;N,5
IC1251,10.359999656677246,D:expdisk_hr3,,D,5
IC1265,7.860000133514404,D:expdisk_hr3,,D;N,5
IC1438,26.170000076293945,D:expdisk_hr3,36.63999938964844,B;D;BAR,5
IC1447,13.710000038146973,D:expdisk_hr3,,B;D,5
IC1532,18.84000015258789,D:expdisk_hr3,14.40999984741211,D;BAR,5
IC1553,8.119999885559082,Z:edgedisk_hr2,,Z;N,4
IC1555,13.989999771118164,D:expdisk_hr3,,D,5
IC1558,38.7599983215332,D:expdisk_hr3,25.6200008392334,D;BAR,5
IC1574,35.540000915527344,D:expdisk_hr3,,D,5
IC1596,30.600000381469727,D:expdisk_hr3,,D;N,4
IC1711,17.860000610351562,Z:edgedisk_hr2,,B;Z,4
IC1727,66.41000366210938,D:expdisk_hr3,54.0,D;BAR,5
IC1826,17.309999465942383,D:expdisk_hr3,,D,5
IC1870,33.13999938964844,D:expdisk_hr3,49.560001373291016,D;BAR,5
IC1892,17.920000076293945,D:expdisk_hr3,12.550000190734863,D;BAR,5
IC1898,25.010000228881836,Z:edgedisk_hr2,,Z,4
IC1913,12.25,Z:edgedisk_hr2,,Z,4
IC1914,34.59000015258789,D:expdisk_hr3,22.489999771118164,D;BAR;N,5
IC1933,17.68000030517578,D:expdisk_hr3,13.899999618530273,D;BAR,5
IC1952,21.299999237060547,D:expdisk_hr3,5.860000133514404,D;BAR,5
IC1953,32.2599983215332,D:expdisk_hr3,17.25,B;D;BAR,5
IC1954,23.729999542236328,D:expdisk_hr3,9.300000190734863,D;BAR,5
IC1959,24.8799991607666,D:expdisk_hr3,,D,5
IC1962,28.0,D:expdisk_hr3,24.350000381469727,D;BAR,5
IC1970,14.539999961853027,Z:edgedisk_hr2,,Z,4
IC1986,14.079999923706055,D:expdisk_hr3,,D,5
IC1993,25.920000076293945,D:expdisk_hr3,,B;D,5
IC2000,39.880001068115234,D:expdisk_hr3,11.479999542236328,D;BAR,5
IC2006,,missing,,B,5
IC2007,10.859999656677246,D:expdisk_hr3,16.309999465942383,D;BAR,5
IC2032,15.710000038146973,D:expdisk_hr3,,D,5
IC2035,5.070000171661377,D:expdisk_hr3,6.78000020980835,D;BAR;N,5
IC2040,6.659999847412109,D:expdisk_hr3,,D,5
IC2051,25.219999313354492,D:expdisk_hr3,16.5,B;D;BAR,5
IC2056,10.90999984741211,D:expdisk_hr3,,D;N,5
IC2058,17.84000015258789,Z:edgedisk_hr2,,Z,4
IC2085,20.079999923706055,Z:edgedisk_hr2,,B;Z,4
IC2135,8.550000190734863,Z:edgedisk_hr2,,Z,4
IC2233,44.529998779296875,Z:edgedisk_hr2,,Z,4
IC2361,8.720000267028809,D:expdisk_hr3,,D;N,5
IC2389,0.8399999737739563,D:expdisk_hr3,,D,5
IC2461,8.0,Z:edgedisk_hr2,,N;Z,4
IC2574,204.44000244140625,D:expdisk_hr3,,D,5
IC2604,9.4399995803833,D:expdisk_hr3,,D;N,5
IC2627,18.079999923706055,D:expdisk_hr3,,B;D,5
IC2763,10.420000076293945,Z:edgedisk_hr2,,Z,4
IC2764,16.559999465942383,D:expdisk_hr3,,B;D,5
IC2828,4.730000019073486,D:expdisk_hr3,,D,5
IC2963,9.220000267028809,Z:edgedisk_hr2,,Z,4
IC2969,10.6899995803833,D:expdisk_hr3,,D;N,5
IC2995,31.309999465942383,D:expdisk_hr3,9.869999885559082,D;BAR,5
IC2996,9.90999984741211,D:expdisk_hr3,,D,5
IC3005,6.739999771118164,Z:edgedisk_hr2,,Z,4
IC3021,11.949999809265137,D:expdisk_hr3,9.0,D;BAR;N,5
IC3023,11.699999809265137,D:expdisk_hr3,,D,5
IC3033,9.520000457763672,D:expdisk_hr3,,D,5
IC3044,27.610000610351562,D:expdisk_hr3,18.979999542236328,D;BAR,5
IC3059,22.579999923706055,D:expdisk_hr3,,D,5
IC3061,13.010000228881836,Z:edgedisk_hr2,,B;Z,4
IC3099,,missing,,Z1;Z2,4
IC3102,19.239999771118164,D:expdisk_hr3,,B;D,5
IC3105,13.90999984741211,Z:edgedisk_hr2,,Z,4
IC3115,21.860000610351562,D:expdisk_hr3,15.619999885559082,D;BAR,5
IC3215,21.989999771118164,D:expdisk_hr3,,D,5
IC3229,12.819999694824219,D:expdisk_hr3,,D,5
IC3247,22.920000076293945,Z:edgedisk_hr2,,Z,4
IC3258,18.299999237060547,D:expdisk_hr3,,D,5
IC3259,16.420000076293945,D:expdisk_hr3,,BAR;D,5
IC3267,14.359999656677246,D:expdisk_hr3,,B;D,5
IC3268,23.6200008392334,D:expdisk_hr3,,D,5
IC3298,9.210000038146973,D:expdisk_hr3,,D,5
IC3311,15.569999694824219,Z:edgedisk_hr2,,Z,4
