r_kpc,vobs_km_s,errv_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,vn_km_s,v_tpg_v6_km_s,v_mond_km_s,x_R_over_RHI,x_w_frozen,warp_kernel_frozen,primary_total_v2_km2_s2,wrong_sign_total_v2_km2_s2,pred_TAU_WARP_TRANSFER_PRIMARY,resid_TAU_WARP_TRANSFER_PRIMARY,pred_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,resid_TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,pred_TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,resid_TAU_WARP_TRANSFER_SOURCE_HI_DENOMINATOR_SENSITIVITY,pred_NEWTONIAN_BARYONIC,resid_NEWTONIAN_BARYONIC,pred_TPG_V6_FIXED,resid_TPG_V6_FIXED,pred_MOND_FIXED_A0,resid_MOND_FIXED_A0,pred_CONTROL_WRONG_NGC4088_ONSET,resid_CONTROL_WRONG_NGC4088_ONSET,pred_CONTROL_WRONG_UGC08490_ONSET,resid_CONTROL_WRONG_UGC08490_ONSET,pred_CONTROL_WRONG_P2,resid_CONTROL_WRONG_P2,pred_CONTROL_WRONG_SIGN,resid_CONTROL_WRONG_SIGN,pred_NFW_TWO_PARAMETER_ENDPOINT_FIT,resid_NFW_TWO_PARAMETER_ENDPOINT_FIT,pred_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,resid_PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,construction_used_pointwise_vobs_or_residual,scoring_used_vobs,claim_boundary
1.26,67.4,3.09,1.89,70.78,99.65,97.26027991939978,111.29832763612806,113.51145503857241,0.06309464196294443,0.9045638853160114,0.0,9459.56205,9459.56205,97.26027991939978,29.860279919399773,97.26027991939978,29.860279919399773,97.26027991939978,29.860279919399773,97.26027991939978,29.860279919399773,111.29832763612806,43.89832763612806,113.51145503857241,46.1114550385724,97.26027991939978,29.860279919399773,97.26027991939978,29.860279919399773,97.26027991939978,29.860279919399773,97.26027991939978,29.860279919399773,102.07588894980358,34.67588894980358,98.604747075262,31.20474707526199,False,True,retrospective_class_replication_negative_not_tau_falsification
1.37,68.3,2.71,2.47,73.73,97.83,97.0755045312668,112.12681656625479,114.36264309621649,0.06860290435653481,0.9045638853160114,0.0,9423.653580000002,9423.653580000002,97.0755045312668,28.775504531266805,97.0755045312668,28.775504531266805,97.0755045312668,28.775504531266805,97.0755045312668,28.775504531266805,112.12681656625479,43.82681656625479,114.36264309621649,46.06264309621649,97.0755045312668,28.775504531266805,97.0755045312668,28.775504531266805,97.0755045312668,28.775504531266805,97.0755045312668,28.775504531266805,102.30442446116318,34.00442446116318,98.65966324407263,30.359663244072635,False,True,retrospective_class_replication_negative_not_tau_falsification
1.49,69.6,2.75,2.98,76.63,95.14,96.33842727593179,112.5187051336068,114.75781758277725,0.07461191787681523,0.9045638853160114,0.0,9281.092569999999,9281.092569999999,96.33842727593179,26.738427275931798,96.33842727593179,26.738427275931798,96.33842727593179,26.738427275931798,96.33842727593179,26.738427275931798,112.5187051336068,42.91870513360681,114.75781758277725,45.157817582777255,96.33842727593179,26.738427275931798,96.33842727593179,26.738427275931798,96.33842727593179,26.738427275931798,96.33842727593179,26.738427275931798,102.04678843955737,32.44678843955738,98.21475739965963,28.614757399659638,False,True,retrospective_class_replication_negative_not_tau_falsification
1.61,71.2,2.61,3.52,79.45,92.26,95.53468987755181,112.82399789556878,115.05337441223486,0.08062093139709565,0.9045638853160114,0.0,9126.876970000001,9126.876970000001,95.53468987755181,24.33468987755181,95.53468987755181,24.33468987755181,95.53468987755181,24.33468987755181,95.53468987755181,24.33468987755181,112.82399789556878,41.62399789556878,115.05337441223486,43.85337441223486,95.53468987755181,24.33468987755181,95.53468987755181,24.33468987755181,95.53468987755181,24.33468987755181,95.53468987755181,24.33468987755181,101.73013864818464,30.530138648184632,97.72884984616236,26.52884984616236,False,True,retrospective_class_replication_negative_not_tau_falsification
1.71,72.9,4.09,4.06,81.6,89.85,94.85188110944347,113.04698729972154,115.26039297733102,0.085628442663996,0.9045638853160114,0.0,8996.87935,8996.87935,94.85188110944347,21.951881109443462,94.85188110944347,21.951881109443462,94.85188110944347,21.951881109443462,94.85188110944347,21.951881109443462,113.04698729972154,40.14698729972153,115.26039297733102,42.36039297733102,94.85188110944347,21.951881109443462,94.85188110944347,21.951881109443462,94.85188110944347,21.951881109443462,94.85188110944347,21.951881109443462,101.45735542684662,28.557355426846613,97.32980796606361,24.429807966063606,False,True,retrospective_class_replication_negative_not_tau_falsification
1.83,74.9,6.17,4.62,83.69,87.09,93.98202019535438,113.24629833613503,115.43168189702341,0.09163745618427642,0.9045638853160114,0.0,8832.620119999998,8832.620119999998,93.98202019535438,19.082020195354374,93.98202019535438,19.082020195354374,93.98202019535438,19.082020195354374,93.98202019535438,19.082020195354374,113.24629833613503,38.34629833613502,115.43168189702341,40.531681897023404,93.98202019535438,19.082020195354374,93.98202019535438,19.082020195354374,93.98202019535438,19.082020195354374,93.98202019535438,19.082020195354374,101.0871812756564,26.1871812756564,96.82406019291537,21.924060192915363,False,True,retrospective_class_replication_negative_not_tau_falsification
1.94,77.0,7.74,5.19,85.04,84.69,93.07800046197812,113.3122324526631,115.46288104286754,0.0971457185778668,0.9045638853160114,0.0,8663.514169999999,8663.514169999999,93.07800046197812,16.07800046197812,93.07800046197812,16.07800046197812,93.07800046197812,16.07800046197812,93.07800046197812,16.07800046197812,113.3122324526631,36.312232452663096,115.46288104286754,38.46288104286754,93.07800046197812,16.07800046197812,93.07800046197812,16.07800046197812,93.07800046197812,16.07800046197812,93.07800046197812,16.07800046197812,100.65366496098295,23.65366496098295,96.27861195477082,19.278611954770824,False,True,retrospective_class_replication_negative_not_tau_falsification
2.06,79.2,5.36,5.77,86.25,82.25,92.13233905638128,113.39708847727162,115.50539651326058,0.10315473209814723,0.9045638853160114,0.0,8488.3679,8488.3679,92.13233905638128,12.93233905638128,92.13233905638128,12.93233905638128,92.13233905638128,12.93233905638128,92.13233905638128,12.93233905638128,113.39708847727162,34.19708847727162,115.50539651326058,36.305396513260575,92.13233905638128,12.93233905638128,92.13233905638128,12.93233905638128,92.13233905638128,12.93233905638128,92.13233905638128,12.93233905638128,100.2241151651833,21.024115165183304,95.74643397591676,16.546433975916756,False,True,retrospective_class_replication_negative_not_tau_falsification
2.18,81.4,6.34,6.34,87.49,79.96,91.33984218291599,113.59416134893557,115.66033405470361,0.10916374561842765,0.9045638853160114,0.0,8342.966769999999,8342.966769999999,91.33984218291599,9.939842182915982,91.33984218291599,9.939842182915982,91.33984218291599,9.939842182915982,91.33984218291599,9.939842182915982,113.59416134893557,32.194161348935566,115.66033405470361,34.260334054703605,91.33984218291599,9.939842182915982,91.33984218291599,9.939842182915982,91.33984218291599,9.939842182915982,91.33984218291599,9.939842182915982,99.94054025808529,18.540540258085286,95.38510108303001,13.985101083030003,False,True,retrospective_class_replication_negative_not_tau_falsification
2.29,83.6,2.03,6.95,88.91,78.04,90.90635659842495,114.01451024362147,116.04857257541009,0.11467200801201803,0.9045638853160114,0.0,8263.96567,8263.96567,90.90635659842495,7.306356598424955,90.90635659842495,7.306356598424955,90.90635659842495,7.306356598424955,90.90635659842495,7.306356598424955,114.01451024362147,30.41451024362148,116.04857257541009,32.4485725754101,90.90635659842495,7.306356598424955,90.90635659842495,7.306356598424955,90.90635659842495,7.306356598424955,90.90635659842495,7.306356598424955,99.95084199699762,16.35084199699763,95.3527174312592,11.7527174312592,False,True,retrospective_class_replication_negative_not_tau_falsification
2.4,85.7,1.94,7.56,90.4,76.26,90.63191998407625,114.55690876801204,116.56252113303965,0.12018027040560841,0.9045638853160114,0.0,8214.144919999999,8214.144919999999,90.63191998407625,4.931919984076245,90.63191998407625,4.931919984076245,90.63191998407625,4.931919984076245,90.63191998407625,4.931919984076245,114.55690876801204,28.856908768012033,116.56252113303965,30.86252113303965,90.63191998407625,4.931919984076245,90.63191998407625,4.931919984076245,90.63191998407625,4.931919984076245,90.63191998407625,4.931919984076245,100.10607773964372,14.40607773964372,95.48690282290065,9.786902822900643,False,True,retrospective_class_replication_negative_not_tau_falsification
2.52,87.8,1.7,8.2,91.9,74.41,90.36503012780994,115.15623401001086,117.13099237516039,0.12618928392588885,0.9045638853160114,0.0,8165.838669999999,8165.838669999999,90.36503012780994,2.5650301278099477,90.36503012780994,2.5650301278099477,90.36503012780994,2.5650301278099477,90.36503012780994,2.5650301278099477,115.15623401001086,27.356234010010866,117.13099237516039,29.330992375160392,90.36503012780994,2.5650301278099477,90.36503012780994,2.5650301278099477,90.36503012780994,2.5650301278099477,90.36503012780994,2.5650301278099477,100.3042418976695,12.504241897669502,95.67947353219466,7.879473532194666,False,True,retrospective_class_replication_negative_not_tau_falsification
2.63,89.7,2.16,8.89,92.95,72.86,90.08267907872191,115.6532596650923,117.59810820411627,0.13169754631947922,0.9045638853160114,0.0,8114.889070000002,8114.889070000002,90.08267907872191,0.38267907872190676,90.08267907872191,0.38267907872190676,90.08267907872191,0.38267907872190676,90.08267907872191,0.38267907872190676,115.6532596650923,25.953259665092304,117.59810820411627,27.89810820411627,90.08267907872191,0.38267907872190676,90.08267907872191,0.38267907872190676,90.08267907872191,0.38267907872190676,90.08267907872191,0.38267907872190676,100.45141059129891,10.751410591298907,95.83375970807775,6.133759708077747,False,True,retrospective_class_replication_negative_not_tau_falsification
2.75,91.4,1.88,9.58,93.65,71.23,89.60210198427266,116.02175871175541,117.92821715165702,0.13770655983975966,0.9045638853160114,0.0,8028.536679999999,8028.536679999999,89.60210198427266,-1.7978980157273412,89.60210198427266,-1.7978980157273412,89.60210198427266,-1.7978980157273412,89.60210198427266,-1.7978980157273412,116.02175871175541,24.621758711755405,117.92821715165702,26.528217151657017,89.60210198427266,-1.7978980157273412,89.60210198427266,-1.7978980157273412,89.60210198427266,-1.7978980157273412,89.60210198427266,-1.7978980157273412,100.45764382697736,9.057643826977355,95.85471801066016,4.454718010660159,False,True,retrospective_class_replication_negative_not_tau_falsification
2.86,92.8,3.36,10.31,93.97,69.85,89.08867660931999,116.27653764244164,118.14558658558356,0.14321482223335003,0.9045638853160114,0.0,7936.792299999998,7936.792299999998,89.08867660931999,-3.7113233906800076,89.08867660931999,-3.7113233906800076,89.08867660931999,-3.7113233906800076,89.08867660931999,-3.7113233906800076,116.27653764244164,23.47653764244164,118.14558658558356,25.34558658558356,89.08867660931999,-3.7113233906800076,89.08867660931999,-3.7113233906800076,89.08867660931999,-3.7113233906800076,89.08867660931999,-3.7113233906800076,100.39974331382616,7.599743313826167,95.8198171892262,3.0198171892262025,False,True,retrospective_class_replication_negative_not_tau_falsification
2.98,94.1,1.4,11.11,94.1,68.43,88.47995552666153,116.49175009063433,118.31894867198282,0.14922383575363046,0.9045638853160114,0.0,7828.702530000001,7828.702530000001,88.47995552666153,-5.620044473338467,88.47995552666153,-5.620044473338467,88.47995552666153,-5.620044473338467,88.47995552666153,-5.620044473338467,116.49175009063433,22.391750090634332,118.31894867198282,24.21894867198283,88.47995552666153,-5.620044473338467,88.47995552666153,-5.620044473338467,88.47995552666153,-5.620044473338467,88.47995552666153,-5.620044473338467,100.2956139326907,6.195613932690705,95.75182134273831,1.651821342738316,False,True,retrospective_class_replication_negative_not_tau_falsification
3.09,95.2,5.51,11.94,93.98,67.21,87.86758600303072,116.62289185486713,118.41078842037857,0.15473209814722083,0.9045638853160114,0.0,7720.712670000001,7720.712670000001,87.86758600303072,-7.332413996969279,87.86758600303072,-7.332413996969279,87.86758600303072,-7.332413996969279,87.86758600303072,-7.332413996969279,116.62289185486713,21.42289185486713,118.41078842037857,23.210788420378563,87.86758600303072,-7.332413996969279,87.86758600303072,-7.332413996969279,87.86758600303072,-7.332413996969279,87.86758600303072,-7.332413996969279,100.15466685517607,4.954666855176072,95.6531550233376,0.45315502333760094,False,True,retrospective_class_replication_negative_not_tau_falsification
3.2,96.1,6.23,12.77,93.74,66.06,87.24341361959652,116.72694749917763,118.47626689947579,0.16024036054081123,0.9045638853160114,0.0,7611.41322,7611.41322,87.24341361959652,-8.85658638040347,87.24341361959652,-8.85658638040347,87.24341361959652,-8.85658638040347,87.24341361959652,-8.85658638040347,116.72694749917763,20.626947499177632,118.47626689947579,22.376266899475795,87.24341361959652,-8.85658638040347,87.24341361959652,-8.85658638040347,87.24341361959652,-8.85658638040347,87.24341361959652,-8.85658638040347,100.00607479957337,3.906074799573375,95.55674526645726,-0.5432547335427387,False,True,retrospective_class_replication_negative_not_tau_falsification
4.52,97.4,2.3,19.31,88.08,55.57,80.08455987267457,117.09131594561603,118.54242168071356,0.22633950926389584,0.9045638853160114,0.0,6413.536729999999,6413.536729999999,80.08455987267457,-17.31544012732543,80.08455987267457,-17.31544012732543,80.08455987267457,-17.31544012732543,80.08455987267457,-17.31544012732543,117.09131594561603,19.691315945616026,118.54242168071356,21.142421680713554,80.08455987267457,-17.31544012732543,80.08455987267457,-17.31544012732543,80.08455987267457,-17.31544012732543,80.08455987267457,-17.31544012732543,98.71262370223198,1.3126237022319742,95.51078250748726,-1.889217492512742,False,True,retrospective_class_replication_negative_not_tau_falsification
4.69,96.9,11.7,19.73,87.36,54.55,79.29785274520363,117.11965245119839,118.56130810654223,0.23485227841762646,0.9045638853160114,0.0,6288.149449999998,6288.149449999998,79.29785274520363,-17.602147254796378,79.29785274520363,-17.602147254796378,79.29785274520363,-17.602147254796378,79.29785274520363,-17.602147254796378,117.11965245119839,20.219652451198385,118.56130810654223,21.661308106542222,79.29785274520363,-17.602147254796378,79.29785274520363,-17.602147254796378,79.29785274520363,-17.602147254796378,79.29785274520363,-17.602147254796378,98.68197321077308,1.7819732107730744,95.69977049973818,-1.2002295002618268,False,True,retrospective_class_replication_negative_not_tau_falsification
6.03,96.8,2.3,22.95,81.5,48.11,73.94611531378777,117.23067036357817,118.81373909429719,0.3019529293940912,0.9045638853160114,0.0,5468.027969999998,5468.027969999998,73.94611531378777,-22.853884686212226,73.94611531378777,-22.853884686212226,73.94611531378777,-22.853884686212226,73.94611531378777,-22.853884686212226,117.23067036357817,20.430670363578173,118.81373909429719,22.013739094297193,74.11169236508539,-22.688307634914608,73.94611531378777,-22.853884686212226,73.94611531378777,-22.853884686212226,73.94611531378777,-22.853884686212226,99.21885012403386,2.4188501240338667,98.10278505623764,1.3027850562376386,False,True,retrospective_class_replication_negative_not_tau_falsification
7.53,105.0,1.02,26.37,76.78,43.05,70.28707455855593,118.20398473513134,120.26557395847757,0.3770655983975964,0.9045638853160114,0.0,4940.27285,4940.27285,70.28707455855593,-34.71292544144407,70.28707455855593,-34.71292544144407,70.28707455855593,-34.71292544144407,70.28707455855593,-34.71292544144407,118.20398473513134,13.203984735131343,120.26557395847757,15.265573958477574,73.98254629780446,-31.01745370219554,70.28707455855593,-34.71292544144407,70.28707455855593,-34.71292544144407,70.28707455855593,-34.71292544144407,101.60847665198847,-3.391523348011532,102.4006124036605,-2.599387596339497,False,True,retrospective_class_replication_negative_not_tau_falsification
8.58,110.0,7.12,28.87,73.0,40.33,68.09209300645708,118.60858912193527,121.13872064831693,0.4296444667000501,0.9045638853160114,0.0,4636.533130000001,4636.533130000001,68.09209300645708,-41.90790699354292,68.09209300645708,-41.90790699354292,68.09209300645708,-41.90790699354292,68.09209300645708,-41.90790699354292,118.60858912193527,8.608589121935267,121.13872064831693,11.138720648316934,74.33517316015069,-35.66482683984931,68.09209300645708,-41.90790699354292,68.09209300645708,-41.90790699354292,68.09209300645708,-41.90790699354292,103.47978692898654,-6.520213071013458,105.29844100257178,-4.701558997428222,False,True,retrospective_class_replication_negative_not_tau_falsification
8.7,110.0,5.26,29.07,72.69,40.05,67.89539527832501,118.68614342717525,121.27293964737477,0.43565348022033046,0.9045638853160114,0.0,4609.784699999998,4609.784699999998,67.89539527832501,-42.10460472167499,67.89539527832501,-42.10460472167499,67.89539527832501,-42.10460472167499,67.89539527832501,-42.10460472167499,118.68614342717525,8.686143427175253,121.27293964737477,11.27293964737477,74.42889146876206,-35.57110853123794,67.89539527832501,-42.10460472167499,67.89539527832501,-42.10460472167499,67.89539527832501,-42.10460472167499,103.72549053876375,-6.274509461236249,105.64281669571852,-4.357183304281477,False,True,retrospective_class_replication_negative_not_tau_falsification
8.82,110.0,5.16,29.38,72.31,39.78,67.71459466023555,118.77643741054528,121.41992410474063,0.44166249374061095,0.9045638853160114,0.0,4585.26633,4585.26633,67.71459466023555,-42.28540533976445,67.71459466023555,-42.28540533976445,67.71459466023555,-42.28540533976445,67.71459466023555,-42.28540533976445,118.77643741054528,8.776437410545284,121.41992410474063,11.41992410474063,74.537452745502,-35.462547254498006,67.71459466023555,-42.28540533976445,67.71459466023555,-42.28540533976445,67.71459466023555,-42.28540533976445,103.9804449360416,-6.019555063958407,105.99249497846715,-4.00750502153285,False,True,retrospective_class_replication_negative_not_tau_falsification
9.03,111.0,0.82,29.9,71.64,39.31,67.39323460110815,118.91718034150155,121.6623869427208,0.4521782674011016,0.9045638853160114,0.0,4541.848070000001,4541.848070000001,67.39323460110815,-43.60676539889185,67.39323460110815,-43.60676539889185,67.39323460110815,-43.60676539889185,67.39323460110815,-43.60676539889185,118.91718034150155,7.917180341501549,121.6623869427208,10.6623869427208,74.72363553920877,-36.27636446079123,67.51943285381857,-43.48056714618143,67.39323460110815,-43.60676539889185,67.39323460110815,-43.60676539889185,104.42053951183577,-6.57946048816423,106.58941485836392,-4.410585141636076,False,True,retrospective_class_replication_negative_not_tau_falsification
9.05,111.0,7.81,29.9,71.58,39.27,67.34501637092384,118.90989239158004,121.66607162000763,0.45317976965448176,0.9045638853160114,0.0,4535.35123,4535.35123,67.34501637092384,-43.654983629076156,67.34501637092384,-43.654983629076156,67.34501637092384,-43.654983629076156,67.34501637092384,-43.654983629076156,118.90989239158004,7.909892391580044,121.66607162000763,10.666071620007628,74.72554176863736,-36.274458231362644,67.56828806241526,-43.43171193758474,67.34501637092384,-43.654983629076156,67.34501637092384,-43.654983629076156,104.45091060536805,-6.549089394631949,106.63436032594136,-4.365639674058642,False,True,retrospective_class_replication_negative_not_tau_falsification
10.53,112.0,1.43,33.33,67.3,36.41,65.60118573623498,120.12186836527574,123.62420132603387,0.5272909364046069,0.9045638853160114,0.0,4303.51557,4303.51557,65.60118573623498,-46.39881426376502,65.60118573623498,-46.39881426376502,65.60118573623498,-46.39881426376502,65.60118573623498,-46.39881426376502,120.12186836527574,8.121868365275745,123.62420132603387,11.62420132603387,76.51090471093794,-35.489095289062064,72.82022192850938,-39.17977807149062,65.60118573623498,-46.39881426376502,65.60118573623498,-46.39881426376502,107.76984956516526,-4.230150434834741,110.73157171240045,-1.2684282875995478,False,True,retrospective_class_replication_negative_not_tau_falsification
12.07,112.0,1.21,36.03,63.57,34.0,64.24899493377309,121.38817579227928,125.70850691224746,0.6044066099148724,0.9045638853160114,0.0,4127.93335,4127.93335,64.24899493377309,-47.75100506622691,64.24899493377309,-47.75100506622691,64.24899493377309,-47.75100506622691,64.24899493377309,-47.75100506622691,121.38817579227928,9.388175792279284,125.70850691224746,13.708506912247458,78.74343845690048,-33.25656154309952,78.33032023489905,-33.66967976510095,64.24899493377309,-47.75100506622691,64.24899493377309,-47.75100506622691,111.28459473943913,-0.7154052605608712,114.53120982169668,2.5312098216966774,False,True,retrospective_class_replication_negative_not_tau_falsification
13.58,114.0,1.35,37.9,59.74,32.06,62.77208232964715,122.02107403767083,127.21448748119317,0.6800200300450676,0.9045638853160114,0.0,3940.33432,3940.33432,62.77208232964715,-51.22791767035285,62.77208232964715,-51.22791767035285,62.77208232964715,-51.22791767035285,62.77208232964715,-51.22791767035285,122.02107403767083,8.021074037670829,127.21448748119317,13.214487481193174,80.77716424655749,-33.22283575344251,83.28764455974239,-30.71235544025761,62.77208232964715,-51.22791767035285,62.77208232964715,-51.22791767035285,114.43959452410857,0.43959452410857125,117.55375329134418,3.5537532913441794,False,True,retrospective_class_replication_negative_not_tau_falsification
