amplitude_policy,galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
family_unconstrained,NGC5907,holdout,K_thick_flared,19,16.785509985459306,18.59536481497724,16.383392586061934,17.603432862968834,K_thick_flared,1,19.143923926446448,16.972225684978213,16.694148977481838,16.383392586061934,-1.2200402769069,-0.40211739939737257,-2.2119722289153074,True,True,True
family_unconstrained,NGC5985,holdout,K_compact_finite,33,72.28739039126062,69.40357999391347,66.20241092491683,73.62210136086749,K_compact_finite,1,66.20241092491683,71.55950197762083,75.49983649471685,73.80696561026477,-7.419690435950656,-6.084979466343782,-3.2011690689966343,True,True,True
family_unconstrained,NGC6789,holdout,K_scale_tail_spiral,4,15.897752239176857,15.396246199577478,11.536643562882814,119.24492701458892,K_scale_tail_spiral,1,325.10280406752605,11.536643562882814,16.475522315540964,16.156454660699737,-107.70828345170611,-4.361108676294043,-3.859602636694664,True,True,True
family_unconstrained,NGC6946,holdout,K_compact_finite,58,15.025447425206579,17.728143095419597,27.872527807879194,14.193671584828039,K_exponential_disk,4,27.872527807879194,15.848262108909825,12.791054074078563,13.941698571495728,13.678856223051156,12.847080382672615,10.144384712459598,False,False,False
family_unconstrained,NGC7331,holdout,K_thick_flared,36,25.485065060071012,29.311675230419702,24.522570438330455,26.364633972516106,K_exponential_disk,2,29.706075556369132,25.914849469925397,23.472976891253797,24.522570438330455,-1.8420635341856517,-0.9624946217405572,-4.7891047920892476,True,True,True
family_unconstrained,UGC00731,holdout,K_scale_tail_spiral,12,12.845453066903099,11.466827035781066,11.310048467799863,28.290358560322016,K_scale_tail_spiral,1,53.54830107408136,11.310048467799863,17.22212565294635,14.10064895393833,-16.980310092522153,-1.5354045991032361,-0.1567785679812026,True,True,True
family_unconstrained,UGC00891,holdout,K_scale_tail_spiral,5,5.958365558298525,7.682081654505746,7.225333270873022,30.708551410992673,K_thick_flared,3,79.66608064043508,7.225333270873022,6.480960832640786,5.9786127599021475,-23.48321814011965,1.2669677125744965,-0.45674838363272396,True,False,True
family_unconstrained,UGC02023,holdout,K_scale_tail_spiral,5,12.198048884046239,13.979836766957423,15.300264315382941,52.34894448268364,K_exponential_disk,3,135.73645573462076,15.300264315382941,10.049805645594558,11.260572067835627,-37.0486801673007,3.1022154313367025,1.3204275484255188,True,False,False
family_unconstrained,UGC02259,holdout,K_exponential_disk,8,16.43514083306515,13.66144175213647,19.573338345039396,28.49022220799913,K_scale_tail_spiral,3,53.52599003311424,14.207920733489983,19.573338345039396,17.73675585739316,-8.916883862959732,3.1381975119742442,5.9118965929029255,True,False,False
family_unconstrained,UGC03580,holdout,K_compact_finite,47,25.49452615076704,27.172706555031343,53.98299406241329,25.502006859525864,K_exponential_disk,4,53.98299406241329,26.623336512958982,24.73362458096793,25.14905948465067,28.480987202887427,28.48846791164625,26.810287507381947,False,False,False
family_unconstrained,UGC04305,holdout,K_scale_tail_spiral,22,23.999621706482884,26.588364190715332,26.808062784312273,54.97638920038208,K_exponential_disk,3,120.13897648532503,26.808062784312273,21.776245010393428,23.01394610542778,-28.168326416069807,2.8084410778293893,0.21969859359694155,True,False,False
family_unconstrained,UGC04499,holdout,K_scale_tail_spiral,9,6.040634191372928,8.985021588452573,8.071013668884772,26.68581754275577,K_exponential_disk,3,70.81266980275193,8.071013668884772,4.149036346971774,5.095746478543615,-18.614803873870997,2.030379477511844,-0.9140079195678013,True,False,True
family_unconstrained,UGC05414,holdout,K_scale_tail_spiral,6,6.4008126343112375,8.261884143933315,9.440201402889352,43.27074629700655,K_exponential_disk,3,120.08243058990729,9.440201402889352,4.236617268537706,5.493191032574675,-33.8305448941172,3.0393887685781147,1.178317258956037,True,False,False
family_unconstrained,UGC05716,holdout,K_scale_tail_spiral,12,5.844868825954693,5.605647282808069,4.212043634396867,21.776013269990482,K_scale_tail_spiral,1,47.21310161443477,4.212043634396867,10.59520667782117,7.5197315177154955,-17.563969635593615,-1.632825191557826,-1.3936036484112018,True,True,True
family_unconstrained,UGC05829,holdout,K_scale_tail_spiral,11,6.222677845510406,8.606905396927852,7.720215953585758,33.67899383994406,K_thick_flared,3,87.78515793245373,7.720215953585758,7.138956445555025,6.112867141823444,-25.958777886358305,1.4975381080753527,-0.8866894433420933,True,False,True
family_unconstrained,UGC05986,holdout,K_scale_tail_spiral,15,17.532159853325275,15.059299363743824,15.662107914873872,25.13056845428841,K_scale_tail_spiral,1,36.424675149022505,15.662107914873872,20.201033222557264,18.765996991285466,-9.46846053941454,-1.8700519384514038,0.6028085511300478,True,True,False
