galaxy,split,formula_family,n_points,rmse_matched,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
F568-3,train,K_exponential_disk,18,24.760120564546384,-3.4573457227775,-19.80342487959544,15.645213525754324,16.78370458142862,32.96443581199191,23.703339835404844,24.760120564546384,27.9846232145749
F568-V1,train,K_exponential_disk,15,50.02319647046036,-2.8370124474837155,-15.496781235412655,20.145985990848605,24.2611313302877,54.72666121812353,50.28739484246418,50.02319647046036,53.56657069324453
F571-8,train,K_thick_flared,13,36.21011247866226,1.6387308350338046,-19.41163546450867,6.034736286539758,7.9195195528092555,40.541444482461905,31.420327982997883,31.752372465425573,36.21011247866226
F571-V1,train,K_scale_tail_spiral,7,24.024676755091406,-4.099257972615522,-15.770252666171018,20.45115346727493,17.664546715545,29.64358908487557,24.024676755091406,25.206090691363585,29.522124406881634
F574-1,train,K_exponential_disk,14,32.30861826281828,-2.349935675045735,-16.21671932555821,20.487829646721643,23.53170570194049,37.27046880996978,30.770164645002854,32.30861826281828,35.93502835861941
F574-2,train,K_scale_tail_spiral,5,16.665285094708103,4.743802901108921,13.897659417924782,-15.9735314489565,-22.075873637707645,11.267340841552768,16.665285094708103,14.121882615089593,10.375223124155184
F579-V1,train,K_thick_flared,14,40.967112829724364,1.386176191747765,-14.716034611002158,21.327701408685485,22.578211064966496,43.85245314286393,37.18420043244448,37.706156338621376,40.967112829724364
F583-1,train,K_scale_tail_spiral,25,27.194633438928474,-1.3338787205662612,-10.686564949552459,13.89734666525444,16.87449316506998,30.294469315598562,27.194633438928474,26.540084152435426,28.750983010450216
F583-4,train,K_thick_flared,12,19.792853880260424,2.922830746231977,-8.463182259191111,17.703505403417672,14.411766057156726,19.166227742370317,14.451157501547902,16.992684158167123,19.792853880260424
KK98-251,train,K_scale_tail_spiral,15,2.311913888008576,-1.0871538022213283,-6.930404308712834,-5.869305489814627,-8.558738093379587,4.064385307000398,2.311913888008576,2.608319767215038,3.524497996474278
NGC0055,train,K_scale_tail_spiral,21,9.79565506025191,-4.839707876367582,-20.30918418683194,-3.850358102356804,-7.722541166057887,16.679420096040797,9.79565506025191,11.082474830639505,16.144193883178172
NGC0100,train,K_exponential_disk,21,19.265282403683713,-3.121811165230408,-18.058948051094937,11.727363068720635,13.203549522643307,25.906557584023993,17.806068633864033,19.265282403683713,23.448654488854327
NGC0247,train,K_exponential_disk,26,25.36115575349233,-2.760434973586875,-18.97758876830208,21.494843749430114,19.88573818082568,30.696677546312674,23.849592579967467,25.36115575349233,29.818502054957463
NGC0289,train,K_thick_flared,28,43.1579381320311,3.921059966509091,-28.899974703147542,29.70966678519256,19.562628946659615,48.347254673026725,34.54131902650799,34.82206079703131,43.1579381320311
NGC0300,train,K_exponential_disk,25,30.80779255762618,-2.4553086084208644,-15.671167158406838,20.975894521949698,25.200757927702234,35.662666655552925,29.265872228028183,30.80779255762618,34.860764614560026
NGC0801,train,K_thick_flared,13,31.21360041963247,-8.187488179246536,-22.741812137988354,-0.13453399401235444,-4.092928521527945,29.53185914285794,44.64289902580966,44.02850762796941,31.21360041963247
NGC0891,train,K_compact_finite,18,39.3045764686226,-8.86689823502551,-3.184155445797714,9.666940457713235,6.628863800726933,39.3045764686226,60.10295768009897,50.06543078421779,34.34603564662758
NGC1003,train,K_scale_tail_spiral,36,38.100134730934805,-4.5701759229691845,-18.95506791047641,26.87133739906202,29.866209738090255,44.790331596453974,38.100134730934805,39.07420168612483,44.14639867913317
NGC1090,train,K_thick_flared,24,24.50641289164242,1.701984891045619,-29.43786586445833,9.246727532796681,5.742403452354505,30.568398834353637,18.285389093932174,19.559496073504587,24.50641289164242
NGC1705,train,K_scale_tail_spiral,14,35.009179539071305,-2.5914342409776197,-9.859659001195247,14.410535630970823,18.057163946210274,38.971689197696314,35.009179539071305,35.63696123377551,38.19319090867496
NGC2366,train,K_scale_tail_spiral,26,8.166628376645997,-2.2083149608894566,-10.750662818569323,-0.008902515131856248,-3.2211534991609447,11.237505514046752,8.166628376645997,8.6807148443753,11.206609654184303
NGC2403,train,K_exponential_disk,73,23.786425324913267,-2.2272462694017285,-26.91462269020758,13.92542937562866,17.54666312322666,37.05791343553061,14.329172925376394,23.786425324913267,26.653928422037982
NGC2841,train,K_compact_finite,50,95.36967227523613,27.425819676882,-35.14182260192035,36.27959733106179,42.346211456527556,95.36967227523613,57.05167911312563,68.23043939549082,78.54943928644592
NGC2903,train,K_thick_flared,34,24.171746532585857,-3.0157167945973775,-36.34834065577394,-0.1903996296395185,-0.7912572394991635,34.489020615426455,23.303956850841935,23.769412515281314,24.171746532585857
NGC2915,train,K_scale_tail_spiral,30,43.20166413759094,-2.4840899436921973,-10.15828573200173,17.193798469874167,22.572231103246285,46.89958570343739,43.20166413759094,43.72091920151596,46.43675733889606
NGC2955,train,K_compact_finite,24,38.214332499064184,-26.39835424153803,-4.435603043714707,18.432218500567057,14.94117113681077,38.214332499064184,73.991628888725,70.98963694011235,48.85679439296926
NGC2976,train,K_thick_flared,27,10.186353318791273,-3.8165306371979266,-4.073687129774498,5.069423236859333,4.508248339704331,9.984349401932041,16.257987388970793,15.766315077064771,10.186353318791273
NGC2998,train,K_thick_flared,13,39.181602080602026,-4.123768145904961,-32.610676018755974,12.066556889257196,12.108127412915096,47.25145299848984,41.54927554198022,41.11538213905089,39.181602080602026
NGC3109,train,K_scale_tail_spiral,25,22.604219715676045,-1.9142137165281312,-9.475229543035397,13.280339658612958,17.56243403631391,25.45558492373408,22.604219715676045,22.65538843054072,25.44432694233773
NGC3198,train,K_thick_flared,43,28.52413812348353,1.8611047415242474,-27.576051134752078,20.820137631443004,17.345088066487886,40.45420928904644,14.164478128603777,25.370412728227645,28.52413812348353
NGC3521,train,K_thick_flared,41,36.428007154252874,-13.59953378585049,1.2198159699306075,29.317086564891106,29.61312331886202,50.45739092862146,46.38489707049707,53.24033482119156,36.428007154252874
NGC3741,train,K_scale_tail_spiral,21,19.210163929940023,-1.180246079584279,-6.6933111543748325,11.388665541799554,16.488911226740914,21.924633356483184,19.210163929940023,18.822621705320838,20.42397496676888
NGC3769,train,K_thick_flared,12,28.822051074962673,1.9416626303364666,-21.534511387693406,17.566738474910373,12.84152248234611,36.76465659431796,20.761107001103376,23.115401738457283,28.822051074962673
NGC3877,train,K_thick_flared,13,38.50351550850189,-11.713943778884186,4.662559622599808,16.08409635826502,14.584761074459731,42.678915448111646,57.23247367823119,50.740988735815385,38.50351550850189
NGC3893,train,K_thick_flared,10,22.09524362103004,3.2581063036024673,-36.32889308738319,14.67348204924983,15.211708693055876,30.533354082582008,11.73381661008727,14.244241259613434,22.09524362103004
NGC3917,train,K_exponential_disk,17,22.981138923985505,-3.7945910444511313,-27.987199213418727,16.08148489875755,16.343436763666343,31.755868013061978,20.490856709723523,22.981138923985505,28.08046518252441
NGC3953,train,K_thick_flared,8,26.92082052403896,-16.084034936009743,-22.982964020163763,16.47082587317357,16.577158260471567,40.79379952273661,50.55631679111971,37.66445006628979,26.92082052403896
NGC3992,train,K_thick_flared,9,67.12785196279293,8.062274992812114,-38.132578728247424,45.49793737920034,48.58853270606554,74.7002284210976,46.94668068095901,55.54982180788586,67.12785196279293
NGC4010,train,K_exponential_disk,12,8.776777232775355,-3.0504248011599078,-28.086926710134694,-2.0224222671792305,-3.0215740639411734,14.338680325753149,8.554063334535764,8.776777232775355,12.588862441516872
NGC4051,train,K_thick_flared,7,30.516045747293063,-13.194238820157075,6.91567131686795,7.353346503000228,5.1511118454190665,35.30696021215361,52.40504610345168,43.41884738674513,30.516045747293063
NGC4068,train,K_scale_tail_spiral,6,3.076884826124713,0.7748809042016962,-6.351791980338312,-6.712674256987363,-8.312813121168999,2.689903279889125,3.076884826124713,2.546314795778332,1.6697936901015928
NGC4085,train,K_thick_flared,7,22.828750807527467,-10.308659614281904,0.8908480144593618,1.3735418498898468,-0.4191261828856483,25.05119676754763,41.11799080442539,33.24304369345508,22.828750807527467
