galaxy,model_id,split,formula_family,best_family,n_points,rmse_kms,mae_kms,bias_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
NGC7331,TAU_BEST_FAMILY,holdout,K_thick_flared,K_exponential_disk,36,23.472976891253797,19.563153539286652,19.19144594946611,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC7331,TAU_MATCHED,holdout,K_thick_flared,K_exponential_disk,36,24.522570438330455,20.939077580422495,20.773304323784696,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC7331,TPG_V6,holdout,K_thick_flared,K_exponential_disk,36,25.485065060071012,22.215153144061194,22.205582206645715,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC7331,MOND,holdout,K_thick_flared,K_exponential_disk,36,29.311675230419702,26.45195397689002,26.45195397689002,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
NGC7331,NEWTONIAN_vn,holdout,K_thick_flared,K_exponential_disk,36,59.354351789327744,51.459217399881524,-42.04936688516623,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC05716,TAU_BEST_FAMILY,holdout,K_scale_tail_spiral,K_scale_tail_spiral,12,4.212043634396867,3.8098632611502343,-2.234727580617609,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC05716,TAU_MATCHED,holdout,K_scale_tail_spiral,K_scale_tail_spiral,12,4.212043634396867,3.8098632611502343,-2.234727580617609,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC05716,MOND,holdout,K_scale_tail_spiral,K_scale_tail_spiral,12,5.605647282808069,4.781123129901313,1.2737667163438122,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC05716,TPG_V6,holdout,K_scale_tail_spiral,K_scale_tail_spiral,12,5.844868825954693,5.068107268225222,-4.877080670938741,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC05716,NEWTONIAN_vn,holdout,K_scale_tail_spiral,K_scale_tail_spiral,12,38.595717422736016,38.067854539586385,-38.067854539586385,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC12506,TAU_BEST_FAMILY,holdout,K_exponential_disk,K_compact_finite,31,37.36329931819013,31.243325114856553,-30.460224997453818,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC12506,MOND,holdout,K_exponential_disk,K_compact_finite,31,38.12269540109571,32.17266468984706,-30.656365269887132,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC12506,TPG_V6,holdout,K_exponential_disk,K_compact_finite,31,40.697842583379504,35.84055667379126,-35.569908534110446,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC12506,TAU_MATCHED,holdout,K_exponential_disk,K_compact_finite,31,44.999238791738094,41.054258168459405,-41.054258168459405,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
UGC12506,NEWTONIAN_vn,holdout,K_exponential_disk,K_compact_finite,31,116.02345816251234,115.6176921293329,-115.6176921293329,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
