galaxy,proxy_formula_family_for_scope,sparc_distance_mpc,sparc_rdisk_kpc,sparc_inclination_deg,s4g_match_status,s4g_name,s4g_disk_scale_arcsec,scale_radius_kpc,scale_radius_source,s4g_bar_radius_arcsec,bar_radius_kpc,s4g_model_components,s4g_model_quality_values,candidate_observable_status,observable_provenance,residual_blind_certification,claim_boundary
NGC3949,K_thick_flared,18.0,3.59,55.0,S4G_MATCHED,NGC3949,16.59000015258789,1.4477492679154584,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3972,K_thick_flared,18.0,2.18,77.0,S4G_MATCHED,NGC3972,28.06999969482422,2.449567277564473,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4013,K_compact_finite,18.0,3.53,89.0,S4G_MATCHED,NGC4013,27.389999389648438,2.3902261121066197,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z;N,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4088,K_thick_flared,18.0,2.58,69.0,S4G_MATCHED,NGC4088,37.310001373291016,3.255908781030414,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4183,K_exponential_disk,18.0,2.79,82.0,S4G_MATCHED,NGC4183,28.969999313354492,2.5281069868391675,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4214,K_scale_tail_spiral,2.87,0.51,15.0,S4G_MATCHED,NGC4214,46.459999084472656,0.6464509120424529,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,80.75,1.1235667709015102,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4389,K_thick_flared,18.0,2.79,50.0,S4G_MATCHED,NGC4389,23.229999542236328,2.0271979820146604,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,42.0,3.6651879863282675,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5907,K_thick_flared,17.3,5.34,88.0,S4G_MATCHED,NGC5907,52.849998474121094,4.432671435300681,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5985,K_compact_finite,39.7,7.01,60.0,S4G_MATCHED,NGC5985,35.099998474121094,6.755726562541428,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC6789,K_scale_tail_spiral,3.52,0.31,43.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC6946,K_compact_finite,5.52,2.44,38.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC7331,K_thick_flared,14.7,5.02,75.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC00731,K_scale_tail_spiral,12.5,2.3,57.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC00891,K_scale_tail_spiral,10.2,1.43,60.0,S4G_MATCHED,UGC00891,23.170000076293945,1.1457784926099834,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02023,K_scale_tail_spiral,10.4,1.55,19.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02259,K_exponential_disk,10.5,1.62,41.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC03580,K_compact_finite,20.7,2.43,63.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC04305,K_scale_tail_spiral,3.45,1.16,40.0,S4G_MATCHED,UGC04305,66.70999908447266,1.1157951995803006,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC04499,K_scale_tail_spiral,12.5,1.73,50.0,S4G_MATCHED,UGC04499,17.469999313354492,1.0587108400209981,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05414,K_scale_tail_spiral,9.4,1.47,55.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05716,K_scale_tail_spiral,21.3,1.14,54.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05829,K_scale_tail_spiral,8.64,1.99,34.0,S4G_MATCHED,UGC05829,41.45000076293945,1.7362519409099797,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05986,K_scale_tail_spiral,8.63,1.67,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06818,K_scale_tail_spiral,18.0,1.39,75.0,S4G_MATCHED,UGC06818,16.790000915527344,1.465202610619796,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06917,K_scale_tail_spiral,18.0,2.76,56.0,S4G_MATCHED,UGC06917,33.90999984741211,2.9592029537411486,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,22.760000228881836,1.9861828430411028,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06983,K_scale_tail_spiral,18.0,3.21,49.0,S4G_MATCHED,UGC06983,35.970001220703125,3.1389718176746237,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,26.450000762939453,2.3081958341595046,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07151,K_exponential_disk,6.87,1.25,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07261,K_exponential_disk,13.1,1.2,30.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07577,K_scale_tail_spiral,2.59,0.9,63.0,S4G_MATCHED,UGC07577,58.77000045776367,0.737955063561961,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07603,K_exponential_disk,4.7,0.53,78.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC08699,K_compact_finite,39.3,3.09,73.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC11914,K_compact_finite,16.9,2.44,31.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC12506,K_exponential_disk,100.6,7.38,86.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGCA444,K_scale_tail_spiral,0.98,0.83,78.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
D512-2,K_scale_tail_spiral,15.2,1.24,56.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
D564-8,K_scale_tail_spiral,8.79,0.61,63.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
D631-7,K_scale_tail_spiral,7.72,0.7,59.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
DDO064,K_scale_tail_spiral,6.8,0.69,60.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
DDO154,K_scale_tail_spiral,4.04,0.37,64.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
DDO161,K_scale_tail_spiral,7.5,1.22,70.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
DDO168,K_scale_tail_spiral,4.25,1.02,63.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
DDO170,K_scale_tail_spiral,15.4,1.95,66.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
ESO079-G014,K_thick_flared,28.7,5.08,79.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
ESO444-G084,K_scale_tail_spiral,4.83,0.46,32.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
ESO563-G021,K_thick_flared,60.8,5.45,83.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F563-V1,K_scale_tail_spiral,54.0,3.79,60.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F563-V2,K_scale_tail_spiral,59.7,2.43,29.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F565-V2,K_scale_tail_spiral,51.8,2.17,60.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F567-2,K_scale_tail_spiral,79.0,3.08,20.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F568-3,K_exponential_disk,82.4,4.99,40.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F568-V1,K_exponential_disk,80.6,2.85,40.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F571-8,K_thick_flared,53.3,3.56,85.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F571-V1,K_scale_tail_spiral,80.1,2.47,30.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F574-1,K_exponential_disk,96.8,4.46,65.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F574-2,K_scale_tail_spiral,89.1,3.76,30.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F579-V1,K_thick_flared,89.5,3.37,26.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F583-1,K_scale_tail_spiral,35.4,2.36,63.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
F583-4,K_thick_flared,53.3,1.93,55.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
KK98-251,K_scale_tail_spiral,6.8,1.34,59.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0055,K_scale_tail_spiral,2.11,6.11,77.0,S4G_MATCHED,NGC0055,331.739990234375,3.3935538234529914,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0100,K_exponential_disk,13.5,1.66,89.0,S4G_MATCHED,NGC0100,18.6299991607666,1.2193294483812045,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0247,K_exponential_disk,3.7,3.74,74.0,S4G_MATCHED,NGC0247,223.08999633789062,4.0018082876406345,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,149.25,2.6772598356483166,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0289,K_thick_flared,20.8,6.74,46.0,S4G_MATCHED,NGC0289,18.969999313354492,1.9129565642148376,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,11.760000228881836,1.1858919582126983,N;D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0300,K_exponential_disk,2.08,1.75,42.0,S4G_MATCHED,NGC0300,152.16000366210938,1.534398989732565,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0801,K_thick_flared,80.7,8.72,80.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC0891,K_compact_finite,9.91,2.55,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC1003,K_scale_tail_spiral,11.4,1.61,67.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC1090,K_thick_flared,37.0,3.53,64.0,S4G_MATCHED,NGC1090,25.3799991607666,4.552686926761032,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC1705,K_scale_tail_spiral,5.73,0.39,80.0,S4G_MATCHED,NGC1705,11.539999961853027,0.3205788659317764,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2366,K_scale_tail_spiral,3.27,0.65,68.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2403,K_exponential_disk,3.16,1.39,63.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2841,K_compact_finite,14.1,3.64,76.0,S4G_MATCHED,NGC2841,56.279998779296875,3.847225572870269,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2903,K_thick_flared,6.6,2.33,66.0,S4G_MATCHED,NGC2903,54.88999938964844,1.7563522457599674,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,71.25,2.279834193876809,B;D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2915,K_scale_tail_spiral,4.06,0.55,56.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2955,K_compact_finite,97.9,18.76,56.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
