galaxy,dustpedia_table,match_status,claim_boundary
D564-8,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D564-8,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
D631-7,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO064,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO154,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO161,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO168,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
DDO170,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO079-G014,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_622_A132_fitw1,MATCHED_SOURCE_EVIDENCE,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_623_A5_dp-hi,MATCHED_SOURCE_EVIDENCE,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_623_A5_dp-lr,MATCHED_SOURCE_EVIDENCE,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_623_A5_dp-mr,MATCHED_SOURCE_EVIDENCE,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO116-G012,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO444-G084,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
ESO563-G021,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F561-1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F563-V2,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F565-V2,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F567-2,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-3,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F568-V1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-8,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F571-V1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F574-2,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F579-V1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-1,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_622_A132_fitw1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_623_A5_dp-hi,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_623_A5_dp-lr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_623_A5_dp-mg,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_623_A5_dp-mr,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_623_A5_refs,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_631_A38_tablea1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
F583-4,J_A+A_631_A38_tableb1,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
IC2574,J_A+A_622_A132_fither,NO_DIRECT_MATCH,source_expansion_not_label_not_endpoint
IC2574,J_A+A_622_A132_fitw1,MATCHED_SOURCE_EVIDENCE,source_expansion_not_label_not_endpoint
IC2574,J_A+A_623_A5_dp-hi,MATCHED_SOURCE_EVIDENCE,source_expansion_not_label_not_endpoint
