Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
PGC016784,366.85,256.04,67.1,0.195,56,67,ok,S4G,Simbad,NED,2,,12.96,0.47,69.53,2.135,74.9,76.94542,-16.29361
PGC024469,492.18,815.22,104.8,0.71,37,52,u,S4G,Simbad,NED,3,,14.0,0.22,106.52,3.475,18.27,130.70091,14.26522
PGC027616,448.28,787.35,14.3,0.114,52,67,ok,S4G,Simbad,NED,2,,13.19,0.759,132.34,1.913,32.95,145.12932,-8.9436
PGC027747,445.19,790.1,155.5,0.72,52,61,ok,S4G,Simbad,NED,2,,14.0,0.182,152.29,1.032,31.68,145.60333,-6.25806
PGC027810,282.62,790.69,151.7,0.648,52,82,ok,S4G,Simbad,NED,3,,13.08,0.348,149.89,2.042,25.49,145.82454,-9.94565
PGC027825,440.35,788.35,150.0,0.303,48,56,u,S4G,Simbad,NED,2,,13.81,0.456,137.51,1.319,33.56,145.86904,-5.36569
PGC027833,444.8,791.89,8.8,0.116,67,90,ok,S4G,Simbad,NED,2,,12.91,0.955,91.23,1.913,28.76,145.90074,-5.91252
PGC028308,467.23,790.02,125.2,0.803,15,22,z,S4G,Simbad,NED,2,,12.63,0.113,125.26,1.624,14.68,147.55821,-12.05774
PGC028380,466.53,789.28,70.5,0.305,45,56,ok,S4G,Simbad,NED,2,,13.84,0.761,84.71,1.571,23.95,147.8425,-12.62333
PGC029086,467.98,285.28,13.9,0.822,75,97,ok,S4G,Simbad,NED,2,,14.53,0.174,14.37,1.699,45.73,150.65,-6.01361
PGC029300,588.07,294.06,144.3,0.056,75,112,ok,S4G,Simbad,NED,2,,12.42,0.875,5.19,1.418,31.7,151.42339,-7.98146
PGC029466,465.02,796.17,0.7,0.815,7,22,z,S4G,Simbad,NED,1,,16.32,0.14,0.71,0.795,14.25,151.98833,13.22778
PGC029653,326.0,284.0,54.4,0.301,150,165,u,S4G,Simbad,NED,0,Fit uncertain,12.38,0.747,47.91,0.319,107.64,152.75208,-4.69139
PGC030591,599.86,301.68,169.2,0.845,11,18,z,S4G,Simbad,NED,2,,13.63,0.119,169.13,0.929,16.1,156.36038,-15.34924
PGC031979,566.33,297.21,179.4,0.132,56,61,ok,S4G,Simbad,NED,2,,13.46,0.953,179.48,2.373,28.45,160.90122,-9.85627
PGC032091,474.71,784.79,39.0,0.101,41,48,u,S4G,Simbad,NED,3,,13.46,0.771,53.26,1.383,26.44,161.2954,-10.06481
PGC032548,472.18,787.74,149.8,0.785,22,26,z,S4G,Simbad,NED,1,,14.71,0.112,150.68,1.852,15.02,162.84633,-10.13341
PGC035271,534.71,787.43,170.7,0.634,37,45,u,S4G,Simbad,NED,1,,15.84,0.445,166.78,1.133,22.35,171.93167,-4.92583
PGC035684,510.45,290.34,127.7,0.448,37,60,ok,S4G,Simbad,NED,1,,14.57,0.488,131.68,0.777,26.92,173.37133,49.23817
PGC035705,520.46,785.12,54.4,0.374,37,45,ok,S4G,Simbad,NED,1,,14.73,0.594,46.31,0.979,21.43,173.4388,-3.437
