galaxy,proxy_formula_family_for_scope,sparc_present,s4g_match_status,ned_nedd_match_status,dustpedia_match_status,phangs_match_status,primary_morphology_source,secondary_morphology_source,accepted_observable_collection_status,crossmatch_notes
NGC4013,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4088,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4183,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4214,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4389,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5907,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5985,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC6789,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC6946,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC7331,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC00731,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC00891,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02023,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02259,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC03580,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC04305,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC04499,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC05414,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC05716,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC05829,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC05986,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC06818,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC06917,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC06983,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC07151,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC07261,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC07577,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC07603,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC08699,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC11914,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC12506,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGCA444,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
D512-2,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
D564-8,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
D631-7,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
DDO064,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
DDO154,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
DDO161,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
DDO168,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
DDO170,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
ESO079-G014,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
ESO444-G084,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
ESO563-G021,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F563-V1,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F563-V2,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F565-V2,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F567-2,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F568-3,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F568-V1,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F571-8,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F571-V1,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F574-1,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F574-2,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F579-V1,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F583-1,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F583-4,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
KK98-251,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0055,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0100,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0247,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0289,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0300,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0801,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0891,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC1003,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC1090,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC1705,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2366,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2403,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2841,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2903,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2915,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2955,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2976,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2998,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3109,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3198,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3521,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3741,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3769,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3877,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3893,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3917,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3953,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3992,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4010,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4051,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4068,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4085,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4100,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4138,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4157,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4217,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC4559,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5005,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5033,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5055,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5371,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC5585,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC6015,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC6195,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC6503,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC6674,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC7793,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC7814,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
PGC51017,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC00128,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC00191,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC00634,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC01230,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC01281,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02455,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02487,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02885,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02916,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC02953,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC03205,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC03546,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC04278,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC04325,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
UGC04483,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
