galaxy,split,formula_family,old_rmse_matched_family,old_rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,old_matched_minus_wrong_mean,old_matched_minus_tpg_v6,old_matched_minus_mond,old_matched_beats_wrong_mean,old_matched_beats_tpg_v6,old_matched_beats_mond,filled_rmse_matched_family,filled_rmse_wrong_family_mean,filled_matched_minus_wrong_mean,filled_matched_minus_tpg_v6,filled_matched_minus_mond,filled_matched_beats_wrong_mean,filled_matched_beats_tpg_v6,filled_matched_beats_mond,filled_minus_old_matched_rmse,filled_improves_matched_rmse,filled_minus_old_matched_minus_wrong,filled_improves_vs_wrong,filled_minus_old_matched_minus_tpg,filled_improves_vs_tpg,filled_minus_old_matched_minus_mond,filled_improves_vs_mond,claim_boundary
NGC3949,holdout,K_thick_flared,8.55319084358932,22.645530043633567,8.950158230683527,11.297904622428334,-14.092339200044249,-0.3969673870942074,-2.7447137788390137,True,True,True,8.678216127024218,22.72740335752656,-14.04918723050234,-0.2719421036593097,-2.619688495404116,True,True,True,0.12502528343489772,False,0.04315196954190803,False,0.12502528343489772,False,0.12502528343489772,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC3953,train,K_thick_flared,10.55383538687841,13.573063796246238,10.449994650865388,10.343662263567392,-3.0192284093678285,0.10384073601302113,0.21017312331101756,True,False,False,10.55383538687841,13.573063796246238,-3.0192284093678285,0.10384073601302113,0.21017312331101756,True,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC3972,holdout,K_thick_flared,8.593962113335323,19.977775866378973,7.806428086864266,6.774747860896815,-11.38381375304365,0.7875340264710564,1.819214252438508,True,False,False,8.464906464938156,19.89868096985006,-11.433774504911902,0.6584783780738901,1.6901586040413417,True,False,False,-0.12905564839716632,True,-0.04996075186825166,True,-0.12905564839716632,True,-0.12905564839716632,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC3992,train,K_thick_flared,23.63875115028724,22.094294615044948,21.62991458359259,18.53931925672739,1.5444565352422934,2.008836566694651,5.099431893559853,False,False,False,23.63875115028724,22.094294615044948,1.5444565352422934,2.008836566694651,5.099431893559853,False,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4010,train,K_exponential_disk,9.44159669812727,22.95697576374381,10.799199499954586,11.798351296716527,-13.51537906561654,-1.3576028018273156,-2.356754598589257,True,True,True,9.44159669812727,22.95697576374381,-13.51537906561654,-1.3576028018273156,-2.3567545985892586,True,True,True,0.0,False,0.0,False,0.0,False,-1.7763568394002505e-15,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4013,holdout,K_compact_finite,16.99356852880305,11.668540793425578,12.273912532057183,14.334222058319126,5.325027735377471,4.719655996745866,2.659346470483923,False,False,False,16.99356852880305,11.668540793425578,5.325027735377471,4.719655996745866,2.659346470483923,False,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4051,train,K_thick_flared,22.321198124489968,30.767138064171817,23.162699244292835,25.364933901873997,-8.44593993968185,-0.8415011198028672,-3.043735777384029,True,True,True,22.321198124489968,30.767138064171817,-8.44593993968185,-0.8415011198028672,-3.043735777384029,True,True,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4068,train,K_scale_tail_spiral,14.042724437389454,67.42956671973123,9.789559083112076,11.389697947293712,-53.386842282341775,4.253165354277378,2.6530264900957423,True,False,False,14.042724437389454,67.42956671973123,-53.386842282341775,4.253165354277378,2.6530264900957423,True,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4085,train,K_thick_flared,20.992615149075316,38.08639234794842,21.45520895763762,23.247876990413115,-17.093777198873102,-0.46259380856230337,-2.2552618413377985,True,True,True,20.992615149075316,38.08639234794842,-17.093777198873102,-0.46259380856230337,-2.2552618413377985,True,True,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4088,holdout,K_thick_flared,37.811387707787695,42.53175206180385,38.98773649865968,42.18384581680386,-4.720364354016155,-1.1763487908719839,-4.372458109016165,True,True,True,38.455377936394925,42.99212102309881,-4.536743086703886,-0.5323585622647542,-3.7284678804089353,True,True,True,0.6439902286072297,False,0.1836212673122688,False,0.6439902286072297,False,0.6439902286072297,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4100,train,K_thick_flared,11.777571748634417,12.316135202300249,10.799906207475212,9.873831807311648,-0.5385634536658319,0.9776655411592046,1.903739941322769,True,False,False,11.777571748634417,12.316135202300247,-0.5385634536658301,0.9776655411592046,1.903739941322769,True,False,False,0.0,False,1.7763568394002505e-15,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4138,train,K_compact_finite,19.73416456468443,9.763873637930764,9.51519890085038,10.185247994852606,9.970290926753666,10.21896566383405,9.548916569831825,False,False,False,19.734164564684434,9.763873637930764,9.97029092675367,10.218965663834053,9.548916569831828,False,False,False,3.552713678800501e-15,False,3.552713678800501e-15,False,3.552713678800501e-15,False,3.552713678800501e-15,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4157,train,K_thick_flared,18.880739807305662,22.153823927512928,20.2163892812284,23.480615178680974,-3.273084120207266,-1.3356494739227358,-4.599875371375312,True,True,True,18.880739807305662,22.153823927512928,-3.2730841202072654,-1.3356494739227394,-4.599875371375312,True,True,True,0.0,False,4.440892098500626e-16,False,-3.552713678800501e-15,True,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4183,holdout,K_exponential_disk,6.224581287933666,13.760210864515452,6.489693491114096,10.354993594406714,-7.535629576581786,-0.26511220318043005,-4.1304123064730485,True,True,True,6.224581287933666,13.760210864515452,-7.535629576581786,-0.26511220318043005,-4.1304123064730485,True,True,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4214,holdout,K_scale_tail_spiral,15.405984093871057,39.05954643661913,17.991047303306434,15.27888150484993,-23.65356234274807,-2.5850632094353774,0.1271025890211277,True,True,False,15.745318476187409,38.26313235667124,-22.517813880483835,-2.2457288271190254,0.46643697133747963,True,True,False,0.33933438231635193,False,1.1357484622642353,False,0.33933438231635193,False,0.33933438231635193,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC4217,train,K_compact_finite,55.742715665520755,51.93585552015994,52.35219166022327,55.35556407681141,3.8068601453608153,3.390524005297486,0.38715158870934374,False,False,False,55.742715665520755,51.93585552015994,3.8068601453608153,3.390524005297486,0.38715158870934374,False,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
