galaxy,radius_kpc,velocity_km_s,velocity_error_km_s,v_gas_km_s,v_star_km_s,v_baryon_newton_km_s,figure_file,coordinate_calibration_uses_published_vobs
DDO_168,3.2599996026260003,58.7499770736,5.219973288,19.714473000591116,8.38547919192687,21.423741665947958,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,3.3899999471380005,58.8200233896,4.98997773216,20.326511226230206,8.26335397171704,21.941970683873276,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_210,0.0800001499999999,4.1600018,0.72999864,1.034690300762061,0.7374846680440283,1.2706170367546212,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_210,0.12000007,5.7799973,0.69999672,2.3344026702646823,0.9709104502937649,2.528260850748696,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_210,0.1599999899999999,7.0200045399999995,0.61000298,3.2452537999762705,1.1409931148879529,3.439990917790647,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_210,0.19999991,7.93000268,0.6799954399999999,3.7447376278202347,1.441092132090349,4.01245640903243,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_210,0.24000014,9.30999484,0.65999416,4.211867032497891,1.80734822403413,4.583266466436565,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_210,0.27000008,10.38000322,0.7499999199999999,4.775554698785058,2.0394648308949828,5.192816141319231,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_210,0.31,12.02,0.87999622,5.1428216428608495,2.206325252639095,5.596113434403464,rMD_DH_DM_profiles_ddo210.pdf,True
DDO_216,0.089999990145,3.229998057198,4.019997917884,-0.8346856770382167,0.591599335760398,0.0,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.170000304795,8.439999541534,2.750001746499,-1.0969352820272427,1.6930316704315143,1.2896081668971926,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.26000029494,9.70000172244,2.5700014349409996,0.16937165755872294,2.9087282224614266,2.9136552010366294,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.340000124475,11.689999140057,2.329996499408,1.8477415187371569,3.905274082862154,4.320337299602883,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.430000599735,12.850007174705,1.919998803163,2.27510445413478,4.751853277424543,5.268416256086291,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.52000058988,12.549997615197,1.989997417617,3.650836534705658,5.438719959617399,6.550441374616087,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.600000419415,13.110000091196,2.419996655187,5.276772760360546,5.963216376828522,7.9626804733933,rMD_DH_DM_profiles_ddo216.pdf,True
DDO_216,0.6900004095600001,13.460006723833,2.549999893616,5.646532191871053,6.28015938709204,8.44533763215636,rMD_DH_DM_profiles_ddo216.pdf,True
