GalaxyName,Class,NPoints,mond_simple_mu,newtonian_baryonic,projection_fixed,rar_mcgaugh,tau_core_s_class,tau_core_s_continuous,tau_core_s_evidence,tau_core_s_soft
NGC0801,B,13,0.155901635977,0.296541301618,0.140812880444,0.153923314848,0.099992046551,0.099992046551,0.099992046551,0.0880011799137
NGC1003,B,36,0.0954230187966,0.828496595079,0.121134111417,0.0937770565067,0.371487815456,0.371487815456,0.371487815456,0.217281564488
NGC1090,B,24,0.199547646705,0.422064358991,0.185412293573,0.195437700653,0.197133582191,0.197133582191,0.197133582191,0.159702088081
NGC1705,C,14,0.285791976498,1.04600742444,0.35441712533,0.288307540122,1.04600742444,0.857570212344,1.04600742444,0.552312677806
NGC2366,C,26,0.309827403355,0.533980243636,0.250878781086,0.308970559079,0.533980243636,0.348070869217,0.533980243636,0.132357823698
NGC2403,A,73,0.0558280967978,0.57056047717,0.0849274224718,0.0583453196755,0.0849274224718,0.119148391742,0.0849274224718,0.115536950809
NGC2903,B,34,0.257802582781,0.462053769721,0.255152463161,0.251167555346,0.308866234346,0.308866234346,0.308866234346,0.269759667101
NGC2976,C,27,0.248291724702,0.270461934012,0.239111202855,0.245486896471,0.270461934012,0.235973065958,0.270461934012,0.170244207566
NGC3109,C,25,0.137333913086,0.99855128493,0.175872341713,0.137404074124,0.99855128493,0.757784675921,0.99855128493,0.387207166703
NGC3198,A,43,0.16924092677,0.535663567612,0.156224718271,0.165313449294,0.156224718271,0.156921231251,0.156224718271,0.155000192851
NGC3741,C,21,0.101624658418,1.06268980489,0.20441784367,0.101249416849,1.06268980489,0.806156985629,1.06268980489,0.420208606252
NGC3917,A,17,0.145961028461,0.534182899695,0.143599282,0.145500872279,0.143599282,0.14686129765,0.143599282,0.14599315841
NGC3972,A,10,0.0974582508043,0.500333646208,0.101666152981,0.0979706684289,0.101666152981,0.120206949571,0.101666152981,0.117920972313
NGC4183,A,23,0.093933887864,0.63332154067,0.067793793622,0.0936999446807,0.067793793622,0.0772833000942,0.067793793622,0.0749706750344
NGC4559,A,32,0.1591705415,0.423082984187,0.133934336677,0.155745991953,0.133934336677,0.0696078961489,0.133934336677,0.0885878090163
NGC5033,B,22,0.068626832437,0.529179556094,0.0684843558766,0.0641466722679,0.24861487809,0.24861487809,0.24861487809,0.142733620312
NGC5055,C,28,0.147367961359,0.382767918875,0.117536452921,0.138729953741,0.382767918875,0.0703317588966,0.382767918875,0.0773673981879
NGC5371,B,19,0.184300085157,0.241830409641,0.173541595666,0.182785900913,0.0968100239485,0.0968100239485,0.0968100239485,0.116941038384
NGC5585,A,24,0.182562539361,0.524107577175,0.173858349781,0.179688750486,0.173858349781,0.156423081794,0.173858349781,0.155348847748
NGC6015,B,44,0.094451844825,0.595470404496,0.111171033324,0.098682323148,0.302938701511,0.302938701511,0.302938701511,0.19352669473
NGC6503,A,31,0.0439936283865,0.713992234505,0.0724988870366,0.0432196021604,0.0724988870366,0.113210049425,0.0724988870366,0.108768029847
NGC7331,A,36,0.1120363281,0.303745096522,0.0980426424927,0.100097717032,0.0980426424927,0.0844532908693,0.0980426424927,0.0854880960984
UGC00128,A,22,0.110243251461,0.949260255474,0.138644762938,0.110341678872,0.138644762938,0.235804400832,0.138644762938,0.199816938684
UGC00191,A,9,0.115946985728,0.709231051554,0.124355498657,0.116702790059,0.124355498657,0.132533509146,0.124355498657,0.142446289673
UGC00731,C,12,0.246646797063,1.11367862276,0.339703437496,0.246660902216,1.11367862276,0.744589336445,1.11367862276,0.493199522482
UGC02259,B,8,0.231218703819,0.934131176763,0.269434395511,0.232419127835,0.538836744867,0.538836744867,0.538836744867,0.39177029408
UGC02455,C,8,0.805939673617,0.462125624615,0.79307548972,0.800198251062,0.462125624615,0.613303212086,0.462125624615,0.708018508344
UGC03580,C,47,0.29439738791,0.42454793627,0.280295929872,0.284289640504,0.42454793627,0.342960749684,0.42454793627,0.25929090741
UGC04305,C,22,0.647098431237,0.240490027878,0.595364038339,0.646001761753,0.240490027878,0.207993973742,0.240490027878,0.387344822557
UGC04325,C,8,0.259597678206,0.861824671135,0.284250584123,0.261395008451,0.861824671135,0.692332632747,0.861824671135,0.448823086349
UGC04483,B,8,0.280977123536,0.537096229424,0.219259041174,0.280065731431,0.125495258947,0.204583433383,0.125495258947,0.0868806854538
UGC04499,C,9,0.168032935667,0.583361975277,0.137445134148,0.166726695,0.583361975277,0.30557439329,0.583361975277,0.123346537112
UGC05253,C,73,0.0825710246064,0.290636933243,0.0804859948156,0.0820532690755,0.290636933243,0.290636933243,0.290636933243,0.139386813126
UGC05716,A,12,0.0879925698555,0.896352231005,0.113234581806,0.0881758977298,0.113234581806,0.117601853567,0.113234581806,0.138138245545
UGC05721,B,23,0.248594478389,0.875654443366,0.284722424871,0.25098096436,0.529667492201,0.543079917362,0.529667492201,0.402437339799
UGC05764,A,10,0.253180083162,1.0845637126,0.329468364182,0.253719025126,0.329468364182,0.358624889978,0.329468364182,0.365670773988
UGC05829,C,11,0.134425123451,0.854213738616,0.138511848788,0.133780412973,0.854213738616,0.743444217444,0.854213738616,0.314161429805
UGC05918,C,8,0.105430543097,0.968496844051,0.142410679824,0.105249912071,0.968496844051,0.968496844051,0.968496844051,0.409685405698
UGC06399,B,9,0.0868704942038,0.746525428241,0.103627631999,0.0871040730414,0.353537100587,0.353537100587,0.353537100587,0.209171206008
UGC06446,C,17,0.156385168644,0.887390112324,0.194477889802,0.157244578002,0.887390112324,0.538316676579,0.887390112324,0.338918152658
UGC06818,C,8,0.33044743187,0.568811294717,0.308337912727,0.329138723311,0.568811294717,0.447596248413,0.568811294717,0.25264906634
UGC06917,C,11,0.0537490018421,0.648932194162,0.0714901522218,0.0545785751944,0.648932194162,0.498757037338,0.648932194162,0.239042282434
UGC06973,C,9,0.224073118299,0.237094617008,0.212731540404,0.209708449225,0.237094617008,0.220433717463,0.237094617008,0.19900024714
UGC07089,B,12,0.248220645263,0.489604331464,0.207520446277,0.246854557193,0.119314048745,0.489604331464,0.119314048745,0.0976397406859
UGC07323,C,10,0.168065431052,0.43854165908,0.146477589125,0.165902515329,0.43854165908,0.185639311579,0.43854165908,0.0568147672085
UGC07399,C,10,0.358341693265,1.03491330566,0.397297779587,0.360100316196,1.03491330566,0.951384754182,1.03491330566,0.611495780284
UGC07524,B,31,0.112384279371,0.750103824702,0.0951957381002,0.111756344462,0.319110980056,0.319676553063,0.319110980056,0.170266762935
UGC07577,C,9,0.78304459445,0.342143244386,0.654467132363,0.78260844328,0.342143244386,0.342143244386,0.342143244386,0.373393228732
UGC07603,C,12,0.139546990489,0.809023832605,0.180772538101,0.139863072281,0.809023832605,0.607980541478,0.809023832605,0.342963938566
UGC08490,C,30,0.131624314059,0.891707348337,0.186480774958,0.133509090802,0.891707348337,0.67565172695,0.891707348337,0.382122873753
UGC08837,C,8,0.51288568934,0.385913057081,0.439660105625,0.512159307066,0.385913057081,0.23054880278,0.385913057081,0.2509800858
UGC09133,B,68,0.0912036533001,0.456134785052,0.0762746430845,0.0917690371925,0.197729822714,0.208685756786,0.197729822714,0.113896954315
UGC11820,B,10,0.141763703126,0.798992051889,0.128474525773,0.141791694138,0.363369672501,0.225546891807,0.363369672501,0.173623319446
UGC12632,C,15,0.101584489771,0.841666127047,0.105256871621,0.101364239897,0.841666127047,0.795100417743,0.841666127047,0.331756483649
UGC12732,B,16,0.0884198735504,0.878377120905,0.124035540684,0.0886400959932,0.417715015456,0.402657087671,0.417715015456,0.247837595689
UGCA442,B,8,0.0943724588505,0.853528047484,0.105548471818,0.0937652985943,0.375595345291,0.375595345291,0.375595345291,0.211477833506
UGCA444,B,36,0.166588970943,0.840533089248,0.165637183304,0.165962535789,0.36158844915,0.36158844915,0.36158844915,0.218149879007
