galaxy,split,formula_family,n_points_x,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond,role,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points_y,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs,rotation_inferred_family,rotation_inferred_confidence,matches_current_proxy_family,memory_history_proxy_class,source_memory_proxy_flags,winner_tau_tpg_mond,baseline_success_class,claim_boundary
NGC3949,holdout,K_thick_flared,7,8.950158230683527,11.297904622428334,8.55319084358932,22.645530043633567,K_exponential_disk,2,50.15654048051538,9.652397226533784,8.127652423851528,8.55319084358932,-14.092339200044249,-0.3969673870942074,-2.7447137788390137,True,True,True,middle,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,55.0,2.0,7,1.74,4.37,7.07,0.0631191470985132,0.0,0.0,2.0782692709916564,2.8761196512188567,2.6042908224076284,1.5295,7.293126184993245,4.37,0.1084036161943309,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
NGC3972,holdout,K_thick_flared,10,7.806428086864266,6.774747860896815,8.593962113335323,19.977775866378973,K_scale_tail_spiral,2,43.704937357513515,6.707975112059255,9.520415129564146,8.593962113335323,-11.38381375304365,0.7875340264710564,1.819214252438508,True,False,False,middle,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,77.0,1.0,10,0.87,4.805,8.72,0.0805146224534249,0.0,0.0,1.7273889153799096,2.4062164678532603,2.8635280095351607,1.68175,9.071043753896932,4.805,0.1162315801040412,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_scale_tail_spiral,HIGH,False,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,mond,mond_success_possible_simple_radial_low_acceleration_regime,baseline_success_morphology_audit_not_endpoint_not_validation
NGC4013,holdout,K_compact_finite,36,12.273912532057183,14.334222058319126,16.99356852880305,11.668540793425578,K_exponential_disk,4,16.99356852880305,12.733233099294065,10.880207082032726,11.39218219894994,5.325027735377471,4.719655996745866,2.659346470483923,False,False,False,middle,1.0,none,3.0,mid_T_3_5,inc_edge_ge_80,4.0,0.138888888889,89.0,1.0,36,5.49,18.229999999999997,31.01,0.0690537022061544,0.2209200424475875,0.319161575792811,1.018111304261489,2.412830002562326,10.864123957091774,6.380499999999999,32.08067765270643,22.25737237381952,0.1110741659927694,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,compact_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_closure_like_regularization_of_mismatched_proxy,baseline_success_morphology_audit_not_endpoint_not_validation
NGC4088,holdout,K_thick_flared,12,38.98773649865968,42.18384581680386,37.811387707787695,42.53175206180385,K_exponential_disk,2,51.33621019678367,39.77015631070587,36.488889677922,37.811387707787695,-4.720364354016155,-1.176348790871984,-4.372458109016165,True,True,True,candidate,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,69.0,2.0,12,1.74,11.33,21.48,0.0897143210371243,0.0,0.0,1.5593413672138234,2.897649080327782,6.752085816448153,3.9655,22.443531807938715,11.33,0.1203714444667059,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
NGC4183,holdout,K_exponential_disk,23,6.489693491114096,10.354993594406714,6.224581287933666,13.760210864515452,K_thick_flared,2,28.09744430832445,7.322598027053424,6.224581287933666,5.86059025816848,-7.535629576581786,-0.26511220318043,-4.1304123064730485,True,True,True,control,1.0,none,6.0,late_T_6_8,inc_edge_ge_80,4.0,0.138888888889,82.0,2.0,23,0.87,10.47,21.02,0.3105049950741936,0.0,0.0,0.7379536594352742,2.2046896204203605,6.239570917759238,3.6645,24.283407498229774,10.47,0.2197272477833871,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_thick_flared,LOW,False,expdisk_current_with_vertical_projection_memory_candidate,edge_or_projection_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;rotation_external_family_mismatch,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
NGC4214,holdout,K_scale_tail_spiral,14,17.991047303306434,15.27888150484993,15.405984093871057,39.05954643661913,K_scale_tail_spiral,1,78.01089432719559,15.405984093871057,20.174500243655785,18.993244739006016,-23.65356234274807,-2.585063209435378,0.1271025890211277,True,True,False,middle,0.8,low_inclination,10.0,irregular_T_ge_9,inc_low_lt_40,2.0,0.048780487805,15.0,10.0,14,0.21,2.925,5.63,0.1817104739123197,0.0,0.0,0.5123592877122507,2.7334380270910614,1.743146603098927,1.02375,6.14151498406318,2.925,0.1617697132605438,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_scale_tail_spiral,MEDIUM,True,current_readout_consistent_no_memory_proxy_flag,gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse,mond,mond_success_possible_effective_radial_scaling_or_diffuse_disk_regime,baseline_success_morphology_audit_not_endpoint_not_validation
NGC4389,holdout,K_thick_flared,6,46.55692853885728,48.50110279830857,45.987913835499185,67.05818976545275,K_exponential_disk,2,107.98214008267176,47.82928696479762,45.36314224888892,45.987913835499185,-21.070275929953567,-0.5690147033580928,-2.5131889628093873,True,True,True,candidate,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,50.0,4.0,6,0.87,3.145,5.32,0.0231227672033833,0.0,0.0,2.2501261736983182,2.89999549768761,1.8742550655542312,1.10075,5.381506560761,3.145,0.0904052452415224,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
NGC5907,holdout,K_thick_flared,19,16.785509985459306,18.59536481497724,16.383392586061934,17.603432862968834,K_thick_flared,1,19.143923926446448,16.972225684978213,16.694148977481838,16.383392586061934,-1.2200402769069,-0.4021173993973725,-2.211972228915307,True,True,True,middle,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_edge_ge_80,2.0,0.052023121387,88.0,2.0,19,5.03,27.68,50.33,0.1572305088081207,0.0,0.0,0.8223570578314573,2.57362573693412,16.495828367103694,9.688,54.28670575415636,27.68,0.1507537289636543,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_thick_flared,LOW,True,current_readout_consistent_no_memory_proxy_flag,vertical_geometry_proxy_only,tau_matched,current_morphology_readout_regular_candidate,baseline_success_morphology_audit_not_endpoint_not_validation
NGC5985,holdout,K_compact_finite,33,72.28739039126062,69.40357999391347,66.20241092491683,73.62210136086749,K_compact_finite,1,66.20241092491683,71.55950197762083,75.49983649471685,73.80696561026477,-7.419690435950656,-6.084979466343782,-3.2011690689966343,True,True,True,candidate,0.85,large_distance_error,3.0,mid_T_3_5,inc_high_60_80,1.0,0.249370277078,60.0,2.0,33,3.54,15.64,34.72,0.0295422230951346,0.1382475192384129,0.5574581155350338,1.8191020419726531,2.530289366272282,9.32061978545888,5.474,35.232852992931534,17.802191200888778,0.0932940003928105,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_compact_finite,LOW,True,current_readout_consistent_no_memory_proxy_flag,bulge_or_compact_core_memory;distance_caveat,tau_matched,current_morphology_readout_regular_candidate,baseline_success_morphology_audit_not_endpoint_not_validation
NGC6789,holdout,K_scale_tail_spiral,4,15.897752239176857,15.396246199577478,11.536643562882814,119.24492701458892,K_scale_tail_spiral,1,325.10280406752605,11.536643562882814,16.475522315540964,16.156454660699737,-107.70828345170612,-4.361108676294043,-3.859602636694664,True,True,True,middle,0.8,few_rotation_points,11.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.051136363636,43.0,7.0,4,0.1,0.405,0.71,0.3124876117263441,0.0,0.0,1.6495337685489222,2.1013689632492514,0.2413587604290822,0.14175,0.8209331021628522,0.405,0.2206194252768548,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_scale_tail_spiral,HIGH,True,current_readout_consistent_no_memory_proxy_flag,gas_rich_late_or_irregular,tau_matched,current_morphology_readout_regular_candidate,baseline_success_morphology_audit_not_endpoint_not_validation
NGC6946,holdout,K_compact_finite,58,15.02544742520658,17.728143095419597,27.87252780787919,14.19367158482804,K_exponential_disk,4,27.87252780787919,15.848262108909823,12.791054074078565,13.941698571495728,13.678856223051156,12.847080382672615,10.144384712459598,False,False,False,middle,0.65,low_inclination;large_distance_error,6.0,late_T_6_8,inc_low_lt_40,2.0,0.300724637681,38.0,2.0,58,0.19,10.29,20.4,0.0727529263390916,0.1522384939532083,0.992215072630338,1.4486733791800546,3.206809690842736,6.132300357568534,3.6014999999999993,21.14207984865873,11.856534102778513,0.1127388168525912,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,compact_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;distance_caveat;inclination_caveat;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_closure_like_regularization_of_mismatched_proxy,baseline_success_morphology_audit_not_endpoint_not_validation
NGC7331,holdout,K_thick_flared,36,25.485065060071012,29.311675230419706,24.522570438330455,26.364633972516103,K_exponential_disk,2,29.706075556369132,25.914849469925397,23.472976891253797,24.522570438330455,-1.8420635341856515,-0.9624946217405572,-4.789104792089248,True,True,True,candidate,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_high_60_80,3.0,0.102040816327,75.0,2.0,36,2.67,17.61,36.31,0.0717586900579991,0.0696028829307637,0.2064409735332409,1.4992933896487588,3.3073697960474604,10.494636471990464,6.163499999999999,37.612779018002975,18.83570676841075,0.1122914105260996,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,thick_flared_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
UGC00731,holdout,K_scale_tail_spiral,12,12.8454530669031,11.466827035781066,11.310048467799865,28.290358560322016,K_scale_tail_spiral,1,53.54830107408136,11.310048467799865,17.22212565294635,14.10064895393833,-16.980310092522153,-1.535404599103236,-0.1567785679812026,True,True,True,middle,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,57.0,3.0,12,0.91,5.905,10.91,0.6981765286092368,0.0,0.0,-0.0258151246394091,0.9370161074648142,3.519070321811681,2.06675,14.718552963563388,5.905,0.3941794378741566,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_scale_tail_spiral,MEDIUM,True,current_readout_consistent_no_memory_proxy_flag,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,tau_matched,current_morphology_readout_regular_candidate,baseline_success_morphology_audit_not_endpoint_not_validation
UGC00891,holdout,K_scale_tail_spiral,5,5.958365558298525,7.682081654505746,7.225333270873022,30.708551410992673,K_thick_flared,3,79.66608064043508,7.225333270873022,6.480960832640786,5.9786127599021475,-23.48321814011965,1.2669677125744965,-0.4567483836327239,True,False,True,control,0.65,few_rotation_points;large_distance_error,9.0,irregular_T_ge_9,inc_high_60_80,1.0,0.303921568627,60.0,5.0,5,1.48,4.45,7.39,0.6490832991042254,0.0,0.0,0.3435687262417046,1.0681858617461617,2.65196662693683,1.5575,9.788362790190112,4.45,0.3720874845969014,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_thick_flared,LOW,False,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_smooth_tail_or_memory_integrated_readout,baseline_success_morphology_audit_not_endpoint_not_validation
UGC02023,holdout,K_scale_tail_spiral,5,12.19804888404624,13.979836766957424,15.30026431538294,52.34894448268364,K_exponential_disk,3,135.73645573462076,15.30026431538294,10.049805645594558,11.260572067835628,-37.0486801673007,3.1022154313367025,1.3204275484255188,True,False,False,middle,0.45,few_rotation_points;low_inclination;large_distance_error,10.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.298076923077,19.0,10.0,5,0.76,2.27,3.78,0.2065996906946769,0.0,0.0,1.3052473883073463,1.750970984437319,1.3528009535160908,0.7945,4.170473415412939,2.27,0.1729698608126046,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,MEDIUM,False,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_smooth_tail_or_memory_integrated_readout,baseline_success_morphology_audit_not_endpoint_not_validation
