galaxy,split,current_proxy_family,rotation_inferred_family,rotation_inferred_confidence,rotation_inferred_margin_to_second,predeclared_family_rank_by_rotation,matches_current_proxy_family,external_family_label,external_family_label_status,external_family_present,matches_external_family,external_family_mismatch,type_bin,manifest_confidence,manifest_caveat,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,source_memory_proxy_flags,proxy_status,claim_boundary,memory_history_proxy_class
UGC06973,train,K_compact_finite,K_exponential_disk,LOW,0.3312386630742736,4,False,,,False,False,False,early_T_le_2,1.0,none,0.031100621588988,0.1663220424701575,0.1879850807208081,1.523648002401475,bulge_or_compact_core_memory;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,compact_proxy_with_alternate_readout_memory_candidate
UGC06983,holdout,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,2.8887800872899874,1,True,,,False,False,False,late_T_6_8,1.0,none,0.3526909491487769,0.0,0.0,0.8555732325327188,gas_rich_late_or_irregular,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC07089,train,K_exponential_disk,K_exponential_disk,MEDIUM,1.9812215066738472,1,True,K_exponential_disk,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,True,True,False,late_T_6_8,1.0,none,0.2391226670372042,0.0,0.0,1.0471246514878445,edge_or_projection_caveat,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC07125,train,K_scale_tail_spiral,K_exponential_disk,MEDIUM,3.1914096121043904,3,False,,,False,False,False,irregular_T_ge_9,0.85,large_distance_error,0.5080285011253733,0.0,0.0,0.6350165516579116,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC07151,holdout,K_exponential_disk,K_exponential_disk,LOW,0.0196272199461233,1,True,,,False,False,False,late_T_6_8,1.0,none,0.1977479474520546,0.0,0.0,1.3717665100620258,none,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC07232,train,K_scale_tail_spiral,K_thick_flared,LOW,0.0429709735188632,3,False,,,False,False,False,irregular_T_ge_9,0.8,few_rotation_points,0.2042506889764986,0.0,0.0,1.5562534505851269,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
UGC07261,holdout,K_exponential_disk,K_scale_tail_spiral,MEDIUM,0.7475400240315668,3,False,,,False,False,False,late_T_6_8,0.45,few_rotation_points;low_inclination;large_distance_error,0.2064259010278633,0.0,0.0,1.1989104906357924,distance_caveat;inclination_caveat;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,expdisk_proxy_with_scale_tail_readout_memory_candidate
UGC07323,train,K_exponential_disk,K_exponential_disk,MEDIUM,1.1583269782042196,1,True,,,False,False,False,late_T_6_8,0.85,large_distance_error,0.1190454371697683,0.0,0.0,1.5776940864593925,distance_caveat,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC07399,train,K_exponential_disk,K_scale_tail_spiral,MEDIUM,3.858347173760812,3,False,,,False,False,False,late_T_6_8,0.85,large_distance_error,0.356599007960146,0.0,0.0,0.9088704411157068,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,expdisk_proxy_with_scale_tail_readout_memory_candidate
UGC07524,train,K_scale_tail_spiral,K_thick_flared,LOW,0.0658423010840234,2,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.3460297017187979,0.0,0.0,0.9270544778487194,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
UGC07559,train,K_scale_tail_spiral,K_exponential_disk,MEDIUM,1.2396432373513502,3,False,,,False,False,False,irregular_T_ge_9,0.8,few_rotation_points,0.4116719704674914,0.0,0.0,0.8025130993252912,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC07577,holdout,K_scale_tail_spiral,K_exponential_disk,MEDIUM,1.023602607636203,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.1092797408700384,0.0,0.0,0.7744462575574903,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC07603,holdout,K_exponential_disk,K_scale_tail_spiral,HIGH,4.001952810470218,3,False,,,False,False,False,late_T_6_8,0.85,large_distance_error,0.3367115321762238,0.0,0.0,0.6439810306985554,distance_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,expdisk_proxy_with_scale_tail_readout_memory_candidate
UGC07608,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,4.855961771795909,1,True,,,False,False,False,irregular_T_ge_9,0.65,low_inclination;large_distance_error,0.5683608186035206,0.0,0.0,0.5374973258255301,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC07690,train,K_scale_tail_spiral,K_exponential_disk,LOW,0.3295400907425048,3,False,,,False,False,False,irregular_T_ge_9,0.65,few_rotation_points;large_distance_error,0.2776380882254749,0.0,0.0,0.9741885876412364,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC07866,train,K_scale_tail_spiral,K_exponential_disk,HIGH,1.0585424087728286,3,False,,,False,False,False,irregular_T_ge_9,0.8,few_rotation_points,0.3554897921704338,0.0,0.0,0.8097897592283523,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC08286,train,K_exponential_disk,K_scale_tail_spiral,HIGH,3.8332883668233055,3,False,,,False,False,False,late_T_6_8,1.0,none,0.3098810026498474,0.0,0.0,0.5435678089576533,low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,expdisk_proxy_with_scale_tail_readout_memory_candidate
UGC08490,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,4.072178872482384,1,True,,,False,False,False,irregular_T_ge_9,1.0,none,0.4686619818834262,0.0,0.0,0.0635258130058972,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC08550,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,4.275290598930815,1,True,,,False,False,False,late_T_6_8,0.85,large_distance_error,0.4211324933703986,0.0,0.0,-0.1308309704488537,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC08699,holdout,K_compact_finite,K_compact_finite,MEDIUM,1.8202505576081,1,True,,,False,False,False,early_T_le_2,0.85,large_distance_error,0.0491906047533491,0.5016099888270507,0.980448697417964,1.7372115100390335,bulge_or_compact_core_memory;distance_caveat,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC08837,train,K_scale_tail_spiral,K_exponential_disk,MEDIUM,1.529992283086564,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.2441964274175022,0.0,0.0,0.9175082261817712,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC09037,train,K_exponential_disk,K_exponential_disk,LOW,2.040901119426234,1,True,,,False,False,False,late_T_6_8,1.0,none,0.2328556219288511,0.0,0.0,1.1859006439335869,none,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC09133,train,K_compact_finite,K_scale_tail_spiral,LOW,0.0229813822273854,3,False,,,False,False,False,early_T_le_2,1.0,none,0.0828655514484081,0.4797910869076648,0.9863851951140944,1.4142671823231343,bulge_or_compact_core_memory;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,compact_proxy_with_alternate_readout_memory_candidate
UGC09992,train,K_scale_tail_spiral,K_exponential_disk,MEDIUM,1.347112632193861,3,False,,,False,False,False,irregular_T_ge_9,0.45,few_rotation_points;low_inclination;large_distance_error,0.399287771987601,0.0,0.0,0.7467309700487111,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC10310,train,K_scale_tail_spiral,K_thick_flared,LOW,0.5607547492037908,3,False,,,False,False,False,irregular_T_ge_9,0.45,few_rotation_points;low_inclination;large_distance_error,0.3197709885641517,0.0,0.0,1.039273846628675,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
UGC11455,train,K_exponential_disk,K_exponential_disk,LOW,0.3549822723043956,1,True,,,False,False,False,late_T_6_8,1.0,none,0.0255037996608254,0.0,0.0,2.0655881195345627,none,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC11557,train,K_exponential_disk,K_exponential_disk,LOW,1.0164132486855555,1,True,,,False,False,False,late_T_6_8,0.65,low_inclination;large_distance_error,0.0632064779951347,0.0,0.0,1.6945584678938832,distance_caveat;inclination_caveat,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC11820,train,K_scale_tail_spiral,K_thick_flared,LOW,0.4956043526116822,3,False,,,False,False,False,irregular_T_ge_9,0.85,large_distance_error,0.3899094415275945,0.0,0.0,0.772579976117225,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
UGC11914,holdout,K_compact_finite,K_compact_finite,HIGH,9.950092601093116,1,True,,,False,False,False,early_T_le_2,0.65,low_inclination;large_distance_error,0.0032428364674103,0.5692553771698209,0.9724360634892316,2.7729184940052973,bulge_or_compact_core_memory;distance_caveat;inclination_caveat,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC12506,holdout,K_exponential_disk,K_compact_finite,LOW,2.7851153865486538,4,False,,,False,False,False,late_T_6_8,1.0,none,0.2228774584139502,0.0,0.0,1.3363116482200457,rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
UGC12632,train,K_scale_tail_spiral,K_scale_tail_spiral,MEDIUM,1.1286900886881694,1,True,,,False,False,False,irregular_T_ge_9,0.85,large_distance_error,0.4073338728061941,0.0,0.0,0.6123136029272741,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC12732,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,3.2012423730100066,1,True,,,False,False,False,irregular_T_ge_9,0.65,low_inclination;large_distance_error,0.4420675816051241,0.0,0.0,0.1498312875494762,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGCA281,train,K_scale_tail_spiral,K_exponential_disk,HIGH,0.5376056272677563,3,False,,,False,False,False,irregular_T_ge_9,0.8,few_rotation_points,0.3180971139499774,0.0,0.0,1.354686718191532,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGCA442,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,1.7565260745841709,1,True,,,False,False,False,irregular_T_ge_9,1.0,none,0.8085396665760752,0.0,0.0,0.1418492230508405,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGCA444,holdout,K_scale_tail_spiral,K_thick_flared,LOW,0.071439272554723,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.8579461284441405,0.0,0.0,-0.1388578837407648,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
