galaxy,product,ring_index,radius_mid_kpc,n_pairs,odd_los_weighted_median_km_s,even_los_weighted_median_km_s,absolute_odd_weighted_median_km_s,absolute_even_weighted_median_km_s,absolute_even_over_odd,source_outer_region,claim_boundary
NGC7331,ROBUST,3,3.5,70,-175.72171875000004,1.2055312500000355,175.72171875000004,9.008406250000007,0.051265184031214155,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,4,4.5,101,-204.96465625000002,15.286937500000022,204.96465625000002,16.17450000000008,0.07891360537922049,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,5,5.5,114,-212.7271875,8.757437500000037,212.7271875,10.288281250000068,0.04836373465427435,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,6,6.5,141,-210.784625,8.049156250000124,210.784625,11.548906250000073,0.0547900789727907,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,7,7.5,197,-216.67740625,-8.299874999999929,216.67740625,10.876531249999971,0.050196886875462914,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,8,8.5,218,-219.21456250000006,-6.84050000000002,219.21456250000006,8.980312499999968,0.040965857366341556,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,9,9.5,242,-216.20828125000003,-10.178187499999922,216.20828125000003,10.877999999999929,0.05031259643298204,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,10,10.5,304,-217.981375,-9.308656250000013,217.981375,10.270562499999983,0.04711669747013928,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,11,11.5,313,-210.83771875000002,-5.865843749999954,210.83771875000002,6.900031249999984,0.03272674021948448,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,12,12.5,333,-199.38903125000002,-3.389781249999942,199.38903125000002,8.025656249999997,0.04025124250660101,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,13,13.5,332,-189.38403125000002,-2.597499999999968,189.38403125000002,8.081968749999987,0.042675027544065894,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,14,14.5,415,-199.19237499999997,1.4788125000000036,199.19237499999997,6.022312499999998,0.030233649756924677,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,15,15.5,444,-199.88053125000005,0.6122187500000109,199.88053125000005,5.3784062500001255,0.026908104638130554,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,16,16.5,505,-206.36003125000002,1.0944687500000327,206.36003125000002,4.608749999999986,0.022333539940283306,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,17,17.5,539,-209.0329375,0.34846875000005184,209.0329375,5.15040625000006,0.024639209072015552,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,18,18.5,551,-213.034625,1.41668750000008,213.034625,3.439843749999909,0.01614687635871356,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,19,19.5,515,-207.23256249999997,-0.40446874999997817,207.23256249999997,4.575124999999957,0.022077249563518562,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,20,20.5,374,-208.01018749999997,0.9476562500000227,208.01018749999997,4.357250000000022,0.02094729134360317,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,21,21.5,289,-213.51440625000004,1.9104375000000573,213.51440625000004,3.5280625000000327,0.01652376793661918,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,22,22.5,229,-216.96365624999999,1.8360937499999181,216.96365624999999,3.152437500000133,0.014529795240764583,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,23,23.5,143,-213.01906250000002,5.157000000000153,213.01906250000002,5.422031250000032,0.025453267826676458,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,24,24.5,105,-214.24309374999996,10.300937499999918,214.24309374999996,10.697625000000016,0.04993218130281046,True,single_galaxy_clock_channel_parity_diagnostic
