galaxy,split,formula_family,n_points_x,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,role,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points_y,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs,source_disturbance_class,asymmetry_3p6,theta1,foreground_lens_geometry_weight,foreground_angular_weight,stellar_crowding_angular_weight,background_angular_control_weight,stellar_crowding_count,foreground_redshift_count,background_redshift_count,performance_class,z_inclination_deg,z_distance_frac_error,z_r_median,z_r_max,z_mean_gas,z_mean_bulge,z_mean_log_sbdisk,z_peak_log_sb,z_scale_radius_proxy_kpc,z_tail_cutoff_radius_proxy_kpc,z_thickness_h_over_rs_proxy,z_bar_m2_proxy,z_lopsided_m1_proxy
NGC3949,holdout,K_thick_flared,7,21.578815505213228,63.940165024871,28.51727644416544,8.950158230683527,11.297904622428334,-42.36134951965777,-6.938460938952211,12.6286572745297,10.280910882784896,17.487190384846073,103.76360346342818,70.56970122633875,21.578815505213228,middle,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,55.0,2.0,7,1.74,4.37,7.07,0.0631191470985132,0.0,0.0,2.0782692709916564,2.8761196512188567,2.6042908224076284,1.5295,7.293126184993245,4.37,0.1084036161943309,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S1,0.209999993443489,,0.0,0.0,4.629751282143616,0.7533028453187046,10.0,0.0,17.0,partial_success,-0.23631150993106098,-0.3232622579567615,-0.45676286922539855,-0.659199578973006,-0.9409197616286229,-0.4016895434681918,1.5766481324773782,0.8994191470315109,-0.45676286922539827,-0.7051692543015733,-0.9409197616286228,,
NGC3972,holdout,K_thick_flared,10,23.750532234093132,20.7677865976719,44.45959494291804,7.806428086864266,6.774747860896815,2.9827456364212317,-20.709062708824906,15.944104147228868,16.97578437319632,28.114915989883887,24.996493383473144,9.191950419658664,23.750532234093132,middle,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,77.0,1.0,10,0.87,4.805,8.72,0.0805146224534249,0.0,0.0,1.7273889153799096,2.4062164678532603,2.8635280095351607,1.68175,9.071043753896932,4.805,0.1162315801040412,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S2,0.4399999976158142,,0.0,0.0,248.75674086391675,1.0620178357457637,116.0,0.0,22.0,partial_success,1.0019608021076984,-0.3232622579567615,-0.39669356064076094,-0.5747989481302701,-0.8600357194590418,-0.4016895434681918,1.0507048924272964,0.2679974442292764,-0.3966935606407607,-0.6185419100344082,-0.8600357194590414,,
NGC4013,holdout,K_compact_finite,36,38.18856833872124,42.87911863902254,65.6912991112144,12.273912532057183,14.334222058319126,-4.690550300301304,-27.50273077249317,25.914655806664054,23.854346280402112,38.18856833872124,56.315128911691346,35.4974892364847,36.82473776889158,middle,1.0,none,3.0,mid_T_3_5,inc_edge_ge_80,4.0,0.138888888889,89.0,1.0,36,5.49,18.229999999999997,31.01,0.0690537022061544,0.2209200424475875,0.319161575792811,1.018111304261489,2.412830002562326,10.864123957091774,6.380499999999999,32.08067765270643,22.25737237381952,0.1110741659927694,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S3,0.800000011920929,,0.0,0.0,24.687382135441695,0.7524691001244185,12.0,0.0,27.0,partial_success,1.6773820632197491,-0.3232622579567615,1.457169583609262,0.5653768467088718,-0.9133257582575899,0.7609253190578386,-0.012448854770158418,0.27688423090228975,1.4571695836092617,0.5025806392200575,-0.9133257582575904,,
NGC4088,holdout,K_thick_flared,12,37.167495520085225,84.58767726819461,25.396289301523897,38.98773649865968,42.18384581680386,-47.420181748109385,11.771206218561328,-1.8202409785744535,-5.016350296718635,30.069978068577075,131.34621148745646,92.34684224855026,37.167495520085225,candidate,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,69.0,2.0,12,1.74,11.33,21.48,0.0897143210371243,0.0,0.0,1.5593413672138234,2.897649080327782,6.752085816448153,3.9655,22.443531807938715,11.33,0.1203714444667059,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S1,0.3000000119209289,,0.0,0.0,2.302253268521288,0.4151508083433335,10.0,0.0,16.0,body_failure,0.5516799613663315,-0.3232622579567615,0.5043460681288034,0.07789926372022114,-0.8172597220798569,-0.4016895434681918,0.79881426774171,0.9283488271646653,0.5043460681288034,0.033019864609815944,-0.8172597220798568,,
NGC4183,holdout,K_exponential_disk,23,14.397066732861228,27.46856455935689,48.41085618248364,6.489693491114096,10.354993594406714,-13.07149782649566,-34.013789449622415,7.907373241747132,4.042073138454514,35.38239050924084,15.48482034436486,14.397066732861228,31.538482824464964,control,1.0,none,6.0,late_T_6_8,inc_edge_ge_80,4.0,0.138888888889,82.0,2.0,23,0.87,10.47,21.02,0.3105049950741936,0.0,0.0,0.7379536594352742,2.2046896204203605,6.239570917759238,3.6645,24.283407498229774,10.47,0.2197272477833871,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S3,0.8299999833106995,,0.0,0.0,0.4984578659498195,0.8999503476544564,8.0,0.0,22.0,partial_success,1.2833863275710529,-0.3232622579567615,0.3855883546051521,0.05436939087921593,0.2093544879435637,-0.4016895434681918,-0.4323840751041822,-0.002799668178121806,0.3855883546051523,0.12266605947244504,0.20935448794356357,,
NGC4214,holdout,K_scale_tail_spiral,14,17.40801895657843,31.65909768401657,43.61623680279536,17.991047303306434,15.27888150484993,-14.251078727438138,-26.208217846216925,-0.5830283467280033,2.1291374517285018,36.4881645390085,17.40801895657843,24.000547129311357,34.48858138372984,middle,0.8,low_inclination,10.0,irregular_T_ge_9,inc_low_lt_40,2.0,0.048780487805,15.0,10.0,14,0.21,2.925,5.63,0.1817104739123197,0.0,0.0,0.5123592877122507,2.7334380270910614,1.743146603098927,1.02375,6.14151498406318,2.925,0.1617697132605438,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S2,0.9900000095367432,1.2000000476837158,0.1925513199342335,1.1178239690864165,169.17439508675986,0.8536648443533152,50.0,1.0,18.0,strong_success,-2.4877157136378965,-1.260327978277979,-0.6563034460180454,-0.7328583113448484,-0.38950362132486777,-0.4016895434681918,-0.770533056383593,0.7076939635158529,-0.6563034460180451,-0.761280415870446,-0.3895036213248683,,
NGC4389,holdout,K_thick_flared,6,48.825045809729986,80.08922023169588,23.5662941993844,46.55692853885728,48.50110279830857,-31.26417442196589,25.258751610345584,2.2681172708727075,0.323943011421413,42.95794566725149,111.2475796366614,86.06213539117473,48.825045809729986,candidate,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,50.0,4.0,6,0.87,3.145,5.32,0.0231227672033833,0.0,0.0,2.2501261736983182,2.89999549768761,1.8742550655542312,1.10075,5.381506560761,3.145,0.0904052452415224,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S0,0.1899999976158142,,0.0,0.0,0.2737757434344757,1.405795627372027,12.0,0.0,21.0,body_failure,-0.5177370353944154,-0.3232622579567615,-0.6259235658143206,-0.7487153995637865,-1.1268916199460695,-0.4016895434681918,1.8342486928647703,0.9315017720632626,-0.6259235658143203,-0.79831110417842,-1.1268916199460701,,
NGC5907,holdout,K_thick_flared,19,47.89710038327308,44.12559378789596,86.48374825501512,16.785509985459306,18.59536481497724,3.7715065953771183,-38.58664787174204,31.11159039781377,29.301735568295836,56.631878949791435,50.62194495289041,25.12295746100603,47.89710038327308,middle,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_edge_ge_80,2.0,0.052023121387,88.0,2.0,19,5.03,27.68,50.33,0.1572305088081207,0.0,0.0,0.8223570578314573,2.57362573693412,16.495828367103694,9.688,54.28670575415636,27.68,0.1507537289636543,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S3,1.0,,0.0,0.0,5.496345576079324,0.4091637564080515,87.0,0.0,14.0,partial_success,1.6210969581270782,-1.22660680759133,2.7621235287238033,1.5536315060310888,-0.5033285378275855,-0.4016895434681918,-0.30586973449274596,0.49294983759425604,2.7621235287238033,1.5845482595393852,-0.5033285378275854,,
NGC5985,holdout,K_compact_finite,33,98.00531823604152,57.32480566416151,136.4962034128173,72.28739039126062,69.40357999391347,40.68051257188002,-38.49088517677576,25.717927844780917,28.601738242128064,98.00531823604152,40.45024200243208,40.52777150115119,90.99640348890124,candidate,0.85,large_distance_error,3.0,mid_T_3_5,inc_high_60_80,1.0,0.249370277078,60.0,2.0,33,3.54,15.64,34.72,0.0295422230951346,0.1382475192384129,0.5574581155350338,1.8191020419726531,2.530289366272282,9.32061978545888,5.474,35.232852992931534,17.802191200888778,0.0932940003928105,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S3,0.9800000190734864,,0.0,0.0,1.350659947491188,0.886728061225545,40.0,0.0,20.0,partial_success,0.04511401553229345,0.8256685893335276,1.0995155393926843,0.7551503863613264,-1.0970429650251465,0.32585250655682785,1.188175965355313,0.43471757630038677,1.0995155393926845,0.6561673876521166,-1.097042965025147,,
NGC6789,holdout,K_scale_tail_spiral,4,10.436451225515672,19.75345768139025,26.49840257662861,15.897752239176857,15.396246199577478,-9.317006455874576,-16.06195135111294,-5.461301013661185,-4.959794974061806,22.78726425163528,10.436451225515672,15.15983775281498,21.31327103972049,middle,0.8,few_rotation_points,11.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.051136363636,43.0,7.0,4,0.1,0.405,0.71,0.3124876117263441,0.0,0.0,1.6495337685489222,2.1013689632492514,0.2413587604290822,0.14175,0.8209331021628522,0.405,0.2206194252768548,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,strong_success,-0.9117327710431116,-1.2358284814940397,-1.0042911647152564,-0.9845256469486426,0.2185730948299444,-0.4016895434681918,0.9340058879832484,-0.14163444860749838,-1.0042911647152561,-1.0205207127472185,0.21857309482994405,,
NGC6946,holdout,K_compact_finite,58,15.891419559407357,47.75276587498502,42.149896326484296,15.02544742520658,17.728143095419597,-31.86134631557767,-26.258476767076942,0.865972134200776,-1.8367235360122416,15.891419559407357,78.66190439711501,48.217679562182695,16.378713665657372,middle,0.65,low_inclination;large_distance_error,6.0,late_T_6_8,inc_low_lt_40,2.0,0.300724637681,38.0,2.0,58,0.19,10.29,20.4,0.0727529263390916,0.1522384939532083,0.992215072630338,1.4486733791800546,3.206809690842736,6.132300357568534,3.6014999999999993,21.14207984865873,11.856534102778513,0.1127388168525912,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,-1.193158296506466,1.359718803644017,0.36073208898392256,0.02265521444133935,-0.8961254119227747,0.399481476406886,0.6329312843674322,1.343776357858476,0.36073208898392267,-0.030392145539362758,-0.8961254119227745,,
NGC7331,holdout,K_thick_flared,36,40.83870946962385,85.2088730173941,59.354351789327744,25.485065060071012,29.311675230419706,-44.37016354777025,-18.515642319703893,15.35364440955284,11.527034239204148,34.53280674070732,131.0198096673286,90.0740026441464,40.83870946962385,candidate,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_high_60_80,3.0,0.102040816327,75.0,2.0,36,2.67,17.61,36.31,0.0717586900579991,0.0696028829307637,0.2064409735332409,1.4992933896487588,3.3073697960474604,10.494636471990464,6.163499999999999,37.612779018002975,18.83570676841075,0.1122914105260996,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,0.8893905919223567,-0.7064570016474264,1.3715535575805833,0.8364819033552358,-0.900748329528973,-0.035397081845278976,0.708806869567586,1.4789017094416712,1.371553557580583,0.7721270219513477,-0.9007483295289727,,
UGC00731,holdout,K_scale_tail_spiral,12,18.82780209341972,28.157434860408245,38.17360738121145,12.8454530669031,11.466827035781066,-9.329632766988524,-19.345805287791727,5.982349026516621,7.360975057638655,32.01032510969703,18.82780209341972,22.23038186939142,30.23159760213629,middle,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,57.0,3.0,12,0.91,5.905,10.91,0.6981765286092368,0.0,0.0,-0.0258151246394091,0.9370161074648142,3.519070321811681,2.06675,14.718552963563388,5.905,0.3941794378741566,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,-0.12374129974571921,1.3521830675489424,-0.24479415962213702,-0.4627762926480933,2.011917512330303,-0.4016895434681918,-1.577215988663444,-1.7062070858821254,-0.24479415962213677,-0.34337238974026213,2.011917512330303,,
UGC00891,holdout,K_scale_tail_spiral,5,5.991317747220241,18.37473393995531,28.400063073702132,5.958365558298525,7.682081654505746,-12.38341619273507,-22.408745326481892,0.0329521889217154,-1.690763907285505,22.4825040268543,5.991317747220241,11.967893831942218,20.673803961069417,control,0.65,few_rotation_points;large_distance_error,9.0,irregular_T_ge_9,inc_high_60_80,1.0,0.303921568627,60.0,5.0,5,1.48,4.45,7.39,0.6490832991042254,0.0,0.0,0.3435687262417046,1.0681858617461617,2.65196662693683,1.5575,9.788362790190112,4.45,0.3720874845969014,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S2,0.4099999964237213,,0.0,0.0,0.0552595246203164,0.5864830810900372,3.0,0.0,13.0,partial_success,0.04511401553229345,1.3929646981853931,-0.4457156400604077,-0.6428309717792633,1.7836478752833866,-0.4016895434681918,-1.0235374020811938,-1.5299507153436855,-0.4457156400604074,-0.5835912215473837,1.7836478752833864,,
