galaxy,family,role,filename,url,local_path,bytes,archive_reported_bytes,archive_size_matches,sha256,action,terminal_product,pixel_array_read
NGC1385,PHANGS_ALMA_CO21,CO21_velocity,group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X133.lp_schinner/group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_mom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1385/group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_mom1wprior.fits,636480,,,0fb263af63006a5173e9150af4f7529d085349c0234503fb20a7619627793bc3,reused_nonempty,True,False
NGC1385,PHANGS_ALMA_CO21,CO21_velocity_error,group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X133.lp_schinner/group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_emom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1385/group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_emom1wprior.fits,636480,,,672ae03098c0a433e140a5fd5a91ff697a85c0025783e7083b9a75d1ecd57ff0,reused_nonempty,True,False
NGC1512,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1512.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1512/P1/NGC1512.phot.1.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1512/NGC1512.phot.1.fits,13340160,,,143bc721407c07a31ce2748bf22baccc44178220796859b63dcca6bfa863976d,reused_nonempty,False,False
NGC1512,S4G_IRAC,foreground_background_mask,NGC1512.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1512/P2/NGC1512.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1512/NGC1512.1.final_mask.fits,6742080,,,7e182011742ab8ba066a4e0c708d08b0b28e0b6f9306e6282a263ff8654e7d58,reused_nonempty,False,False
NGC1512,PHANGS_ALMA_CO21,source_molecular_gas_morphology_input,group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_broad_mom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X137.lp_schinner/group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_broad_mom0.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1512/group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_broad_mom0.fits,2280960,,,b1c9f1ef78294439cb510877981f4d4d09394aceef35a920cf5b34dfeae61240,reused_nonempty,False,False
NGC1512,PHANGS_MUSE,Halpha_flux_velocity_and_errors,NGC1512_MAPS_copt_1.25asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.410,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1512/NGC1512_MAPS_copt_1.25asec.fits,348638400,348638400,True,03d7ce9586a3ff4bd7df73a438b983ad1c8711c57f910ccd8ebe67720bd83faa,reused_nonempty,True,False
NGC1512,PHANGS_ALMA_CO21,CO21_velocity,group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X137.lp_schinner/group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_mom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1512/group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_mom1wprior.fits,2280960,,,5e3ce5e5d2aece8b85be8faccf7a842ad2a1f811d86a5906081978b5a8a516aa,reused_nonempty,True,False
NGC1512,PHANGS_ALMA_CO21,CO21_velocity_error,group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X137.lp_schinner/group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_emom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1512/group.uid___A001_X136d_X137.lp_schinner.ngc1512_12m7mtp_co21_emom1wprior.fits,2280960,,,9de09b201b72cdb3e6ca678493abc0db785b14be143c79fcdbf6bd4ebaa07373,reused_nonempty,True,False
NGC5068,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC5068.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC5068/P1/NGC5068.phot.1.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC5068/NGC5068.phot.1.fits,13527360,,,89b92b6576f77cba9f988e6df830630ef67807ba522cce36be00b76fd30da0bb,reused_nonempty,False,False
NGC5068,S4G_IRAC,foreground_background_mask,NGC5068.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC5068/P2/NGC5068.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC5068/NGC5068.1.final_mask.fits,6851520,,,d5881b894ea0e8d6fd9ce987363feb60bad218f4ad34a69010e5c9364ebe863f,reused_nonempty,False,False
NGC5068,PHANGS_ALMA_CO21,source_molecular_gas_morphology_input,group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_broad_mom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fe_X329.lp_schinner/group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_broad_mom0.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC5068/group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_broad_mom0.fits,3314880,,,62ed5e5ec1797e06ca30868b22fc3bd3ffd30339f0a6e591ac5077fd8f6f6017,reused_nonempty,False,False
NGC5068,PHANGS_MUSE,Halpha_flux_velocity_and_errors,NGC5068_MAPS_copt_1.04asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.530,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC5068/NGC5068_MAPS_copt_1.04asec.fits,591641280,591641280,True,ab56e7a01e5a19eb0f8615ca34cf33d565f670862a0bc54bb09a792f95ef308e,reused_nonempty,True,False
NGC5068,PHANGS_ALMA_CO21,CO21_velocity,group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fe_X329.lp_schinner/group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_mom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC5068/group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_mom1wprior.fits,3314880,,,b2428cca696deabcefb1c707196cd266ebbb2171ba2af569b411f96fc893f8d4,reused_nonempty,True,False
NGC5068,PHANGS_ALMA_CO21,CO21_velocity_error,group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fe_X329.lp_schinner/group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_emom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC5068/group.uid___A001_X2fe_X329.lp_schinner.ngc5068_12m7mtp_co21_emom1wprior.fits,3314880,,,3f416e08c8861b56de0d13eacc1e4d05dc719545392e6eee493903cd6f59b452,reused_nonempty,True,False
