galaxy,curve_type,r03_kpc,v03_km_s,radius_kpc,velocity_km_s,velocity_error_km_s,endpoint_access
DDO_70,Data,0.559981,23.289692,0.41999974952499997,18.589995182244,2.9699946826079997,False
DDO_70,Data,0.559981,23.289692,0.49999975514699996,22.29999653846,3.5799982954719995,False
DDO_70,Data,0.559981,23.289692,0.579999760769,23.620009701636,3.6300012641959998,False
DDO_70,Data,0.559981,23.289692,0.6699999070889999,26.439995478072,3.140009434208,False
DDO_70,Data,0.559981,23.289692,0.7499993527299998,25.929997802655997,2.750000251976,False
DDO_70,Data,0.559981,23.289692,0.8299993583519999,25.220011542035998,2.459997007192,False
DDO_70,Data,0.559981,23.289692,0.9199995046719999,25.010008389272,2.459997007192,False
DDO_70,Data,0.559981,23.289692,0.9999995102939999,24.899987884264,2.699997283252,False
DDO_70,Data,0.559981,23.289692,1.0799995159159999,24.240004592368,3.010006373464,False
DDO_70,Data,0.559981,23.289692,1.159999521538,24.430001899704,2.9900005280359996,False
DDO_70,Data,0.559981,23.289692,1.2499996678579999,24.480004868428,2.9300062814439998,False
DDO_70,Data,0.559981,23.289692,1.329999113499,25.559994465851997,3.129994866648,False
DDO_70,Data,0.559981,23.289692,1.409999119121,27.470005396464,3.2800037728199993,False
DDO_70,Data,0.559981,23.289692,1.499999265441,30.389997110348,3.209994958668,False
DDO_70,Data,0.559981,23.289692,1.5799992710629998,33.699998006464,2.980009250168,False
DDO_70,Data,0.559981,23.289692,1.6599992766849998,36.950004655987996,2.6299884690999997,False
DDO_70,Data,0.559981,23.289692,1.7499988630239998,40.089990800504,2.590000067936,False
DDO_70,Data,0.559981,23.289692,1.8299994286269998,41.549998302291996,2.750000251976,False
DDO_70,Data,0.559981,23.289692,1.9099988742679999,42.299996253768,3.1500007120760003,False
DDO_70,Data,0.559981,23.289692,1.9999990205879998,43.940009785023996,3.2800037728199993,False
DDO_70,Model,1.277002,31.854853,0.08000034429399999,4.140047824998,1.850002442828,False
DDO_70,Model,1.277002,31.854853,0.16999961424799998,8.555194160504,1.389986510655,False
DDO_70,Model,1.277002,31.854853,0.249999958542,12.110291319862998,1.750010059261,False
DDO_70,Model,1.277002,31.854853,0.33000030283599996,15.251912487281999,2.2600062557909997,False
