galaxy,r,vobs,errv,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,applied_formula_source,applied_formula_label,label_assignment_role,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC4013,22.3,171.0,5.0,169.32469142600044,0.07179522417722797,0.01554121519338388,168.00378346744367,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,22.99,170.0,5.0,168.62762328577182,0.06986857327361684,0.015124161041959624,167.3475893210567,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,23.69,172.0,5.0,168.1128141365287,0.06801687668614412,0.014723331941297858,166.8706345430926,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,24.39,173.0,5.0,168.03323074778044,0.06626080749284623,0.014343202907085986,166.82381098442733,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,25.2,176.0,5.0,167.77493046132264,0.0643386849697572,0.013927128995461493,166.60252253011154,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,25.9,178.0,5.0,167.04847364614773,0.0627652322077295,0.013586530184725379,165.9097881580542,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,26.59,180.0,6.0,166.29482646635972,0.06128781106236296,0.013266718940808685,165.18805002496433,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,27.41,180.0,8.0,165.3626480720491,0.05962002742570516,0.01290570071584541,164.29212246199327,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,28.1,180.0,5.0,164.50738139490986,0.05828540496134847,0.01261680051171358,163.4663088132893,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,28.8,180.0,5.0,163.75260085389442,0.05699114741522199,0.012336637934459695,162.73938797236454,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,29.61,178.0,5.0,162.93214452413204,0.05556345330078001,0.012027590895229083,161.94933980203348,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,30.31,174.0,5.0,162.4107431432425,0.0543860466551536,0.011772722549047302,161.4519044437292,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,31.01,170.0,10.0,161.2571155215835,0.053257507750915256,0.011528432400700126,160.32490010983236,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,5.49,198.0,10.0,191.80368826958824,0.0,0.0,191.80368826958824,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,6.17,195.0,5.0,198.32853834825613,0.0,0.0,198.32853834825613,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,6.92,194.0,4.0,203.12773712277055,0.0,0.0,203.12773712277055,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,7.69,195.0,3.0,206.42370377605764,0.0,0.0,206.42370377605764,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,8.36,195.0,3.0,207.72850830674633,0.0,0.0,207.72850830674633,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,9.12,195.0,3.0,207.71347802333844,0.0,0.0,207.71347802333844,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,9.88,192.0,7.0,205.1281224025808,0.0,0.0,205.1281224025808,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,10.56,188.0,8.0,200.62679480125385,0.0,0.0,200.62679480125385,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,11.31,186.0,7.0,196.26751667383303,0.0,0.0,196.26751667383303,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,12.08,186.0,6.0,192.56604006123354,0.0,0.0,192.56604006123354,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,12.77,186.0,5.0,189.86753096942365,0.0,0.0,189.86753096942365,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,13.47,185.0,6.0,187.76268228285906,0.00043126377203077273,2.9492463739532596e-05,187.7599134703947,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,14.17,180.0,10.0,185.90179958008932,0.010940522085913854,0.0007481800509024587,185.83224255842453,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,14.98,163.0,8.0,183.93465723569014,0.039953804105802446,0.0027322863529623985,183.68320428093483,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,15.68,162.0,6.0,182.14469072788967,0.0795113512993905,0.005437474226124393,181.64881219675223,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,16.37,164.0,5.0,180.3872514854677,0.13183837923599623,0.00901591756893255,179.5722319939744,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,17.19,166.0,5.0,178.437487552436,0.2111465583093283,0.014439497631209854,177.14452932466142,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,17.88,166.0,5.0,176.8136873444035,0.29150099695745585,0.019934627344937113,175.04245822721165,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,18.58,166.0,5.0,175.30754378945133,0.3840472201932288,0.026263506119426353,172.99013133161176,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,19.39,166.0,5.0,173.8325793787291,0.5014082212073292,0.034289371706384644,170.82627858392914,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,20.09,168.0,5.0,172.59991275571903,0.6072952790984154,0.04153057863789527,168.97781994446458,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,20.79,172.0,5.0,171.35928091267954,0.7120754369645041,0.04869608895177255,167.13494860530804,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,21.48,173.0,5.0,170.30786868417567,0.8085052485454037,0.055290551333965675,165.53271701879984,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,22.3,171.0,5.0,169.32469142600044,0.9054843108299347,0.06192257485046063,163.99840914351128,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,22.99,170.0,5.0,168.62762328577182,0.9645802796061614,0.06596391991424459,162.97108059428888,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,23.69,172.0,5.0,168.1128141365287,0.9964842509670772,0.06814570929589883,162.28367080473856,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,24.39,173.0,5.0,168.03323074778044,1.0,0.0683861377937124,162.18591997880264,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,25.2,176.0,5.0,167.77493046132264,1.0,0.0683861377937124,161.936608164684,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,25.9,178.0,5.0,167.04847364614773,1.0,0.0683861377937124,161.2354309846126,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,26.59,180.0,6.0,166.29482646635972,1.0,0.0683861377937124,160.5080096248649,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,27.41,180.0,8.0,165.3626480720491,1.0,0.0683861377937124,159.60826967585112,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,28.1,180.0,5.0,164.50738139490986,1.0,0.0683861377937124,158.78276502869446,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,28.8,180.0,5.0,163.75260085389442,1.0,0.0683861377937124,158.05424974703308,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,29.61,178.0,5.0,162.93214452413204,1.0,0.0683861377937124,157.26234409805656,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,30.31,174.0,5.0,162.4107431432425,1.0,0.0683861377937124,156.75908672294415,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,31.01,170.0,10.0,161.2571155215835,1.0,0.0683861377937124,155.6456036559396,NGC5907,K_expdisk_projection_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,5.49,198.0,10.0,191.80368826958824,0.00038990756443858755,0.00012297881348494628,191.79189401196342,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,6.17,195.0,5.0,198.32853834825613,0.002170585475740129,0.0006846136128662426,198.26063751622138,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,6.92,194.0,4.0,203.12773712277055,0.005488033036792279,0.0017309533150573256,202.95185866548053,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,7.69,195.0,3.0,206.42370377605764,0.010051452605895204,0.0031702788763613692,206.09623367330698,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,8.36,195.0,3.0,207.72850830674633,0.014766203055133332,0.004657334960948428,207.24421314540916,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,9.12,195.0,3.0,207.71347802333844,0.020759439297968352,0.006547631916689885,207.03234554195663,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,9.88,192.0,7.0,205.1281224025808,0.02727017357178195,0.008601150362945833,204.24404837153565,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,10.56,188.0,8.0,200.62679480125385,0.033413616772816526,0.010538823351319953,199.5668094796596,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,11.31,186.0,7.0,196.26751667383303,0.04042611078933038,0.012750599352544443,195.01223821314218,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,12.08,186.0,6.0,192.56604006123354,0.04777839712247548,0.015069547565189809,191.10959067391005,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,12.77,186.0,5.0,189.86753096942365,0.054418573175157005,0.017163892601726148,188.23104550607815,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,13.47,185.0,6.0,187.76268228285906,0.06113844606658217,0.01928337442339079,185.94352064561153,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,14.17,180.0,10.0,185.90179958008932,0.0677836261064995,0.021379297742753826,183.90383817059876,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,14.98,163.0,8.0,183.93465723569014,0.07531067036903467,0.02375336548824135,181.73699476361105,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,15.68,162.0,6.0,182.14469072788967,0.08162075690751844,0.025743598626209334,179.78487425660333,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,16.37,164.0,5.0,180.3872514854677,0.08761878570121427,0.02763540717667781,177.87725120080896,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,17.19,166.0,5.0,178.437487552436,0.0944062689066171,0.029776213632565156,175.7608153114269,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,17.88,166.0,5.0,176.8136873444035,0.09978876723893597,0.03147388076925271,174.00893534214697,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,18.58,166.0,5.0,175.30754378945133,0.10490481384761381,0.033087507687660396,172.3829031746182,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,19.39,166.0,5.0,173.8325793787291,0.11034780416743281,0.03480425430247715,170.7807332611217,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,20.09,168.0,5.0,172.59991275571903,0.11460307613271711,0.03614638855447585,169.45177067708462,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,20.79,172.0,5.0,171.35928091267954,0.11841031291287375,0.03734721024808435,168.12893729325347,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,21.48,173.0,5.0,170.30786868417567,0.12169611464919097,0.03838356869745399,167.0073757313944,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,22.3,171.0,5.0,169.32469142600044,0.1249604508295086,0.03941315680213585,165.9543382241345,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,22.99,170.0,5.0,168.62762328577182,0.12713785087354995,0.04009991976423388,165.2120548737302,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,23.69,172.0,5.0,168.1128141365287,0.1287873393705966,0.04062017676031433,164.6630321623821,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,24.39,173.0,5.0,168.03323074778044,0.129847659468564,0.04095460707009821,164.55639300987266,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,25.2,176.0,5.0,167.77493046132264,0.1303062207071489,0.041099239598868346,164.29104763718902,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,25.9,178.0,5.0,167.04847364614773,0.1300105329815348,0.041005978198027246,163.58763043180514,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,26.59,180.0,6.0,166.29482646635972,0.12906644786649174,0.04070820898843531,162.8748775823538,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,27.41,180.0,8.0,165.3626480720491,0.12719826828977643,0.04011897572220704,162.01160388791897,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,28.1,180.0,5.0,164.50738139490986,0.12558582096733836,0.03961040169952571,161.21636072569316,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,28.8,180.0,5.0,163.75260085389442,0.12401723678909436,0.039115662333877706,160.5180088142,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,29.61,178.0,5.0,162.93214452413204,0.1222813050426075,0.03856814070068961,159.75925567172763,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,30.31,174.0,5.0,162.4107431432425,0.12084523496729188,0.03811519695183509,159.28551544018217,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,31.01,170.0,10.0,161.2571155215835,0.11946496556101432,0.037679853015592166,158.18987257470042,NGC7331,K_expdisk_vertical_outer_warp_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,5.03,214.0,6.0,159.5067357894428,0.0,0.0,159.5067357894428,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,7.55,220.0,6.0,188.4348783517028,0.0,0.0,188.4348783517028,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,10.07,235.0,4.0,210.23235887689714,0.0020624129418545184,0.00044644199825686145,210.18542536084158,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,12.58,235.0,4.0,222.85675815522404,0.11740663047772118,0.02541452764156293,220.00663334984466,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,15.1,230.0,2.0,225.7194198219553,0.10080217810332257,0.021820230521160982,223.24321258076557,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,17.61,231.0,2.0,228.4059872439307,0.08835678812898395,0.019126228434346318,226.21116938665097,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,20.13,232.0,2.0,231.20657121763753,0.07861284979799422,0.0170169984100879,229.23090926685728,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,22.65,225.0,7.0,232.96069082615355,0.07080483955553643,0.015326830731098041,231.1685227079802,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,25.16,224.0,7.0,228.9263950607293,0.06443098303770112,0.013947108376434092,227.32435888265306,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,27.68,229.0,2.0,228.1798371534189,0.059090568770281314,0.012791090990835991,226.7158059172412,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,30.2,218.0,2.0,230.72441959697696,0.05456775182637383,0.011812055515829511,229.3577068596811,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,32.71,214.0,2.0,227.7673358529192,0.05070241799249369,0.010975342689941402,226.51397506636715,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,35.23,213.0,2.0,228.06697015488186,0.04733602365267281,0.010246633232446038,226.89550222961202,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,37.75,211.0,2.0,224.73363775209626,0.04438884506279909,0.009608669674236426,223.65133596156403,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,40.26,217.0,2.0,224.0483289874923,0.04179688263115379,0.009047598288430476,223.03247637101734,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,42.78,216.0,3.0,221.07520880952433,0.039482255257401636,0.00854656047539738,220.1284652978325,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,45.29,215.0,3.0,219.7149160899284,0.037418336010151876,0.008099792413442513,218.82328430566307,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,47.81,217.0,5.0,218.25077044546856,0.03555244930004331,0.007695891635631862,217.40933127315088,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,50.33,214.0,5.0,219.0246053841867,0.03386381681103792,0.007330360345843146,218.22036418780922,NGC4013,K_expdisk_warp_vertical_overlay,wrong_label_control,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,5.03,214.0,6.0,159.5067357894428,0.0,0.0,159.5067357894428,NGC5907,K_expdisk_projection_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,7.55,220.0,6.0,188.4348783517028,0.0,0.0,188.4348783517028,NGC5907,K_expdisk_projection_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,10.07,235.0,4.0,210.23235887689714,0.0,0.0,210.23235887689714,NGC5907,K_expdisk_projection_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,12.58,235.0,4.0,222.85675815522404,0.0,0.0,222.85675815522404,NGC5907,K_expdisk_projection_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC5907,15.1,230.0,2.0,225.7194198219553,0.04577565353600669,0.0031304201503105917,225.36584458523626,NGC5907,K_expdisk_projection_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
