star_scale,h2_scale,height_pc,radius_kpc,vobs_km_s,vobs_error_km_s,vbar_km_s,dark_discrepancy_ratio,delta_v2_km2_s2
1.0,0.7,600,0.4763289942549633,54.52743543622388,4.677145178394439,49.235973543878345,1.226493031613338,549.0601244380755
1.0,0.7,600,1.4289869827648898,109.28503789126859,2.0218333338728773,101.44074631862135,1.1606373515661492,1652.9944932171184
1.0,0.7,600,2.381644971274816,141.5127105405909,0.8595435931450939,124.43170947935165,1.2933878110569295,4542.596920591292
1.0,0.7,600,3.334302959784743,153.62964013002227,0.6701733598026943,132.96357308230594,1.3350104708704889,5922.754559666435
1.0,0.7,600,4.286960948294669,158.8047410177566,0.6636871568350399,135.79083665902965,1.3676847340364384,6779.794449157478
1.0,0.7,600,5.239618936804596,163.05047281610953,0.5580974480626919,135.3531043884107,1.4511345525337487,8264.993817976865
1.0,0.7,600,6.1922769253145225,166.13549743976645,0.5385983182734696,132.6899136830004,1.567649791966542,9994.390316356545
1.0,0.7,600,7.144934913824449,169.86579822664316,0.5657370151104272,136.11367765247786,1.5574293396016041,10327.456163091996
1.0,0.7,600,8.097592902334375,176.49473898283327,0.7036771719934145,135.48545244690712,1.6969857547621698,12794.085063875315
1.0,0.7,600,9.050250890844302,183.97979871645208,0.8800818482819364,134.6266744705918,1.8675749612721282,15724.224856735531
1.0,0.7,600,10.002908879354228,196.99141192423437,2.466807083805094,131.1155675390895,2.2572832953196165,21614.324320805845
1.0,0.7,600,10.955566867864157,,,132.2103986814128,,
1.0,1.0,100,0.4763289942549633,54.52743543622388,4.677145178394439,67.8344948488,0.6461434614649394,-1628.2774761403102
1.0,1.0,100,1.4289869827648898,109.28503789126859,2.0218333338728773,133.20422934194724,0.6731089820220355,-5800.147207686066
1.0,1.0,100,2.381644971274816,141.5127105405909,0.8595435931450939,146.13402130810826,0.9377524951496465,-1329.3049391335735
1.0,1.0,100,3.334302959784743,153.62964013002227,0.6701733598026943,149.62171217532568,1.0542916964129534,1215.4095722041457
1.0,1.0,100,4.286960948294669,158.8047410177566,0.6636871568350399,149.56894627456396,1.1273118175350498,2848.0760800333483
1.0,1.0,100,5.239618936804596,163.05047281610953,0.5580974480626919,145.22139654290325,1.2606162677954693,5496.202671685722
1.0,1.0,100,6.1922769253145225,166.13549743976645,0.5385983182734696,141.71704621002905,1.3742972855109057,7517.282323063137
1.0,1.0,100,7.144934913824449,169.86579822664316,0.5657370151104272,144.7927814494293,1.376315708501247,7889.439847312449
1.0,1.0,100,8.097592902334375,176.49473898283327,0.7036771719934145,143.09528007406817,1.5212931529916092,10674.133709142432
1.0,1.0,100,9.050250890844302,183.97979871645208,0.8800818482819364,141.3632068548783,1.6938209550093823,13865.01008345111
1.0,1.0,100,10.002908879354228,196.99141192423437,2.466807083805094,137.1704136171928,2.0624037496340133,19989.893999991637
1.0,1.0,100,10.955566867864157,,,142.06648008367586,,
1.0,1.0,300,0.4763289942549633,54.52743543622388,4.677145178394439,60.2424847843813,0.819264980097212,-655.9157577448482
1.0,1.0,300,1.4289869827648898,109.28503789126859,2.0218333338728773,120.76476057397139,0.818919033151859,-2640.907889592623
1.0,1.0,300,2.381644971274816,141.5127105405909,0.8595435931450939,138.89460281819083,1.0380545076712995,734.136552522079
1.0,1.0,300,3.334302959784743,153.62964013002227,0.6701733598026943,144.6351380975532,1.1282423495186855,2682.743153981861
1.0,1.0,300,4.286960948294669,158.8047410177566,0.6636871568350399,145.64509189072228,1.1888723318457797,4006.4529778598117
1.0,1.0,300,5.239618936804596,163.05047281610953,0.5580974480626919,142.9315714459386,1.3013310371004592,6156.022569551424
1.0,1.0,300,6.1922769253145225,166.13549743976645,0.5385983182734696,139.56749962177088,1.4169557114998663,8121.91655888563
1.0,1.0,300,7.144934913824449,169.86579822664316,0.5657370151104272,142.71588152557467,1.4166653762837982,8486.566567552782
1.0,1.0,300,8.097592902334375,176.49473898283327,0.7036771719934145,141.31496269377215,1.5598657854342723,11180.474207476233
1.0,1.0,300,9.050250890844302,183.97979871645208,0.8800818482819364,139.8183355585828,1.7314582461658123,14299.399377373767
1.0,1.0,300,10.002908879354228,196.99141192423437,2.466807083805094,135.8234657945295,2.1035118829308286,20357.60251146566
1.0,1.0,300,10.955566867864157,,,138.64170568851034,,
1.0,1.0,600,0.4763289942549633,54.52743543622388,4.677145178394439,49.352599410821874,1.2207031926231469,537.5621466465086
1.0,1.0,600,1.4289869827648898,109.28503789126859,2.0218333338728773,102.66520477969866,1.1331172703304393,1403.075234438551
1.0,1.0,600,2.381644971274816,141.5127105405909,0.8595435931450939,126.89822703222497,1.2435973569656882,3922.6872206229527
1.0,1.0,600,3.334302959784743,153.62964013002227,0.6701733598026943,136.05806699908223,1.2749743078534646,5090.268730953398
1.0,1.0,600,4.286960948294669,158.8047410177566,0.6636871568350399,139.04129711560395,1.3044856513348053,5886.463466127094
1.0,1.0,600,5.239618936804596,163.05047281610953,0.5580974480626919,138.62233539235106,1.3834953463067892,7369.304815927408
1.0,1.0,600,6.1922769253145225,166.13549743976645,0.5385983182734696,135.78435879129273,1.4970123416202694,9163.61141719613
1.0,1.0,600,7.144934913824449,169.86579822664316,0.5657370151104272,139.1028334372532,1.49121387452809,9504.79113690244
1.0,1.0,600,8.097592902334375,176.49473898283327,0.7036771719934145,138.1967420784283,1.6310524197256462,12052.053367526813
1.0,1.0,600,9.050250890844302,183.97979871645208,0.8800818482819364,137.02853132389765,1.802678474088183,15071.747938961824
1.0,1.0,600,10.002908879354228,196.99141192423437,2.466807083805094,133.14049670127886,2.1891435478976526,21079.224510040138
1.0,1.0,600,10.955566867864157,,,134.11597415063548,,
1.0,1.3,100,0.4763289942549633,54.52743543622388,4.677145178394439,67.14702810149979,0.6594419224191095,-1535.4821676120378
1.0,1.3,100,1.4289869827648898,109.28503789126859,2.0218333338728773,134.66678804726837,0.6585676759255389,-6191.924296071891
1.0,1.3,100,2.381644971274816,141.5127105405909,0.8595435931450939,149.03033463921082,0.901657388508632,-2184.193398130097
